pos:C,name:Bengie Molina,age:27,games:122,plate_appearances:459,at_bats:428,runs:34,hits:105,doubles:18,triples:0,home_runs:5,runs_batted_in:47,stolen_bases:0,caught_stealing:0,walks:15,strikeouts:34,batting_avg:.245,onbase:.274,slugging:.322,ops:erc">.322,ops+:lugging">.596,bases:138,double_plays:15,hit_by_pitch:4,sac_hits:6,sac_flies:6,intentional_walks:3
pos:1B,name:Scott Spiezio,age:29,games:153,plate_appearances:571,at_bats:491,runs:80,hits:140,doubles:34,triples:2,home_runs:12,runs_batted_in:82,stolen_bases:6,caught_stealing:7,walks:67,strikeouts:52,batting_avg:.285,onbase:.371,slugging:.436,ops:erc">.436,ops+:lugging">.807,bases:214,double_plays:12,hit_by_pitch:4,sac_hits:3,sac_flies:6,intentional_walks:7
pos:2B,name:Adam Kennedy,age:26,games:144,plate_appearances:509,at_bats:474,runs:65,hits:148,doubles:32,triples:6,home_runs:7,runs_batted_in:52,stolen_bases:17,caught_stealing:4,walks:19,strikeouts:80,batting_avg:.312,onbase:.345,slugging:.449,ops:erc">.449,ops+:lugging">.795,bases:213,double_plays:5,hit_by_pitch:7,sac_hits:5,sac_flies:4,intentional_walks:1
pos:SS,name:David Eckstein,age:27,games:152,plate_appearances:702,at_bats:608,runs:107,hits:178,doubles:22,triples:6,home_runs:8,runs_batted_in:63,stolen_bases:21,caught_stealing:13,walks:45,strikeouts:44,batting_avg:.293,onbase:.363,slugging:.388,ops:erc">.388,ops+:lugging">.752,bases:236,double_plays:7,hit_by_pitch:27,sac_hits:14,sac_flies:8,intentional_walks:0
pos:3B,name:Troy Glaus,age:25,games:156,plate_appearances:671,at_bats:569,runs:99,hits:142,doubles:24,triples:1,home_runs:30,runs_batted_in:111,stolen_bases:10,caught_stealing:3,walks:88,strikeouts:144,batting_avg:.250,onbase:.352,slugging:.453,ops:erc">.453,ops+:lugging">.805,bases:258,double_plays:12,hit_by_pitch:6,sac_hits:0,sac_flies:8,intentional_walks:4
pos:LF,name:Garret Anderson,age:30,games:158,plate_appearances:678,at_bats:638,runs:93,hits:195,doubles:56,triples:3,home_runs:29,runs_batted_in:123,stolen_bases:6,caught_stealing:4,walks:30,strikeouts:80,batting_avg:.306,onbase:.332,slugging:.539,ops:erc">.539,ops+:lugging">.871,bases:344,double_plays:11,hit_by_pitch:0,sac_hits:0,sac_flies:10,intentional_walks:11
pos:CF,name:Darin Erstad,age:28,games:150,plate_appearances:663,at_bats:625,runs:99,hits:177,doubles:28,triples:4,home_runs:10,runs_batted_in:73,stolen_bases:23,caught_stealing:3,walks:27,strikeouts:67,batting_avg:.283,onbase:.313,slugging:.389,ops:erc">.389,ops+:lugging">.702,bases:243,double_plays:9,hit_by_pitch:2,sac_hits:5,sac_flies:4,intentional_walks:4
pos:RF,name:Tim Salmon,age:33,games:138,plate_appearances:568,at_bats:483,runs:84,hits:138,doubles:37,triples:1,home_runs:22,runs_batted_in:88,stolen_bases:6,caught_stealing:3,walks:71,strikeouts:102,batting_avg:.286,onbase:.380,slugging:.503,ops:erc">.503,ops+:lugging">.883,bases:243,double_plays:6,hit_by_pitch:7,sac_hits:0,sac_flies:7,intentional_walks:3
pos:DH,name:Brad Fullmer,age:27,games:130,plate_appearances:479,at_bats:429,runs:75,hits:124,doubles:35,triples:6,home_runs:19,runs_batted_in:59,stolen_bases:10,caught_stealing:3,walks:32,strikeouts:44,batting_avg:.289,onbase:.357,slugging:.531,ops:erc">.531,ops+:lugging">.888,bases:228,double_plays:7,hit_by_pitch:15,sac_hits:0,sac_flies:3,intentional_walks:6
pos:OF,name:Orlando Palmeiro,age:33,games:110,plate_appearances:300,at_bats:263,runs:35,hits:79,doubles:12,triples:1,home_runs:0,runs_batted_in:31,stolen_bases:7,caught_stealing:2,walks:30,strikeouts:22,batting_avg:.300,onbase:.368,slugging:.354,ops:erc">.354,ops+:lugging">.722,bases:93,double_plays:7,hit_by_pitch:0,sac_hits:4,sac_flies:3,intentional_walks:1
pos:2B,name:Benji Gil,age:29,games:61,plate_appearances:139,at_bats:130,runs:11,hits:37,doubles:8,triples:1,home_runs:3,runs_batted_in:20,stolen_bases:2,caught_stealing:1,walks:5,strikeouts:33,batting_avg:.285,onbase:.307,slugging:.431,ops:erc">.431,ops+:lugging">.737,bases:56,double_plays:0,hit_by_pitch:0,sac_hits:2,sac_flies:2,intentional_walks:0
pos:DH,name:Shawn Wooten,age:29,games:49,plate_appearances:121,at_bats:113,runs:13,hits:33,doubles:8,triples:0,home_runs:3,runs_batted_in:19,stolen_bases:2,caught_stealing:0,walks:6,strikeouts:24,batting_avg:.292,onbase:.331,slugging:.442,ops:erc">.442,ops+:lugging">.773,bases:50,double_plays:3,hit_by_pitch:1,sac_hits:0,sac_flies:1,intentional_walks:1
pos:MI,name:Jose Nieves,age:27,games:45,plate_appearances:100,at_bats:97,runs:17,hits:28,doubles:2,triples:0,home_runs:0,runs_batted_in:6,stolen_bases:1,caught_stealing:1,walks:2,strikeouts:14,batting_avg:.289,onbase:.303,slugging:.309,ops:erc">.309,ops+:lugging">.612,bases:30,double_plays:3,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:C,name:Jorge Fabregas,age:32,games:35,plate_appearances:96,at_bats:88,runs:8,hits:17,doubles:1,triples:0,home_runs:0,runs_batted_in:8,stolen_bases:0,caught_stealing:0,walks:6,strikeouts:6,batting_avg:.193,onbase:.245,slugging:.205,ops:erc">.205,ops+:lugging">.449,bases:18,double_plays:3,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:1
pos:C,name:Jose Molina,age:27,games:29,plate_appearances:81,at_bats:70,runs:5,hits:19,doubles:3,triples:0,home_runs:0,runs_batted_in:5,stolen_bases:0,caught_stealing:2,walks:5,strikeouts:15,batting_avg:.271,onbase:.312,slugging:.314,ops:erc">.314,ops+:lugging">.626,bases:22,double_plays:2,hit_by_pitch:0,sac_hits:4,sac_flies:2,intentional_walks:0
pos:OF,name:Alex Ochoa,age:30,games:37,plate_appearances:75,at_bats:65,runs:8,hits:18,doubles:7,triples:0,home_runs:2,runs_batted_in:10,stolen_bases:2,caught_stealing:2,walks:10,strikeouts:5,batting_avg:.277,onbase:.373,slugging:.477,ops:erc">.477,ops+:lugging">.850,bases:31,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:OF,name:Julio Ramirez,age:24,games:29,plate_appearances:35,at_bats:32,runs:6,hits:9,doubles:0,triples:1,home_runs:1,runs_batted_in:7,stolen_bases:0,caught_stealing:2,walks:2,strikeouts:14,batting_avg:.281,onbase:.343,slugging:.438,ops:erc">.438,ops+:lugging">.780,bases:14,double_plays:0,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:0
pos:OF,name:Jeff DaVanon,age:28,games:16,plate_appearances:33,at_bats:30,runs:3,hits:5,doubles:3,triples:0,home_runs:1,runs_batted_in:4,stolen_bases:1,caught_stealing:0,walks:2,strikeouts:6,batting_avg:.167,onbase:.219,slugging:.367,ops:erc">.367,ops+:lugging">.585,bases:11,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:SS,name:Alfredo Amezaga,age:24,games:12,plate_appearances:13,at_bats:13,runs:3,hits:7,doubles:2,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:1,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.538,onbase:.538,slugging:.692,ops:erc">.692,ops+:lugging">1.231,bases:9,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:2B,name:Chone Figgins,age:24,games:15,plate_appearances:12,at_bats:12,runs:6,hits:2,doubles:1,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:2,caught_stealing:1,walks:0,strikeouts:5,batting_avg:.167,onbase:.167,slugging:.250,ops:erc">.250,ops+:lugging">.417,bases:3,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:1B,name:Clay Bellinger,age:33,games:2,plate_appearances:1,at_bats:1,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:C,name:Sal Fasano,age:30,games:2,plate_appearances:1,at_bats:1,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Ramon Ortiz,age:29,games:2,plate_appearances:7,at_bats:7,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:3,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Jarrod Washburn,age:27,games:2,plate_appearances:5,at_bats:5,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:3,batting_avg:.200,onbase:.200,slugging:.200,ops:erc">.200,ops+:lugging">.400,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Kevin Appier,age:34,games:2,plate_appearances:4,at_bats:2,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
pos:P,name:Aaron Sele,age:32,games:1,plate_appearances:2,at_bats:2,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.500,onbase:.500,slugging:.500,ops:erc">.500,ops+:lugging">1.000,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Scott Schoeneweis,age:28,games:2,plate_appearances:2,at_bats:2,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Matt Wise,age:26,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
