pos:C,name:Damian Miller,age:29,games:86,plate_appearances:320,at_bats:296,runs:35,hits:80,doubles:19,triples:0,home_runs:11,runs_batted_in:47,stolen_bases:0,caught_stealing:0,walks:19,strikeouts:78,batting_avg:.270,onbase:.316,slugging:.446,ops:erc">.446,ops+:lugging">.762,bases:132,double_plays:6,hit_by_pitch:2,sac_hits:0,sac_flies:3,intentional_walks:3
pos:1B,name:Travis Lee,age:24,games:120,plate_appearances:436,at_bats:375,runs:57,hits:89,doubles:16,triples:2,home_runs:9,runs_batted_in:50,stolen_bases:17,caught_stealing:3,walks:58,strikeouts:50,batting_avg:.237,onbase:.337,slugging:.363,ops:erc">.363,ops+:lugging">.700,bases:136,double_plays:10,hit_by_pitch:0,sac_hits:0,sac_flies:3,intentional_walks:4
pos:2B,name:Jay Bell,age:33,games:151,plate_appearances:688,at_bats:589,runs:132,hits:170,doubles:32,triples:6,home_runs:38,runs_batted_in:112,stolen_bases:7,caught_stealing:4,walks:82,strikeouts:132,batting_avg:.289,onbase:.374,slugging:.557,ops:erc">.557,ops+:lugging">.931,bases:328,double_plays:9,hit_by_pitch:4,sac_hits:4,sac_flies:9,intentional_walks:2
pos:SS,name:Andy Fox,age:28,games:99,plate_appearances:320,at_bats:274,runs:34,hits:70,doubles:12,triples:2,home_runs:6,runs_batted_in:33,stolen_bases:4,caught_stealing:1,walks:33,strikeouts:61,batting_avg:.255,onbase:.351,slugging:.380,ops:erc">.380,ops+:lugging">.731,bases:104,double_plays:4,hit_by_pitch:9,sac_hits:1,sac_flies:3,intentional_walks:10
pos:3B,name:Matt Williams,age:33,games:154,plate_appearances:678,at_bats:627,runs:98,hits:190,doubles:37,triples:2,home_runs:35,runs_batted_in:142,stolen_bases:2,caught_stealing:0,walks:41,strikeouts:93,batting_avg:.303,onbase:.344,slugging:.536,ops:erc">.536,ops+:lugging">.880,bases:336,double_plays:17,hit_by_pitch:2,sac_hits:0,sac_flies:8,intentional_walks:9
pos:LF,name:Luis Gonzalez,age:31,games:153,plate_appearances:693,at_bats:614,runs:112,hits:206,doubles:45,triples:4,home_runs:26,runs_batted_in:111,stolen_bases:9,caught_stealing:5,walks:66,strikeouts:63,batting_avg:.336,onbase:.403,slugging:.549,ops:erc">.549,ops+:lugging">.952,bases:337,double_plays:13,hit_by_pitch:7,sac_hits:1,sac_flies:5,intentional_walks:6
pos:CF,name:Steve Finley,age:34,games:156,plate_appearances:663,at_bats:590,runs:100,hits:156,doubles:32,triples:10,home_runs:34,runs_batted_in:103,stolen_bases:8,caught_stealing:4,walks:63,strikeouts:94,batting_avg:.264,onbase:.336,slugging:.525,ops:erc">.525,ops+:lugging">.861,bases:310,double_plays:4,hit_by_pitch:3,sac_hits:2,sac_flies:5,intentional_walks:7
pos:RF,name:Tony Womack,age:29,games:144,plate_appearances:684,at_bats:614,runs:111,hits:170,doubles:25,triples:10,home_runs:4,runs_batted_in:41,stolen_bases:72,caught_stealing:13,walks:52,strikeouts:68,batting_avg:.277,onbase:.332,slugging:.370,ops:erc">.370,ops+:lugging">.702,bases:227,double_plays:4,hit_by_pitch:2,sac_hits:9,sac_flies:7,intentional_walks:0
pos:C,name:Kelly Stinnett,age:29,games:88,plate_appearances:317,at_bats:284,runs:36,hits:66,doubles:13,triples:0,home_runs:14,runs_batted_in:38,stolen_bases:2,caught_stealing:1,walks:24,strikeouts:83,batting_avg:.232,onbase:.302,slugging:.426,ops:erc">.426,ops+:lugging">.728,bases:121,double_plays:4,hit_by_pitch:5,sac_hits:2,sac_flies:2,intentional_walks:2
pos:RF,name:Bernard Gilkey,age:32,games:94,plate_appearances:241,at_bats:204,runs:28,hits:60,doubles:16,triples:1,home_runs:8,runs_batted_in:39,stolen_bases:2,caught_stealing:2,walks:29,strikeouts:42,batting_avg:.294,onbase:.379,slugging:.500,ops:erc">.500,ops+:lugging">.879,bases:102,double_plays:7,hit_by_pitch:2,sac_hits:1,sac_flies:5,intentional_walks:2
pos:1B,name:Erubiel Durazo,age:25,games:52,plate_appearances:185,at_bats:155,runs:31,hits:51,doubles:4,triples:2,home_runs:11,runs_batted_in:30,stolen_bases:1,caught_stealing:1,walks:26,strikeouts:43,batting_avg:.329,onbase:.422,slugging:.594,ops:erc">.594,ops+:lugging">1.015,bases:92,double_plays:1,hit_by_pitch:1,sac_hits:0,sac_flies:3,intentional_walks:1
pos:SS,name:Hanley Frias,age:25,games:69,plate_appearances:180,at_bats:150,runs:27,hits:41,doubles:3,triples:2,home_runs:1,runs_batted_in:16,stolen_bases:4,caught_stealing:3,walks:29,strikeouts:18,batting_avg:.273,onbase:.391,slugging:.340,ops:erc">.340,ops+:lugging">.731,bases:51,double_plays:2,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:2
pos:SS,name:Tony Batista,age:25,games:44,plate_appearances:164,at_bats:144,runs:16,hits:37,doubles:5,triples:0,home_runs:5,runs_batted_in:21,stolen_bases:2,caught_stealing:0,walks:16,strikeouts:17,batting_avg:.257,onbase:.335,slugging:.396,ops:erc">.396,ops+:lugging">.731,bases:57,double_plays:1,hit_by_pitch:2,sac_hits:0,sac_flies:2,intentional_walks:3
pos:1B,name:Greg Colbrunn,age:29,games:67,plate_appearances:153,at_bats:135,runs:20,hits:44,doubles:5,triples:3,home_runs:5,runs_batted_in:24,stolen_bases:1,caught_stealing:1,walks:12,strikeouts:23,batting_avg:.326,onbase:.392,slugging:.519,ops:erc">.519,ops+:lugging">.911,bases:70,double_plays:3,hit_by_pitch:4,sac_hits:0,sac_flies:2,intentional_walks:0
pos:OF,name:David Dellucci,age:25,games:63,plate_appearances:123,at_bats:109,runs:27,hits:43,doubles:7,triples:1,home_runs:1,runs_batted_in:15,stolen_bases:2,caught_stealing:0,walks:11,strikeouts:24,batting_avg:.394,onbase:.463,slugging:.505,ops:erc">.505,ops+:lugging">.968,bases:55,double_plays:3,hit_by_pitch:3,sac_hits:0,sac_flies:0,intentional_walks:0
pos:RF,name:Rob Ryan,age:26,games:20,plate_appearances:30,at_bats:29,runs:4,hits:7,doubles:1,triples:0,home_runs:2,runs_batted_in:5,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:8,batting_avg:.241,onbase:.267,slugging:.483,ops:erc">.483,ops+:lugging">.749,bases:14,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:UT,name:Lenny Harris,age:34,games:19,plate_appearances:30,at_bats:29,runs:2,hits:11,doubles:1,triples:0,home_runs:1,runs_batted_in:7,stolen_bases:1,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.379,onbase:.367,slugging:.517,ops:erc">.517,ops+:lugging">.884,bases:15,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:OF,name:Dante Powell,age:25,games:22,plate_appearances:28,at_bats:25,runs:4,hits:4,doubles:3,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:2,caught_stealing:1,walks:2,strikeouts:6,batting_avg:.160,onbase:.222,slugging:.280,ops:erc">.280,ops+:lugging">.502,bases:7,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
