pos:C,name:Juan Brito,age:24,games:54,plate_appearances:184,at_bats:171,runs:17,hits:35,doubles:7,triples:0,home_runs:3,runs_batted_in:12,stolen_bases:1,caught_stealing:0,walks:9,strikeouts:41,batting_avg:.205,onbase:.246,slugging:.298,ops:erc">.298,ops+:lugging">.544,bases:51,double_plays:6,hit_by_pitch:1,sac_hits:1,sac_flies:2,intentional_walks:1
pos:1B,name:Shea Hillenbrand,age:28,games:148,plate_appearances:604,at_bats:562,runs:68,hits:174,doubles:36,triples:3,home_runs:15,runs_batted_in:80,stolen_bases:2,caught_stealing:0,walks:24,strikeouts:49,batting_avg:.310,onbase:.348,slugging:.464,ops:erc">.464,ops+:lugging">.812,bases:261,double_plays:18,hit_by_pitch:12,sac_hits:0,sac_flies:6,intentional_walks:2
pos:2B,name:Scott Hairston,age:24,games:101,plate_appearances:364,at_bats:339,runs:39,hits:84,doubles:15,triples:6,home_runs:13,runs_batted_in:29,stolen_bases:3,caught_stealing:3,walks:21,strikeouts:88,batting_avg:.248,onbase:.293,slugging:.442,ops:erc">.442,ops+:lugging">.735,bases:150,double_plays:4,hit_by_pitch:1,sac_hits:2,sac_flies:1,intentional_walks:0
pos:SS,name:Alex Cintron,age:25,games:154,plate_appearances:613,at_bats:564,runs:56,hits:148,doubles:31,triples:7,home_runs:4,runs_batted_in:49,stolen_bases:3,caught_stealing:3,walks:31,strikeouts:59,batting_avg:.262,onbase:.301,slugging:.363,ops:erc">.363,ops+:lugging">.665,bases:205,double_plays:11,hit_by_pitch:2,sac_hits:12,sac_flies:4,intentional_walks:2
pos:3B,name:Chad Tracy,age:24,games:143,plate_appearances:532,at_bats:481,runs:45,hits:137,doubles:29,triples:3,home_runs:8,runs_batted_in:53,stolen_bases:2,caught_stealing:3,walks:45,strikeouts:60,batting_avg:.285,onbase:.343,slugging:.407,ops:erc">.407,ops+:lugging">.750,bases:196,double_plays:11,hit_by_pitch:0,sac_hits:1,sac_flies:5,intentional_walks:3
pos:LF,name:Luis Gonzalez,age:36,games:105,plate_appearances:451,at_bats:379,runs:69,hits:98,doubles:28,triples:5,home_runs:17,runs_batted_in:48,stolen_bases:2,caught_stealing:2,walks:68,strikeouts:58,batting_avg:.259,onbase:.373,slugging:.493,ops:erc">.493,ops+:lugging">.866,bases:187,double_plays:9,hit_by_pitch:2,sac_hits:0,sac_flies:2,intentional_walks:11
pos:CF,name:Steve Finley,age:39,games:104,plate_appearances:456,at_bats:404,runs:61,hits:111,doubles:16,triples:1,home_runs:23,runs_batted_in:48,stolen_bases:8,caught_stealing:4,walks:40,strikeouts:52,batting_avg:.275,onbase:.338,slugging:.490,ops:erc">.490,ops+:lugging">.828,bases:198,double_plays:9,hit_by_pitch:1,sac_hits:6,sac_flies:5,intentional_walks:1
pos:RF,name:Danny Bautista,age:32,games:141,plate_appearances:582,at_bats:539,runs:64,hits:154,doubles:27,triples:1,home_runs:11,runs_batted_in:65,stolen_bases:6,caught_stealing:2,walks:35,strikeouts:66,batting_avg:.286,onbase:.332,slugging:.401,ops:erc">.401,ops+:lugging">.733,bases:216,double_plays:20,hit_by_pitch:4,sac_hits:1,sac_flies:3,intentional_walks:2
pos:CF,name:Luis Terrero,age:24,games:62,plate_appearances:255,at_bats:229,runs:21,hits:56,doubles:14,triples:0,home_runs:4,runs_batted_in:14,stolen_bases:10,caught_stealing:2,walks:20,strikeouts:78,batting_avg:.245,onbase:.319,slugging:.358,ops:erc">.358,ops+:lugging">.677,bases:82,double_plays:5,hit_by_pitch:5,sac_hits:1,sac_flies:0,intentional_walks:2
pos:C,name:Robby Hammock,age:27,games:62,plate_appearances:210,at_bats:195,runs:22,hits:47,doubles:16,triples:2,home_runs:4,runs_batted_in:18,stolen_bases:3,caught_stealing:3,walks:13,strikeouts:39,batting_avg:.241,onbase:.287,slugging:.405,ops:erc">.405,ops+:lugging">.692,bases:79,double_plays:9,hit_by_pitch:0,sac_hits:1,sac_flies:1,intentional_walks:6
