pos:C,name:Carson Kelly,age:24,games:111,plate_appearances:365,at_bats:314,runs:46,hits:77,doubles:19,triples:0,home_runs:18,runs_batted_in:47,stolen_bases:0,caught_stealing:0,walks:48,strikeouts:79,batting_avg:.245,onbase:.348,slugging:.478,ops:erc">.478,ops+:lugging">.826,bases:150,double_plays:11,hit_by_pitch:2,sac_hits:0,sac_flies:1,intentional_walks:10
pos:1B,name:Christian Walker,age:28,games:152,plate_appearances:603,at_bats:529,runs:86,hits:137,doubles:26,triples:1,home_runs:29,runs_batted_in:73,stolen_bases:8,caught_stealing:1,walks:67,strikeouts:155,batting_avg:.259,onbase:.348,slugging:.476,ops:erc">.476,ops+:lugging">.825,bases:252,double_plays:11,hit_by_pitch:6,sac_hits:0,sac_flies:1,intentional_walks:6
pos:2B,name:Wilmer Flores,age:27,games:89,plate_appearances:285,at_bats:265,runs:31,hits:84,doubles:18,triples:0,home_runs:9,runs_batted_in:37,stolen_bases:0,caught_stealing:0,walks:15,strikeouts:31,batting_avg:.317,onbase:.361,slugging:.487,ops:erc">.487,ops+:lugging">.848,bases:129,double_plays:9,hit_by_pitch:4,sac_hits:0,sac_flies:1,intentional_walks:0
pos:SS,name:Nick Ahmed,age:29,games:158,plate_appearances:625,at_bats:556,runs:79,hits:141,doubles:33,triples:6,home_runs:19,runs_batted_in:82,stolen_bases:8,caught_stealing:2,walks:52,strikeouts:113,batting_avg:.254,onbase:.316,slugging:.437,ops:erc">.437,ops+:lugging">.753,bases:243,double_plays:15,hit_by_pitch:4,sac_hits:1,sac_flies:12,intentional_walks:2
pos:3B,name:Eduardo Escobar,age:30,games:158,plate_appearances:699,at_bats:636,runs:94,hits:171,doubles:29,triples:10,home_runs:35,runs_batted_in:118,stolen_bases:5,caught_stealing:1,walks:50,strikeouts:130,batting_avg:.269,onbase:.320,slugging:.511,ops:erc">.511,ops+:lugging">.831,bases:325,double_plays:8,hit_by_pitch:3,sac_hits:0,sac_flies:10,intentional_walks:3
pos:LF,name:David Peralta,age:31,games:99,plate_appearances:423,at_bats:382,runs:48,hits:105,doubles:29,triples:3,home_runs:12,runs_batted_in:57,stolen_bases:0,caught_stealing:0,walks:35,strikeouts:87,batting_avg:.275,onbase:.343,slugging:.461,ops:erc">.461,ops+:lugging">.804,bases:176,double_plays:9,hit_by_pitch:5,sac_hits:0,sac_flies:1,intentional_walks:3
pos:CF,name:Ketel Marte,age:25,games:144,plate_appearances:628,at_bats:569,runs:97,hits:187,doubles:36,triples:9,home_runs:32,runs_batted_in:92,stolen_bases:10,caught_stealing:2,walks:53,strikeouts:86,batting_avg:.329,onbase:.389,slugging:.592,ops:erc">.592,ops+:lugging">.981,bases:337,double_plays:7,hit_by_pitch:4,sac_hits:0,sac_flies:2,intentional_walks:2
pos:RF,name:Adam Jones,age:33,games:137,plate_appearances:528,at_bats:485,runs:66,hits:126,doubles:25,triples:1,home_runs:16,runs_batted_in:67,stolen_bases:2,caught_stealing:1,walks:31,strikeouts:101,batting_avg:.260,onbase:.313,slugging:.414,ops:erc">.414,ops+:lugging">.728,bases:201,double_plays:15,hit_by_pitch:8,sac_hits:0,sac_flies:3,intentional_walks:2
pos:OF,name:Jarrod Dyson,age:34,games:130,plate_appearances:452,at_bats:400,runs:65,hits:92,doubles:11,triples:2,home_runs:7,runs_batted_in:27,stolen_bases:30,caught_stealing:4,walks:47,strikeouts:86,batting_avg:.230,onbase:.313,slugging:.320,ops:erc">.320,ops+:lugging">.633,bases:128,double_plays:1,hit_by_pitch:2,sac_hits:1,sac_flies:2,intentional_walks:0
pos:LF,name:Tim Locastro,age:26,games:91,plate_appearances:250,at_bats:212,runs:38,hits:53,doubles:12,triples:2,home_runs:1,runs_batted_in:17,stolen_bases:17,caught_stealing:0,walks:14,strikeouts:44,batting_avg:.250,onbase:.357,slugging:.340,ops:erc">.340,ops+:lugging">.697,bases:72,double_plays:1,hit_by_pitch:22,sac_hits:1,sac_flies:1,intentional_walks:0
pos:CI,name:Jake Lamb,age:28,games:78,plate_appearances:226,at_bats:187,runs:26,hits:36,doubles:8,triples:2,home_runs:6,runs_batted_in:30,stolen_bases:1,caught_stealing:0,walks:32,strikeouts:55,batting_avg:.193,onbase:.323,slugging:.353,ops:erc">.353,ops+:lugging">.676,bases:66,double_plays:4,hit_by_pitch:5,sac_hits:0,sac_flies:2,intentional_walks:1
