pos:C,name:Jody Davis,age:32,games:78,plate_appearances:257,at_bats:231,runs:12,hits:39,doubles:5,triples:0,home_runs:4,runs_batted_in:19,stolen_bases:0,caught_stealing:0,walks:23,strikeouts:61,batting_avg:.169,onbase:.246,slugging:.242,ops:erc">.242,ops+:lugging">.489,bases:56,double_plays:8,hit_by_pitch:1,sac_hits:1,sac_flies:1,intentional_walks:3
pos:1B,name:Gerald Perry,age:28,games:72,plate_appearances:303,at_bats:266,runs:24,hits:67,doubles:11,triples:0,home_runs:4,runs_batted_in:21,stolen_bases:10,caught_stealing:6,walks:32,strikeouts:28,batting_avg:.252,onbase:.337,slugging:.338,ops:erc">.338,ops+:lugging">.675,bases:90,double_plays:5,hit_by_pitch:3,sac_hits:0,sac_flies:2,intentional_walks:5
pos:2B,name:Jeff Treadway,age:26,games:134,plate_appearances:514,at_bats:473,runs:58,hits:131,doubles:18,triples:3,home_runs:8,runs_batted_in:40,stolen_bases:3,caught_stealing:2,walks:30,strikeouts:38,batting_avg:.277,onbase:.317,slugging:.378,ops:erc">.378,ops+:lugging">.695,bases:179,double_plays:9,hit_by_pitch:0,sac_hits:6,sac_flies:5,intentional_walks:3
pos:SS,name:Andres Thomas,age:25,games:141,plate_appearances:571,at_bats:554,runs:41,hits:118,doubles:18,triples:0,home_runs:13,runs_batted_in:57,stolen_bases:3,caught_stealing:3,walks:12,strikeouts:62,batting_avg:.213,onbase:.228,slugging:.316,ops:erc">.316,ops+:lugging">.544,bases:175,double_plays:17,hit_by_pitch:0,sac_hits:1,sac_flies:4,intentional_walks:3
pos:3B,name:Jeff Blauser,age:23,games:142,plate_appearances:507,at_bats:456,runs:63,hits:123,doubles:24,triples:2,home_runs:12,runs_batted_in:46,stolen_bases:5,caught_stealing:2,walks:38,strikeouts:101,batting_avg:.270,onbase:.325,slugging:.410,ops:erc">.410,ops+:lugging">.735,bases:187,double_plays:7,hit_by_pitch:1,sac_hits:8,sac_flies:4,intentional_walks:2
pos:LF,name:Lonnie Smith,age:33,games:134,plate_appearances:577,at_bats:482,runs:89,hits:152,doubles:34,triples:4,home_runs:21,runs_batted_in:79,stolen_bases:25,caught_stealing:12,walks:76,strikeouts:95,batting_avg:.315,onbase:.415,slugging:.533,ops:erc">.533,ops+:lugging">.948,bases:257,double_plays:7,hit_by_pitch:11,sac_hits:1,sac_flies:7,intentional_walks:3
pos:CF,name:Dale Murphy,age:33,games:154,plate_appearances:647,at_bats:574,runs:60,hits:131,doubles:16,triples:0,home_runs:20,runs_batted_in:84,stolen_bases:3,caught_stealing:2,walks:65,strikeouts:142,batting_avg:.228,onbase:.306,slugging:.361,ops:erc">.361,ops+:lugging">.667,bases:207,double_plays:14,hit_by_pitch:2,sac_hits:0,sac_flies:6,intentional_walks:10
pos:RF,name:Tommy Gregg,age:25,games:102,plate_appearances:298,at_bats:276,runs:24,hits:67,doubles:8,triples:0,home_runs:6,runs_batted_in:23,stolen_bases:3,caught_stealing:4,walks:18,strikeouts:45,batting_avg:.243,onbase:.288,slugging:.337,ops:erc">.337,ops+:lugging">.625,bases:93,double_plays:4,hit_by_pitch:0,sac_hits:3,sac_flies:1,intentional_walks:2
pos:CI,name:Darrell Evans,age:42,games:107,plate_appearances:323,at_bats:276,runs:31,hits:57,doubles:6,triples:1,home_runs:11,runs_batted_in:39,stolen_bases:0,caught_stealing:1,walks:41,strikeouts:46,batting_avg:.207,onbase:.303,slugging:.355,ops:erc">.355,ops+:lugging">.658,bases:98,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:6,intentional_walks:6
pos:CF,name:Oddibe McDowell,age:26,games:76,plate_appearances:308,at_bats:280,runs:56,hits:85,doubles:18,triples:4,home_runs:7,runs_batted_in:24,stolen_bases:15,caught_stealing:10,walks:27,strikeouts:37,batting_avg:.304,onbase:.365,slugging:.471,ops:erc">.471,ops+:lugging">.836,bases:132,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:3
pos:3B,name:Ron Gant,age:24,games:75,plate_appearances:285,at_bats:260,runs:26,hits:46,doubles:8,triples:3,home_runs:9,runs_batted_in:25,stolen_bases:9,caught_stealing:6,walks:20,strikeouts:63,batting_avg:.177,onbase:.237,slugging:.335,ops:erc">.335,ops+:lugging">.571,bases:87,double_plays:0,hit_by_pitch:1,sac_hits:2,sac_flies:2,intentional_walks:0
pos:OF,name:Dion James,age:26,games:63,plate_appearances:200,at_bats:170,runs:15,hits:44,doubles:7,triples:0,home_runs:1,runs_batted_in:11,stolen_bases:1,caught_stealing:3,walks:25,strikeouts:23,batting_avg:.259,onbase:.355,slugging:.318,ops:erc">.318,ops+:lugging">.673,bases:54,double_plays:4,hit_by_pitch:1,sac_hits:3,sac_flies:1,intentional_walks:2
pos:C,name:Bruce Benedict,age:33,games:66,plate_appearances:186,at_bats:160,runs:12,hits:31,doubles:3,triples:0,home_runs:1,runs_batted_in:6,stolen_bases:0,caught_stealing:0,walks:23,strikeouts:18,batting_avg:.194,onbase:.299,slugging:.231,ops:erc">.231,ops+:lugging">.530,bases:37,double_plays:1,hit_by_pitch:1,sac_hits:2,sac_flies:0,intentional_walks:4
pos:C,name:John Russell,age:28,games:74,plate_appearances:169,at_bats:159,runs:14,hits:29,doubles:2,triples:0,home_runs:2,runs_batted_in:9,stolen_bases:0,caught_stealing:0,walks:8,strikeouts:53,batting_avg:.182,onbase:.225,slugging:.233,ops:erc">.233,ops+:lugging">.458,bases:37,double_plays:4,hit_by_pitch:1,sac_hits:0,sac_flies:1,intentional_walks:1
pos:RF,name:Geronimo Berroa,age:24,games:81,plate_appearances:143,at_bats:136,runs:7,hits:36,doubles:4,triples:0,home_runs:2,runs_batted_in:9,stolen_bases:0,caught_stealing:1,walks:7,strikeouts:32,batting_avg:.265,onbase:.301,slugging:.338,ops:erc">.338,ops+:lugging">.639,bases:46,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:1
pos:3B,name:Ed Whited,age:25,games:36,plate_appearances:82,at_bats:74,runs:5,hits:12,doubles:3,triples:0,home_runs:1,runs_batted_in:4,stolen_bases:1,caught_stealing:0,walks:6,strikeouts:15,batting_avg:.162,onbase:.222,slugging:.243,ops:erc">.243,ops+:lugging">.465,bases:18,double_plays:2,hit_by_pitch:0,sac_hits:1,sac_flies:1,intentional_walks:2
pos:2B,name:Mark Lemke,age:23,games:14,plate_appearances:60,at_bats:55,runs:4,hits:10,doubles:2,triples:1,home_runs:2,runs_batted_in:10,stolen_bases:0,caught_stealing:1,walks:5,strikeouts:7,batting_avg:.182,onbase:.250,slugging:.364,ops:erc">.364,ops+:lugging">.614,bases:20,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:RF,name:David Justice,age:23,games:16,plate_appearances:56,at_bats:51,runs:7,hits:12,doubles:3,triples:0,home_runs:1,runs_batted_in:3,stolen_bases:2,caught_stealing:1,walks:3,strikeouts:9,batting_avg:.235,onbase:.291,slugging:.353,ops:erc">.353,ops+:lugging">.644,bases:18,double_plays:1,hit_by_pitch:1,sac_hits:1,sac_flies:0,intentional_walks:1
pos:OF,name:Jeff Wetherby,age:25,games:52,plate_appearances:55,at_bats:48,runs:5,hits:10,doubles:2,triples:1,home_runs:1,runs_batted_in:7,stolen_bases:1,caught_stealing:0,walks:4,strikeouts:6,batting_avg:.208,onbase:.264,slugging:.354,ops:erc">.354,ops+:lugging">.618,bases:17,double_plays:2,hit_by_pitch:0,sac_hits:2,sac_flies:1,intentional_walks:0
pos:1B,name:Drew Denson,age:23,games:12,plate_appearances:39,at_bats:36,runs:1,hits:9,doubles:1,triples:0,home_runs:0,runs_batted_in:5,stolen_bases:1,caught_stealing:0,walks:3,strikeouts:9,batting_avg:.250,onbase:.308,slugging:.278,ops:erc">.278,ops+:lugging">.585,bases:10,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:OF,name:Terry Blocker,age:29,games:26,plate_appearances:32,at_bats:31,runs:1,hits:7,doubles:1,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:1,caught_stealing:0,walks:1,strikeouts:5,batting_avg:.226,onbase:.250,slugging:.258,ops:erc">.258,ops+:lugging">.508,bases:8,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:C,name:John Mizerock,age:28,games:11,plate_appearances:27,at_bats:27,runs:1,hits:6,doubles:0,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:3,batting_avg:.222,onbase:.222,slugging:.222,ops:erc">.222,ops+:lugging">.444,bases:6,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:C,name:Kelly Mann,age:21,games:7,plate_appearances:25,at_bats:24,runs:1,hits:5,doubles:2,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:6,batting_avg:.208,onbase:.240,slugging:.292,ops:erc">.292,ops+:lugging">.532,bases:7,double_plays:1,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:0
pos:IF,name:Ed Romero,age:31,games:7,plate_appearances:19,at_bats:19,runs:1,hits:5,doubles:1,triples:0,home_runs:1,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.263,onbase:.263,slugging:.474,ops:erc">.474,ops+:lugging">.737,bases:9,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:UT,name:Francisco Cabrera,age:22,games:4,plate_appearances:14,at_bats:14,runs:0,hits:3,doubles:2,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:3,batting_avg:.214,onbase:.214,slugging:.357,ops:erc">.357,ops+:lugging">.571,bases:5,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Tom Glavine,age:23,games:30,plate_appearances:76,at_bats:67,runs:6,hits:10,doubles:0,triples:1,home_runs:0,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:5,strikeouts:20,batting_avg:.149,onbase:.208,slugging:.179,ops:erc">.179,ops+:lugging">.387,bases:12,double_plays:0,hit_by_pitch:0,sac_hits:4,sac_flies:0,intentional_walks:0
pos:P,name:John Smoltz,age:22,games:33,plate_appearances:74,at_bats:62,runs:6,hits:7,doubles:1,triples:1,home_runs:1,runs_batted_in:6,stolen_bases:0,caught_stealing:0,walks:6,strikeouts:23,batting_avg:.113,onbase:.191,slugging:.210,ops:erc">.210,ops+:lugging">.401,bases:13,double_plays:0,hit_by_pitch:0,sac_hits:6,sac_flies:0,intentional_walks:0
pos:P,name:Derek Lilliquist,age:23,games:36,plate_appearances:66,at_bats:63,runs:5,hits:12,doubles:1,triples:0,home_runs:0,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:12,batting_avg:.190,onbase:.190,slugging:.206,ops:erc">.206,ops+:lugging">.397,bases:13,double_plays:0,hit_by_pitch:0,sac_hits:3,sac_flies:0,intentional_walks:0
pos:P,name:Pete Smith,age:23,games:29,plate_appearances:50,at_bats:41,runs:2,hits:4,doubles:0,triples:1,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:4,strikeouts:9,batting_avg:.098,onbase:.178,slugging:.146,ops:erc">.146,ops+:lugging">.324,bases:6,double_plays:1,hit_by_pitch:0,sac_hits:5,sac_flies:0,intentional_walks:0
pos:P,name:Marty Clary,age:27,games:18,plate_appearances:39,at_bats:31,runs:3,hits:5,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:7,batting_avg:.161,onbase:.235,slugging:.161,ops:erc">.161,ops+:lugging">.397,bases:5,double_plays:0,hit_by_pitch:0,sac_hits:5,sac_flies:0,intentional_walks:0
pos:P,name:Zane Smith,age:28,games:21,plate_appearances:32,at_bats:28,runs:3,hits:5,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.179,onbase:.179,slugging:.179,ops:erc">.179,ops+:lugging">.357,bases:5,double_plays:0,hit_by_pitch:0,sac_hits:4,sac_flies:0,intentional_walks:0
pos:P,name:Tommy Greene,age:22,games:4,plate_appearances:10,at_bats:10,runs:1,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:3,batting_avg:.100,onbase:.100,slugging:.100,ops:erc">.100,ops+:lugging">.200,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Jim Acker,age:30,games:59,plate_appearances:7,at_bats:7,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.143,onbase:.143,slugging:.143,ops:erc">.143,ops+:lugging">.286,bases:1,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Gary Eave,age:25,games:3,plate_appearances:7,at_bats:6,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:3,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Jose Alvarez,age:33,games:30,plate_appearances:5,at_bats:3,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
pos:P,name:Rusty Richards,age:24,games:2,plate_appearances:4,at_bats:3,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Mark Eichhorn,age:28,games:45,plate_appearances:3,at_bats:2,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Paul Assenmacher,age:28,games:49,plate_appearances:2,at_bats:2,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Charlie Puleo,age:34,games:15,plate_appearances:2,at_bats:1,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Sergio Valdez,age:24,games:19,plate_appearances:1,at_bats:1,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:1.000,onbase:1.000,slugging:1.000,ops:erc">1.000,ops+:lugging">2.000,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Kent Mercker,age:21,games:2,plate_appearances:1,at_bats:1,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Tony Castillo,age:26,games:12,plate_appearances:1,at_bats:1,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Joe Boever,age:28,games:66,plate_appearances:1,at_bats:1,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Jay Aldrich,age:28,games:8,plate_appearances:1,at_bats:1,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Mike Stanton,age:22,games:20,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Dwayne Henry,age:27,games:12,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
