pos:C,name:Javy Lopez,age:27,games:133,plate_appearances:534,at_bats:489,runs:73,hits:139,doubles:21,triples:1,home_runs:34,runs_batted_in:106,stolen_bases:5,caught_stealing:3,walks:30,strikeouts:85,batting_avg:.284,onbase:.328,slugging:.540,ops:erc">.540,ops+:lugging">.868,bases:264,double_plays:22,hit_by_pitch:6,sac_hits:1,sac_flies:8,intentional_walks:1
pos:1B,name:Andres Galarraga,age:37,games:153,plate_appearances:648,at_bats:555,runs:103,hits:169,doubles:27,triples:1,home_runs:44,runs_batted_in:121,stolen_bases:7,caught_stealing:6,walks:63,strikeouts:146,batting_avg:.305,onbase:.397,slugging:.595,ops:erc">.595,ops+:lugging">.991,bases:330,double_plays:8,hit_by_pitch:25,sac_hits:0,sac_flies:5,intentional_walks:11
pos:2B,name:Keith Lockhart,age:33,games:109,plate_appearances:401,at_bats:366,runs:50,hits:94,doubles:21,triples:0,home_runs:9,runs_batted_in:37,stolen_bases:2,caught_stealing:2,walks:29,strikeouts:37,batting_avg:.257,onbase:.311,slugging:.388,ops:erc">.388,ops+:lugging">.699,bases:142,double_plays:2,hit_by_pitch:1,sac_hits:2,sac_flies:3,intentional_walks:0
pos:SS,name:Walt Weiss,age:34,games:96,plate_appearances:424,at_bats:347,runs:64,hits:97,doubles:18,triples:2,home_runs:0,runs_batted_in:27,stolen_bases:7,caught_stealing:1,walks:59,strikeouts:53,batting_avg:.280,onbase:.386,slugging:.343,ops:erc">.343,ops+:lugging">.729,bases:119,double_plays:4,hit_by_pitch:3,sac_hits:12,sac_flies:3,intentional_walks:0
pos:3B,name:Chipper Jones,age:26,games:160,plate_appearances:707,at_bats:601,runs:123,hits:188,doubles:29,triples:5,home_runs:34,runs_batted_in:107,stolen_bases:16,caught_stealing:6,walks:96,strikeouts:93,batting_avg:.313,onbase:.404,slugging:.547,ops:erc">.547,ops+:lugging">.951,bases:329,double_plays:17,hit_by_pitch:1,sac_hits:1,sac_flies:8,intentional_walks:1
pos:LF,name:Ryan Klesko,age:27,games:129,plate_appearances:491,at_bats:427,runs:69,hits:117,doubles:29,triples:1,home_runs:18,runs_batted_in:70,stolen_bases:5,caught_stealing:3,walks:56,strikeouts:66,batting_avg:.274,onbase:.359,slugging:.473,ops:erc">.473,ops+:lugging">.832,bases:202,double_plays:9,hit_by_pitch:3,sac_hits:0,sac_flies:4,intentional_walks:5
pos:CF,name:Andruw Jones,age:21,games:159,plate_appearances:631,at_bats:582,runs:89,hits:158,doubles:33,triples:8,home_runs:31,runs_batted_in:90,stolen_bases:27,caught_stealing:4,walks:40,strikeouts:129,batting_avg:.271,onbase:.321,slugging:.515,ops:erc">.515,ops+:lugging">.836,bases:300,double_plays:10,hit_by_pitch:4,sac_hits:1,sac_flies:4,intentional_walks:8
pos:RF,name:Michael Tucker,age:27,games:130,plate_appearances:469,at_bats:414,runs:54,hits:101,doubles:27,triples:3,home_runs:13,runs_batted_in:46,stolen_bases:8,caught_stealing:3,walks:49,strikeouts:112,batting_avg:.244,onbase:.327,slugging:.418,ops:erc">.418,ops+:lugging">.745,bases:173,double_plays:4,hit_by_pitch:3,sac_hits:1,sac_flies:2,intentional_walks:10
pos:2B,name:Tony Graffanino,age:26,games:105,plate_appearances:317,at_bats:289,runs:32,hits:61,doubles:14,triples:1,home_runs:5,runs_batted_in:22,stolen_bases:1,caught_stealing:4,walks:24,strikeouts:68,batting_avg:.211,onbase:.275,slugging:.318,ops:erc">.318,ops+:lugging">.594,bases:92,double_plays:7,hit_by_pitch:2,sac_hits:1,sac_flies:1,intentional_walks:0
pos:SS,name:Ozzie Guillen,age:34,games:83,plate_appearances:295,at_bats:264,runs:35,hits:73,doubles:15,triples:1,home_runs:1,runs_batted_in:22,stolen_bases:1,caught_stealing:4,walks:24,strikeouts:25,batting_avg:.277,onbase:.337,slugging:.352,ops:erc">.352,ops+:lugging">.689,bases:93,double_plays:2,hit_by_pitch:1,sac_hits:4,sac_flies:2,intentional_walks:0
pos:OF,name:Gerald Williams,age:31,games:129,plate_appearances:289,at_bats:266,runs:46,hits:81,doubles:19,triples:2,home_runs:10,runs_batted_in:44,stolen_bases:11,caught_stealing:5,walks:17,strikeouts:48,batting_avg:.305,onbase:.352,slugging:.504,ops:erc">.504,ops+:lugging">.856,bases:134,double_plays:5,hit_by_pitch:3,sac_hits:2,sac_flies:1,intentional_walks:1
