pos:C,name:Johnny Estrada,age:29,games:105,plate_appearances:383,at_bats:357,runs:31,hits:93,doubles:26,triples:0,home_runs:4,runs_batted_in:39,stolen_bases:0,caught_stealing:0,walks:20,strikeouts:38,batting_avg:.261,onbase:.303,slugging:.367,ops:erc">.367,ops+:lugging">.670,bases:131,double_plays:13,hit_by_pitch:3,sac_hits:0,sac_flies:3,intentional_walks:6
pos:1B,name:Adam LaRoche,age:25,games:141,plate_appearances:502,at_bats:451,runs:53,hits:117,doubles:28,triples:0,home_runs:20,runs_batted_in:78,stolen_bases:0,caught_stealing:2,walks:39,strikeouts:87,batting_avg:.259,onbase:.320,slugging:.455,ops:erc">.455,ops+:lugging">.775,bases:205,double_plays:15,hit_by_pitch:4,sac_hits:2,sac_flies:6,intentional_walks:7
pos:2B,name:Marcus Giles,age:27,games:152,plate_appearances:654,at_bats:577,runs:104,hits:168,doubles:45,triples:4,home_runs:15,runs_batted_in:63,stolen_bases:16,caught_stealing:3,walks:64,strikeouts:108,batting_avg:.291,onbase:.365,slugging:.461,ops:erc">.461,ops+:lugging">.826,bases:266,double_plays:13,hit_by_pitch:5,sac_hits:4,sac_flies:4,intentional_walks:1
pos:SS,name:Rafael Furcal,age:27,games:154,plate_appearances:689,at_bats:616,runs:100,hits:175,doubles:31,triples:11,home_runs:12,runs_batted_in:58,stolen_bases:46,caught_stealing:10,walks:62,strikeouts:78,batting_avg:.284,onbase:.348,slugging:.429,ops:erc">.429,ops+:lugging">.777,bases:264,double_plays:11,hit_by_pitch:1,sac_hits:5,sac_flies:5,intentional_walks:3
pos:3B,name:Chipper Jones,age:33,games:109,plate_appearances:432,at_bats:358,runs:66,hits:106,doubles:30,triples:0,home_runs:21,runs_batted_in:72,stolen_bases:5,caught_stealing:1,walks:72,strikeouts:56,batting_avg:.296,onbase:.412,slugging:.556,ops:erc">.556,ops+:lugging">.968,bases:199,double_plays:9,hit_by_pitch:0,sac_hits:0,sac_flies:2,intentional_walks:5
pos:LF,name:Kelly Johnson,age:23,games:87,plate_appearances:334,at_bats:290,runs:46,hits:70,doubles:12,triples:3,home_runs:9,runs_batted_in:40,stolen_bases:2,caught_stealing:1,walks:40,strikeouts:75,batting_avg:.241,onbase:.334,slugging:.397,ops:erc">.397,ops+:lugging">.731,bases:115,double_plays:11,hit_by_pitch:1,sac_hits:2,sac_flies:1,intentional_walks:1
pos:CF,name:Andruw Jones,age:28,games:160,plate_appearances:672,at_bats:586,runs:95,hits:154,doubles:24,triples:3,home_runs:51,runs_batted_in:128,stolen_bases:5,caught_stealing:3,walks:64,strikeouts:112,batting_avg:.263,onbase:.347,slugging:.575,ops:erc">.575,ops+:lugging">.922,bases:337,double_plays:19,hit_by_pitch:15,sac_hits:0,sac_flies:7,intentional_walks:13
pos:RF,name:Jeff Francoeur,age:21,games:70,plate_appearances:274,at_bats:257,runs:41,hits:77,doubles:20,triples:1,home_runs:14,runs_batted_in:45,stolen_bases:3,caught_stealing:2,walks:11,strikeouts:58,batting_avg:.300,onbase:.336,slugging:.549,ops:erc">.549,ops+:lugging">.884,bases:141,double_plays:4,hit_by_pitch:4,sac_hits:0,sac_flies:2,intentional_walks:3
pos:OF,name:Ryan Langerhans,age:25,games:128,plate_appearances:373,at_bats:326,runs:48,hits:87,doubles:22,triples:3,home_runs:8,runs_batted_in:42,stolen_bases:0,caught_stealing:2,walks:37,strikeouts:75,batting_avg:.267,onbase:.348,slugging:.426,ops:erc">.426,ops+:lugging">.774,bases:139,double_plays:2,hit_by_pitch:5,sac_hits:2,sac_flies:3,intentional_walks:3
pos:IF,name:Wilson Betemit,age:23,games:115,plate_appearances:274,at_bats:246,runs:36,hits:75,doubles:12,triples:4,home_runs:4,runs_batted_in:20,stolen_bases:1,caught_stealing:3,walks:22,strikeouts:55,batting_avg:.305,onbase:.359,slugging:.435,ops:erc">.435,ops+:lugging">.794,bases:107,double_plays:5,hit_by_pitch:0,sac_hits:4,sac_flies:2,intentional_walks:4
pos:1B,name:Julio Franco,age:46,games:108,plate_appearances:265,at_bats:233,runs:30,hits:64,doubles:12,triples:1,home_runs:9,runs_batted_in:42,stolen_bases:4,caught_stealing:0,walks:27,strikeouts:57,batting_avg:.275,onbase:.348,slugging:.451,ops:erc">.451,ops+:lugging">.799,bases:105,double_plays:10,hit_by_pitch:1,sac_hits:1,sac_flies:3,intentional_walks:1
