pos:C,name:A.J. Pierzynski,age:38,games:113,plate_appearances:436,at_bats:407,runs:38,hits:122,doubles:24,triples:1,home_runs:9,runs_batted_in:49,stolen_bases:0,caught_stealing:2,walks:19,strikeouts:37,batting_avg:.300,onbase:.339,slugging:.430,ops:erc">.430,ops+:lugging">.769,bases:175,double_plays:19,hit_by_pitch:7,sac_hits:0,sac_flies:3,intentional_walks:2
pos:1B,name:Freddie Freeman,age:25,games:118,plate_appearances:481,at_bats:416,runs:62,hits:115,doubles:27,triples:0,home_runs:18,runs_batted_in:66,stolen_bases:3,caught_stealing:1,walks:56,strikeouts:98,batting_avg:.276,onbase:.370,slugging:.471,ops:erc">.471,ops+:lugging">.841,bases:196,double_plays:6,hit_by_pitch:7,sac_hits:0,sac_flies:2,intentional_walks:4
pos:2B,name:Jace Peterson,age:25,games:152,plate_appearances:597,at_bats:528,runs:55,hits:126,doubles:23,triples:5,home_runs:6,runs_batted_in:52,stolen_bases:12,caught_stealing:10,walks:56,strikeouts:120,batting_avg:.239,onbase:.314,slugging:.335,ops:erc">.335,ops+:lugging">.649,bases:177,double_plays:5,hit_by_pitch:3,sac_hits:7,sac_flies:3,intentional_walks:4
pos:SS,name:Andrelton Simmons,age:25,games:147,plate_appearances:583,at_bats:535,runs:60,hits:142,doubles:23,triples:2,home_runs:4,runs_batted_in:44,stolen_bases:5,caught_stealing:3,walks:39,strikeouts:48,batting_avg:.265,onbase:.321,slugging:.338,ops:erc">.338,ops+:lugging">.660,bases:181,double_plays:19,hit_by_pitch:6,sac_hits:1,sac_flies:2,intentional_walks:6
pos:3B,name:Adonis Garcia,age:30,games:58,plate_appearances:198,at_bats:191,runs:20,hits:53,doubles:12,triples:0,home_runs:10,runs_batted_in:26,stolen_bases:0,caught_stealing:0,walks:5,strikeouts:35,batting_avg:.277,onbase:.293,slugging:.497,ops:erc">.497,ops+:lugging">.790,bases:95,double_plays:9,hit_by_pitch:0,sac_hits:0,sac_flies:2,intentional_walks:0
pos:LF,name:Jonny Gomes,age:34,games:83,plate_appearances:228,at_bats:195,runs:27,hits:43,doubles:7,triples:0,home_runs:7,runs_batted_in:22,stolen_bases:1,caught_stealing:1,walks:28,strikeouts:67,batting_avg:.221,onbase:.325,slugging:.364,ops:erc">.364,ops+:lugging">.689,bases:71,double_plays:5,hit_by_pitch:3,sac_hits:0,sac_flies:2,intentional_walks:1
pos:CF,name:Cameron Maybin,age:28,games:141,plate_appearances:555,at_bats:505,runs:65,hits:135,doubles:18,triples:2,home_runs:10,runs_batted_in:59,stolen_bases:23,caught_stealing:6,walks:45,strikeouts:102,batting_avg:.267,onbase:.327,slugging:.370,ops:erc">.370,ops+:lugging">.697,bases:187,double_plays:16,hit_by_pitch:1,sac_hits:1,sac_flies:3,intentional_walks:1
pos:RF,name:Nick Markakis,age:31,games:156,plate_appearances:686,at_bats:612,runs:73,hits:181,doubles:38,triples:1,home_runs:3,runs_batted_in:53,stolen_bases:2,caught_stealing:1,walks:70,strikeouts:83,batting_avg:.296,onbase:.370,slugging:.376,ops:erc">.376,ops+:lugging">.746,bases:230,double_plays:17,hit_by_pitch:3,sac_hits:0,sac_flies:1,intentional_walks:11
pos:UT,name:Kelly Johnson,age:33,games:62,plate_appearances:197,at_bats:182,runs:20,hits:50,doubles:5,triples:0,home_runs:9,runs_batted_in:34,stolen_bases:1,caught_stealing:1,walks:13,strikeouts:43,batting_avg:.275,onbase:.321,slugging:.451,ops:erc">.451,ops+:lugging">.772,bases:82,double_plays:4,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:1
pos:3B,name:Juan Uribe,age:36,games:46,plate_appearances:167,at_bats:151,runs:17,hits:43,doubles:6,triples:0,home_runs:7,runs_batted_in:17,stolen_bases:1,caught_stealing:0,walks:15,strikeouts:37,batting_avg:.285,onbase:.353,slugging:.464,ops:erc">.464,ops+:lugging">.817,bases:70,double_plays:5,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:2
pos:CI,name:Chris Johnson,age:30,games:56,plate_appearances:162,at_bats:153,runs:12,hits:36,doubles:7,triples:0,home_runs:2,runs_batted_in:11,stolen_bases:2,caught_stealing:1,walks:7,strikeouts:49,batting_avg:.235,onbase:.272,slugging:.320,ops:erc">.320,ops+:lugging">.592,bases:49,double_plays:3,hit_by_pitch:1,sac_hits:0,sac_flies:1,intentional_walks:0
