pos:C,name:Tyler Flowers,age:30,games:83,plate_appearances:325,at_bats:281,runs:27,hits:76,doubles:18,triples:0,home_runs:8,runs_batted_in:41,stolen_bases:0,caught_stealing:0,walks:29,strikeouts:91,batting_avg:.270,onbase:.357,slugging:.420,ops:erc">.420,ops+:lugging">.777,bases:118,double_plays:3,hit_by_pitch:11,sac_hits:0,sac_flies:4,intentional_walks:1
pos:1B,name:Freddie Freeman,age:26,games:158,plate_appearances:693,at_bats:589,runs:102,hits:178,doubles:43,triples:6,home_runs:34,runs_batted_in:91,stolen_bases:6,caught_stealing:1,walks:89,strikeouts:171,batting_avg:.302,onbase:.400,slugging:.569,ops:erc">.569,ops+:lugging">.968,bases:335,double_plays:12,hit_by_pitch:10,sac_hits:0,sac_flies:5,intentional_walks:18
pos:2B,name:Jace Peterson,age:26,games:115,plate_appearances:408,at_bats:350,runs:45,hits:89,doubles:16,triples:1,home_runs:7,runs_batted_in:29,stolen_bases:5,caught_stealing:5,walks:52,strikeouts:69,batting_avg:.254,onbase:.350,slugging:.366,ops:erc">.366,ops+:lugging">.715,bases:128,double_plays:9,hit_by_pitch:1,sac_hits:2,sac_flies:3,intentional_walks:2
pos:SS,name:Erick Aybar,age:32,games:97,plate_appearances:368,at_bats:335,runs:27,hits:81,doubles:14,triples:2,home_runs:2,runs_batted_in:26,stolen_bases:3,caught_stealing:5,walks:20,strikeouts:59,batting_avg:.242,onbase:.293,slugging:.313,ops:erc">.313,ops+:lugging">.607,bases:105,double_plays:14,hit_by_pitch:6,sac_hits:3,sac_flies:4,intentional_walks:5
pos:3B,name:Adonis Garcia,age:31,games:134,plate_appearances:563,at_bats:532,runs:65,hits:145,doubles:29,triples:0,home_runs:14,runs_batted_in:65,stolen_bases:3,caught_stealing:2,walks:24,strikeouts:93,batting_avg:.273,onbase:.311,slugging:.406,ops:erc">.406,ops+:lugging">.717,bases:216,double_plays:18,hit_by_pitch:6,sac_hits:0,sac_flies:0,intentional_walks:4
pos:LF,name:Matt Kemp,age:31,games:56,plate_appearances:241,at_bats:214,runs:35,hits:60,doubles:15,triples:0,home_runs:12,runs_batted_in:39,stolen_bases:1,caught_stealing:0,walks:20,strikeouts:56,batting_avg:.280,onbase:.336,slugging:.519,ops:erc">.519,ops+:lugging">.855,bases:111,double_plays:9,hit_by_pitch:1,sac_hits:0,sac_flies:6,intentional_walks:3
pos:CF,name:Ender Inciarte,age:25,games:131,plate_appearances:578,at_bats:522,runs:85,hits:152,doubles:24,triples:7,home_runs:3,runs_batted_in:29,stolen_bases:16,caught_stealing:7,walks:45,strikeouts:68,batting_avg:.291,onbase:.351,slugging:.381,ops:erc">.381,ops+:lugging">.732,bases:199,double_plays:8,hit_by_pitch:4,sac_hits:5,sac_flies:2,intentional_walks:5
pos:RF,name:Nick Markakis,age:32,games:158,plate_appearances:684,at_bats:599,runs:67,hits:161,doubles:38,triples:0,home_runs:13,runs_batted_in:89,stolen_bases:0,caught_stealing:2,walks:71,strikeouts:101,batting_avg:.269,onbase:.346,slugging:.397,ops:erc">.397,ops+:lugging">.744,bases:238,double_plays:16,hit_by_pitch:5,sac_hits:0,sac_flies:9,intentional_walks:9
pos:LF,name:Jeff Francoeur,age:32,games:99,plate_appearances:276,at_bats:257,runs:29,hits:64,doubles:13,triples:0,home_runs:7,runs_batted_in:33,stolen_bases:2,caught_stealing:0,walks:16,strikeouts:75,batting_avg:.249,onbase:.290,slugging:.381,ops:erc">.381,ops+:lugging">.671,bases:98,double_plays:4,hit_by_pitch:0,sac_hits:0,sac_flies:3,intentional_walks:2
pos:2B,name:Gordon Beckham,age:29,games:85,plate_appearances:273,at_bats:240,runs:25,hits:52,doubles:16,triples:1,home_runs:5,runs_batted_in:30,stolen_bases:1,caught_stealing:0,walks:26,strikeouts:50,batting_avg:.217,onbase:.300,slugging:.354,ops:erc">.354,ops+:lugging">.655,bases:85,double_plays:12,hit_by_pitch:4,sac_hits:0,sac_flies:3,intentional_walks:1
pos:IF,name:Chase d'Arnaud,age:29,games:84,plate_appearances:262,at_bats:233,runs:24,hits:57,doubles:14,triples:2,home_runs:1,runs_batted_in:21,stolen_bases:9,caught_stealing:3,walks:23,strikeouts:50,batting_avg:.245,onbase:.317,slugging:.335,ops:erc">.335,ops+:lugging">.652,bases:78,double_plays:5,hit_by_pitch:3,sac_hits:0,sac_flies:3,intentional_walks:1
