pos:C,name:Earl Williams,age:24,games:132,plate_appearances:536,at_bats:459,runs:58,hits:109,doubles:18,triples:1,home_runs:22,runs_batted_in:83,stolen_bases:0,caught_stealing:2,walks:66,strikeouts:107,batting_avg:.237,onbase:.333,slugging:.425,ops:erc">.425,ops+:lugging">.758,bases:195,double_plays:13,hit_by_pitch:3,sac_hits:1,sac_flies:7,intentional_walks:8
pos:1B,name:Boog Powell,age:31,games:114,plate_appearances:464,at_bats:370,runs:52,hits:98,doubles:13,triples:1,home_runs:11,runs_batted_in:54,stolen_bases:0,caught_stealing:2,walks:85,strikeouts:64,batting_avg:.265,onbase:.398,slugging:.395,ops:erc">.395,ops+:lugging">.792,bases:146,double_plays:11,hit_by_pitch:0,sac_hits:4,sac_flies:5,intentional_walks:10
pos:2B,name:Bobby Grich,age:24,games:162,plate_appearances:700,at_bats:581,runs:82,hits:146,doubles:29,triples:7,home_runs:12,runs_batted_in:50,stolen_bases:17,caught_stealing:9,walks:107,strikeouts:91,batting_avg:.251,onbase:.373,slugging:.387,ops:erc">.387,ops+:lugging">.760,bases:225,double_plays:7,hit_by_pitch:7,sac_hits:3,sac_flies:2,intentional_walks:3
pos:SS,name:Mark Belanger,age:29,games:154,plate_appearances:544,at_bats:470,runs:60,hits:106,doubles:15,triples:1,home_runs:0,runs_batted_in:27,stolen_bases:13,caught_stealing:6,walks:49,strikeouts:54,batting_avg:.226,onbase:.302,slugging:.262,ops:erc">.262,ops+:lugging">.564,bases:123,double_plays:9,hit_by_pitch:5,sac_hits:15,sac_flies:5,intentional_walks:1
pos:3B,name:Brooks Robinson,age:36,games:155,plate_appearances:619,at_bats:549,runs:53,hits:141,doubles:17,triples:2,home_runs:9,runs_batted_in:72,stolen_bases:2,caught_stealing:0,walks:55,strikeouts:50,batting_avg:.257,onbase:.326,slugging:.344,ops:erc">.344,ops+:lugging">.670,bases:189,double_plays:19,hit_by_pitch:3,sac_hits:8,sac_flies:4,intentional_walks:5
pos:LF,name:Don Baylor,age:24,games:118,plate_appearances:459,at_bats:405,runs:64,hits:116,doubles:20,triples:4,home_runs:11,runs_batted_in:51,stolen_bases:32,caught_stealing:9,walks:35,strikeouts:48,batting_avg:.286,onbase:.357,slugging:.437,ops:erc">.437,ops+:lugging">.794,bases:177,double_plays:11,hit_by_pitch:13,sac_hits:0,sac_flies:6,intentional_walks:3
pos:CF,name:Paul Blair,age:29,games:146,plate_appearances:554,at_bats:500,runs:73,hits:140,doubles:25,triples:3,home_runs:10,runs_batted_in:64,stolen_bases:18,caught_stealing:8,walks:43,strikeouts:72,batting_avg:.280,onbase:.334,slugging:.402,ops:erc">.402,ops+:lugging">.736,bases:201,double_plays:10,hit_by_pitch:0,sac_hits:6,sac_flies:5,intentional_walks:4
pos:RF,name:Merv Rettenmund,age:30,games:95,plate_appearances:390,at_bats:321,runs:59,hits:84,doubles:17,triples:2,home_runs:9,runs_batted_in:44,stolen_bases:11,caught_stealing:2,walks:57,strikeouts:38,batting_avg:.262,onbase:.378,slugging:.411,ops:erc">.411,ops+:lugging">.789,bases:132,double_plays:4,hit_by_pitch:4,sac_hits:6,sac_flies:2,intentional_walks:4
pos:DH,name:Tommy Davis,age:34,games:137,plate_appearances:590,at_bats:552,runs:53,hits:169,doubles:20,triples:3,home_runs:7,runs_batted_in:89,stolen_bases:11,caught_stealing:3,walks:30,strikeouts:56,batting_avg:.306,onbase:.341,slugging:.391,ops:erc">.391,ops+:lugging">.732,bases:216,double_plays:15,hit_by_pitch:1,sac_hits:3,sac_flies:4,intentional_walks:3
pos:OF,name:Rich Coggins,age:22,games:110,plate_appearances:426,at_bats:389,runs:54,hits:124,doubles:19,triples:9,home_runs:7,runs_batted_in:41,stolen_bases:17,caught_stealing:9,walks:28,strikeouts:24,batting_avg:.319,onbase:.363,slugging:.468,ops:erc">.468,ops+:lugging">.831,bases:182,double_plays:7,hit_by_pitch:0,sac_hits:7,sac_flies:2,intentional_walks:2
pos:OF,name:Al Bumbry,age:26,games:110,plate_appearances:395,at_bats:356,runs:73,hits:120,doubles:15,triples:11,home_runs:7,runs_batted_in:34,stolen_bases:23,caught_stealing:10,walks:34,strikeouts:49,batting_avg:.337,onbase:.398,slugging:.500,ops:erc">.500,ops+:lugging">.898,bases:178,double_plays:5,hit_by_pitch:3,sac_hits:1,sac_flies:1,intentional_walks:0
pos:C,name:Andy Etchebarren,age:30,games:54,plate_appearances:168,at_bats:152,runs:16,hits:39,doubles:9,triples:1,home_runs:2,runs_batted_in:23,stolen_bases:1,caught_stealing:1,walks:12,strikeouts:21,batting_avg:.257,onbase:.317,slugging:.368,ops:erc">.368,ops+:lugging">.686,bases:56,double_plays:7,hit_by_pitch:2,sac_hits:1,sac_flies:1,intentional_walks:1
pos:DH,name:Terry Crowley,age:26,games:54,plate_appearances:148,at_bats:131,runs:16,hits:27,doubles:4,triples:0,home_runs:3,runs_batted_in:15,stolen_bases:0,caught_stealing:0,walks:16,strikeouts:14,batting_avg:.206,onbase:.297,slugging:.305,ops:erc">.305,ops+:lugging">.603,bases:40,double_plays:4,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:1
pos:C,name:Elrod Hendricks,age:32,games:41,plate_appearances:114,at_bats:101,runs:9,hits:18,doubles:5,triples:1,home_runs:3,runs_batted_in:15,stolen_bases:0,caught_stealing:0,walks:10,strikeouts:22,batting_avg:.178,onbase:.257,slugging:.337,ops:erc">.337,ops+:lugging">.593,bases:34,double_plays:2,hit_by_pitch:1,sac_hits:1,sac_flies:1,intentional_walks:4
pos:SS,name:Frank Baker,age:26,games:44,plate_appearances:71,at_bats:63,runs:10,hits:12,doubles:1,triples:2,home_runs:1,runs_batted_in:11,stolen_bases:0,caught_stealing:0,walks:7,strikeouts:7,batting_avg:.190,onbase:.268,slugging:.317,ops:erc">.317,ops+:lugging">.585,bases:20,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:1B,name:Enos Cabell,age:23,games:32,plate_appearances:53,at_bats:47,runs:12,hits:10,doubles:2,triples:0,home_runs:1,runs_batted_in:3,stolen_bases:1,caught_stealing:3,walks:3,strikeouts:7,batting_avg:.213,onbase:.250,slugging:.319,ops:erc">.319,ops+:lugging">.569,bases:15,double_plays:1,hit_by_pitch:0,sac_hits:1,sac_flies:2,intentional_walks:0
