pos:C,name:Dave Duncan,age:30,games:93,plate_appearances:314,at_bats:284,runs:20,hits:58,doubles:7,triples:0,home_runs:4,runs_batted_in:17,stolen_bases:0,caught_stealing:0,walks:25,strikeouts:56,batting_avg:.204,onbase:.271,slugging:.271,ops:erc">.271,ops+:lugging">.542,bases:77,double_plays:8,hit_by_pitch:1,sac_hits:4,sac_flies:0,intentional_walks:0
pos:1B,name:Lee May,age:33,games:148,plate_appearances:583,at_bats:530,runs:61,hits:137,doubles:17,triples:4,home_runs:25,runs_batted_in:109,stolen_bases:4,caught_stealing:1,walks:41,strikeouts:104,batting_avg:.258,onbase:.312,slugging:.447,ops:erc">.447,ops+:lugging">.759,bases:237,double_plays:11,hit_by_pitch:3,sac_hits:2,sac_flies:7,intentional_walks:8
pos:2B,name:Bobby Grich,age:27,games:144,plate_appearances:615,at_bats:518,runs:93,hits:138,doubles:31,triples:4,home_runs:13,runs_batted_in:54,stolen_bases:14,caught_stealing:6,walks:86,strikeouts:99,batting_avg:.266,onbase:.373,slugging:.417,ops:erc">.417,ops+:lugging">.790,bases:216,double_plays:8,hit_by_pitch:3,sac_hits:7,sac_flies:1,intentional_walks:1
pos:SS,name:Mark Belanger,age:32,games:153,plate_appearances:589,at_bats:522,runs:66,hits:141,doubles:22,triples:2,home_runs:1,runs_batted_in:40,stolen_bases:27,caught_stealing:17,walks:51,strikeouts:64,batting_avg:.270,onbase:.336,slugging:.326,ops:erc">.326,ops+:lugging">.661,bases:170,double_plays:6,hit_by_pitch:2,sac_hits:11,sac_flies:3,intentional_walks:0
pos:3B,name:Doug DeCinces,age:25,games:129,plate_appearances:475,at_bats:440,runs:36,hits:103,doubles:17,triples:2,home_runs:11,runs_batted_in:42,stolen_bases:8,caught_stealing:4,walks:29,strikeouts:68,batting_avg:.234,onbase:.284,slugging:.357,ops:erc">.357,ops+:lugging">.641,bases:157,double_plays:11,hit_by_pitch:2,sac_hits:3,sac_flies:1,intentional_walks:1
pos:LF,name:Ken Singleton,age:29,games:154,plate_appearances:630,at_bats:544,runs:62,hits:151,doubles:25,triples:2,home_runs:13,runs_batted_in:70,stolen_bases:2,caught_stealing:2,walks:79,strikeouts:76,batting_avg:.278,onbase:.366,slugging:.403,ops:erc">.403,ops+:lugging">.769,bases:219,double_plays:14,hit_by_pitch:0,sac_hits:2,sac_flies:5,intentional_walks:6
pos:CF,name:Paul Blair,age:32,games:145,plate_appearances:413,at_bats:375,runs:29,hits:74,doubles:16,triples:0,home_runs:3,runs_batted_in:16,stolen_bases:15,caught_stealing:6,walks:22,strikeouts:49,batting_avg:.197,onbase:.245,slugging:.264,ops:erc">.264,ops+:lugging">.509,bases:99,double_plays:14,hit_by_pitch:2,sac_hits:13,sac_flies:1,intentional_walks:2
pos:RF,name:Reggie Jackson,age:30,games:134,plate_appearances:558,at_bats:498,runs:84,hits:138,doubles:27,triples:2,home_runs:27,runs_batted_in:91,stolen_bases:28,caught_stealing:7,walks:54,strikeouts:108,batting_avg:.277,onbase:.351,slugging:.502,ops:erc">.502,ops+:lugging">.853,bases:250,double_plays:17,hit_by_pitch:4,sac_hits:0,sac_flies:2,intentional_walks:7
pos:DH,name:Andres Mora,age:21,games:73,plate_appearances:238,at_bats:220,runs:18,hits:48,doubles:11,triples:0,home_runs:6,runs_batted_in:25,stolen_bases:1,caught_stealing:0,walks:13,strikeouts:49,batting_avg:.218,onbase:.258,slugging:.350,ops:erc">.350,ops+:lugging">.608,bases:77,double_plays:4,hit_by_pitch:0,sac_hits:2,sac_flies:3,intentional_walks:0
pos:OF,name:Al Bumbry,age:29,games:133,plate_appearances:499,at_bats:450,runs:71,hits:113,doubles:15,triples:7,home_runs:9,runs_batted_in:36,stolen_bases:42,caught_stealing:10,walks:43,strikeouts:76,batting_avg:.251,onbase:.316,slugging:.376,ops:erc">.376,ops+:lugging">.691,bases:169,double_plays:7,hit_by_pitch:1,sac_hits:2,sac_flies:3,intentional_walks:2
pos:1B,name:Tony Muser,age:28,games:136,plate_appearances:356,at_bats:326,runs:25,hits:74,doubles:7,triples:1,home_runs:1,runs_batted_in:30,stolen_bases:1,caught_stealing:1,walks:21,strikeouts:34,batting_avg:.227,onbase:.270,slugging:.264,ops:erc">.264,ops+:lugging">.534,bases:86,double_plays:9,hit_by_pitch:0,sac_hits:4,sac_flies:5,intentional_walks:4
pos:3B,name:Brooks Robinson,age:39,games:71,plate_appearances:232,at_bats:218,runs:16,hits:46,doubles:8,triples:2,home_runs:3,runs_batted_in:11,stolen_bases:0,caught_stealing:0,walks:8,strikeouts:24,batting_avg:.211,onbase:.240,slugging:.307,ops:erc">.307,ops+:lugging">.548,bases:67,double_plays:5,hit_by_pitch:1,sac_hits:3,sac_flies:2,intentional_walks:0
pos:C,name:Rick Dempsey,age:26,games:59,plate_appearances:192,at_bats:174,runs:11,hits:37,doubles:2,triples:0,home_runs:0,runs_batted_in:10,stolen_bases:1,caught_stealing:1,walks:13,strikeouts:17,batting_avg:.213,onbase:.275,slugging:.224,ops:erc">.224,ops+:lugging">.499,bases:39,double_plays:2,hit_by_pitch:2,sac_hits:3,sac_flies:0,intentional_walks:0
pos:DH,name:Tommy Harper,age:35,games:46,plate_appearances:88,at_bats:77,runs:8,hits:18,doubles:5,triples:0,home_runs:1,runs_batted_in:7,stolen_bases:4,caught_stealing:3,walks:10,strikeouts:16,batting_avg:.234,onbase:.318,slugging:.338,ops:erc">.338,ops+:lugging">.656,bases:26,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:C,name:Elrod Hendricks,age:35,games:28,plate_appearances:86,at_bats:79,runs:2,hits:11,doubles:1,triples:0,home_runs:1,runs_batted_in:4,stolen_bases:0,caught_stealing:1,walks:7,strikeouts:13,batting_avg:.139,onbase:.209,slugging:.190,ops:erc">.190,ops+:lugging">.399,bases:15,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:1
pos:DH,name:Terry Crowley,age:29,games:33,plate_appearances:69,at_bats:61,runs:5,hits:15,doubles:1,triples:0,home_runs:0,runs_batted_in:5,stolen_bases:0,caught_stealing:0,walks:7,strikeouts:11,batting_avg:.246,onbase:.333,slugging:.262,ops:erc">.262,ops+:lugging">.596,bases:16,double_plays:1,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:1
pos:2B,name:Rich Dauer,age:23,games:11,plate_appearances:42,at_bats:39,runs:0,hits:4,doubles:0,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:3,batting_avg:.103,onbase:.143,slugging:.103,ops:erc">.103,ops+:lugging">.245,bases:4,double_plays:0,hit_by_pitch:1,sac_hits:0,sac_flies:1,intentional_walks:0
pos:SS,name:Kiko Garcia,age:22,games:11,plate_appearances:32,at_bats:32,runs:2,hits:7,doubles:1,triples:1,home_runs:1,runs_batted_in:4,stolen_bases:2,caught_stealing:1,walks:0,strikeouts:4,batting_avg:.219,onbase:.219,slugging:.406,ops:erc">.406,ops+:lugging">.625,bases:13,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:MI,name:Tim Nordbrook,age:26,games:27,plate_appearances:25,at_bats:22,runs:4,hits:5,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:5,batting_avg:.227,onbase:.320,slugging:.227,ops:erc">.227,ops+:lugging">.547,bases:5,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:DH,name:Royle Stillman,age:25,games:20,plate_appearances:25,at_bats:22,runs:0,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:4,batting_avg:.091,onbase:.200,slugging:.091,ops:erc">.091,ops+:lugging">.291,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:1
pos:UT,name:Tom Shopay,age:31,games:14,plate_appearances:23,at_bats:20,runs:4,hits:4,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:1,caught_stealing:0,walks:3,strikeouts:3,batting_avg:.200,onbase:.304,slugging:.200,ops:erc">.200,ops+:lugging">.504,bases:4,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:DH,name:Bob Bailor,age:24,games:9,plate_appearances:7,at_bats:6,runs:2,hits:2,doubles:0,triples:1,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:1,walks:0,strikeouts:0,batting_avg:.333,onbase:.333,slugging:.667,ops:erc">.667,ops+:lugging">1.000,bases:4,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Tippy Martinez,age:26,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Doyle Alexander,age:25,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Scott McGregor,age:22,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Mike Flanagan,age:24,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Wayne Garland,age:25,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Dyar Miller,age:30,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Fred Holdsworth,age:24,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Ross Grimsley,age:26,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Rudy May,age:31,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Mike Cuellar,age:39,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Dennis Martinez,age:22,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Grant Jackson,age:33,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Ken Holtzman,age:30,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Jim Palmer,age:30,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Dave Pagan,age:26,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
