pos:C,name:Rick Dempsey,age:31,games:92,plate_appearances:287,at_bats:251,runs:24,hits:54,doubles:10,triples:1,home_runs:6,runs_batted_in:15,stolen_bases:0,caught_stealing:1,walks:32,strikeouts:36,batting_avg:.215,onbase:.306,slugging:.335,ops:erc">.335,ops+:lugging">.641,bases:84,double_plays:5,hit_by_pitch:1,sac_hits:3,sac_flies:0,intentional_walks:1
pos:1B,name:Eddie Murray,age:25,games:99,plate_appearances:422,at_bats:378,runs:57,hits:111,doubles:21,triples:2,home_runs:22,runs_batted_in:78,stolen_bases:2,caught_stealing:3,walks:40,strikeouts:43,batting_avg:.294,onbase:.360,slugging:.534,ops:erc">.534,ops+:lugging">.895,bases:202,double_plays:10,hit_by_pitch:1,sac_hits:0,sac_flies:3,intentional_walks:10
pos:2B,name:Rich Dauer,age:28,games:96,plate_appearances:404,at_bats:369,runs:41,hits:97,doubles:27,triples:0,home_runs:4,runs_batted_in:38,stolen_bases:0,caught_stealing:0,walks:27,strikeouts:18,batting_avg:.263,onbase:.317,slugging:.369,ops:erc">.369,ops+:lugging">.685,bases:136,double_plays:6,hit_by_pitch:3,sac_hits:3,sac_flies:2,intentional_walks:0
pos:SS,name:Mark Belanger,age:37,games:64,plate_appearances:158,at_bats:139,runs:9,hits:23,doubles:3,triples:2,home_runs:1,runs_batted_in:10,stolen_bases:2,caught_stealing:1,walks:12,strikeouts:25,batting_avg:.165,onbase:.242,slugging:.237,ops:erc">.237,ops+:lugging">.479,bases:33,double_plays:4,hit_by_pitch:2,sac_hits:5,sac_flies:0,intentional_walks:0
pos:3B,name:Doug DeCinces,age:30,games:100,plate_appearances:391,at_bats:346,runs:49,hits:91,doubles:23,triples:2,home_runs:13,runs_batted_in:55,stolen_bases:0,caught_stealing:3,walks:41,strikeouts:32,batting_avg:.263,onbase:.341,slugging:.454,ops:erc">.454,ops+:lugging">.795,bases:157,double_plays:12,hit_by_pitch:1,sac_hits:1,sac_flies:2,intentional_walks:2
pos:LF,name:John Lowenstein,age:34,games:83,plate_appearances:213,at_bats:189,runs:19,hits:47,doubles:7,triples:0,home_runs:6,runs_batted_in:20,stolen_bases:7,caught_stealing:6,walks:22,strikeouts:32,batting_avg:.249,onbase:.329,slugging:.381,ops:erc">.381,ops+:lugging">.710,bases:72,double_plays:8,hit_by_pitch:1,sac_hits:0,sac_flies:1,intentional_walks:1
pos:CF,name:Al Bumbry,age:34,games:101,plate_appearances:451,at_bats:392,runs:61,hits:107,doubles:18,triples:2,home_runs:1,runs_batted_in:27,stolen_bases:22,caught_stealing:15,walks:51,strikeouts:51,batting_avg:.273,onbase:.358,slugging:.337,ops:erc">.337,ops+:lugging">.695,bases:132,double_plays:6,hit_by_pitch:2,sac_hits:4,sac_flies:2,intentional_walks:2
pos:RF,name:Ken Singleton,age:34,games:103,plate_appearances:428,at_bats:363,runs:48,hits:101,doubles:16,triples:1,home_runs:13,runs_batted_in:49,stolen_bases:0,caught_stealing:0,walks:61,strikeouts:59,batting_avg:.278,onbase:.380,slugging:.435,ops:erc">.435,ops+:lugging">.816,bases:158,double_plays:21,hit_by_pitch:0,sac_hits:2,sac_flies:2,intentional_walks:6
pos:DH,name:Terry Crowley,age:34,games:68,plate_appearances:166,at_bats:134,runs:12,hits:33,doubles:6,triples:0,home_runs:4,runs_batted_in:25,stolen_bases:0,caught_stealing:0,walks:29,strikeouts:12,batting_avg:.246,onbase:.376,slugging:.381,ops:erc">.381,ops+:lugging">.756,bases:51,double_plays:3,hit_by_pitch:0,sac_hits:1,sac_flies:2,intentional_walks:5
pos:OF,name:Gary Roenicke,age:26,games:85,plate_appearances:252,at_bats:219,runs:31,hits:59,doubles:16,triples:0,home_runs:3,runs_batted_in:20,stolen_bases:1,caught_stealing:2,walks:23,strikeouts:29,batting_avg:.269,onbase:.340,slugging:.384,ops:erc">.384,ops+:lugging">.724,bases:84,double_plays:12,hit_by_pitch:2,sac_hits:5,sac_flies:3,intentional_walks:1
pos:SS,name:Lenn Sakata,age:27,games:61,plate_appearances:164,at_bats:150,runs:19,hits:34,doubles:4,triples:0,home_runs:5,runs_batted_in:15,stolen_bases:4,caught_stealing:0,walks:11,strikeouts:18,batting_avg:.227,onbase:.282,slugging:.353,ops:erc">.353,ops+:lugging">.636,bases:53,double_plays:5,hit_by_pitch:1,sac_hits:1,sac_flies:1,intentional_walks:0
pos:OF,name:Jim Dwyer,age:31,games:68,plate_appearances:157,at_bats:134,runs:16,hits:30,doubles:0,triples:1,home_runs:3,runs_batted_in:10,stolen_bases:0,caught_stealing:2,walks:20,strikeouts:19,batting_avg:.224,onbase:.318,slugging:.306,ops:erc">.306,ops+:lugging">.624,bases:41,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:3,intentional_walks:0
pos:C,name:Dan Graham,age:26,games:55,plate_appearances:156,at_bats:142,runs:7,hits:25,doubles:3,triples:0,home_runs:2,runs_batted_in:11,stolen_bases:0,caught_stealing:0,walks:13,strikeouts:32,batting_avg:.176,onbase:.244,slugging:.239,ops:erc">.239,ops+:lugging">.483,bases:34,double_plays:3,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:1
pos:DH,name:Benny Ayala,age:30,games:44,plate_appearances:100,at_bats:86,runs:12,hits:24,doubles:2,triples:0,home_runs:3,runs_batted_in:13,stolen_bases:0,caught_stealing:1,walks:11,strikeouts:9,batting_avg:.279,onbase:.364,slugging:.407,ops:erc">.407,ops+:lugging">.771,bases:35,double_plays:2,hit_by_pitch:1,sac_hits:1,sac_flies:1,intentional_walks:0
pos:DH,name:Jose Morales,age:36,games:38,plate_appearances:89,at_bats:86,runs:6,hits:21,doubles:3,triples:0,home_runs:2,runs_batted_in:14,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:13,batting_avg:.244,onbase:.270,slugging:.349,ops:erc">.349,ops+:lugging">.619,bases:30,double_plays:6,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:IF,name:Wayne Krenchicki,age:26,games:33,plate_appearances:60,at_bats:56,runs:7,hits:12,doubles:4,triples:0,home_runs:0,runs_batted_in:6,stolen_bases:0,caught_stealing:0,walks:4,strikeouts:9,batting_avg:.214,onbase:.267,slugging:.286,ops:erc">.286,ops+:lugging">.552,bases:16,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:IF,name:Cal Ripken Jr.,age:20,games:23,plate_appearances:40,at_bats:39,runs:1,hits:5,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:8,batting_avg:.128,onbase:.150,slugging:.128,ops:erc">.128,ops+:lugging">.278,bases:5,double_plays:4,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:SS,name:Bobby Bonner,age:24,games:10,plate_appearances:29,at_bats:27,runs:6,hits:8,doubles:2,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:1,caught_stealing:0,walks:1,strikeouts:4,batting_avg:.296,onbase:.310,slugging:.370,ops:erc">.370,ops+:lugging">.681,bases:10,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:OF,name:Mark Corey,age:25,games:10,plate_appearances:10,at_bats:8,runs:2,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:2,batting_avg:.000,onbase:.200,slugging:.000,ops:erc">.000,ops+:lugging">.200,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:C,name:Willie Royster,age:27,games:4,plate_appearances:4,at_bats:4,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:LF,name:Dallas Williams,age:23,games:2,plate_appearances:2,at_bats:2,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.500,onbase:.500,slugging:.500,ops:erc">.500,ops+:lugging">1.000,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:DH,name:John Shelby,age:23,games:7,plate_appearances:2,at_bats:2,runs:2,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:2,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Tippy Martinez,age:31,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Scott McGregor,age:27,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Mike Flanagan,age:29,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Tim Stoddard,age:28,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Mike Boddicker,age:23,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Steve Luebber,age:31,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Steve Stone,age:33,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Dave Ford,age:24,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
