pos:C,name:Rick Dempsey,age:35,games:132,plate_appearances:420,at_bats:362,runs:54,hits:92,doubles:19,triples:0,home_runs:12,runs_batted_in:52,stolen_bases:0,caught_stealing:1,walks:50,strikeouts:87,batting_avg:.254,onbase:.345,slugging:.406,ops:erc">.406,ops+:lugging">.751,bases:147,double_plays:2,hit_by_pitch:1,sac_hits:5,sac_flies:2,intentional_walks:0
pos:1B,name:Eddie Murray,age:29,games:156,plate_appearances:677,at_bats:583,runs:111,hits:173,doubles:37,triples:1,home_runs:31,runs_batted_in:124,stolen_bases:5,caught_stealing:2,walks:84,strikeouts:68,batting_avg:.297,onbase:.383,slugging:.523,ops:erc">.523,ops+:lugging">.906,bases:305,double_plays:8,hit_by_pitch:2,sac_hits:0,sac_flies:8,intentional_walks:12
pos:2B,name:Alan Wiggins,age:27,games:76,plate_appearances:335,at_bats:298,runs:43,hits:85,doubles:11,triples:4,home_runs:0,runs_batted_in:21,stolen_bases:30,caught_stealing:13,walks:29,strikeouts:16,batting_avg:.285,onbase:.353,slugging:.349,ops:erc">.349,ops+:lugging">.702,bases:104,double_plays:2,hit_by_pitch:2,sac_hits:6,sac_flies:0,intentional_walks:0
pos:SS,name:Cal Ripken Jr.,age:24,games:161,plate_appearances:718,at_bats:642,runs:116,hits:181,doubles:32,triples:5,home_runs:26,runs_batted_in:110,stolen_bases:2,caught_stealing:3,walks:67,strikeouts:68,batting_avg:.282,onbase:.347,slugging:.469,ops:erc">.469,ops+:lugging">.816,bases:301,double_plays:32,hit_by_pitch:1,sac_hits:0,sac_flies:8,intentional_walks:1
pos:3B,name:Floyd Rayford,age:27,games:105,plate_appearances:372,at_bats:359,runs:55,hits:110,doubles:21,triples:1,home_runs:18,runs_batted_in:48,stolen_bases:3,caught_stealing:1,walks:10,strikeouts:69,batting_avg:.306,onbase:.324,slugging:.521,ops:erc">.521,ops+:lugging">.845,bases:187,double_plays:10,hit_by_pitch:0,sac_hits:2,sac_flies:1,intentional_walks:0
pos:LF,name:Mike Young,age:25,games:139,plate_appearances:504,at_bats:450,runs:72,hits:123,doubles:22,triples:1,home_runs:28,runs_batted_in:81,stolen_bases:1,caught_stealing:5,walks:48,strikeouts:104,batting_avg:.273,onbase:.348,slugging:.513,ops:erc">.513,ops+:lugging">.861,bases:231,double_plays:9,hit_by_pitch:4,sac_hits:1,sac_flies:1,intentional_walks:5
pos:CF,name:Fred Lynn,age:33,games:124,plate_appearances:508,at_bats:448,runs:59,hits:118,doubles:12,triples:1,home_runs:23,runs_batted_in:68,stolen_bases:7,caught_stealing:3,walks:53,strikeouts:100,batting_avg:.263,onbase:.339,slugging:.449,ops:erc">.449,ops+:lugging">.787,bases:201,double_plays:7,hit_by_pitch:1,sac_hits:0,sac_flies:6,intentional_walks:6
pos:RF,name:Lee Lacy,age:37,games:121,plate_appearances:540,at_bats:492,runs:69,hits:144,doubles:22,triples:4,home_runs:9,runs_batted_in:48,stolen_bases:10,caught_stealing:3,walks:39,strikeouts:95,batting_avg:.293,onbase:.343,slugging:.409,ops:erc">.409,ops+:lugging">.752,bases:201,double_plays:10,hit_by_pitch:2,sac_hits:1,sac_flies:6,intentional_walks:0
pos:DH,name:Larry Sheets,age:25,games:113,plate_appearances:361,at_bats:328,runs:43,hits:86,doubles:8,triples:0,home_runs:17,runs_batted_in:50,stolen_bases:0,caught_stealing:1,walks:28,strikeouts:52,batting_avg:.262,onbase:.323,slugging:.442,ops:erc">.442,ops+:lugging">.765,bases:145,double_plays:15,hit_by_pitch:2,sac_hits:1,sac_flies:1,intentional_walks:2
pos:OF,name:Jim Dwyer,age:35,games:101,plate_appearances:274,at_bats:233,runs:35,hits:58,doubles:8,triples:3,home_runs:7,runs_batted_in:36,stolen_bases:0,caught_stealing:3,walks:37,strikeouts:31,batting_avg:.249,onbase:.353,slugging:.399,ops:erc">.399,ops+:lugging">.752,bases:93,double_plays:5,hit_by_pitch:1,sac_hits:2,sac_flies:1,intentional_walks:2
pos:LF,name:Gary Roenicke,age:30,games:114,plate_appearances:274,at_bats:225,runs:36,hits:49,doubles:9,triples:0,home_runs:15,runs_batted_in:43,stolen_bases:2,caught_stealing:2,walks:44,strikeouts:36,batting_avg:.218,onbase:.342,slugging:.458,ops:erc">.458,ops+:lugging">.800,bases:103,double_plays:5,hit_by_pitch:0,sac_hits:2,sac_flies:3,intentional_walks:1
