pos:C,name:Chris Hoiles,age:31,games:127,plate_appearances:481,at_bats:407,runs:64,hits:105,doubles:13,triples:0,home_runs:25,runs_batted_in:73,stolen_bases:0,caught_stealing:1,walks:57,strikeouts:97,batting_avg:.258,onbase:.356,slugging:.474,ops:erc">.474,ops+:lugging">.830,bases:193,double_plays:7,hit_by_pitch:9,sac_hits:1,sac_flies:7,intentional_walks:1
pos:1B,name:Rafael Palmeiro,age:31,games:162,plate_appearances:732,at_bats:626,runs:110,hits:181,doubles:40,triples:2,home_runs:39,runs_batted_in:142,stolen_bases:8,caught_stealing:0,walks:95,strikeouts:96,batting_avg:.289,onbase:.381,slugging:.546,ops:erc">.546,ops+:lugging">.927,bases:342,double_plays:9,hit_by_pitch:3,sac_hits:0,sac_flies:8,intentional_walks:12
pos:2B,name:Roberto Alomar,age:28,games:153,plate_appearances:699,at_bats:588,runs:132,hits:193,doubles:43,triples:4,home_runs:22,runs_batted_in:94,stolen_bases:17,caught_stealing:6,walks:90,strikeouts:65,batting_avg:.328,onbase:.411,slugging:.527,ops:erc">.527,ops+:lugging">.938,bases:310,double_plays:14,hit_by_pitch:1,sac_hits:8,sac_flies:12,intentional_walks:10
pos:SS,name:Cal Ripken Jr.,age:35,games:163,plate_appearances:707,at_bats:640,runs:94,hits:178,doubles:40,triples:1,home_runs:26,runs_batted_in:102,stolen_bases:1,caught_stealing:2,walks:59,strikeouts:78,batting_avg:.278,onbase:.341,slugging:.466,ops:erc">.466,ops+:lugging">.807,bases:298,double_plays:28,hit_by_pitch:4,sac_hits:0,sac_flies:4,intentional_walks:3
pos:3B,name:B.J. Surhoff,age:31,games:143,plate_appearances:590,at_bats:537,runs:74,hits:157,doubles:27,triples:6,home_runs:21,runs_batted_in:82,stolen_bases:0,caught_stealing:1,walks:47,strikeouts:79,batting_avg:.292,onbase:.352,slugging:.482,ops:erc">.482,ops+:lugging">.834,bases:259,double_plays:7,hit_by_pitch:3,sac_hits:2,sac_flies:1,intentional_walks:8
pos:LF,name:Jeffrey Hammonds,age:25,games:71,plate_appearances:282,at_bats:248,runs:38,hits:56,doubles:10,triples:1,home_runs:9,runs_batted_in:27,stolen_bases:3,caught_stealing:3,walks:23,strikeouts:53,batting_avg:.226,onbase:.301,slugging:.383,ops:erc">.383,ops+:lugging">.684,bases:95,double_plays:7,hit_by_pitch:4,sac_hits:6,sac_flies:1,intentional_walks:1
pos:CF,name:Brady Anderson,age:32,games:149,plate_appearances:687,at_bats:579,runs:117,hits:172,doubles:37,triples:5,home_runs:50,runs_batted_in:110,stolen_bases:21,caught_stealing:8,walks:76,strikeouts:106,batting_avg:.297,onbase:.396,slugging:.637,ops:erc">.637,ops+:lugging">1.034,bases:369,double_plays:11,hit_by_pitch:22,sac_hits:6,sac_flies:4,intentional_walks:1
pos:RF,name:Bobby Bonilla,age:33,games:159,plate_appearances:693,at_bats:595,runs:107,hits:171,doubles:27,triples:5,home_runs:28,runs_batted_in:116,stolen_bases:1,caught_stealing:3,walks:75,strikeouts:85,batting_avg:.287,onbase:.363,slugging:.491,ops:erc">.491,ops+:lugging">.853,bases:292,double_plays:13,hit_by_pitch:5,sac_hits:0,sac_flies:17,intentional_walks:7
pos:DH,name:Eddie Murray,age:40,games:64,plate_appearances:263,at_bats:230,runs:36,hits:59,doubles:12,triples:0,home_runs:10,runs_batted_in:34,stolen_bases:1,caught_stealing:0,walks:27,strikeouts:42,batting_avg:.257,onbase:.327,slugging:.439,ops:erc">.439,ops+:lugging">.766,bases:101,double_plays:6,hit_by_pitch:0,sac_hits:0,sac_flies:6,intentional_walks:4
pos:OF,name:Mike Devereaux,age:33,games:127,plate_appearances:363,at_bats:323,runs:49,hits:74,doubles:11,triples:2,home_runs:8,runs_batted_in:34,stolen_bases:8,caught_stealing:2,walks:34,strikeouts:53,batting_avg:.229,onbase:.305,slugging:.350,ops:erc">.350,ops+:lugging">.655,bases:113,double_plays:8,hit_by_pitch:2,sac_hits:2,sac_flies:2,intentional_walks:0
pos:LF,name:Luis Polonia,age:32,games:58,plate_appearances:187,at_bats:175,runs:25,hits:42,doubles:4,triples:1,home_runs:2,runs_batted_in:14,stolen_bases:8,caught_stealing:6,walks:10,strikeouts:20,batting_avg:.240,onbase:.285,slugging:.309,ops:erc">.309,ops+:lugging">.594,bases:54,double_plays:10,hit_by_pitch:1,sac_hits:1,sac_flies:0,intentional_walks:0
