pos:C,name:Matt Wieters,age:23,games:96,plate_appearances:385,at_bats:354,runs:35,hits:102,doubles:15,triples:1,home_runs:9,runs_batted_in:43,stolen_bases:0,caught_stealing:0,walks:28,strikeouts:86,batting_avg:.288,onbase:.340,slugging:.412,ops:erc">.412,ops+:lugging">.753,bases:146,double_plays:11,hit_by_pitch:1,sac_hits:0,sac_flies:2,intentional_walks:2
pos:1B,name:Aubrey Huff,age:32,games:110,plate_appearances:480,at_bats:430,runs:51,hits:109,doubles:24,triples:1,home_runs:13,runs_batted_in:72,stolen_bases:0,caught_stealing:6,walks:41,strikeouts:74,batting_avg:.253,onbase:.321,slugging:.405,ops:erc">.405,ops+:lugging">.725,bases:174,double_plays:12,hit_by_pitch:4,sac_hits:0,sac_flies:5,intentional_walks:7
pos:2B,name:Brian Roberts,age:31,games:159,plate_appearances:717,at_bats:632,runs:110,hits:179,doubles:56,triples:1,home_runs:16,runs_batted_in:79,stolen_bases:30,caught_stealing:7,walks:74,strikeouts:112,batting_avg:.283,onbase:.356,slugging:.451,ops:erc">.451,ops+:lugging">.807,bases:285,double_plays:7,hit_by_pitch:2,sac_hits:1,sac_flies:8,intentional_walks:3
pos:SS,name:Cesar Izturis,age:29,games:114,plate_appearances:412,at_bats:387,runs:34,hits:99,doubles:14,triples:4,home_runs:2,runs_batted_in:30,stolen_bases:12,caught_stealing:4,walks:18,strikeouts:38,batting_avg:.256,onbase:.294,slugging:.328,ops:erc">.328,ops+:lugging">.622,bases:127,double_plays:11,hit_by_pitch:3,sac_hits:4,sac_flies:0,intentional_walks:0
pos:3B,name:Melvin Mora,age:37,games:125,plate_appearances:496,at_bats:450,runs:44,hits:117,doubles:20,triples:0,home_runs:8,runs_batted_in:48,stolen_bases:3,caught_stealing:3,walks:34,strikeouts:60,batting_avg:.260,onbase:.321,slugging:.358,ops:erc">.358,ops+:lugging">.679,bases:161,double_plays:13,hit_by_pitch:8,sac_hits:1,sac_flies:3,intentional_walks:1
pos:LF,name:Nolan Reimold,age:25,games:104,plate_appearances:411,at_bats:358,runs:49,hits:100,doubles:18,triples:2,home_runs:15,runs_batted_in:45,stolen_bases:8,caught_stealing:2,walks:47,strikeouts:77,batting_avg:.279,onbase:.365,slugging:.466,ops:erc">.466,ops+:lugging">.831,bases:167,double_plays:8,hit_by_pitch:3,sac_hits:0,sac_flies:3,intentional_walks:1
pos:CF,name:Adam Jones,age:23,games:119,plate_appearances:519,at_bats:473,runs:83,hits:131,doubles:22,triples:3,home_runs:19,runs_batted_in:70,stolen_bases:10,caught_stealing:4,walks:36,strikeouts:93,batting_avg:.277,onbase:.335,slugging:.457,ops:erc">.457,ops+:lugging">.792,bases:216,double_plays:13,hit_by_pitch:7,sac_hits:0,sac_flies:3,intentional_walks:3
pos:RF,name:Nick Markakis,age:25,games:161,plate_appearances:711,at_bats:642,runs:94,hits:188,doubles:45,triples:2,home_runs:18,runs_batted_in:101,stolen_bases:6,caught_stealing:2,walks:56,strikeouts:98,batting_avg:.293,onbase:.347,slugging:.453,ops:erc">.453,ops+:lugging">.801,bases:291,double_plays:12,hit_by_pitch:3,sac_hits:0,sac_flies:10,intentional_walks:0
pos:DH,name:Luke Scott,age:31,games:128,plate_appearances:506,at_bats:449,runs:61,hits:116,doubles:26,triples:1,home_runs:25,runs_batted_in:77,stolen_bases:0,caught_stealing:0,walks:55,strikeouts:104,batting_avg:.258,onbase:.340,slugging:.488,ops:erc">.488,ops+:lugging">.828,bases:219,double_plays:4,hit_by_pitch:1,sac_hits:0,sac_flies:1,intentional_walks:5
pos:CI,name:Ty Wigginton,age:31,games:122,plate_appearances:436,at_bats:410,runs:44,hits:112,doubles:19,triples:0,home_runs:11,runs_batted_in:41,stolen_bases:1,caught_stealing:2,walks:23,strikeouts:57,batting_avg:.273,onbase:.314,slugging:.400,ops:erc">.400,ops+:lugging">.714,bases:164,double_plays:16,hit_by_pitch:2,sac_hits:0,sac_flies:1,intentional_walks:1
pos:OF,name:Felix Pie,age:24,games:101,plate_appearances:281,at_bats:252,runs:38,hits:67,doubles:10,triples:3,home_runs:9,runs_batted_in:29,stolen_bases:1,caught_stealing:3,walks:24,strikeouts:58,batting_avg:.266,onbase:.326,slugging:.437,ops:erc">.437,ops+:lugging">.763,bases:110,double_plays:6,hit_by_pitch:0,sac_hits:2,sac_flies:3,intentional_walks:1
