pos:C,name:Carlton Fisk,age:24,games:131,plate_appearances:514,at_bats:457,runs:74,hits:134,doubles:28,triples:9,home_runs:22,runs_batted_in:61,stolen_bases:5,caught_stealing:2,walks:52,strikeouts:83,batting_avg:.293,onbase:.370,slugging:.538,ops:erc">.538,ops+:lugging">.909,bases:246,double_plays:11,hit_by_pitch:4,sac_hits:1,sac_flies:0,intentional_walks:6
pos:1B,name:Danny Cater,age:32,games:92,plate_appearances:343,at_bats:317,runs:32,hits:75,doubles:17,triples:1,home_runs:8,runs_batted_in:39,stolen_bases:0,caught_stealing:1,walks:15,strikeouts:33,batting_avg:.237,onbase:.270,slugging:.372,ops:erc">.372,ops+:lugging">.642,bases:118,double_plays:16,hit_by_pitch:2,sac_hits:1,sac_flies:7,intentional_walks:2
pos:2B,name:Doug Griffin,age:25,games:129,plate_appearances:535,at_bats:470,runs:43,hits:122,doubles:12,triples:1,home_runs:2,runs_batted_in:35,stolen_bases:9,caught_stealing:2,walks:45,strikeouts:48,batting_avg:.260,onbase:.325,slugging:.302,ops:erc">.302,ops+:lugging">.627,bases:142,double_plays:7,hit_by_pitch:2,sac_hits:15,sac_flies:3,intentional_walks:6
pos:SS,name:Luis Aparicio,age:38,games:110,plate_appearances:474,at_bats:436,runs:47,hits:112,doubles:26,triples:3,home_runs:3,runs_batted_in:39,stolen_bases:3,caught_stealing:3,walks:26,strikeouts:28,batting_avg:.257,onbase:.299,slugging:.351,ops:erc">.351,ops+:lugging">.649,bases:153,double_plays:8,hit_by_pitch:2,sac_hits:5,sac_flies:5,intentional_walks:0
pos:3B,name:Rico Petrocelli,age:29,games:147,plate_appearances:607,at_bats:521,runs:62,hits:125,doubles:15,triples:2,home_runs:15,runs_batted_in:75,stolen_bases:0,caught_stealing:1,walks:78,strikeouts:91,batting_avg:.240,onbase:.339,slugging:.363,ops:erc">.363,ops+:lugging">.702,bases:189,double_plays:8,hit_by_pitch:2,sac_hits:2,sac_flies:4,intentional_walks:9
pos:LF,name:Carl Yastrzemski,age:32,games:125,plate_appearances:535,at_bats:455,runs:70,hits:120,doubles:18,triples:2,home_runs:12,runs_batted_in:68,stolen_bases:5,caught_stealing:4,walks:67,strikeouts:44,batting_avg:.264,onbase:.357,slugging:.391,ops:erc">.391,ops+:lugging">.748,bases:178,double_plays:13,hit_by_pitch:4,sac_hits:0,sac_flies:9,intentional_walks:3
pos:CF,name:Tommy Harper,age:31,games:144,plate_appearances:641,at_bats:556,runs:92,hits:141,doubles:29,triples:2,home_runs:14,runs_batted_in:49,stolen_bases:25,caught_stealing:7,walks:67,strikeouts:104,batting_avg:.254,onbase:.341,slugging:.388,ops:erc">.388,ops+:lugging">.730,bases:216,double_plays:4,hit_by_pitch:9,sac_hits:5,sac_flies:4,intentional_walks:1
pos:RF,name:Reggie Smith,age:27,games:131,plate_appearances:543,at_bats:467,runs:75,hits:126,doubles:25,triples:4,home_runs:21,runs_batted_in:74,stolen_bases:15,caught_stealing:4,walks:68,strikeouts:63,batting_avg:.270,onbase:.365,slugging:.475,ops:erc">.475,ops+:lugging">.840,bases:222,double_plays:8,hit_by_pitch:4,sac_hits:0,sac_flies:4,intentional_walks:12
pos:OF,name:Ben Oglivie,age:23,games:94,plate_appearances:273,at_bats:253,runs:27,hits:61,doubles:10,triples:2,home_runs:8,runs_batted_in:30,stolen_bases:1,caught_stealing:1,walks:18,strikeouts:61,batting_avg:.241,onbase:.293,slugging:.391,ops:erc">.391,ops+:lugging">.684,bases:99,double_plays:4,hit_by_pitch:1,sac_hits:0,sac_flies:1,intentional_walks:2
pos:MI,name:John Kennedy,age:31,games:71,plate_appearances:237,at_bats:212,runs:22,hits:52,doubles:11,triples:1,home_runs:2,runs_batted_in:22,stolen_bases:0,caught_stealing:1,walks:18,strikeouts:40,batting_avg:.245,onbase:.311,slugging:.335,ops:erc">.335,ops+:lugging">.646,bases:71,double_plays:3,hit_by_pitch:3,sac_hits:2,sac_flies:2,intentional_walks:4
pos:OF,name:Rick Miller,age:24,games:89,plate_appearances:111,at_bats:98,runs:13,hits:21,doubles:4,triples:1,home_runs:3,runs_batted_in:15,stolen_bases:0,caught_stealing:2,walks:11,strikeouts:27,batting_avg:.214,onbase:.291,slugging:.367,ops:erc">.367,ops+:lugging">.658,bases:36,double_plays:1,hit_by_pitch:0,sac_hits:1,sac_flies:1,intentional_walks:0
pos:SS,name:Juan Beniquez,age:22,games:33,plate_appearances:108,at_bats:99,runs:10,hits:24,doubles:4,triples:1,home_runs:1,runs_batted_in:8,stolen_bases:2,caught_stealing:0,walks:7,strikeouts:11,batting_avg:.242,onbase:.287,slugging:.333,ops:erc">.333,ops+:lugging">.620,bases:33,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:2,intentional_walks:0
pos:UT,name:Phil Gagliano,age:30,games:52,plate_appearances:94,at_bats:82,runs:9,hits:21,doubles:4,triples:1,home_runs:0,runs_batted_in:10,stolen_bases:1,caught_stealing:0,walks:10,strikeouts:13,batting_avg:.256,onbase:.333,slugging:.329,ops:erc">.329,ops+:lugging">.663,bases:27,double_plays:1,hit_by_pitch:0,sac_hits:1,sac_flies:1,intentional_walks:0
pos:UT,name:Duane Josephson,age:30,games:26,plate_appearances:88,at_bats:82,runs:11,hits:22,doubles:4,triples:1,home_runs:1,runs_batted_in:7,stolen_bases:0,caught_stealing:2,walks:4,strikeouts:11,batting_avg:.268,onbase:.310,slugging:.378,ops:erc">.378,ops+:lugging">.688,bases:31,double_plays:5,hit_by_pitch:1,sac_hits:1,sac_flies:0,intentional_walks:0
