pos:C,name:Bob Montgomery,age:30,games:88,plate_appearances:277,at_bats:254,runs:26,hits:64,doubles:10,triples:0,home_runs:4,runs_batted_in:38,stolen_bases:3,caught_stealing:0,walks:13,strikeouts:50,batting_avg:.252,onbase:.287,slugging:.339,ops:erc">.339,ops+:lugging">.625,bases:86,double_plays:9,hit_by_pitch:1,sac_hits:5,sac_flies:4,intentional_walks:1
pos:1B,name:Carl Yastrzemski,age:34,games:148,plate_appearances:633,at_bats:515,runs:93,hits:155,doubles:25,triples:2,home_runs:15,runs_batted_in:79,stolen_bases:12,caught_stealing:7,walks:104,strikeouts:48,batting_avg:.301,onbase:.414,slugging:.445,ops:erc">.445,ops+:lugging">.859,bases:229,double_plays:12,hit_by_pitch:3,sac_hits:0,sac_flies:11,intentional_walks:16
pos:2B,name:Doug Griffin,age:27,games:93,plate_appearances:349,at_bats:312,runs:35,hits:83,doubles:12,triples:4,home_runs:0,runs_batted_in:33,stolen_bases:2,caught_stealing:8,walks:28,strikeouts:21,batting_avg:.266,onbase:.329,slugging:.330,ops:erc">.330,ops+:lugging">.660,bases:103,double_plays:7,hit_by_pitch:2,sac_hits:6,sac_flies:1,intentional_walks:3
pos:SS,name:Mario Guerrero,age:24,games:93,plate_appearances:304,at_bats:284,runs:18,hits:70,doubles:6,triples:2,home_runs:0,runs_batted_in:23,stolen_bases:3,caught_stealing:1,walks:13,strikeouts:22,batting_avg:.246,onbase:.282,slugging:.282,ops:erc">.282,ops+:lugging">.564,bases:80,double_plays:12,hit_by_pitch:2,sac_hits:3,sac_flies:2,intentional_walks:0
pos:3B,name:Rico Petrocelli,age:31,games:129,plate_appearances:509,at_bats:454,runs:53,hits:121,doubles:23,triples:1,home_runs:15,runs_batted_in:76,stolen_bases:1,caught_stealing:0,walks:48,strikeouts:74,batting_avg:.267,onbase:.336,slugging:.421,ops:erc">.421,ops+:lugging">.757,bases:191,double_plays:11,hit_by_pitch:2,sac_hits:0,sac_flies:5,intentional_walks:4
pos:LF,name:Tommy Harper,age:33,games:118,plate_appearances:504,at_bats:443,runs:66,hits:105,doubles:15,triples:3,home_runs:5,runs_batted_in:24,stolen_bases:28,caught_stealing:12,walks:46,strikeouts:65,batting_avg:.237,onbase:.312,slugging:.318,ops:erc">.318,ops+:lugging">.630,bases:141,double_plays:6,hit_by_pitch:3,sac_hits:10,sac_flies:2,intentional_walks:2
pos:CF,name:Juan Beniquez,age:24,games:106,plate_appearances:423,at_bats:389,runs:60,hits:104,doubles:14,triples:3,home_runs:5,runs_batted_in:33,stolen_bases:19,caught_stealing:11,walks:25,strikeouts:61,batting_avg:.267,onbase:.313,slugging:.357,ops:erc">.357,ops+:lugging">.670,bases:139,double_plays:9,hit_by_pitch:1,sac_hits:7,sac_flies:1,intentional_walks:2
pos:RF,name:Dwight Evans,age:22,games:133,plate_appearances:514,at_bats:463,runs:60,hits:130,doubles:19,triples:8,home_runs:10,runs_batted_in:70,stolen_bases:4,caught_stealing:4,walks:38,strikeouts:77,batting_avg:.281,onbase:.335,slugging:.421,ops:erc">.421,ops+:lugging">.756,bases:195,double_plays:9,hit_by_pitch:2,sac_hits:6,sac_flies:5,intentional_walks:2
pos:DH,name:Cecil Cooper,age:24,games:121,plate_appearances:454,at_bats:414,runs:55,hits:114,doubles:24,triples:1,home_runs:8,runs_batted_in:43,stolen_bases:2,caught_stealing:5,walks:32,strikeouts:74,batting_avg:.275,onbase:.327,slugging:.396,ops:erc">.396,ops+:lugging">.724,bases:164,double_plays:3,hit_by_pitch:1,sac_hits:5,sac_flies:2,intentional_walks:3
pos:MI,name:Rick Burleson,age:23,games:114,plate_appearances:415,at_bats:384,runs:36,hits:109,doubles:22,triples:0,home_runs:4,runs_batted_in:44,stolen_bases:3,caught_stealing:3,walks:21,strikeouts:34,batting_avg:.284,onbase:.320,slugging:.372,ops:erc">.372,ops+:lugging">.693,bases:143,double_plays:13,hit_by_pitch:2,sac_hits:3,sac_flies:5,intentional_walks:0
pos:OF,name:Bernie Carbo,age:26,games:117,plate_appearances:402,at_bats:338,runs:40,hits:84,doubles:20,triples:0,home_runs:12,runs_batted_in:61,stolen_bases:4,caught_stealing:3,walks:58,strikeouts:90,batting_avg:.249,onbase:.364,slugging:.414,ops:erc">.414,ops+:lugging">.778,bases:140,double_plays:9,hit_by_pitch:4,sac_hits:1,sac_flies:1,intentional_walks:7
pos:CF,name:Rick Miller,age:26,games:114,plate_appearances:323,at_bats:280,runs:41,hits:73,doubles:8,triples:1,home_runs:5,runs_batted_in:22,stolen_bases:13,caught_stealing:2,walks:37,strikeouts:47,batting_avg:.261,onbase:.347,slugging:.350,ops:erc">.350,ops+:lugging">.697,bases:98,double_plays:4,hit_by_pitch:0,sac_hits:6,sac_flies:0,intentional_walks:2
pos:IF,name:Dick McAuliffe,age:34,games:100,plate_appearances:316,at_bats:272,runs:32,hits:57,doubles:13,triples:1,home_runs:5,runs_batted_in:24,stolen_bases:2,caught_stealing:0,walks:39,strikeouts:40,batting_avg:.210,onbase:.310,slugging:.320,ops:erc">.320,ops+:lugging">.630,bases:87,double_plays:7,hit_by_pitch:1,sac_hits:3,sac_flies:1,intentional_walks:5
pos:C,name:Carlton Fisk,age:26,games:52,plate_appearances:216,at_bats:187,runs:36,hits:56,doubles:12,triples:1,home_runs:11,runs_batted_in:26,stolen_bases:5,caught_stealing:1,walks:24,strikeouts:23,batting_avg:.299,onbase:.383,slugging:.551,ops:erc">.551,ops+:lugging">.934,bases:103,double_plays:5,hit_by_pitch:2,sac_hits:2,sac_flies:1,intentional_walks:2
