pos:C,name:Scott Hatteberg,age:27,games:114,plate_appearances:395,at_bats:350,runs:46,hits:97,doubles:23,triples:1,home_runs:10,runs_batted_in:44,stolen_bases:0,caught_stealing:1,walks:40,strikeouts:70,batting_avg:.277,onbase:.354,slugging:.434,ops:erc">.434,ops+:lugging">.788,bases:152,double_plays:11,hit_by_pitch:2,sac_hits:2,sac_flies:1,intentional_walks:2
pos:1B,name:Mo Vaughn,age:29,games:141,plate_appearances:628,at_bats:527,runs:91,hits:166,doubles:24,triples:0,home_runs:35,runs_batted_in:96,stolen_bases:2,caught_stealing:2,walks:86,strikeouts:154,batting_avg:.315,onbase:.420,slugging:.560,ops:erc">.560,ops+:lugging">.980,bases:295,double_plays:10,hit_by_pitch:12,sac_hits:0,sac_flies:3,intentional_walks:17
pos:2B,name:John Valentin,age:30,games:143,plate_appearances:644,at_bats:575,runs:95,hits:176,doubles:47,triples:5,home_runs:18,runs_batted_in:77,stolen_bases:7,caught_stealing:4,walks:58,strikeouts:66,batting_avg:.306,onbase:.372,slugging:.499,ops:erc">.499,ops+:lugging">.871,bases:287,double_plays:21,hit_by_pitch:5,sac_hits:1,sac_flies:5,intentional_walks:5
pos:SS,name:Nomar Garciaparra,age:23,games:153,plate_appearances:734,at_bats:684,runs:122,hits:209,doubles:44,triples:11,home_runs:30,runs_batted_in:98,stolen_bases:22,caught_stealing:9,walks:35,strikeouts:92,batting_avg:.306,onbase:.342,slugging:.534,ops:erc">.534,ops+:lugging">.875,bases:365,double_plays:9,hit_by_pitch:6,sac_hits:2,sac_flies:7,intentional_walks:2
pos:3B,name:Tim Naehring,age:30,games:70,plate_appearances:301,at_bats:259,runs:38,hits:74,doubles:18,triples:1,home_runs:9,runs_batted_in:40,stolen_bases:1,caught_stealing:1,walks:38,strikeouts:40,batting_avg:.286,onbase:.375,slugging:.467,ops:erc">.467,ops+:lugging">.843,bases:121,double_plays:10,hit_by_pitch:1,sac_hits:0,sac_flies:3,intentional_walks:0
pos:LF,name:Wil Cordero,age:25,games:140,plate_appearances:609,at_bats:570,runs:82,hits:160,doubles:26,triples:3,home_runs:18,runs_batted_in:72,stolen_bases:1,caught_stealing:3,walks:31,strikeouts:122,batting_avg:.281,onbase:.320,slugging:.432,ops:erc">.432,ops+:lugging">.752,bases:246,double_plays:11,hit_by_pitch:4,sac_hits:0,sac_flies:4,intentional_walks:7
pos:CF,name:Darren Bragg,age:27,games:153,plate_appearances:586,at_bats:513,runs:65,hits:132,doubles:35,triples:2,home_runs:9,runs_batted_in:57,stolen_bases:10,caught_stealing:6,walks:61,strikeouts:102,batting_avg:.257,onbase:.337,slugging:.386,ops:erc">.386,ops+:lugging">.723,bases:198,double_plays:16,hit_by_pitch:3,sac_hits:5,sac_flies:4,intentional_walks:5
pos:RF,name:Troy O'Leary,age:27,games:146,plate_appearances:545,at_bats:499,runs:65,hits:154,doubles:32,triples:4,home_runs:15,runs_batted_in:80,stolen_bases:0,caught_stealing:5,walks:39,strikeouts:70,batting_avg:.309,onbase:.358,slugging:.479,ops:erc">.479,ops+:lugging">.837,bases:239,double_plays:13,hit_by_pitch:2,sac_hits:1,sac_flies:4,intentional_walks:7
pos:DH,name:Reggie Jefferson,age:28,games:136,plate_appearances:524,at_bats:489,runs:74,hits:156,doubles:33,triples:1,home_runs:13,runs_batted_in:67,stolen_bases:1,caught_stealing:2,walks:24,strikeouts:93,batting_avg:.319,onbase:.358,slugging:.470,ops:erc">.470,ops+:lugging">.828,bases:230,double_plays:17,hit_by_pitch:7,sac_hits:1,sac_flies:3,intentional_walks:5
pos:2B,name:Jeff Frye,age:30,games:127,plate_appearances:442,at_bats:404,runs:56,hits:126,doubles:36,triples:2,home_runs:3,runs_batted_in:51,stolen_bases:19,caught_stealing:8,walks:27,strikeouts:44,batting_avg:.312,onbase:.352,slugging:.433,ops:erc">.433,ops+:lugging">.785,bases:175,double_plays:12,hit_by_pitch:2,sac_hits:2,sac_flies:7,intentional_walks:1
pos:DH,name:Mike Stanley,age:34,games:97,plate_appearances:312,at_bats:260,runs:45,hits:78,doubles:17,triples:0,home_runs:13,runs_batted_in:53,stolen_bases:0,caught_stealing:1,walks:39,strikeouts:50,batting_avg:.300,onbase:.394,slugging:.515,ops:erc">.515,ops+:lugging">.910,bases:134,double_plays:9,hit_by_pitch:6,sac_hits:0,sac_flies:7,intentional_walks:0
