pos:C,name:Jason Varitek,age:34,games:103,plate_appearances:416,at_bats:365,runs:46,hits:87,doubles:19,triples:2,home_runs:12,runs_batted_in:55,stolen_bases:1,caught_stealing:2,walks:46,strikeouts:87,batting_avg:.238,onbase:.325,slugging:.400,ops:erc">.400,ops+:lugging">.725,bases:146,double_plays:10,hit_by_pitch:2,sac_hits:1,sac_flies:2,intentional_walks:7
pos:1B,name:Kevin Youkilis,age:27,games:147,plate_appearances:680,at_bats:569,runs:100,hits:159,doubles:42,triples:2,home_runs:13,runs_batted_in:72,stolen_bases:5,caught_stealing:2,walks:91,strikeouts:120,batting_avg:.279,onbase:.381,slugging:.429,ops:erc">.429,ops+:lugging">.810,bases:244,double_plays:12,hit_by_pitch:9,sac_hits:0,sac_flies:11,intentional_walks:0
pos:2B,name:Mark Loretta,age:34,games:155,plate_appearances:703,at_bats:635,runs:75,hits:181,doubles:33,triples:0,home_runs:5,runs_batted_in:59,stolen_bases:4,caught_stealing:1,walks:49,strikeouts:63,batting_avg:.285,onbase:.345,slugging:.361,ops:erc">.361,ops+:lugging">.706,bases:229,double_plays:16,hit_by_pitch:12,sac_hits:2,sac_flies:5,intentional_walks:1
pos:SS,name:Alex Gonzalez,age:29,games:111,plate_appearances:429,at_bats:388,runs:48,hits:99,doubles:24,triples:2,home_runs:9,runs_batted_in:50,stolen_bases:1,caught_stealing:0,walks:22,strikeouts:67,batting_avg:.255,onbase:.299,slugging:.397,ops:erc">.397,ops+:lugging">.695,bases:154,double_plays:6,hit_by_pitch:5,sac_hits:7,sac_flies:7,intentional_walks:1
pos:3B,name:Mike Lowell,age:32,games:153,plate_appearances:631,at_bats:573,runs:79,hits:163,doubles:47,triples:1,home_runs:20,runs_batted_in:80,stolen_bases:2,caught_stealing:2,walks:47,strikeouts:61,batting_avg:.284,onbase:.339,slugging:.475,ops:erc">.475,ops+:lugging">.814,bases:272,double_plays:22,hit_by_pitch:4,sac_hits:0,sac_flies:7,intentional_walks:5
pos:LF,name:Manny Ramirez,age:34,games:130,plate_appearances:558,at_bats:449,runs:79,hits:144,doubles:27,triples:1,home_runs:35,runs_batted_in:102,stolen_bases:0,caught_stealing:1,walks:100,strikeouts:102,batting_avg:.321,onbase:.439,slugging:.619,ops:erc">.619,ops+:lugging">1.058,bases:278,double_plays:13,hit_by_pitch:1,sac_hits:0,sac_flies:8,intentional_walks:16
pos:CF,name:Coco Crisp,age:26,games:105,plate_appearances:452,at_bats:413,runs:58,hits:109,doubles:22,triples:2,home_runs:8,runs_batted_in:36,stolen_bases:22,caught_stealing:4,walks:31,strikeouts:67,batting_avg:.264,onbase:.317,slugging:.385,ops:erc">.385,ops+:lugging">.702,bases:159,double_plays:5,hit_by_pitch:1,sac_hits:7,sac_flies:0,intentional_walks:1
pos:RF,name:Trot Nixon,age:32,games:114,plate_appearances:453,at_bats:381,runs:59,hits:102,doubles:24,triples:0,home_runs:8,runs_batted_in:52,stolen_bases:0,caught_stealing:2,walks:60,strikeouts:56,batting_avg:.268,onbase:.373,slugging:.394,ops:erc">.394,ops+:lugging">.767,bases:150,double_plays:10,hit_by_pitch:7,sac_hits:0,sac_flies:5,intentional_walks:1
pos:DH,name:David Ortiz,age:30,games:151,plate_appearances:686,at_bats:558,runs:115,hits:160,doubles:29,triples:2,home_runs:54,runs_batted_in:137,stolen_bases:1,caught_stealing:0,walks:119,strikeouts:117,batting_avg:.287,onbase:.413,slugging:.636,ops:erc">.636,ops+:lugging">1.049,bases:355,double_plays:12,hit_by_pitch:4,sac_hits:0,sac_flies:5,intentional_walks:23
pos:OF,name:Wily Mo Pena,age:24,games:84,plate_appearances:304,at_bats:276,runs:36,hits:83,doubles:15,triples:2,home_runs:11,runs_batted_in:42,stolen_bases:0,caught_stealing:1,walks:20,strikeouts:90,batting_avg:.301,onbase:.349,slugging:.489,ops:erc">.489,ops+:lugging">.838,bases:135,double_plays:7,hit_by_pitch:3,sac_hits:0,sac_flies:5,intentional_walks:0
pos:SS,name:Alex Cora,age:30,games:96,plate_appearances:264,at_bats:235,runs:31,hits:56,doubles:7,triples:2,home_runs:1,runs_batted_in:18,stolen_bases:6,caught_stealing:2,walks:19,strikeouts:29,batting_avg:.238,onbase:.312,slugging:.298,ops:erc">.298,ops+:lugging">.609,bases:70,double_plays:4,hit_by_pitch:6,sac_hits:4,sac_flies:0,intentional_walks:1
