pos:C,name:Jarrod Saltalamacchia,age:27,games:121,plate_appearances:448,at_bats:405,runs:55,hits:90,doubles:17,triples:1,home_runs:25,runs_batted_in:59,stolen_bases:0,caught_stealing:1,walks:38,strikeouts:139,batting_avg:.222,onbase:.288,slugging:.454,ops:erc">.454,ops+:lugging">.742,bases:184,double_plays:5,hit_by_pitch:1,sac_hits:0,sac_flies:4,intentional_walks:0
pos:1B,name:Adrian Gonzalez,age:30,games:123,plate_appearances:527,at_bats:484,runs:63,hits:145,doubles:37,triples:0,home_runs:15,runs_batted_in:86,stolen_bases:0,caught_stealing:0,walks:31,strikeouts:81,batting_avg:.300,onbase:.343,slugging:.469,ops:erc">.469,ops+:lugging">.812,bases:227,double_plays:9,hit_by_pitch:5,sac_hits:0,sac_flies:7,intentional_walks:4
pos:2B,name:Dustin Pedroia,age:28,games:141,plate_appearances:623,at_bats:563,runs:81,hits:163,doubles:39,triples:3,home_runs:15,runs_batted_in:65,stolen_bases:20,caught_stealing:6,walks:48,strikeouts:60,batting_avg:.290,onbase:.347,slugging:.449,ops:erc">.449,ops+:lugging">.797,bases:253,double_plays:9,hit_by_pitch:5,sac_hits:1,sac_flies:6,intentional_walks:3
pos:SS,name:Mike Aviles,age:31,games:136,plate_appearances:546,at_bats:512,runs:57,hits:128,doubles:28,triples:0,home_runs:13,runs_batted_in:60,stolen_bases:14,caught_stealing:6,walks:23,strikeouts:77,batting_avg:.250,onbase:.282,slugging:.381,ops:erc">.381,ops+:lugging">.663,bases:195,double_plays:6,hit_by_pitch:2,sac_hits:3,sac_flies:6,intentional_walks:0
pos:3B,name:Will Middlebrooks,age:23,games:75,plate_appearances:286,at_bats:267,runs:34,hits:77,doubles:14,triples:0,home_runs:15,runs_batted_in:54,stolen_bases:4,caught_stealing:1,walks:13,strikeouts:70,batting_avg:.288,onbase:.325,slugging:.509,ops:erc">.509,ops+:lugging">.835,bases:136,double_plays:8,hit_by_pitch:3,sac_hits:0,sac_flies:3,intentional_walks:0
pos:LF,name:Daniel Nava,age:29,games:88,plate_appearances:317,at_bats:267,runs:38,hits:65,doubles:21,triples:0,home_runs:6,runs_batted_in:33,stolen_bases:3,caught_stealing:0,walks:37,strikeouts:63,batting_avg:.243,onbase:.352,slugging:.390,ops:erc">.390,ops+:lugging">.742,bases:104,double_plays:5,hit_by_pitch:9,sac_hits:2,sac_flies:2,intentional_walks:1
pos:CF,name:Jacoby Ellsbury,age:28,games:74,plate_appearances:323,at_bats:303,runs:43,hits:82,doubles:18,triples:0,home_runs:4,runs_batted_in:26,stolen_bases:14,caught_stealing:3,walks:19,strikeouts:43,batting_avg:.271,onbase:.313,slugging:.370,ops:erc">.370,ops+:lugging">.682,bases:112,double_plays:5,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:RF,name:Cody Ross,age:31,games:130,plate_appearances:528,at_bats:476,runs:70,hits:127,doubles:34,triples:1,home_runs:22,runs_batted_in:81,stolen_bases:2,caught_stealing:3,walks:42,strikeouts:129,batting_avg:.267,onbase:.326,slugging:.481,ops:erc">.481,ops+:lugging">.807,bases:229,double_plays:11,hit_by_pitch:3,sac_hits:1,sac_flies:6,intentional_walks:3
pos:DH,name:David Ortiz,age:36,games:90,plate_appearances:383,at_bats:324,runs:65,hits:103,doubles:26,triples:0,home_runs:23,runs_batted_in:60,stolen_bases:0,caught_stealing:1,walks:56,strikeouts:51,batting_avg:.318,onbase:.415,slugging:.611,ops:erc">.611,ops+:lugging">1.026,bases:198,double_plays:6,hit_by_pitch:0,sac_hits:0,sac_flies:3,intentional_walks:13
pos:3B,name:Pedro Ciriaco,age:26,games:76,plate_appearances:272,at_bats:259,runs:33,hits:76,doubles:15,triples:2,home_runs:2,runs_batted_in:19,stolen_bases:16,caught_stealing:3,walks:8,strikeouts:47,batting_avg:.293,onbase:.315,slugging:.390,ops:erc">.390,ops+:lugging">.705,bases:101,double_plays:2,hit_by_pitch:0,sac_hits:5,sac_flies:0,intentional_walks:2
pos:RF,name:Ryan Sweeney,age:27,games:63,plate_appearances:219,at_bats:204,runs:22,hits:53,doubles:19,triples:2,home_runs:0,runs_batted_in:16,stolen_bases:0,caught_stealing:0,walks:12,strikeouts:43,batting_avg:.260,onbase:.303,slugging:.373,ops:erc">.373,ops+:lugging">.675,bases:76,double_plays:1,hit_by_pitch:1,sac_hits:1,sac_flies:1,intentional_walks:0
pos:OF,name:Scott Podsednik,age:36,games:63,plate_appearances:216,at_bats:199,runs:19,hits:60,doubles:7,triples:0,home_runs:1,runs_batted_in:12,stolen_bases:8,caught_stealing:2,walks:6,strikeouts:35,batting_avg:.302,onbase:.322,slugging:.352,ops:erc">.352,ops+:lugging">.674,bases:70,double_plays:3,hit_by_pitch:1,sac_hits:8,sac_flies:2,intentional_walks:0
pos:C,name:Ryan Lavarnway,age:24,games:46,plate_appearances:166,at_bats:153,runs:11,hits:24,doubles:8,triples:0,home_runs:2,runs_batted_in:12,stolen_bases:0,caught_stealing:0,walks:11,strikeouts:41,batting_avg:.157,onbase:.211,slugging:.248,ops:erc">.248,ops+:lugging">.459,bases:38,double_plays:4,hit_by_pitch:0,sac_hits:0,sac_flies:2,intentional_walks:0
pos:3B,name:Kevin Youkilis,age:33,games:42,plate_appearances:165,at_bats:146,runs:25,hits:34,doubles:7,triples:1,home_runs:4,runs_batted_in:14,stolen_bases:0,caught_stealing:0,walks:14,strikeouts:39,batting_avg:.233,onbase:.315,slugging:.377,ops:erc">.377,ops+:lugging">.692,bases:55,double_plays:4,hit_by_pitch:4,sac_hits:0,sac_flies:1,intentional_walks:0
pos:C,name:Kelly Shoppach,age:32,games:48,plate_appearances:158,at_bats:140,runs:16,hits:35,doubles:12,triples:2,home_runs:5,runs_batted_in:17,stolen_bases:1,caught_stealing:0,walks:11,strikeouts:62,batting_avg:.250,onbase:.327,slugging:.471,ops:erc">.471,ops+:lugging">.798,bases:66,double_plays:2,hit_by_pitch:5,sac_hits:2,sac_flies:0,intentional_walks:1
pos:IF,name:Nick Punto,age:34,games:65,plate_appearances:148,at_bats:125,runs:14,hits:25,doubles:6,triples:0,home_runs:1,runs_batted_in:10,stolen_bases:5,caught_stealing:0,walks:19,strikeouts:33,batting_avg:.200,onbase:.301,slugging:.272,ops:erc">.272,ops+:lugging">.573,bases:34,double_plays:5,hit_by_pitch:0,sac_hits:2,sac_flies:2,intentional_walks:0
pos:LF,name:Carl Crawford,age:30,games:31,plate_appearances:125,at_bats:117,runs:23,hits:33,doubles:10,triples:2,home_runs:3,runs_batted_in:19,stolen_bases:5,caught_stealing:0,walks:3,strikeouts:22,batting_avg:.282,onbase:.306,slugging:.479,ops:erc">.479,ops+:lugging">.785,bases:56,double_plays:1,hit_by_pitch:2,sac_hits:1,sac_flies:2,intentional_walks:0
pos:CI,name:Mauro Gomez,age:27,games:37,plate_appearances:111,at_bats:102,runs:14,hits:28,doubles:5,triples:2,home_runs:2,runs_batted_in:17,stolen_bases:0,caught_stealing:0,walks:8,strikeouts:26,batting_avg:.275,onbase:.324,slugging:.422,ops:erc">.422,ops+:lugging">.746,bases:43,double_plays:4,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:1B,name:James Loney,age:28,games:30,plate_appearances:106,at_bats:100,runs:5,hits:23,doubles:2,triples:0,home_runs:2,runs_batted_in:8,stolen_bases:0,caught_stealing:0,walks:5,strikeouts:12,batting_avg:.230,onbase:.264,slugging:.310,ops:erc">.310,ops+:lugging">.574,bases:31,double_plays:5,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:CF,name:Marlon Byrd,age:34,games:34,plate_appearances:106,at_bats:100,runs:9,hits:27,doubles:2,triples:0,home_runs:1,runs_batted_in:7,stolen_bases:0,caught_stealing:2,walks:2,strikeouts:21,batting_avg:.270,onbase:.286,slugging:.320,ops:erc">.320,ops+:lugging">.606,bases:32,double_plays:1,hit_by_pitch:1,sac_hits:1,sac_flies:2,intentional_walks:0
pos:OF,name:Ryan Kalish,age:24,games:36,plate_appearances:103,at_bats:96,runs:12,hits:22,doubles:3,triples:0,home_runs:0,runs_batted_in:5,stolen_bases:3,caught_stealing:2,walks:6,strikeouts:26,batting_avg:.229,onbase:.272,slugging:.260,ops:erc">.260,ops+:lugging">.532,bases:25,double_plays:4,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:LF,name:Darnell McDonald,age:33,games:38,plate_appearances:99,at_bats:84,runs:17,hits:18,doubles:7,triples:0,home_runs:2,runs_batted_in:9,stolen_bases:1,caught_stealing:1,walks:12,strikeouts:17,batting_avg:.214,onbase:.309,slugging:.369,ops:erc">.369,ops+:lugging">.678,bases:31,double_plays:1,hit_by_pitch:0,sac_hits:2,sac_flies:1,intentional_walks:0
pos:SS,name:Jose Iglesias,age:22,games:25,plate_appearances:77,at_bats:68,runs:5,hits:8,doubles:2,triples:0,home_runs:1,runs_batted_in:2,stolen_bases:1,caught_stealing:0,walks:4,strikeouts:16,batting_avg:.118,onbase:.200,slugging:.191,ops:erc">.191,ops+:lugging">.391,bases:13,double_plays:2,hit_by_pitch:3,sac_hits:2,sac_flies:0,intentional_walks:0
pos:3B,name:Danny Valencia,age:27,games:10,plate_appearances:29,at_bats:28,runs:1,hits:4,doubles:0,triples:0,home_runs:1,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:6,batting_avg:.143,onbase:.138,slugging:.250,ops:erc">.250,ops+:lugging">.388,bases:7,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:UT,name:Brent Lillibridge,age:28,games:10,plate_appearances:16,at_bats:16,runs:0,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:5,batting_avg:.125,onbase:.125,slugging:.125,ops:erc">.125,ops+:lugging">.250,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:OF,name:Che-Hsuan Lin,age:23,games:9,plate_appearances:12,at_bats:12,runs:1,hits:3,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:5,batting_avg:.250,onbase:.250,slugging:.250,ops:erc">.250,ops+:lugging">.500,bases:3,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:CF,name:Jason Repko,age:31,games:5,plate_appearances:11,at_bats:11,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:4,batting_avg:.091,onbase:.091,slugging:.091,ops:erc">.091,ops+:lugging">.182,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:UT,name:Lars Anderson,age:24,games:6,plate_appearances:8,at_bats:8,runs:1,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:3,batting_avg:.125,onbase:.125,slugging:.125,ops:erc">.125,ops+:lugging">.250,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:IF,name:Ivan De Jesus,age:25,games:8,plate_appearances:8,at_bats:8,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:6,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:UT,name:Nate Spears,age:27,games:4,plate_appearances:4,at_bats:4,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:3,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:C,name:Guillermo Quiroz,age:30,games:2,plate_appearances:2,at_bats:2,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Jon Lester,age:28,games:2,plate_appearances:6,at_bats:5,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:3,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:1,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Josh Beckett,age:32,games:2,plate_appearances:5,at_bats:5,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:3,batting_avg:.200,onbase:.200,slugging:.200,ops:erc">.200,ops+:lugging">.400,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Clay Buchholz,age:27,games:1,plate_appearances:3,at_bats:2,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Felix Doubront,age:24,games:1,plate_appearances:2,at_bats:1,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Daisuke Matsuzaka,age:31,games:1,plate_appearances:2,at_bats:2,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Franklin Morales,age:26,games:2,plate_appearances:2,at_bats:2,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.500,onbase:.500,slugging:.500,ops:erc">.500,ops+:lugging">1.000,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Daniel Bard,age:27,games:1,plate_appearances:2,at_bats:2,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Vicente Padilla,age:34,games:5,plate_appearances:1,at_bats:1,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Clayton Mortensen,age:27,games:1,plate_appearances:1,at_bats:1,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Craig Breslow,age:31,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Mark Melancon,age:27,games:3,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Rich Hill,age:32,games:1,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Andrew Miller,age:27,games:2,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Zach Stewart,age:25,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Michael Bowden,age:25,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Andrew Bailey,age:28,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Junichi Tazawa,age:26,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Scott Atchison,age:36,games:3,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Aaron Cook,age:33,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Pedro Beato,age:25,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Justin Thomas,age:28,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Alfredo Aceves,age:29,games:6,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
