pos:C,name:Randy Hundley,age:30,games:114,plate_appearances:387,at_bats:357,runs:23,hits:78,doubles:12,triples:0,home_runs:5,runs_batted_in:30,stolen_bases:1,caught_stealing:0,walks:22,strikeouts:62,batting_avg:.218,onbase:.261,slugging:.294,ops:erc">.294,ops+:lugging">.555,bases:105,double_plays:15,hit_by_pitch:0,sac_hits:4,sac_flies:4,intentional_walks:10
pos:1B,name:Jim Hickman,age:35,games:115,plate_appearances:425,at_bats:368,runs:65,hits:100,doubles:15,triples:2,home_runs:17,runs_batted_in:64,stolen_bases:3,caught_stealing:1,walks:52,strikeouts:64,batting_avg:.272,onbase:.364,slugging:.462,ops:erc">.462,ops+:lugging">.826,bases:170,double_plays:7,hit_by_pitch:2,sac_hits:2,sac_flies:1,intentional_walks:3
pos:2B,name:Glenn Beckert,age:31,games:120,plate_appearances:510,at_bats:474,runs:51,hits:128,doubles:22,triples:2,home_runs:3,runs_batted_in:43,stolen_bases:2,caught_stealing:1,walks:23,strikeouts:17,batting_avg:.270,onbase:.304,slugging:.344,ops:erc">.344,ops+:lugging">.648,bases:163,double_plays:16,hit_by_pitch:2,sac_hits:7,sac_flies:4,intentional_walks:1
pos:SS,name:Don Kessinger,age:29,games:149,plate_appearances:660,at_bats:577,runs:77,hits:158,doubles:20,triples:6,home_runs:1,runs_batted_in:39,stolen_bases:8,caught_stealing:7,walks:67,strikeouts:44,batting_avg:.274,onbase:.351,slugging:.334,ops:erc">.334,ops+:lugging">.685,bases:193,double_plays:11,hit_by_pitch:2,sac_hits:13,sac_flies:1,intentional_walks:8
pos:3B,name:Ron Santo,age:32,games:133,plate_appearances:547,at_bats:464,runs:68,hits:140,doubles:25,triples:5,home_runs:17,runs_batted_in:74,stolen_bases:1,caught_stealing:4,walks:69,strikeouts:75,batting_avg:.302,onbase:.391,slugging:.487,ops:erc">.487,ops+:lugging">.878,bases:226,double_plays:13,hit_by_pitch:4,sac_hits:2,sac_flies:8,intentional_walks:5
pos:LF,name:Billy Williams,age:34,games:150,plate_appearances:650,at_bats:574,runs:95,hits:191,doubles:34,triples:6,home_runs:37,runs_batted_in:122,stolen_bases:3,caught_stealing:1,walks:62,strikeouts:59,batting_avg:.333,onbase:.398,slugging:.606,ops:erc">.606,ops+:lugging">1.005,bases:348,double_plays:14,hit_by_pitch:6,sac_hits:0,sac_flies:8,intentional_walks:20
pos:CF,name:Rick Monday,age:26,games:138,plate_appearances:520,at_bats:434,runs:68,hits:108,doubles:22,triples:5,home_runs:11,runs_batted_in:42,stolen_bases:12,caught_stealing:9,walks:78,strikeouts:102,batting_avg:.249,onbase:.362,slugging:.399,ops:erc">.399,ops+:lugging">.760,bases:173,double_plays:4,hit_by_pitch:1,sac_hits:3,sac_flies:4,intentional_walks:8
pos:RF,name:Jose Cardenal,age:28,games:143,plate_appearances:593,at_bats:533,runs:96,hits:155,doubles:24,triples:6,home_runs:17,runs_batted_in:70,stolen_bases:25,caught_stealing:14,walks:55,strikeouts:58,batting_avg:.291,onbase:.356,slugging:.454,ops:erc">.454,ops+:lugging">.810,bases:242,double_plays:15,hit_by_pitch:1,sac_hits:1,sac_flies:3,intentional_walks:3
pos:CI,name:Carmen Fanzone,age:30,games:86,plate_appearances:264,at_bats:222,runs:26,hits:50,doubles:11,triples:0,home_runs:8,runs_batted_in:42,stolen_bases:2,caught_stealing:3,walks:35,strikeouts:45,batting_avg:.225,onbase:.333,slugging:.383,ops:erc">.383,ops+:lugging">.716,bases:85,double_plays:7,hit_by_pitch:3,sac_hits:0,sac_flies:4,intentional_walks:6
pos:1B,name:Joe Pepitone,age:31,games:66,plate_appearances:233,at_bats:214,runs:23,hits:56,doubles:5,triples:0,home_runs:8,runs_batted_in:21,stolen_bases:1,caught_stealing:2,walks:13,strikeouts:22,batting_avg:.262,onbase:.309,slugging:.397,ops:erc">.397,ops+:lugging">.706,bases:85,double_plays:4,hit_by_pitch:3,sac_hits:0,sac_flies:3,intentional_walks:4
pos:2B,name:Paul Popovich,age:31,games:58,plate_appearances:142,at_bats:129,runs:8,hits:25,doubles:3,triples:2,home_runs:1,runs_batted_in:11,stolen_bases:0,caught_stealing:1,walks:12,strikeouts:8,batting_avg:.194,onbase:.261,slugging:.271,ops:erc">.271,ops+:lugging">.532,bases:35,double_plays:4,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:2
