pos:C,name:George Mitterwald,age:32,games:110,plate_appearances:382,at_bats:349,runs:40,hits:83,doubles:22,triples:0,home_runs:9,runs_batted_in:43,stolen_bases:3,caught_stealing:1,walks:28,strikeouts:69,batting_avg:.238,onbase:.295,slugging:.378,ops:erc">.378,ops+:lugging">.673,bases:132,double_plays:18,hit_by_pitch:1,sac_hits:2,sac_flies:2,intentional_walks:7
pos:1B,name:Bill Buckner,age:27,games:122,plate_appearances:457,at_bats:426,runs:40,hits:121,doubles:27,triples:0,home_runs:11,runs_batted_in:60,stolen_bases:7,caught_stealing:5,walks:21,strikeouts:23,batting_avg:.284,onbase:.314,slugging:.425,ops:erc">.425,ops+:lugging">.739,bases:181,double_plays:16,hit_by_pitch:1,sac_hits:2,sac_flies:7,intentional_walks:2
pos:2B,name:Manny Trillo,age:26,games:152,plate_appearances:565,at_bats:504,runs:51,hits:141,doubles:18,triples:5,home_runs:7,runs_batted_in:57,stolen_bases:3,caught_stealing:5,walks:44,strikeouts:58,batting_avg:.280,onbase:.339,slugging:.377,ops:erc">.377,ops+:lugging">.716,bases:190,double_plays:17,hit_by_pitch:5,sac_hits:4,sac_flies:8,intentional_walks:6
pos:SS,name:Ivan de Jesus,age:24,games:155,plate_appearances:695,at_bats:624,runs:91,hits:166,doubles:31,triples:7,home_runs:3,runs_batted_in:40,stolen_bases:24,caught_stealing:12,walks:56,strikeouts:90,batting_avg:.266,onbase:.328,slugging:.353,ops:erc">.353,ops+:lugging">.681,bases:220,double_plays:8,hit_by_pitch:4,sac_hits:7,sac_flies:4,intentional_walks:4
pos:3B,name:Steve Ontiveros,age:25,games:156,plate_appearances:636,at_bats:546,runs:54,hits:163,doubles:32,triples:3,home_runs:10,runs_batted_in:68,stolen_bases:3,caught_stealing:3,walks:81,strikeouts:69,batting_avg:.299,onbase:.390,slugging:.423,ops:erc">.423,ops+:lugging">.813,bases:231,double_plays:15,hit_by_pitch:3,sac_hits:2,sac_flies:4,intentional_walks:4
pos:LF,name:Jose Cardenal,age:33,games:100,plate_appearances:258,at_bats:226,runs:33,hits:54,doubles:12,triples:1,home_runs:3,runs_batted_in:18,stolen_bases:5,caught_stealing:4,walks:28,strikeouts:30,batting_avg:.239,onbase:.324,slugging:.341,ops:erc">.341,ops+:lugging">.665,bases:77,double_plays:9,hit_by_pitch:1,sac_hits:2,sac_flies:1,intentional_walks:2
pos:CF,name:Jerry Morales,age:28,games:136,plate_appearances:538,at_bats:490,runs:56,hits:142,doubles:34,triples:5,home_runs:11,runs_batted_in:69,stolen_bases:0,caught_stealing:3,walks:43,strikeouts:75,batting_avg:.290,onbase:.348,slugging:.447,ops:erc">.447,ops+:lugging">.795,bases:219,double_plays:10,hit_by_pitch:2,sac_hits:0,sac_flies:3,intentional_walks:4
pos:RF,name:Bobby Murcer,age:31,games:154,plate_appearances:649,at_bats:554,runs:90,hits:147,doubles:18,triples:3,home_runs:27,runs_batted_in:89,stolen_bases:16,caught_stealing:7,walks:80,strikeouts:77,batting_avg:.265,onbase:.355,slugging:.455,ops:erc">.455,ops+:lugging">.810,bases:252,double_plays:6,hit_by_pitch:3,sac_hits:2,sac_flies:10,intentional_walks:13
pos:UT,name:Larry Biittner,age:30,games:138,plate_appearances:532,at_bats:493,runs:74,hits:147,doubles:28,triples:1,home_runs:12,runs_batted_in:62,stolen_bases:2,caught_stealing:1,walks:35,strikeouts:36,batting_avg:.298,onbase:.345,slugging:.432,ops:erc">.432,ops+:lugging">.777,bases:213,double_plays:17,hit_by_pitch:1,sac_hits:1,sac_flies:2,intentional_walks:2
pos:OF,name:Greg Gross,age:24,games:115,plate_appearances:280,at_bats:239,runs:43,hits:77,doubles:10,triples:4,home_runs:5,runs_batted_in:32,stolen_bases:0,caught_stealing:1,walks:33,strikeouts:19,batting_avg:.322,onbase:.397,slugging:.460,ops:erc">.460,ops+:lugging">.857,bases:110,double_plays:6,hit_by_pitch:0,sac_hits:3,sac_flies:5,intentional_walks:4
pos:LF,name:Gene Clines,age:30,games:101,plate_appearances:269,at_bats:239,runs:27,hits:70,doubles:12,triples:2,home_runs:3,runs_batted_in:41,stolen_bases:1,caught_stealing:2,walks:25,strikeouts:25,batting_avg:.293,onbase:.358,slugging:.397,ops:erc">.397,ops+:lugging">.756,bases:95,double_plays:7,hit_by_pitch:1,sac_hits:1,sac_flies:3,intentional_walks:2
