pos:C,name:Jody Davis,age:25,games:130,plate_appearances:466,at_bats:418,runs:41,hits:109,doubles:20,triples:2,home_runs:12,runs_batted_in:52,stolen_bases:0,caught_stealing:1,walks:36,strikeouts:92,batting_avg:.261,onbase:.316,slugging:.404,ops:erc">.404,ops+:lugging">.720,bases:169,double_plays:6,hit_by_pitch:1,sac_hits:4,sac_flies:7,intentional_walks:4
pos:1B,name:Bill Buckner,age:32,games:161,plate_appearances:709,at_bats:657,runs:93,hits:201,doubles:34,triples:5,home_runs:15,runs_batted_in:105,stolen_bases:15,caught_stealing:5,walks:36,strikeouts:26,batting_avg:.306,onbase:.342,slugging:.441,ops:erc">.441,ops+:lugging">.783,bases:290,double_plays:14,hit_by_pitch:5,sac_hits:1,sac_flies:10,intentional_walks:7
pos:2B,name:Bump Wills,age:29,games:128,plate_appearances:477,at_bats:419,runs:64,hits:114,doubles:18,triples:4,home_runs:6,runs_batted_in:38,stolen_bases:35,caught_stealing:10,walks:46,strikeouts:76,batting_avg:.272,onbase:.347,slugging:.377,ops:erc">.377,ops+:lugging">.724,bases:158,double_plays:4,hit_by_pitch:5,sac_hits:2,sac_flies:5,intentional_walks:3
pos:SS,name:Larry Bowa,age:36,games:142,plate_appearances:549,at_bats:499,runs:50,hits:123,doubles:15,triples:7,home_runs:0,runs_batted_in:29,stolen_bases:8,caught_stealing:3,walks:39,strikeouts:38,batting_avg:.246,onbase:.302,slugging:.305,ops:erc">.305,ops+:lugging">.606,bases:152,double_plays:10,hit_by_pitch:1,sac_hits:9,sac_flies:1,intentional_walks:5
pos:3B,name:Ryne Sandberg,age:22,games:156,plate_appearances:687,at_bats:635,runs:103,hits:172,doubles:33,triples:5,home_runs:7,runs_batted_in:54,stolen_bases:32,caught_stealing:12,walks:36,strikeouts:90,batting_avg:.271,onbase:.312,slugging:.372,ops:erc">.372,ops+:lugging">.683,bases:236,double_plays:7,hit_by_pitch:4,sac_hits:7,sac_flies:5,intentional_walks:3
pos:LF,name:Steve Henderson,age:29,games:92,plate_appearances:283,at_bats:257,runs:23,hits:60,doubles:12,triples:4,home_runs:2,runs_batted_in:29,stolen_bases:6,caught_stealing:5,walks:22,strikeouts:64,batting_avg:.233,onbase:.293,slugging:.335,ops:erc">.335,ops+:lugging">.627,bases:86,double_plays:4,hit_by_pitch:0,sac_hits:3,sac_flies:1,intentional_walks:3
pos:CF,name:Gary Woods,age:28,games:117,plate_appearances:270,at_bats:245,runs:28,hits:66,doubles:15,triples:1,home_runs:4,runs_batted_in:30,stolen_bases:3,caught_stealing:3,walks:21,strikeouts:48,batting_avg:.269,onbase:.327,slugging:.388,ops:erc">.388,ops+:lugging">.715,bases:95,double_plays:4,hit_by_pitch:0,sac_hits:4,sac_flies:0,intentional_walks:2
pos:RF,name:Leon Durham,age:24,games:148,plate_appearances:609,at_bats:539,runs:84,hits:168,doubles:33,triples:7,home_runs:22,runs_batted_in:90,stolen_bases:28,caught_stealing:14,walks:66,strikeouts:77,batting_avg:.312,onbase:.388,slugging:.521,ops:erc">.521,ops+:lugging">.909,bases:281,double_plays:11,hit_by_pitch:2,sac_hits:0,sac_flies:2,intentional_walks:14
pos:UT,name:Keith Moreland,age:28,games:138,plate_appearances:532,at_bats:476,runs:50,hits:124,doubles:17,triples:2,home_runs:15,runs_batted_in:68,stolen_bases:0,caught_stealing:6,walks:46,strikeouts:71,batting_avg:.261,onbase:.326,slugging:.399,ops:erc">.399,ops+:lugging">.725,bases:190,double_plays:9,hit_by_pitch:3,sac_hits:1,sac_flies:6,intentional_walks:8
pos:OF,name:Jay Johnstone,age:36,games:98,plate_appearances:313,at_bats:269,runs:39,hits:67,doubles:13,triples:1,home_runs:10,runs_batted_in:43,stolen_bases:0,caught_stealing:2,walks:40,strikeouts:41,batting_avg:.249,onbase:.343,slugging:.416,ops:erc">.416,ops+:lugging">.759,bases:112,double_plays:3,hit_by_pitch:0,sac_hits:1,sac_flies:3,intentional_walks:8
pos:MI,name:Junior Kennedy,age:31,games:105,plate_appearances:271,at_bats:242,runs:22,hits:53,doubles:3,triples:1,home_runs:2,runs_batted_in:25,stolen_bases:1,caught_stealing:4,walks:21,strikeouts:34,batting_avg:.219,onbase:.278,slugging:.264,ops:erc">.264,ops+:lugging">.543,bases:64,double_plays:9,hit_by_pitch:0,sac_hits:5,sac_flies:3,intentional_walks:1
pos:CF,name:Jerry Morales,age:33,games:65,plate_appearances:126,at_bats:116,runs:14,hits:33,doubles:2,triples:2,home_runs:4,runs_batted_in:30,stolen_bases:1,caught_stealing:2,walks:9,strikeouts:7,batting_avg:.284,onbase:.333,slugging:.440,ops:erc">.440,ops+:lugging">.773,bases:51,double_plays:5,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:1
pos:3B,name:Pat Tabler,age:24,games:25,plate_appearances:94,at_bats:85,runs:9,hits:20,doubles:4,triples:2,home_runs:1,runs_batted_in:7,stolen_bases:0,caught_stealing:0,walks:6,strikeouts:20,batting_avg:.235,onbase:.287,slugging:.365,ops:erc">.365,ops+:lugging">.652,bases:31,double_plays:3,hit_by_pitch:1,sac_hits:0,sac_flies:2,intentional_walks:0
pos:CF,name:Mel Hall,age:21,games:24,plate_appearances:88,at_bats:80,runs:6,hits:21,doubles:3,triples:2,home_runs:0,runs_batted_in:4,stolen_bases:0,caught_stealing:1,walks:5,strikeouts:17,batting_avg:.263,onbase:.318,slugging:.350,ops:erc">.350,ops+:lugging">.668,bases:28,double_plays:0,hit_by_pitch:2,sac_hits:0,sac_flies:1,intentional_walks:1
pos:OF,name:Scot Thompson,age:26,games:49,plate_appearances:79,at_bats:74,runs:11,hits:27,doubles:5,triples:1,home_runs:0,runs_batted_in:7,stolen_bases:0,caught_stealing:1,walks:5,strikeouts:4,batting_avg:.365,onbase:.405,slugging:.459,ops:erc">.459,ops+:lugging">.865,bases:34,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:LF,name:Bob Molinaro,age:32,games:65,plate_appearances:72,at_bats:66,runs:6,hits:13,doubles:1,triples:0,home_runs:1,runs_batted_in:12,stolen_bases:1,caught_stealing:1,walks:6,strikeouts:5,batting_avg:.197,onbase:.264,slugging:.258,ops:erc">.258,ops+:lugging">.521,bases:17,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:1
pos:UT,name:Dan Briggs,age:29,games:48,plate_appearances:50,at_bats:48,runs:1,hits:6,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:9,batting_avg:.125,onbase:.143,slugging:.125,ops:erc">.125,ops+:lugging">.268,bases:6,double_plays:1,hit_by_pitch:1,sac_hits:1,sac_flies:0,intentional_walks:0
pos:SS,name:Scott Fletcher,age:23,games:11,plate_appearances:28,at_bats:24,runs:4,hits:4,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:1,caught_stealing:0,walks:4,strikeouts:5,batting_avg:.167,onbase:.286,slugging:.167,ops:erc">.167,ops+:lugging">.452,bases:4,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:UT,name:Ty Waller,age:25,games:17,plate_appearances:24,at_bats:21,runs:4,hits:5,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:5,batting_avg:.238,onbase:.304,slugging:.238,ops:erc">.238,ops+:lugging">.542,bases:5,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:OF,name:Hector Cruz,age:29,games:17,plate_appearances:21,at_bats:19,runs:1,hits:4,doubles:1,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:4,batting_avg:.211,onbase:.286,slugging:.263,ops:erc">.263,ops+:lugging">.549,bases:5,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:C,name:Butch Benton,age:24,games:4,plate_appearances:7,at_bats:7,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.143,onbase:.143,slugging:.143,ops:erc">.143,ops+:lugging">.286,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:C,name:Larry Cox,age:34,games:2,plate_appearances:6,at_bats:4,runs:1,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:1,batting_avg:.000,onbase:.333,slugging:.000,ops:erc">.000,ops+:lugging">.333,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:1
pos:P,name:Fergie Jenkins,age:39,games:34,plate_appearances:80,at_bats:67,runs:2,hits:10,doubles:2,triples:0,home_runs:0,runs_batted_in:6,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:23,batting_avg:.149,onbase:.147,slugging:.179,ops:erc">.179,ops+:lugging">.326,bases:12,double_plays:0,hit_by_pitch:0,sac_hits:12,sac_flies:1,intentional_walks:0
pos:P,name:Dickie Noles,age:25,games:31,plate_appearances:62,at_bats:56,runs:5,hits:6,doubles:3,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:35,batting_avg:.107,onbase:.121,slugging:.161,ops:erc">.161,ops+:lugging">.281,bases:9,double_plays:1,hit_by_pitch:0,sac_hits:4,sac_flies:1,intentional_walks:0
pos:P,name:Doug Bird,age:32,games:35,plate_appearances:60,at_bats:56,runs:0,hits:8,doubles:1,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:20,batting_avg:.143,onbase:.143,slugging:.161,ops:erc">.161,ops+:lugging">.304,bases:9,double_plays:1,hit_by_pitch:0,sac_hits:4,sac_flies:0,intentional_walks:0
pos:P,name:Randy Martz,age:26,games:28,plate_appearances:55,at_bats:42,runs:6,hits:6,doubles:2,triples:0,home_runs:0,runs_batted_in:6,stolen_bases:0,caught_stealing:0,walks:6,strikeouts:17,batting_avg:.143,onbase:.250,slugging:.190,ops:erc">.190,ops+:lugging">.440,bases:8,double_plays:1,hit_by_pitch:0,sac_hits:7,sac_flies:0,intentional_walks:0
pos:P,name:Allen Ripley,age:29,games:28,plate_appearances:40,at_bats:38,runs:3,hits:5,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:10,batting_avg:.132,onbase:.132,slugging:.132,ops:erc">.132,ops+:lugging">.263,bases:5,double_plays:1,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
pos:P,name:Mike Proly,age:31,games:44,plate_appearances:19,at_bats:14,runs:0,hits:4,doubles:1,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.286,onbase:.286,slugging:.357,ops:erc">.357,ops+:lugging">.643,bases:5,double_plays:0,hit_by_pitch:0,sac_hits:5,sac_flies:0,intentional_walks:0
pos:P,name:Lee Smith,age:24,games:72,plate_appearances:18,at_bats:16,runs:2,hits:1,doubles:0,triples:0,home_runs:1,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:9,batting_avg:.063,onbase:.118,slugging:.250,ops:erc">.250,ops+:lugging">.368,bases:4,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Tom Filer,age:25,games:8,plate_appearances:13,at_bats:12,runs:1,hits:1,doubles:1,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:7,batting_avg:.083,onbase:.083,slugging:.167,ops:erc">.167,ops+:lugging">.250,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Dan Larson,age:27,games:12,plate_appearances:11,at_bats:11,runs:2,hits:3,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.273,onbase:.273,slugging:.273,ops:erc">.273,ops+:lugging">.545,bases:3,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Bill Campbell,age:33,games:62,plate_appearances:7,at_bats:7,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:3,batting_avg:.143,onbase:.143,slugging:.143,ops:erc">.143,ops+:lugging">.286,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Dick Tidrow,age:35,games:65,plate_appearances:6,at_bats:6,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:3,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Willie Hernandez,age:27,games:75,plate_appearances:5,at_bats:3,runs:1,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:1,caught_stealing:0,walks:1,strikeouts:3,batting_avg:.000,onbase:.250,slugging:.000,ops:erc">.000,ops+:lugging">.250,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Ken Kravec,age:30,games:13,plate_appearances:4,at_bats:3,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:1,batting_avg:.000,onbase:.250,slugging:.000,ops:erc">.000,ops+:lugging">.250,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Herman Segelke,age:24,games:3,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Randy Stein,age:29,games:6,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
