pos:C,name:Scott Servais,age:28,games:52,plate_appearances:203,at_bats:175,runs:31,hits:50,doubles:12,triples:0,home_runs:12,runs_batted_in:35,stolen_bases:2,caught_stealing:1,walks:23,strikeouts:37,batting_avg:.286,onbase:.371,slugging:.560,ops:erc">.560,ops+:lugging">.931,bases:98,double_plays:5,hit_by_pitch:2,sac_hits:1,sac_flies:2,intentional_walks:6
pos:1B,name:Mark Grace,age:31,games:143,plate_appearances:627,at_bats:552,runs:97,hits:180,doubles:51,triples:3,home_runs:16,runs_batted_in:92,stolen_bases:6,caught_stealing:2,walks:65,strikeouts:46,batting_avg:.326,onbase:.395,slugging:.516,ops:erc">.516,ops+:lugging">.911,bases:285,double_plays:10,hit_by_pitch:2,sac_hits:1,sac_flies:7,intentional_walks:9
pos:2B,name:Rey Sanchez,age:27,games:114,plate_appearances:453,at_bats:428,runs:57,hits:119,doubles:22,triples:2,home_runs:3,runs_batted_in:27,stolen_bases:6,caught_stealing:4,walks:14,strikeouts:48,batting_avg:.278,onbase:.301,slugging:.360,ops:erc">.360,ops+:lugging">.661,bases:154,double_plays:9,hit_by_pitch:1,sac_hits:8,sac_flies:2,intentional_walks:2
pos:SS,name:Shawon Dunston,age:32,games:127,plate_appearances:503,at_bats:477,runs:58,hits:141,doubles:30,triples:6,home_runs:14,runs_batted_in:69,stolen_bases:10,caught_stealing:5,walks:10,strikeouts:75,batting_avg:.296,onbase:.317,slugging:.472,ops:erc">.472,ops+:lugging">.788,bases:225,double_plays:8,hit_by_pitch:6,sac_hits:7,sac_flies:3,intentional_walks:3
pos:3B,name:Todd Zeile,age:29,games:79,plate_appearances:325,at_bats:299,runs:34,hits:68,doubles:16,triples:0,home_runs:9,runs_batted_in:30,stolen_bases:0,caught_stealing:0,walks:16,strikeouts:53,batting_avg:.227,onbase:.271,slugging:.371,ops:erc">.371,ops+:lugging">.642,bases:111,double_plays:11,hit_by_pitch:3,sac_hits:4,sac_flies:3,intentional_walks:0
pos:LF,name:Luis Gonzalez,age:27,games:77,plate_appearances:307,at_bats:262,runs:34,hits:76,doubles:19,triples:4,home_runs:7,runs_batted_in:34,stolen_bases:5,caught_stealing:5,walks:39,strikeouts:33,batting_avg:.290,onbase:.384,slugging:.473,ops:erc">.473,ops+:lugging">.858,bases:124,double_plays:8,hit_by_pitch:3,sac_hits:0,sac_flies:3,intentional_walks:5
pos:CF,name:Brian McRae,age:27,games:137,plate_appearances:638,at_bats:580,runs:92,hits:167,doubles:38,triples:7,home_runs:12,runs_batted_in:48,stolen_bases:27,caught_stealing:8,walks:47,strikeouts:92,batting_avg:.288,onbase:.348,slugging:.440,ops:erc">.440,ops+:lugging">.788,bases:255,double_plays:12,hit_by_pitch:7,sac_hits:3,sac_flies:1,intentional_walks:1
pos:RF,name:Sammy Sosa,age:26,games:144,plate_appearances:629,at_bats:564,runs:89,hits:151,doubles:17,triples:3,home_runs:36,runs_batted_in:119,stolen_bases:34,caught_stealing:7,walks:58,strikeouts:134,batting_avg:.268,onbase:.340,slugging:.500,ops:erc">.500,ops+:lugging">.840,bases:282,double_plays:8,hit_by_pitch:5,sac_hits:0,sac_flies:2,intentional_walks:11
pos:MI,name:Jose Hernandez,age:25,games:93,plate_appearances:268,at_bats:245,runs:37,hits:60,doubles:11,triples:4,home_runs:13,runs_batted_in:40,stolen_bases:1,caught_stealing:0,walks:13,strikeouts:69,batting_avg:.245,onbase:.281,slugging:.482,ops:erc">.482,ops+:lugging">.762,bases:118,double_plays:8,hit_by_pitch:0,sac_hits:8,sac_flies:2,intentional_walks:3
pos:3B,name:Howard Johnson,age:34,games:87,plate_appearances:206,at_bats:169,runs:26,hits:33,doubles:4,triples:1,home_runs:7,runs_batted_in:22,stolen_bases:1,caught_stealing:1,walks:34,strikeouts:46,batting_avg:.195,onbase:.330,slugging:.355,ops:erc">.355,ops+:lugging">.685,bases:60,double_plays:2,hit_by_pitch:1,sac_hits:0,sac_flies:2,intentional_walks:0
pos:C,name:Rick Wilkins,age:28,games:50,plate_appearances:200,at_bats:162,runs:24,hits:31,doubles:2,triples:0,home_runs:6,runs_batted_in:14,stolen_bases:0,caught_stealing:0,walks:36,strikeouts:51,batting_avg:.191,onbase:.340,slugging:.315,ops:erc">.315,ops+:lugging">.655,bases:51,double_plays:8,hit_by_pitch:1,sac_hits:0,sac_flies:1,intentional_walks:1
pos:LF,name:Ozzie Timmons,age:24,games:77,plate_appearances:185,at_bats:171,runs:30,hits:45,doubles:10,triples:1,home_runs:8,runs_batted_in:28,stolen_bases:3,caught_stealing:0,walks:13,strikeouts:32,batting_avg:.263,onbase:.314,slugging:.474,ops:erc">.474,ops+:lugging">.787,bases:81,double_plays:8,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:2
pos:LF,name:Scott Bullett,age:26,games:104,plate_appearances:164,at_bats:150,runs:19,hits:41,doubles:5,triples:7,home_runs:3,runs_batted_in:22,stolen_bases:8,caught_stealing:3,walks:12,strikeouts:30,batting_avg:.273,onbase:.331,slugging:.460,ops:erc">.460,ops+:lugging">.791,bases:69,double_plays:4,hit_by_pitch:1,sac_hits:1,sac_flies:0,intentional_walks:2
pos:3B,name:Steve Buechele,age:33,games:32,plate_appearances:118,at_bats:106,runs:10,hits:20,doubles:2,triples:0,home_runs:1,runs_batted_in:9,stolen_bases:0,caught_stealing:0,walks:11,strikeouts:19,batting_avg:.189,onbase:.265,slugging:.236,ops:erc">.236,ops+:lugging">.501,bases:25,double_plays:1,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:2B,name:Todd Haney,age:29,games:25,plate_appearances:81,at_bats:73,runs:11,hits:30,doubles:8,triples:0,home_runs:2,runs_batted_in:6,stolen_bases:0,caught_stealing:0,walks:7,strikeouts:11,batting_avg:.411,onbase:.463,slugging:.603,ops:erc">.603,ops+:lugging">1.065,bases:44,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:C,name:Todd Pratt,age:28,games:25,plate_appearances:67,at_bats:60,runs:3,hits:8,doubles:2,triples:0,home_runs:0,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:6,strikeouts:21,batting_avg:.133,onbase:.209,slugging:.167,ops:erc">.167,ops+:lugging">.376,bases:10,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:1
pos:C,name:Joe Kmak,age:32,games:19,plate_appearances:61,at_bats:53,runs:7,hits:13,doubles:3,triples:0,home_runs:1,runs_batted_in:6,stolen_bases:0,caught_stealing:0,walks:6,strikeouts:12,batting_avg:.245,onbase:.328,slugging:.358,ops:erc">.358,ops+:lugging">.686,bases:19,double_plays:2,hit_by_pitch:1,sac_hits:0,sac_flies:1,intentional_walks:0
pos:OF,name:Kevin Roberson,age:27,games:32,plate_appearances:45,at_bats:38,runs:5,hits:7,doubles:1,triples:0,home_runs:4,runs_batted_in:6,stolen_bases:0,caught_stealing:1,walks:6,strikeouts:14,batting_avg:.184,onbase:.311,slugging:.526,ops:erc">.526,ops+:lugging">.837,bases:20,double_plays:1,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:0
pos:C,name:Mark Parent,age:33,games:12,plate_appearances:35,at_bats:32,runs:5,hits:8,doubles:2,triples:0,home_runs:3,runs_batted_in:5,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:7,batting_avg:.250,onbase:.314,slugging:.594,ops:erc">.594,ops+:lugging">.908,bases:19,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:C,name:Mike Hubbard,age:24,games:15,plate_appearances:25,at_bats:23,runs:2,hits:4,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:2,batting_avg:.174,onbase:.240,slugging:.174,ops:erc">.174,ops+:lugging">.414,bases:4,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:IF,name:Matt Franco,age:25,games:16,plate_appearances:17,at_bats:17,runs:3,hits:5,doubles:1,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:4,batting_avg:.294,onbase:.294,slugging:.353,ops:erc">.353,ops+:lugging">.647,bases:6,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:LF,name:Tuffy Rhodes,age:26,games:13,plate_appearances:17,at_bats:16,runs:2,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:4,batting_avg:.125,onbase:.118,slugging:.125,ops:erc">.125,ops+:lugging">.243,bases:2,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
