pos:C,name:Damian Miller,age:33,games:114,plate_appearances:400,at_bats:352,runs:34,hits:82,doubles:19,triples:1,home_runs:9,runs_batted_in:36,stolen_bases:1,caught_stealing:0,walks:39,strikeouts:91,batting_avg:.233,onbase:.310,slugging:.369,ops:erc">.369,ops+:lugging">.680,bases:130,double_plays:15,hit_by_pitch:1,sac_hits:7,sac_flies:1,intentional_walks:6
pos:1B,name:Eric Karros,age:35,games:114,plate_appearances:365,at_bats:336,runs:37,hits:96,doubles:16,triples:1,home_runs:12,runs_batted_in:40,stolen_bases:1,caught_stealing:1,walks:28,strikeouts:46,batting_avg:.286,onbase:.340,slugging:.446,ops:erc">.446,ops+:lugging">.786,bases:150,double_plays:14,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:1
pos:2B,name:Mark Grudzielanek,age:33,games:121,plate_appearances:531,at_bats:481,runs:73,hits:151,doubles:38,triples:1,home_runs:3,runs_batted_in:38,stolen_bases:6,caught_stealing:2,walks:30,strikeouts:64,batting_avg:.314,onbase:.366,slugging:.416,ops:erc">.416,ops+:lugging">.782,bases:200,double_plays:12,hit_by_pitch:11,sac_hits:7,sac_flies:2,intentional_walks:0
pos:SS,name:Alex Gonzalez,age:30,games:152,plate_appearances:601,at_bats:536,runs:71,hits:122,doubles:37,triples:0,home_runs:20,runs_batted_in:59,stolen_bases:3,caught_stealing:3,walks:47,strikeouts:123,batting_avg:.228,onbase:.295,slugging:.409,ops:erc">.409,ops+:lugging">.704,bases:219,double_plays:17,hit_by_pitch:6,sac_hits:8,sac_flies:4,intentional_walks:1
pos:3B,name:Aramis Ramirez,age:25,games:63,plate_appearances:255,at_bats:232,runs:31,hits:60,doubles:7,triples:1,home_runs:15,runs_batted_in:39,stolen_bases:1,caught_stealing:1,walks:17,strikeouts:31,batting_avg:.259,onbase:.314,slugging:.491,ops:erc">.491,ops+:lugging">.805,bases:114,double_plays:4,hit_by_pitch:3,sac_hits:0,sac_flies:3,intentional_walks:0
pos:LF,name:Moises Alou,age:36,games:151,plate_appearances:638,at_bats:565,runs:83,hits:158,doubles:35,triples:1,home_runs:22,runs_batted_in:91,stolen_bases:3,caught_stealing:1,walks:63,strikeouts:67,batting_avg:.280,onbase:.357,slugging:.462,ops:erc">.462,ops+:lugging">.819,bases:261,double_plays:16,hit_by_pitch:7,sac_hits:0,sac_flies:3,intentional_walks:7
pos:CF,name:Corey Patterson,age:23,games:83,plate_appearances:347,at_bats:329,runs:49,hits:98,doubles:17,triples:7,home_runs:13,runs_batted_in:55,stolen_bases:16,caught_stealing:5,walks:15,strikeouts:77,batting_avg:.298,onbase:.329,slugging:.511,ops:erc">.511,ops+:lugging">.839,bases:168,double_plays:5,hit_by_pitch:1,sac_hits:0,sac_flies:2,intentional_walks:2
pos:RF,name:Sammy Sosa,age:34,games:137,plate_appearances:589,at_bats:517,runs:99,hits:144,doubles:22,triples:0,home_runs:40,runs_batted_in:103,stolen_bases:0,caught_stealing:1,walks:62,strikeouts:143,batting_avg:.279,onbase:.358,slugging:.553,ops:erc">.553,ops+:lugging">.911,bases:286,double_plays:14,hit_by_pitch:5,sac_hits:0,sac_flies:5,intentional_walks:9
pos:IF,name:Ramon Martinez,age:30,games:108,plate_appearances:333,at_bats:293,runs:30,hits:83,doubles:16,triples:1,home_runs:3,runs_batted_in:34,stolen_bases:0,caught_stealing:1,walks:24,strikeouts:50,batting_avg:.283,onbase:.333,slugging:.375,ops:erc">.375,ops+:lugging">.709,bases:110,double_plays:8,hit_by_pitch:2,sac_hits:6,sac_flies:8,intentional_walks:1
pos:1B,name:Hee-Seop Choi,age:24,games:80,plate_appearances:245,at_bats:202,runs:31,hits:44,doubles:17,triples:0,home_runs:8,runs_batted_in:28,stolen_bases:1,caught_stealing:1,walks:37,strikeouts:71,batting_avg:.218,onbase:.350,slugging:.421,ops:erc">.421,ops+:lugging">.771,bases:85,double_plays:2,hit_by_pitch:4,sac_hits:2,sac_flies:0,intentional_walks:1
pos:CF,name:Kenny Lofton,age:36,games:56,plate_appearances:236,at_bats:208,runs:39,hits:68,doubles:13,triples:4,home_runs:3,runs_batted_in:20,stolen_bases:12,caught_stealing:4,walks:18,strikeouts:22,batting_avg:.327,onbase:.381,slugging:.471,ops:erc">.471,ops+:lugging">.852,bases:98,double_plays:4,hit_by_pitch:2,sac_hits:5,sac_flies:3,intentional_walks:2
