pos:C,name:Geovany Soto,age:29,games:52,plate_appearances:197,at_bats:176,runs:26,hits:35,doubles:6,triples:1,home_runs:6,runs_batted_in:14,stolen_bases:0,caught_stealing:0,walks:19,strikeouts:35,batting_avg:.199,onbase:.284,slugging:.347,ops:erc">.347,ops+:lugging">.631,bases:61,double_plays:6,hit_by_pitch:2,sac_hits:0,sac_flies:0,intentional_walks:1
pos:1B,name:Anthony Rizzo,age:22,games:87,plate_appearances:368,at_bats:337,runs:44,hits:96,doubles:15,triples:0,home_runs:15,runs_batted_in:48,stolen_bases:3,caught_stealing:2,walks:27,strikeouts:62,batting_avg:.285,onbase:.342,slugging:.463,ops:erc">.463,ops+:lugging">.805,bases:156,double_plays:7,hit_by_pitch:3,sac_hits:0,sac_flies:1,intentional_walks:1
pos:2B,name:Darwin Barney,age:26,games:156,plate_appearances:588,at_bats:548,runs:73,hits:139,doubles:26,triples:4,home_runs:7,runs_batted_in:44,stolen_bases:6,caught_stealing:1,walks:33,strikeouts:58,batting_avg:.254,onbase:.299,slugging:.354,ops:erc">.354,ops+:lugging">.653,bases:194,double_plays:11,hit_by_pitch:3,sac_hits:3,sac_flies:1,intentional_walks:1
pos:SS,name:Starlin Castro,age:22,games:162,plate_appearances:691,at_bats:646,runs:78,hits:183,doubles:29,triples:12,home_runs:14,runs_batted_in:78,stolen_bases:25,caught_stealing:13,walks:36,strikeouts:100,batting_avg:.283,onbase:.323,slugging:.430,ops:erc">.430,ops+:lugging">.753,bases:278,double_plays:15,hit_by_pitch:4,sac_hits:0,sac_flies:5,intentional_walks:5
pos:3B,name:Luis Valbuena,age:26,games:90,plate_appearances:303,at_bats:265,runs:26,hits:58,doubles:20,triples:0,home_runs:4,runs_batted_in:28,stolen_bases:0,caught_stealing:2,walks:36,strikeouts:55,batting_avg:.219,onbase:.310,slugging:.340,ops:erc">.340,ops+:lugging">.650,bases:90,double_plays:6,hit_by_pitch:0,sac_hits:0,sac_flies:2,intentional_walks:1
pos:LF,name:Alfonso Soriano,age:36,games:151,plate_appearances:615,at_bats:561,runs:68,hits:147,doubles:33,triples:2,home_runs:32,runs_batted_in:108,stolen_bases:6,caught_stealing:2,walks:44,strikeouts:153,batting_avg:.262,onbase:.322,slugging:.499,ops:erc">.499,ops+:lugging">.821,bases:280,double_plays:18,hit_by_pitch:7,sac_hits:0,sac_flies:3,intentional_walks:5
pos:CF,name:Tony Campana,age:26,games:89,plate_appearances:192,at_bats:174,runs:26,hits:46,doubles:6,triples:0,home_runs:0,runs_batted_in:5,stolen_bases:30,caught_stealing:3,walks:11,strikeouts:43,batting_avg:.264,onbase:.308,slugging:.299,ops:erc">.299,ops+:lugging">.607,bases:52,double_plays:0,hit_by_pitch:0,sac_hits:7,sac_flies:0,intentional_walks:0
pos:RF,name:David DeJesus,age:32,games:148,plate_appearances:582,at_bats:506,runs:76,hits:133,doubles:28,triples:8,home_runs:9,runs_batted_in:50,stolen_bases:7,caught_stealing:8,walks:61,strikeouts:89,batting_avg:.263,onbase:.350,slugging:.403,ops:erc">.403,ops+:lugging">.753,bases:204,double_plays:9,hit_by_pitch:9,sac_hits:2,sac_flies:4,intentional_walks:1
pos:UT,name:Bryan LaHair,age:29,games:130,plate_appearances:380,at_bats:340,runs:42,hits:88,doubles:17,triples:0,home_runs:16,runs_batted_in:40,stolen_bases:4,caught_stealing:2,walks:39,strikeouts:124,batting_avg:.259,onbase:.334,slugging:.450,ops:erc">.450,ops+:lugging">.784,bases:153,double_plays:8,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:3
pos:UT,name:Joe Mather,age:29,games:103,plate_appearances:243,at_bats:225,runs:18,hits:47,doubles:11,triples:0,home_runs:5,runs_batted_in:19,stolen_bases:5,caught_stealing:2,walks:14,strikeouts:46,batting_avg:.209,onbase:.256,slugging:.324,ops:erc">.324,ops+:lugging">.581,bases:73,double_plays:4,hit_by_pitch:1,sac_hits:1,sac_flies:2,intentional_walks:1
pos:C,name:Steve Clevenger,age:26,games:69,plate_appearances:215,at_bats:199,runs:16,hits:40,doubles:12,triples:0,home_runs:1,runs_batted_in:16,stolen_bases:0,caught_stealing:1,walks:16,strikeouts:39,batting_avg:.201,onbase:.260,slugging:.276,ops:erc">.276,ops+:lugging">.537,bases:55,double_plays:10,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:3B,name:Ian Stewart,age:27,games:55,plate_appearances:202,at_bats:179,runs:16,hits:36,doubles:5,triples:2,home_runs:5,runs_batted_in:17,stolen_bases:0,caught_stealing:3,walks:21,strikeouts:46,batting_avg:.201,onbase:.292,slugging:.335,ops:erc">.335,ops+:lugging">.627,bases:60,double_plays:5,hit_by_pitch:2,sac_hits:0,sac_flies:0,intentional_walks:4
pos:C,name:Welington Castillo,age:25,games:52,plate_appearances:190,at_bats:170,runs:16,hits:45,doubles:11,triples:0,home_runs:5,runs_batted_in:22,stolen_bases:0,caught_stealing:0,walks:17,strikeouts:51,batting_avg:.265,onbase:.337,slugging:.418,ops:erc">.418,ops+:lugging">.754,bases:71,double_plays:4,hit_by_pitch:2,sac_hits:0,sac_flies:1,intentional_walks:2
pos:OF,name:Reed Johnson,age:35,games:76,plate_appearances:183,at_bats:169,runs:23,hits:51,doubles:9,triples:3,home_runs:3,runs_batted_in:16,stolen_bases:2,caught_stealing:1,walks:10,strikeouts:43,batting_avg:.302,onbase:.355,slugging:.444,ops:erc">.444,ops+:lugging">.799,bases:75,double_plays:3,hit_by_pitch:4,sac_hits:0,sac_flies:0,intentional_walks:1
pos:UT,name:Jeff Baker,age:31,games:54,plate_appearances:144,at_bats:134,runs:16,hits:36,doubles:10,triples:1,home_runs:4,runs_batted_in:20,stolen_bases:4,caught_stealing:1,walks:8,strikeouts:28,batting_avg:.269,onbase:.306,slugging:.448,ops:erc">.448,ops+:lugging">.753,bases:60,double_plays:4,hit_by_pitch:0,sac_hits:0,sac_flies:2,intentional_walks:0
pos:CF,name:Brett Jackson,age:23,games:44,plate_appearances:142,at_bats:120,runs:14,hits:21,doubles:6,triples:1,home_runs:4,runs_batted_in:9,stolen_bases:0,caught_stealing:3,walks:22,strikeouts:59,batting_avg:.175,onbase:.303,slugging:.342,ops:erc">.342,ops+:lugging">.644,bases:41,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:3B,name:Josh Vitters,age:22,games:36,plate_appearances:109,at_bats:99,runs:7,hits:12,doubles:2,triples:0,home_runs:2,runs_batted_in:5,stolen_bases:2,caught_stealing:0,walks:7,strikeouts:33,batting_avg:.121,onbase:.193,slugging:.202,ops:erc">.202,ops+:lugging">.395,bases:20,double_plays:6,hit_by_pitch:2,sac_hits:0,sac_flies:1,intentional_walks:0
pos:RF,name:Dave Sappelt,age:25,games:26,plate_appearances:78,at_bats:69,runs:8,hits:19,doubles:6,triples:0,home_runs:2,runs_batted_in:8,stolen_bases:0,caught_stealing:0,walks:7,strikeouts:9,batting_avg:.275,onbase:.351,slugging:.449,ops:erc">.449,ops+:lugging">.800,bases:31,double_plays:1,hit_by_pitch:1,sac_hits:1,sac_flies:0,intentional_walks:1
pos:UT,name:Adrian Cardenas,age:24,games:45,plate_appearances:67,at_bats:60,runs:5,hits:11,doubles:6,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:7,strikeouts:13,batting_avg:.183,onbase:.269,slugging:.283,ops:erc">.283,ops+:lugging">.552,bases:17,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:1
pos:CF,name:Marlon Byrd,age:34,games:13,plate_appearances:47,at_bats:43,runs:1,hits:3,doubles:0,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:1,walks:3,strikeouts:10,batting_avg:.070,onbase:.149,slugging:.070,ops:erc">.070,ops+:lugging">.219,bases:3,double_plays:2,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:1
pos:C,name:Koyie Hill,age:33,games:11,plate_appearances:39,at_bats:39,runs:3,hits:7,doubles:1,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:7,batting_avg:.179,onbase:.179,slugging:.205,ops:erc">.205,ops+:lugging">.385,bases:8,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:UT,name:Blake DeWitt,age:26,games:18,plate_appearances:30,at_bats:29,runs:1,hits:4,doubles:1,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.138,onbase:.133,slugging:.172,ops:erc">.172,ops+:lugging">.306,bases:5,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:UT,name:Anthony Recker,age:28,games:9,plate_appearances:21,at_bats:18,runs:1,hits:3,doubles:1,triples:0,home_runs:1,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:2,batting_avg:.167,onbase:.286,slugging:.389,ops:erc">.389,ops+:lugging">.675,bases:7,double_plays:1,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:0
pos:UT,name:Blake Lalli,age:29,games:6,plate_appearances:16,at_bats:15,runs:1,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:3,batting_avg:.133,onbase:.188,slugging:.133,ops:erc">.133,ops+:lugging">.321,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Jeff Samardzija,age:27,games:30,plate_appearances:61,at_bats:50,runs:0,hits:5,doubles:0,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:16,batting_avg:.100,onbase:.167,slugging:.100,ops:erc">.100,ops+:lugging">.267,bases:5,double_plays:1,hit_by_pitch:1,sac_hits:7,sac_flies:0,intentional_walks:0
pos:P,name:Travis Wood,age:25,games:26,plate_appearances:55,at_bats:53,runs:5,hits:10,doubles:3,triples:0,home_runs:1,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:20,batting_avg:.189,onbase:.189,slugging:.302,ops:erc">.302,ops+:lugging">.491,bases:16,double_plays:1,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
pos:P,name:Paul Maholm,age:30,games:21,plate_appearances:43,at_bats:39,runs:1,hits:3,doubles:0,triples:0,home_runs:1,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:22,batting_avg:.077,onbase:.122,slugging:.154,ops:erc">.154,ops+:lugging">.276,bases:6,double_plays:1,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
