pos:C,name:Welington Castillo,age:27,games:110,plate_appearances:417,at_bats:380,runs:28,hits:90,doubles:19,triples:0,home_runs:13,runs_batted_in:46,stolen_bases:0,caught_stealing:0,walks:26,strikeouts:102,batting_avg:.237,onbase:.296,slugging:.389,ops:erc">.389,ops+:lugging">.686,bases:148,double_plays:7,hit_by_pitch:7,sac_hits:2,sac_flies:2,intentional_walks:0
pos:1B,name:Anthony Rizzo,age:24,games:140,plate_appearances:616,at_bats:524,runs:89,hits:150,doubles:28,triples:1,home_runs:32,runs_batted_in:78,stolen_bases:5,caught_stealing:4,walks:73,strikeouts:116,batting_avg:.286,onbase:.386,slugging:.527,ops:erc">.527,ops+:lugging">.913,bases:276,double_plays:8,hit_by_pitch:15,sac_hits:0,sac_flies:4,intentional_walks:7
pos:2B,name:Darwin Barney,age:28,games:72,plate_appearances:217,at_bats:204,runs:18,hits:47,doubles:10,triples:2,home_runs:2,runs_batted_in:16,stolen_bases:1,caught_stealing:0,walks:9,strikeouts:31,batting_avg:.230,onbase:.265,slugging:.328,ops:erc">.328,ops+:lugging">.594,bases:67,double_plays:1,hit_by_pitch:1,sac_hits:2,sac_flies:1,intentional_walks:2
pos:SS,name:Starlin Castro,age:24,games:134,plate_appearances:569,at_bats:528,runs:58,hits:154,doubles:33,triples:1,home_runs:14,runs_batted_in:65,stolen_bases:4,caught_stealing:4,walks:35,strikeouts:100,batting_avg:.292,onbase:.339,slugging:.438,ops:erc">.438,ops+:lugging">.777,bases:231,double_plays:18,hit_by_pitch:4,sac_hits:0,sac_flies:2,intentional_walks:4
pos:3B,name:Luis Valbuena,age:28,games:149,plate_appearances:547,at_bats:478,runs:68,hits:119,doubles:33,triples:4,home_runs:16,runs_batted_in:51,stolen_bases:1,caught_stealing:2,walks:65,strikeouts:113,batting_avg:.249,onbase:.341,slugging:.435,ops:erc">.435,ops+:lugging">.776,bases:208,double_plays:8,hit_by_pitch:2,sac_hits:1,sac_flies:1,intentional_walks:4
pos:LF,name:Chris Coghlan,age:29,games:125,plate_appearances:432,at_bats:385,runs:50,hits:109,doubles:28,triples:5,home_runs:9,runs_batted_in:41,stolen_bases:7,caught_stealing:4,walks:39,strikeouts:81,batting_avg:.283,onbase:.352,slugging:.452,ops:erc">.452,ops+:lugging">.804,bases:174,double_plays:5,hit_by_pitch:3,sac_hits:3,sac_flies:2,intentional_walks:2
pos:CF,name:Arismendy Alcantara,age:22,games:70,plate_appearances:300,at_bats:278,runs:31,hits:57,doubles:11,triples:2,home_runs:10,runs_batted_in:29,stolen_bases:8,caught_stealing:5,walks:17,strikeouts:93,batting_avg:.205,onbase:.254,slugging:.367,ops:erc">.367,ops+:lugging">.621,bases:102,double_plays:3,hit_by_pitch:2,sac_hits:1,sac_flies:2,intentional_walks:0
pos:RF,name:Nate Schierholtz,age:30,games:99,plate_appearances:341,at_bats:313,runs:29,hits:60,doubles:10,triples:3,home_runs:6,runs_batted_in:33,stolen_bases:4,caught_stealing:4,walks:18,strikeouts:76,batting_avg:.192,onbase:.240,slugging:.300,ops:erc">.300,ops+:lugging">.541,bases:94,double_plays:6,hit_by_pitch:4,sac_hits:0,sac_flies:6,intentional_walks:0
pos:OF,name:Junior Lake,age:24,games:108,plate_appearances:326,at_bats:308,runs:30,hits:65,doubles:10,triples:3,home_runs:9,runs_batted_in:25,stolen_bases:7,caught_stealing:3,walks:14,strikeouts:110,batting_avg:.211,onbase:.246,slugging:.351,ops:erc">.351,ops+:lugging">.597,bases:108,double_plays:3,hit_by_pitch:1,sac_hits:1,sac_flies:2,intentional_walks:0
pos:UT,name:Emilio Bonifacio,age:29,games:69,plate_appearances:298,at_bats:276,runs:35,hits:77,doubles:14,triples:3,home_runs:2,runs_batted_in:18,stolen_bases:14,caught_stealing:6,walks:16,strikeouts:49,batting_avg:.279,onbase:.318,slugging:.373,ops:erc">.373,ops+:lugging">.692,bases:103,double_plays:1,hit_by_pitch:0,sac_hits:6,sac_flies:0,intentional_walks:2
pos:3B,name:Mike Olt,age:25,games:89,plate_appearances:258,at_bats:225,runs:23,hits:36,doubles:8,triples:0,home_runs:12,runs_batted_in:33,stolen_bases:0,caught_stealing:1,walks:25,strikeouts:100,batting_avg:.160,onbase:.248,slugging:.356,ops:erc">.356,ops+:lugging">.604,bases:80,double_plays:3,hit_by_pitch:3,sac_hits:0,sac_flies:5,intentional_walks:0
