pos:C,name:Ed Herrmann,age:27,games:107,plate_appearances:388,at_bats:367,runs:32,hits:95,doubles:13,triples:1,home_runs:10,runs_batted_in:39,stolen_bases:1,caught_stealing:0,walks:16,strikeouts:49,batting_avg:.259,onbase:.288,slugging:.381,ops:erc">.381,ops+:lugging">.669,bases:140,double_plays:13,hit_by_pitch:0,sac_hits:2,sac_flies:3,intentional_walks:6
pos:1B,name:Dick Allen,age:32,games:128,plate_appearances:525,at_bats:462,runs:84,hits:139,doubles:23,triples:1,home_runs:32,runs_batted_in:88,stolen_bases:7,caught_stealing:1,walks:57,strikeouts:89,batting_avg:.301,onbase:.375,slugging:.563,ops:erc">.563,ops+:lugging">.938,bases:260,double_plays:16,hit_by_pitch:1,sac_hits:0,sac_flies:5,intentional_walks:9
pos:2B,name:Jorge Orta,age:23,games:139,plate_appearances:578,at_bats:525,runs:73,hits:166,doubles:31,triples:2,home_runs:10,runs_batted_in:67,stolen_bases:9,caught_stealing:5,walks:40,strikeouts:88,batting_avg:.316,onbase:.365,slugging:.440,ops:erc">.440,ops+:lugging">.805,bases:231,double_plays:8,hit_by_pitch:3,sac_hits:6,sac_flies:4,intentional_walks:1
pos:SS,name:Bucky Dent,age:22,games:154,plate_appearances:552,at_bats:496,runs:55,hits:136,doubles:15,triples:3,home_runs:5,runs_batted_in:45,stolen_bases:3,caught_stealing:4,walks:28,strikeouts:48,batting_avg:.274,onbase:.316,slugging:.347,ops:erc">.347,ops+:lugging">.662,bases:172,double_plays:9,hit_by_pitch:3,sac_hits:23,sac_flies:2,intentional_walks:0
pos:3B,name:Bill Melton,age:28,games:136,plate_appearances:570,at_bats:495,runs:63,hits:120,doubles:17,triples:0,home_runs:21,runs_batted_in:63,stolen_bases:3,caught_stealing:2,walks:59,strikeouts:60,batting_avg:.242,onbase:.326,slugging:.404,ops:erc">.404,ops+:lugging">.730,bases:200,double_plays:16,hit_by_pitch:5,sac_hits:5,sac_flies:6,intentional_walks:3
pos:LF,name:Carlos May,age:26,games:149,plate_appearances:604,at_bats:551,runs:66,hits:137,doubles:19,triples:2,home_runs:8,runs_batted_in:58,stolen_bases:8,caught_stealing:9,walks:46,strikeouts:76,batting_avg:.249,onbase:.306,slugging:.334,ops:erc">.334,ops+:lugging">.640,bases:184,double_plays:9,hit_by_pitch:1,sac_hits:2,sac_flies:4,intentional_walks:3
pos:CF,name:Ken Henderson,age:28,games:162,plate_appearances:680,at_bats:602,runs:76,hits:176,doubles:35,triples:5,home_runs:20,runs_batted_in:95,stolen_bases:12,caught_stealing:7,walks:66,strikeouts:112,batting_avg:.292,onbase:.360,slugging:.467,ops:erc">.467,ops+:lugging">.827,bases:281,double_plays:16,hit_by_pitch:2,sac_hits:2,sac_flies:8,intentional_walks:9
pos:RF,name:Bill Sharp,age:24,games:100,plate_appearances:357,at_bats:320,runs:45,hits:81,doubles:13,triples:2,home_runs:4,runs_batted_in:24,stolen_bases:0,caught_stealing:3,walks:25,strikeouts:37,batting_avg:.253,onbase:.309,slugging:.344,ops:erc">.344,ops+:lugging">.652,bases:110,double_plays:9,hit_by_pitch:2,sac_hits:8,sac_flies:3,intentional_walks:2
pos:DH,name:Pat Kelly,age:29,games:122,plate_appearances:476,at_bats:424,runs:60,hits:119,doubles:16,triples:3,home_runs:4,runs_batted_in:21,stolen_bases:18,caught_stealing:11,walks:46,strikeouts:58,batting_avg:.281,onbase:.354,slugging:.361,ops:erc">.361,ops+:lugging">.715,bases:153,double_plays:10,hit_by_pitch:2,sac_hits:4,sac_flies:0,intentional_walks:0
pos:IF,name:Ron Santo,age:34,games:117,plate_appearances:418,at_bats:375,runs:29,hits:83,doubles:12,triples:1,home_runs:5,runs_batted_in:41,stolen_bases:0,caught_stealing:2,walks:37,strikeouts:72,batting_avg:.221,onbase:.293,slugging:.299,ops:erc">.299,ops+:lugging">.591,bases:112,double_plays:16,hit_by_pitch:2,sac_hits:0,sac_flies:3,intentional_walks:1
