pos:C,name:Brian Downing,age:24,games:138,plate_appearances:516,at_bats:420,runs:58,hits:101,doubles:12,triples:1,home_runs:7,runs_batted_in:41,stolen_bases:13,caught_stealing:4,walks:76,strikeouts:75,batting_avg:.240,onbase:.356,slugging:.324,ops:erc">.324,ops+:lugging">.680,bases:136,double_plays:12,hit_by_pitch:3,sac_hits:11,sac_flies:6,intentional_walks:5
pos:1B,name:Carlos May,age:27,games:128,plate_appearances:534,at_bats:454,runs:55,hits:123,doubles:19,triples:2,home_runs:8,runs_batted_in:53,stolen_bases:12,caught_stealing:7,walks:67,strikeouts:46,batting_avg:.271,onbase:.373,slugging:.374,ops:erc">.374,ops+:lugging">.747,bases:170,double_plays:12,hit_by_pitch:9,sac_hits:0,sac_flies:4,intentional_walks:13
pos:2B,name:Jorge Orta,age:24,games:140,plate_appearances:602,at_bats:542,runs:64,hits:165,doubles:26,triples:10,home_runs:11,runs_batted_in:83,stolen_bases:16,caught_stealing:9,walks:48,strikeouts:67,batting_avg:.304,onbase:.363,slugging:.450,ops:erc">.450,ops+:lugging">.813,bases:244,double_plays:17,hit_by_pitch:4,sac_hits:4,sac_flies:4,intentional_walks:7
pos:SS,name:Bucky Dent,age:23,games:157,plate_appearances:662,at_bats:602,runs:52,hits:159,doubles:29,triples:4,home_runs:3,runs_batted_in:58,stolen_bases:2,caught_stealing:4,walks:36,strikeouts:48,batting_avg:.264,onbase:.301,slugging:.341,ops:erc">.341,ops+:lugging">.642,bases:205,double_plays:16,hit_by_pitch:0,sac_hits:15,sac_flies:9,intentional_walks:3
pos:3B,name:Bill Melton,age:29,games:149,plate_appearances:608,at_bats:512,runs:62,hits:123,doubles:16,triples:0,home_runs:15,runs_batted_in:70,stolen_bases:5,caught_stealing:4,walks:78,strikeouts:106,batting_avg:.240,onbase:.346,slugging:.359,ops:erc">.359,ops+:lugging">.705,bases:184,double_plays:13,hit_by_pitch:8,sac_hits:3,sac_flies:6,intentional_walks:1
pos:LF,name:Jerry Hairston,age:23,games:69,plate_appearances:274,at_bats:219,runs:26,hits:62,doubles:8,triples:0,home_runs:0,runs_batted_in:23,stolen_bases:1,caught_stealing:0,walks:46,strikeouts:23,batting_avg:.283,onbase:.407,slugging:.320,ops:erc">.320,ops+:lugging">.726,bases:70,double_plays:4,hit_by_pitch:1,sac_hits:6,sac_flies:2,intentional_walks:3
pos:CF,name:Ken Henderson,age:29,games:140,plate_appearances:597,at_bats:513,runs:65,hits:129,doubles:20,triples:3,home_runs:9,runs_batted_in:53,stolen_bases:5,caught_stealing:3,walks:74,strikeouts:65,batting_avg:.251,onbase:.347,slugging:.355,ops:erc">.355,ops+:lugging">.702,bases:182,double_plays:18,hit_by_pitch:4,sac_hits:1,sac_flies:5,intentional_walks:14
pos:RF,name:Pat Kelly,age:30,games:133,plate_appearances:538,at_bats:471,runs:73,hits:129,doubles:21,triples:7,home_runs:9,runs_batted_in:45,stolen_bases:18,caught_stealing:10,walks:58,strikeouts:69,batting_avg:.274,onbase:.353,slugging:.406,ops:erc">.406,ops+:lugging">.759,bases:191,double_plays:15,hit_by_pitch:2,sac_hits:3,sac_flies:4,intentional_walks:2
pos:DH,name:Deron Johnson,age:36,games:148,plate_appearances:608,at_bats:555,runs:66,hits:129,doubles:25,triples:1,home_runs:18,runs_batted_in:72,stolen_bases:0,caught_stealing:1,walks:48,strikeouts:117,batting_avg:.232,onbase:.292,slugging:.378,ops:erc">.378,ops+:lugging">.671,bases:210,double_plays:19,hit_by_pitch:1,sac_hits:0,sac_flies:5,intentional_walks:0
pos:OF,name:Nyls Nyman,age:21,games:106,plate_appearances:342,at_bats:327,runs:36,hits:74,doubles:6,triples:3,home_runs:2,runs_batted_in:28,stolen_bases:10,caught_stealing:4,walks:11,strikeouts:34,batting_avg:.226,onbase:.255,slugging:.281,ops:erc">.281,ops+:lugging">.536,bases:92,double_plays:5,hit_by_pitch:2,sac_hits:1,sac_flies:1,intentional_walks:0
pos:IF,name:Bill Stein,age:28,games:76,plate_appearances:247,at_bats:226,runs:23,hits:61,doubles:7,triples:1,home_runs:3,runs_batted_in:21,stolen_bases:2,caught_stealing:2,walks:18,strikeouts:32,batting_avg:.270,onbase:.327,slugging:.350,ops:erc">.350,ops+:lugging">.676,bases:79,double_plays:6,hit_by_pitch:1,sac_hits:2,sac_flies:0,intentional_walks:0
pos:RF,name:Bob Coluccio,age:23,games:61,plate_appearances:175,at_bats:161,runs:22,hits:33,doubles:4,triples:2,home_runs:4,runs_batted_in:13,stolen_bases:4,caught_stealing:0,walks:13,strikeouts:34,batting_avg:.205,onbase:.269,slugging:.329,ops:erc">.329,ops+:lugging">.598,bases:53,double_plays:3,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:1
pos:1B,name:Tony Muser,age:27,games:43,plate_appearances:120,at_bats:111,runs:11,hits:27,doubles:3,triples:0,home_runs:0,runs_batted_in:6,stolen_bases:2,caught_stealing:1,walks:7,strikeouts:8,batting_avg:.243,onbase:.286,slugging:.270,ops:erc">.270,ops+:lugging">.556,bases:30,double_plays:6,hit_by_pitch:0,sac_hits:1,sac_flies:1,intentional_walks:1
pos:C,name:Pete Varney,age:26,games:36,plate_appearances:114,at_bats:107,runs:12,hits:29,doubles:5,triples:1,home_runs:2,runs_batted_in:8,stolen_bases:2,caught_stealing:0,walks:6,strikeouts:28,batting_avg:.271,onbase:.316,slugging:.393,ops:erc">.393,ops+:lugging">.708,bases:42,double_plays:1,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:1
pos:1B,name:Mike Squires,age:23,games:20,plate_appearances:74,at_bats:65,runs:5,hits:15,doubles:0,triples:0,home_runs:0,runs_batted_in:4,stolen_bases:3,caught_stealing:0,walks:8,strikeouts:5,batting_avg:.231,onbase:.311,slugging:.231,ops:erc">.231,ops+:lugging">.542,bases:15,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:2
pos:OF,name:Buddy Bradford,age:30,games:25,plate_appearances:74,at_bats:58,runs:8,hits:9,doubles:3,triples:1,home_runs:2,runs_batted_in:15,stolen_bases:3,caught_stealing:2,walks:8,strikeouts:22,batting_avg:.155,onbase:.274,slugging:.345,ops:erc">.345,ops+:lugging">.619,bases:20,double_plays:1,hit_by_pitch:3,sac_hits:1,sac_flies:4,intentional_walks:0
pos:IF,name:Lee Richard,age:26,games:43,plate_appearances:49,at_bats:45,runs:11,hits:9,doubles:0,triples:1,home_runs:0,runs_batted_in:5,stolen_bases:2,caught_stealing:3,walks:4,strikeouts:7,batting_avg:.200,onbase:.265,slugging:.244,ops:erc">.244,ops+:lugging">.510,bases:11,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:OF,name:Bill Sharp,age:25,games:18,plate_appearances:38,at_bats:35,runs:1,hits:7,doubles:0,triples:0,home_runs:0,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:3,batting_avg:.200,onbase:.243,slugging:.200,ops:erc">.200,ops+:lugging">.443,bases:7,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:UT,name:Chet Lemon,age:20,games:9,plate_appearances:38,at_bats:35,runs:2,hits:9,doubles:2,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:1,caught_stealing:0,walks:2,strikeouts:6,batting_avg:.257,onbase:.297,slugging:.314,ops:erc">.314,ops+:lugging">.612,bases:11,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
