pos:C,name:Jorge Fabregas,age:27,games:100,plate_appearances:342,at_bats:322,runs:31,hits:90,doubles:10,triples:1,home_runs:7,runs_batted_in:48,stolen_bases:1,caught_stealing:1,walks:11,strikeouts:43,batting_avg:.280,onbase:.302,slugging:.382,ops:erc">.382,ops+:lugging">.684,bases:123,double_plays:14,hit_by_pitch:1,sac_hits:4,sac_flies:4,intentional_walks:0
pos:1B,name:Frank Thomas,age:29,games:146,plate_appearances:649,at_bats:530,runs:110,hits:184,doubles:35,triples:0,home_runs:35,runs_batted_in:125,stolen_bases:1,caught_stealing:1,walks:109,strikeouts:69,batting_avg:.347,onbase:.456,slugging:.611,ops:erc">.611,ops+:lugging">1.067,bases:324,double_plays:15,hit_by_pitch:3,sac_hits:0,sac_flies:7,intentional_walks:9
pos:2B,name:Ray Durham,age:25,games:155,plate_appearances:711,at_bats:634,runs:106,hits:172,doubles:27,triples:5,home_runs:11,runs_batted_in:53,stolen_bases:33,caught_stealing:16,walks:61,strikeouts:96,batting_avg:.271,onbase:.337,slugging:.382,ops:erc">.382,ops+:lugging">.719,bases:242,double_plays:14,hit_by_pitch:6,sac_hits:2,sac_flies:8,intentional_walks:0
pos:SS,name:Ozzie Guillen,age:33,games:142,plate_appearances:527,at_bats:490,runs:59,hits:120,doubles:21,triples:6,home_runs:4,runs_batted_in:52,stolen_bases:5,caught_stealing:3,walks:22,strikeouts:24,batting_avg:.245,onbase:.275,slugging:.337,ops:erc">.337,ops+:lugging">.612,bases:165,double_plays:7,hit_by_pitch:0,sac_hits:11,sac_flies:4,intentional_walks:1
pos:3B,name:Chris Snopek,age:26,games:86,plate_appearances:323,at_bats:298,runs:27,hits:65,doubles:15,triples:0,home_runs:5,runs_batted_in:35,stolen_bases:3,caught_stealing:2,walks:18,strikeouts:51,batting_avg:.218,onbase:.263,slugging:.319,ops:erc">.319,ops+:lugging">.582,bases:95,double_plays:4,hit_by_pitch:1,sac_hits:4,sac_flies:2,intentional_walks:0
pos:LF,name:Albert Belle,age:30,games:161,plate_appearances:701,at_bats:634,runs:90,hits:174,doubles:45,triples:1,home_runs:30,runs_batted_in:116,stolen_bases:4,caught_stealing:4,walks:53,strikeouts:105,batting_avg:.274,onbase:.332,slugging:.491,ops:erc">.491,ops+:lugging">.823,bases:311,double_plays:26,hit_by_pitch:6,sac_hits:0,sac_flies:8,intentional_walks:6
pos:CF,name:Mike Cameron,age:24,games:116,plate_appearances:446,at_bats:379,runs:63,hits:98,doubles:18,triples:3,home_runs:14,runs_batted_in:55,stolen_bases:23,caught_stealing:2,walks:55,strikeouts:105,batting_avg:.259,onbase:.356,slugging:.433,ops:erc">.433,ops+:lugging">.789,bases:164,double_plays:8,hit_by_pitch:5,sac_hits:2,sac_flies:5,intentional_walks:1
pos:RF,name:Dave Martinez,age:32,games:145,plate_appearances:573,at_bats:504,runs:78,hits:144,doubles:16,triples:6,home_runs:12,runs_batted_in:55,stolen_bases:12,caught_stealing:6,walks:55,strikeouts:69,batting_avg:.286,onbase:.356,slugging:.413,ops:erc">.413,ops+:lugging">.768,bases:208,double_plays:4,hit_by_pitch:3,sac_hits:5,sac_flies:6,intentional_walks:7
pos:DH,name:Harold Baines,age:38,games:93,plate_appearances:361,at_bats:318,runs:40,hits:97,doubles:18,triples:0,home_runs:12,runs_batted_in:52,stolen_bases:0,caught_stealing:1,walks:41,strikeouts:47,batting_avg:.305,onbase:.382,slugging:.475,ops:erc">.475,ops+:lugging">.857,bases:151,double_plays:9,hit_by_pitch:0,sac_hits:0,sac_flies:2,intentional_walks:10
pos:RF,name:Lyle Mouton,age:28,games:88,plate_appearances:260,at_bats:242,runs:26,hits:65,doubles:9,triples:0,home_runs:5,runs_batted_in:23,stolen_bases:4,caught_stealing:4,walks:14,strikeouts:66,batting_avg:.269,onbase:.308,slugging:.368,ops:erc">.368,ops+:lugging">.675,bases:89,double_plays:8,hit_by_pitch:1,sac_hits:0,sac_flies:3,intentional_walks:1
pos:3B,name:Robin Ventura,age:29,games:54,plate_appearances:220,at_bats:183,runs:27,hits:48,doubles:10,triples:1,home_runs:6,runs_batted_in:26,stolen_bases:0,caught_stealing:0,walks:34,strikeouts:21,batting_avg:.262,onbase:.373,slugging:.426,ops:erc">.426,ops+:lugging">.799,bases:78,double_plays:3,hit_by_pitch:0,sac_hits:0,sac_flies:3,intentional_walks:5
