pos:C,name:Mark Johnson,age:24,games:75,plate_appearances:251,at_bats:213,runs:29,hits:48,doubles:11,triples:0,home_runs:3,runs_batted_in:23,stolen_bases:3,caught_stealing:2,walks:27,strikeouts:40,batting_avg:.225,onbase:.315,slugging:.319,ops:erc">.319,ops+:lugging">.635,bases:68,double_plays:3,hit_by_pitch:1,sac_hits:10,sac_flies:0,intentional_walks:0
pos:1B,name:Paul Konerko,age:24,games:143,plate_appearances:586,at_bats:524,runs:84,hits:156,doubles:31,triples:1,home_runs:21,runs_batted_in:97,stolen_bases:1,caught_stealing:0,walks:47,strikeouts:72,batting_avg:.298,onbase:.363,slugging:.481,ops:erc">.481,ops+:lugging">.844,bases:252,double_plays:22,hit_by_pitch:10,sac_hits:0,sac_flies:5,intentional_walks:0
pos:2B,name:Ray Durham,age:28,games:151,plate_appearances:709,at_bats:614,runs:121,hits:172,doubles:35,triples:9,home_runs:17,runs_batted_in:75,stolen_bases:25,caught_stealing:13,walks:75,strikeouts:105,batting_avg:.280,onbase:.361,slugging:.450,ops:erc">.450,ops+:lugging">.810,bases:276,double_plays:13,hit_by_pitch:7,sac_hits:5,sac_flies:8,intentional_walks:0
pos:SS,name:Jose Valentin,age:30,games:144,plate_appearances:648,at_bats:568,runs:107,hits:155,doubles:37,triples:6,home_runs:25,runs_batted_in:92,stolen_bases:19,caught_stealing:2,walks:59,strikeouts:106,batting_avg:.273,onbase:.343,slugging:.491,ops:erc">.491,ops+:lugging">.835,bases:279,double_plays:11,hit_by_pitch:4,sac_hits:13,sac_flies:4,intentional_walks:1
pos:3B,name:Herbert Perry,age:30,games:109,plate_appearances:420,at_bats:383,runs:69,hits:118,doubles:29,triples:1,home_runs:12,runs_batted_in:61,stolen_bases:4,caught_stealing:1,walks:22,strikeouts:68,batting_avg:.308,onbase:.356,slugging:.483,ops:erc">.483,ops+:lugging">.839,bases:185,double_plays:13,hit_by_pitch:9,sac_hits:2,sac_flies:4,intentional_walks:1
pos:LF,name:Carlos Lee,age:24,games:152,plate_appearances:619,at_bats:572,runs:107,hits:172,doubles:29,triples:2,home_runs:24,runs_batted_in:92,stolen_bases:13,caught_stealing:4,walks:38,strikeouts:94,batting_avg:.301,onbase:.345,slugging:.484,ops:erc">.484,ops+:lugging">.829,bases:277,double_plays:17,hit_by_pitch:3,sac_hits:1,sac_flies:5,intentional_walks:1
pos:CF,name:Chris Singleton,age:27,games:147,plate_appearances:566,at_bats:511,runs:83,hits:130,doubles:22,triples:5,home_runs:11,runs_batted_in:62,stolen_bases:22,caught_stealing:7,walks:35,strikeouts:85,batting_avg:.254,onbase:.301,slugging:.382,ops:erc">.382,ops+:lugging">.683,bases:195,double_plays:6,hit_by_pitch:1,sac_hits:12,sac_flies:4,intentional_walks:2
pos:RF,name:Magglio Ordonez,age:26,games:153,plate_appearances:665,at_bats:588,runs:102,hits:185,doubles:34,triples:3,home_runs:32,runs_batted_in:126,stolen_bases:18,caught_stealing:4,walks:60,strikeouts:64,batting_avg:.315,onbase:.371,slugging:.546,ops:erc">.546,ops+:lugging">.917,bases:321,double_plays:28,hit_by_pitch:2,sac_hits:0,sac_flies:15,intentional_walks:3
pos:DH,name:Frank Thomas,age:32,games:159,plate_appearances:707,at_bats:582,runs:115,hits:191,doubles:44,triples:0,home_runs:43,runs_batted_in:143,stolen_bases:1,caught_stealing:3,walks:112,strikeouts:94,batting_avg:.328,onbase:.436,slugging:.625,ops:erc">.625,ops+:lugging">1.061,bases:364,double_plays:13,hit_by_pitch:5,sac_hits:0,sac_flies:8,intentional_walks:18
pos:OF,name:Jeff Abbott,age:27,games:80,plate_appearances:242,at_bats:215,runs:31,hits:59,doubles:15,triples:1,home_runs:3,runs_batted_in:29,stolen_bases:2,caught_stealing:1,walks:21,strikeouts:38,batting_avg:.274,onbase:.343,slugging:.395,ops:erc">.395,ops+:lugging">.738,bases:85,double_plays:2,hit_by_pitch:2,sac_hits:2,sac_flies:1,intentional_walks:1
pos:3B,name:Greg Norton,age:27,games:71,plate_appearances:231,at_bats:201,runs:25,hits:49,doubles:6,triples:1,home_runs:6,runs_batted_in:28,stolen_bases:1,caught_stealing:0,walks:26,strikeouts:47,batting_avg:.244,onbase:.333,slugging:.373,ops:erc">.373,ops+:lugging">.706,bases:75,double_plays:2,hit_by_pitch:2,sac_hits:0,sac_flies:2,intentional_walks:0
