pos:C,name:Ben Davis,age:27,games:54,plate_appearances:171,at_bats:160,runs:21,hits:37,doubles:9,triples:0,home_runs:6,runs_batted_in:16,stolen_bases:1,caught_stealing:1,walks:9,strikeouts:40,batting_avg:.231,onbase:.276,slugging:.400,ops:erc">.400,ops+:lugging">.676,bases:64,double_plays:2,hit_by_pitch:1,sac_hits:1,sac_flies:0,intentional_walks:0
pos:1B,name:Paul Konerko,age:28,games:155,plate_appearances:643,at_bats:563,runs:84,hits:156,doubles:22,triples:0,home_runs:41,runs_batted_in:117,stolen_bases:1,caught_stealing:0,walks:69,strikeouts:107,batting_avg:.277,onbase:.359,slugging:.535,ops:erc">.535,ops+:lugging">.894,bases:301,double_plays:23,hit_by_pitch:6,sac_hits:0,sac_flies:5,intentional_walks:5
pos:2B,name:Willie Harris,age:26,games:129,plate_appearances:472,at_bats:409,runs:68,hits:107,doubles:15,triples:2,home_runs:2,runs_batted_in:27,stolen_bases:19,caught_stealing:7,walks:51,strikeouts:79,batting_avg:.262,onbase:.343,slugging:.323,ops:erc">.323,ops+:lugging">.665,bases:132,double_plays:4,hit_by_pitch:1,sac_hits:7,sac_flies:3,intentional_walks:0
pos:SS,name:Jose Valentin,age:34,games:125,plate_appearances:504,at_bats:450,runs:73,hits:97,doubles:20,triples:3,home_runs:30,runs_batted_in:70,stolen_bases:8,caught_stealing:6,walks:43,strikeouts:139,batting_avg:.216,onbase:.287,slugging:.473,ops:erc">.473,ops+:lugging">.760,bases:213,double_plays:5,hit_by_pitch:3,sac_hits:6,sac_flies:2,intentional_walks:4
pos:3B,name:Joe Crede,age:26,games:144,plate_appearances:543,at_bats:490,runs:67,hits:117,doubles:25,triples:0,home_runs:21,runs_batted_in:69,stolen_bases:1,caught_stealing:2,walks:34,strikeouts:81,batting_avg:.239,onbase:.299,slugging:.418,ops:erc">.418,ops+:lugging">.717,bases:205,double_plays:14,hit_by_pitch:10,sac_hits:4,sac_flies:5,intentional_walks:0
pos:LF,name:Carlos Lee,age:28,games:153,plate_appearances:658,at_bats:591,runs:103,hits:180,doubles:37,triples:0,home_runs:31,runs_batted_in:99,stolen_bases:11,caught_stealing:5,walks:54,strikeouts:86,batting_avg:.305,onbase:.366,slugging:.525,ops:erc">.525,ops+:lugging">.891,bases:310,double_plays:10,hit_by_pitch:7,sac_hits:0,sac_flies:6,intentional_walks:3
pos:CF,name:Aaron Rowand,age:26,games:140,plate_appearances:534,at_bats:487,runs:94,hits:151,doubles:38,triples:2,home_runs:24,runs_batted_in:69,stolen_bases:17,caught_stealing:5,walks:30,strikeouts:91,batting_avg:.310,onbase:.361,slugging:.544,ops:erc">.544,ops+:lugging">.905,bases:265,double_plays:5,hit_by_pitch:10,sac_hits:5,sac_flies:2,intentional_walks:1
pos:RF,name:Joe Borchard,age:25,games:63,plate_appearances:222,at_bats:201,runs:26,hits:35,doubles:4,triples:1,home_runs:9,runs_batted_in:20,stolen_bases:1,caught_stealing:0,walks:19,strikeouts:57,batting_avg:.174,onbase:.249,slugging:.338,ops:erc">.338,ops+:lugging">.587,bases:68,double_plays:4,hit_by_pitch:1,sac_hits:1,sac_flies:0,intentional_walks:1
pos:DH,name:Frank Thomas,age:36,games:74,plate_appearances:311,at_bats:240,runs:53,hits:65,doubles:16,triples:0,home_runs:18,runs_batted_in:49,stolen_bases:0,caught_stealing:2,walks:64,strikeouts:57,batting_avg:.271,onbase:.434,slugging:.563,ops:erc">.563,ops+:lugging">.997,bases:135,double_plays:2,hit_by_pitch:6,sac_hits:0,sac_flies:1,intentional_walks:3
pos:IF,name:Juan Uribe,age:25,games:134,plate_appearances:553,at_bats:502,runs:82,hits:142,doubles:31,triples:6,home_runs:23,runs_batted_in:74,stolen_bases:9,caught_stealing:11,walks:32,strikeouts:96,batting_avg:.283,onbase:.327,slugging:.506,ops:erc">.506,ops+:lugging">.833,bases:254,double_plays:10,hit_by_pitch:3,sac_hits:11,sac_flies:5,intentional_walks:1
pos:OF,name:Timo Perez,age:29,games:103,plate_appearances:321,at_bats:293,runs:38,hits:72,doubles:12,triples:0,home_runs:5,runs_batted_in:40,stolen_bases:3,caught_stealing:1,walks:15,strikeouts:29,batting_avg:.246,onbase:.285,slugging:.338,ops:erc">.338,ops+:lugging">.623,bases:99,double_plays:9,hit_by_pitch:2,sac_hits:9,sac_flies:2,intentional_walks:0
pos:UT,name:Ross Gload,age:28,games:110,plate_appearances:260,at_bats:234,runs:28,hits:75,doubles:16,triples:0,home_runs:7,runs_batted_in:44,stolen_bases:0,caught_stealing:3,walks:20,strikeouts:37,batting_avg:.321,onbase:.375,slugging:.479,ops:erc">.479,ops+:lugging">.853,bases:112,double_plays:11,hit_by_pitch:2,sac_hits:1,sac_flies:3,intentional_walks:1
pos:RF,name:Magglio Ordonez,age:30,games:52,plate_appearances:222,at_bats:202,runs:32,hits:59,doubles:8,triples:2,home_runs:9,runs_batted_in:37,stolen_bases:0,caught_stealing:2,walks:16,strikeouts:22,batting_avg:.292,onbase:.351,slugging:.485,ops:erc">.485,ops+:lugging">.836,bases:98,double_plays:4,hit_by_pitch:3,sac_hits:0,sac_flies:1,intentional_walks:2
pos:DH,name:Carl Everett,age:33,games:43,plate_appearances:169,at_bats:154,runs:21,hits:41,doubles:7,triples:1,home_runs:5,runs_batted_in:21,stolen_bases:1,caught_stealing:0,walks:8,strikeouts:26,batting_avg:.266,onbase:.320,slugging:.422,ops:erc">.422,ops+:lugging">.742,bases:65,double_plays:3,hit_by_pitch:5,sac_hits:0,sac_flies:2,intentional_walks:1
pos:C,name:Sandy Alomar,age:38,games:50,plate_appearances:164,at_bats:146,runs:15,hits:35,doubles:4,triples:0,home_runs:2,runs_batted_in:14,stolen_bases:0,caught_stealing:0,walks:11,strikeouts:13,batting_avg:.240,onbase:.298,slugging:.308,ops:erc">.308,ops+:lugging">.606,bases:45,double_plays:4,hit_by_pitch:2,sac_hits:3,sac_flies:2,intentional_walks:2
pos:C,name:Miguel Olivo,age:25,games:46,plate_appearances:156,at_bats:141,runs:21,hits:38,doubles:7,triples:2,home_runs:7,runs_batted_in:26,stolen_bases:5,caught_stealing:4,walks:10,strikeouts:29,batting_avg:.270,onbase:.316,slugging:.496,ops:erc">.496,ops+:lugging">.812,bases:70,double_plays:2,hit_by_pitch:0,sac_hits:4,sac_flies:1,intentional_walks:1
pos:C,name:Jamie Burke,age:32,games:57,plate_appearances:133,at_bats:120,runs:22,hits:40,doubles:9,triples:0,home_runs:0,runs_batted_in:15,stolen_bases:0,caught_stealing:0,walks:10,strikeouts:13,batting_avg:.333,onbase:.386,slugging:.408,ops:erc">.408,ops+:lugging">.795,bases:49,double_plays:3,hit_by_pitch:1,sac_hits:1,sac_flies:1,intentional_walks:0
pos:2B,name:Roberto Alomar,age:36,games:18,plate_appearances:65,at_bats:61,runs:4,hits:11,doubles:1,triples:0,home_runs:1,runs_batted_in:8,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:13,batting_avg:.180,onbase:.203,slugging:.246,ops:erc">.246,ops+:lugging">.449,bases:15,double_plays:2,hit_by_pitch:0,sac_hits:1,sac_flies:1,intentional_walks:0
pos:MI,name:Wilson Valdez,age:26,games:19,plate_appearances:46,at_bats:43,runs:8,hits:10,doubles:1,triples:0,home_runs:1,runs_batted_in:4,stolen_bases:1,caught_stealing:2,walks:2,strikeouts:5,batting_avg:.233,onbase:.267,slugging:.326,ops:erc">.326,ops+:lugging">.592,bases:14,double_plays:1,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:IF,name:Kelly Dransfeldt,age:29,games:15,plate_appearances:30,at_bats:30,runs:5,hits:10,doubles:0,triples:0,home_runs:0,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:6,batting_avg:.333,onbase:.333,slugging:.333,ops:erc">.333,ops+:lugging">.667,bases:10,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Esteban Loaiza,age:32,games:2,plate_appearances:5,at_bats:5,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Mark Buehrle,age:25,games:2,plate_appearances:5,at_bats:3,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
pos:P,name:Jon Garland,age:24,games:2,plate_appearances:5,at_bats:4,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.250,onbase:.250,slugging:.250,ops:erc">.250,ops+:lugging">.500,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Scott Schoeneweis,age:30,games:1,plate_appearances:2,at_bats:2,runs:0,hits:1,doubles:1,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.500,onbase:.500,slugging:1.000,ops:erc">1.000,ops+:lugging">1.500,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Arnie Munoz,age:22,games:1,plate_appearances:1,at_bats:1,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Neal Cotts,age:24,games:3,plate_appearances:1,at_bats:1,runs:0,hits:1,doubles:1,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:1.000,onbase:1.000,slugging:2.000,ops:erc">2.000,ops+:lugging">3.000,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Felix Diaz,age:23,games:1,plate_appearances:1,at_bats:1,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Damaso Marte,age:29,games:4,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Shingo Takatsu,age:35,games:3,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Jon Adkins,age:26,games:3,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Michael Jackson,age:39,games:3,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Jon Rauch,age:25,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Billy Koch,age:29,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Dan Wright,age:26,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Josh Stewart,age:25,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
