pos:C,name:Johnny Bench,age:31,games:130,plate_appearances:538,at_bats:464,runs:73,hits:128,doubles:19,triples:0,home_runs:22,runs_batted_in:80,stolen_bases:4,caught_stealing:2,walks:67,strikeouts:73,batting_avg:.276,onbase:.364,slugging:.459,ops:erc">.459,ops+:lugging">.824,bases:213,double_plays:11,hit_by_pitch:0,sac_hits:3,sac_flies:4,intentional_walks:8
pos:1B,name:Dan Driessen,age:27,games:150,plate_appearances:589,at_bats:515,runs:72,hits:129,doubles:24,triples:3,home_runs:18,runs_batted_in:75,stolen_bases:11,caught_stealing:5,walks:62,strikeouts:77,batting_avg:.250,onbase:.330,slugging:.414,ops:erc">.414,ops+:lugging">.744,bases:213,double_plays:6,hit_by_pitch:3,sac_hits:2,sac_flies:7,intentional_walks:11
pos:2B,name:Joe Morgan,age:35,games:127,plate_appearances:538,at_bats:436,runs:70,hits:109,doubles:26,triples:1,home_runs:9,runs_batted_in:32,stolen_bases:28,caught_stealing:6,walks:93,strikeouts:45,batting_avg:.250,onbase:.379,slugging:.376,ops:erc">.376,ops+:lugging">.756,bases:164,double_plays:8,hit_by_pitch:1,sac_hits:3,sac_flies:5,intentional_walks:11
pos:SS,name:Dave Concepcion,age:31,games:149,plate_appearances:666,at_bats:590,runs:91,hits:166,doubles:25,triples:3,home_runs:16,runs_batted_in:84,stolen_bases:19,caught_stealing:7,walks:64,strikeouts:73,batting_avg:.281,onbase:.348,slugging:.415,ops:erc">.415,ops+:lugging">.764,bases:245,double_plays:18,hit_by_pitch:0,sac_hits:6,sac_flies:6,intentional_walks:5
pos:3B,name:Ray Knight,age:26,games:150,plate_appearances:604,at_bats:551,runs:64,hits:175,doubles:37,triples:4,home_runs:10,runs_batted_in:79,stolen_bases:4,caught_stealing:4,walks:38,strikeouts:57,batting_avg:.318,onbase:.360,slugging:.454,ops:erc">.454,ops+:lugging">.814,bases:250,double_plays:20,hit_by_pitch:3,sac_hits:4,sac_flies:8,intentional_walks:4
pos:LF,name:George Foster,age:30,games:121,plate_appearances:505,at_bats:440,runs:68,hits:133,doubles:18,triples:3,home_runs:30,runs_batted_in:98,stolen_bases:0,caught_stealing:2,walks:59,strikeouts:105,batting_avg:.302,onbase:.386,slugging:.561,ops:erc">.561,ops+:lugging">.948,bases:247,double_plays:11,hit_by_pitch:3,sac_hits:0,sac_flies:3,intentional_walks:7
pos:CF,name:Cesar Geronimo,age:31,games:123,plate_appearances:400,at_bats:356,runs:38,hits:85,doubles:17,triples:4,home_runs:4,runs_batted_in:38,stolen_bases:1,caught_stealing:1,walks:37,strikeouts:56,batting_avg:.239,onbase:.312,slugging:.343,ops:erc">.343,ops+:lugging">.655,bases:122,double_plays:8,hit_by_pitch:2,sac_hits:3,sac_flies:2,intentional_walks:11
pos:RF,name:Ken Griffey,age:29,games:95,plate_appearances:420,at_bats:380,runs:62,hits:120,doubles:27,triples:4,home_runs:8,runs_batted_in:32,stolen_bases:12,caught_stealing:5,walks:36,strikeouts:39,batting_avg:.316,onbase:.374,slugging:.471,ops:erc">.471,ops+:lugging">.845,bases:179,double_plays:7,hit_by_pitch:1,sac_hits:0,sac_flies:3,intentional_walks:3
pos:OF,name:Dave Collins,age:26,games:122,plate_appearances:429,at_bats:396,runs:59,hits:126,doubles:16,triples:4,home_runs:3,runs_batted_in:35,stolen_bases:16,caught_stealing:9,walks:27,strikeouts:48,batting_avg:.318,onbase:.364,slugging:.402,ops:erc">.402,ops+:lugging">.765,bases:159,double_plays:6,hit_by_pitch:2,sac_hits:3,sac_flies:1,intentional_walks:2
pos:2B,name:Junior Kennedy,age:28,games:83,plate_appearances:250,at_bats:220,runs:29,hits:60,doubles:7,triples:0,home_runs:1,runs_batted_in:17,stolen_bases:4,caught_stealing:3,walks:28,strikeouts:31,batting_avg:.273,onbase:.355,slugging:.318,ops:erc">.318,ops+:lugging">.673,bases:70,double_plays:4,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
pos:OF,name:Hector Cruz,age:26,games:74,plate_appearances:215,at_bats:182,runs:24,hits:44,doubles:10,triples:2,home_runs:4,runs_batted_in:27,stolen_bases:0,caught_stealing:1,walks:31,strikeouts:39,batting_avg:.242,onbase:.350,slugging:.385,ops:erc">.385,ops+:lugging">.735,bases:70,double_plays:8,hit_by_pitch:0,sac_hits:1,sac_flies:1,intentional_walks:3
pos:CF,name:Paul Blair,age:35,games:75,plate_appearances:155,at_bats:140,runs:7,hits:21,doubles:4,triples:1,home_runs:2,runs_batted_in:15,stolen_bases:0,caught_stealing:0,walks:11,strikeouts:27,batting_avg:.150,onbase:.209,slugging:.236,ops:erc">.236,ops+:lugging">.445,bases:33,double_plays:4,hit_by_pitch:0,sac_hits:2,sac_flies:2,intentional_walks:3
pos:C,name:Vic Correll,age:33,games:48,plate_appearances:150,at_bats:133,runs:14,hits:31,doubles:12,triples:0,home_runs:1,runs_batted_in:15,stolen_bases:0,caught_stealing:0,walks:14,strikeouts:26,batting_avg:.233,onbase:.309,slugging:.346,ops:erc">.346,ops+:lugging">.655,bases:46,double_plays:3,hit_by_pitch:1,sac_hits:1,sac_flies:1,intentional_walks:2
pos:IF,name:Rick Auerbach,age:29,games:62,plate_appearances:116,at_bats:100,runs:17,hits:21,doubles:8,triples:1,home_runs:1,runs_batted_in:12,stolen_bases:0,caught_stealing:1,walks:14,strikeouts:19,batting_avg:.210,onbase:.304,slugging:.340,ops:erc">.340,ops+:lugging">.644,bases:34,double_plays:1,hit_by_pitch:0,sac_hits:1,sac_flies:1,intentional_walks:1
pos:UT,name:Champ Summers,age:33,games:27,plate_appearances:74,at_bats:60,runs:10,hits:12,doubles:2,triples:1,home_runs:1,runs_batted_in:11,stolen_bases:0,caught_stealing:1,walks:13,strikeouts:15,batting_avg:.200,onbase:.351,slugging:.317,ops:erc">.317,ops+:lugging">.668,bases:19,double_plays:1,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:0
pos:CI,name:Harry Spilman,age:24,games:43,plate_appearances:65,at_bats:56,runs:7,hits:12,doubles:3,triples:0,home_runs:0,runs_batted_in:5,stolen_bases:0,caught_stealing:0,walks:7,strikeouts:5,batting_avg:.214,onbase:.323,slugging:.268,ops:erc">.268,ops+:lugging">.591,bases:15,double_plays:1,hit_by_pitch:2,sac_hits:0,sac_flies:0,intentional_walks:2
pos:UT,name:Arturo DeFreites,age:26,games:23,plate_appearances:35,at_bats:34,runs:2,hits:7,doubles:2,triples:0,home_runs:0,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:16,batting_avg:.206,onbase:.200,slugging:.265,ops:erc">.265,ops+:lugging">.465,bases:9,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:OF,name:Ken Henderson,age:33,games:10,plate_appearances:13,at_bats:13,runs:1,hits:3,doubles:1,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.231,onbase:.231,slugging:.308,ops:erc">.308,ops+:lugging">.538,bases:4,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos: ,name:Rafael Santo Domingo,age:23,games:7,plate_appearances:7,at_bats:6,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:3,batting_avg:.167,onbase:.286,slugging:.167,ops:erc">.167,ops+:lugging">.452,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:SS,name:Ron Oester,age:23,games:6,plate_appearances:3,at_bats:3,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
