pos:C,name:Benito Santiago,age:30,games:81,plate_appearances:296,at_bats:266,runs:40,hits:76,doubles:20,triples:0,home_runs:11,runs_batted_in:44,stolen_bases:2,caught_stealing:2,walks:24,strikeouts:48,batting_avg:.286,onbase:.351,slugging:.485,ops:erc">.485,ops+:lugging">.836,bases:129,double_plays:7,hit_by_pitch:4,sac_hits:0,sac_flies:2,intentional_walks:1
pos:1B,name:Hal Morris,age:30,games:101,plate_appearances:391,at_bats:359,runs:53,hits:100,doubles:25,triples:2,home_runs:11,runs_batted_in:51,stolen_bases:1,caught_stealing:1,walks:29,strikeouts:58,batting_avg:.279,onbase:.333,slugging:.451,ops:erc">.451,ops+:lugging">.785,bases:162,double_plays:10,hit_by_pitch:1,sac_hits:1,sac_flies:1,intentional_walks:7
pos:2B,name:Bret Boone,age:26,games:138,plate_appearances:571,at_bats:513,runs:63,hits:137,doubles:34,triples:2,home_runs:15,runs_batted_in:68,stolen_bases:5,caught_stealing:1,walks:41,strikeouts:84,batting_avg:.267,onbase:.326,slugging:.429,ops:erc">.429,ops+:lugging">.755,bases:220,double_plays:14,hit_by_pitch:6,sac_hits:5,sac_flies:5,intentional_walks:0
pos:SS,name:Barry Larkin,age:31,games:131,plate_appearances:567,at_bats:496,runs:98,hits:158,doubles:29,triples:6,home_runs:15,runs_batted_in:66,stolen_bases:51,caught_stealing:5,walks:61,strikeouts:49,batting_avg:.319,onbase:.394,slugging:.492,ops:erc">.492,ops+:lugging">.886,bases:244,double_plays:6,hit_by_pitch:3,sac_hits:3,sac_flies:4,intentional_walks:2
pos:3B,name:Jeff Branson,age:28,games:122,plate_appearances:384,at_bats:331,runs:43,hits:86,doubles:18,triples:2,home_runs:12,runs_batted_in:45,stolen_bases:2,caught_stealing:1,walks:44,strikeouts:69,batting_avg:.260,onbase:.345,slugging:.435,ops:erc">.435,ops+:lugging">.780,bases:144,double_plays:9,hit_by_pitch:2,sac_hits:1,sac_flies:6,intentional_walks:14
pos:LF,name:Ron Gant,age:30,games:119,plate_appearances:493,at_bats:410,runs:79,hits:113,doubles:19,triples:4,home_runs:29,runs_batted_in:88,stolen_bases:23,caught_stealing:8,walks:74,strikeouts:108,batting_avg:.276,onbase:.386,slugging:.554,ops:erc">.554,ops+:lugging">.940,bases:227,double_plays:11,hit_by_pitch:3,sac_hits:1,sac_flies:5,intentional_walks:5
pos:CF,name:Darren Lewis,age:27,games:58,plate_appearances:187,at_bats:163,runs:19,hits:40,doubles:3,triples:0,home_runs:0,runs_batted_in:8,stolen_bases:11,caught_stealing:11,walks:17,strikeouts:20,batting_avg:.245,onbase:.324,slugging:.264,ops:erc">.264,ops+:lugging">.588,bases:43,double_plays:3,hit_by_pitch:2,sac_hits:5,sac_flies:0,intentional_walks:0
pos:RF,name:Reggie Sanders,age:27,games:133,plate_appearances:567,at_bats:484,runs:91,hits:148,doubles:36,triples:6,home_runs:28,runs_batted_in:99,stolen_bases:36,caught_stealing:12,walks:69,strikeouts:122,batting_avg:.306,onbase:.397,slugging:.579,ops:erc">.579,ops+:lugging">.975,bases:280,double_plays:9,hit_by_pitch:8,sac_hits:0,sac_flies:6,intentional_walks:4
pos:OF,name:Thomas Howard,age:30,games:113,plate_appearances:304,at_bats:281,runs:42,hits:85,doubles:15,triples:2,home_runs:3,runs_batted_in:26,stolen_bases:17,caught_stealing:8,walks:20,strikeouts:37,batting_avg:.302,onbase:.350,slugging:.402,ops:erc">.402,ops+:lugging">.752,bases:113,double_plays:3,hit_by_pitch:1,sac_hits:1,sac_flies:1,intentional_walks:0
pos:C,name:Ed Taubensee,age:26,games:80,plate_appearances:244,at_bats:218,runs:32,hits:62,doubles:14,triples:2,home_runs:9,runs_batted_in:44,stolen_bases:2,caught_stealing:2,walks:22,strikeouts:52,batting_avg:.284,onbase:.354,slugging:.491,ops:erc">.491,ops+:lugging">.845,bases:107,double_plays:2,hit_by_pitch:2,sac_hits:1,sac_flies:1,intentional_walks:2
pos:CI,name:Lenny Harris,age:30,games:101,plate_appearances:215,at_bats:197,runs:32,hits:41,doubles:8,triples:3,home_runs:2,runs_batted_in:16,stolen_bases:10,caught_stealing:1,walks:14,strikeouts:20,batting_avg:.208,onbase:.259,slugging:.310,ops:erc">.310,ops+:lugging">.569,bases:61,double_plays:6,hit_by_pitch:0,sac_hits:3,sac_flies:1,intentional_walks:0
