pos:C,name:Ryan Hanigan,age:31,games:112,plate_appearances:371,at_bats:317,runs:25,hits:87,doubles:14,triples:0,home_runs:2,runs_batted_in:24,stolen_bases:0,caught_stealing:0,walks:44,strikeouts:37,batting_avg:.274,onbase:.365,slugging:.338,ops:erc">.338,ops+:lugging">.703,bases:107,double_plays:6,hit_by_pitch:3,sac_hits:4,sac_flies:3,intentional_walks:13
pos:1B,name:Joey Votto,age:28,games:111,plate_appearances:475,at_bats:374,runs:59,hits:126,doubles:44,triples:0,home_runs:14,runs_batted_in:56,stolen_bases:5,caught_stealing:3,walks:94,strikeouts:85,batting_avg:.337,onbase:.474,slugging:.567,ops:erc">.567,ops+:lugging">1.041,bases:212,double_plays:8,hit_by_pitch:5,sac_hits:0,sac_flies:2,intentional_walks:18
pos:2B,name:Brandon Phillips,age:31,games:147,plate_appearances:623,at_bats:580,runs:86,hits:163,doubles:30,triples:1,home_runs:18,runs_batted_in:77,stolen_bases:15,caught_stealing:2,walks:28,strikeouts:79,batting_avg:.281,onbase:.321,slugging:.429,ops:erc">.429,ops+:lugging">.750,bases:249,double_plays:19,hit_by_pitch:8,sac_hits:3,sac_flies:4,intentional_walks:2
pos:SS,name:Zack Cozart,age:26,games:138,plate_appearances:600,at_bats:561,runs:72,hits:138,doubles:33,triples:4,home_runs:15,runs_batted_in:35,stolen_bases:4,caught_stealing:0,walks:31,strikeouts:113,batting_avg:.246,onbase:.288,slugging:.399,ops:erc">.399,ops+:lugging">.687,bases:224,double_plays:11,hit_by_pitch:3,sac_hits:2,sac_flies:3,intentional_walks:0
pos:3B,name:Scott Rolen,age:37,games:92,plate_appearances:330,at_bats:294,runs:26,hits:72,doubles:17,triples:2,home_runs:8,runs_batted_in:39,stolen_bases:2,caught_stealing:1,walks:30,strikeouts:62,batting_avg:.245,onbase:.318,slugging:.398,ops:erc">.398,ops+:lugging">.716,bases:117,double_plays:5,hit_by_pitch:3,sac_hits:0,sac_flies:3,intentional_walks:0
pos:LF,name:Ryan Ludwick,age:33,games:125,plate_appearances:472,at_bats:422,runs:53,hits:116,doubles:28,triples:1,home_runs:26,runs_batted_in:80,stolen_bases:0,caught_stealing:1,walks:42,strikeouts:97,batting_avg:.275,onbase:.346,slugging:.531,ops:erc">.531,ops+:lugging">.877,bases:224,double_plays:9,hit_by_pitch:5,sac_hits:1,sac_flies:2,intentional_walks:3
pos:CF,name:Drew Stubbs,age:27,games:136,plate_appearances:544,at_bats:493,runs:75,hits:105,doubles:13,triples:2,home_runs:14,runs_batted_in:40,stolen_bases:30,caught_stealing:7,walks:42,strikeouts:166,batting_avg:.213,onbase:.277,slugging:.333,ops:erc">.333,ops+:lugging">.610,bases:164,double_plays:2,hit_by_pitch:2,sac_hits:6,sac_flies:1,intentional_walks:0
pos:RF,name:Jay Bruce,age:25,games:155,plate_appearances:633,at_bats:560,runs:89,hits:141,doubles:35,triples:5,home_runs:34,runs_batted_in:99,stolen_bases:9,caught_stealing:3,walks:62,strikeouts:155,batting_avg:.252,onbase:.327,slugging:.514,ops:erc">.514,ops+:lugging">.841,bases:288,double_plays:5,hit_by_pitch:4,sac_hits:0,sac_flies:7,intentional_walks:11
pos:CI,name:Todd Frazier,age:26,games:128,plate_appearances:465,at_bats:422,runs:55,hits:115,doubles:26,triples:6,home_runs:19,runs_batted_in:67,stolen_bases:3,caught_stealing:2,walks:36,strikeouts:103,batting_avg:.273,onbase:.331,slugging:.498,ops:erc">.498,ops+:lugging">.829,bases:210,double_plays:9,hit_by_pitch:3,sac_hits:0,sac_flies:4,intentional_walks:1
pos:OF,name:Chris Heisey,age:27,games:120,plate_appearances:375,at_bats:347,runs:44,hits:92,doubles:16,triples:5,home_runs:7,runs_batted_in:31,stolen_bases:6,caught_stealing:3,walks:18,strikeouts:81,batting_avg:.265,onbase:.315,slugging:.401,ops:erc">.401,ops+:lugging">.715,bases:139,double_plays:8,hit_by_pitch:7,sac_hits:3,sac_flies:0,intentional_walks:0
pos:SS,name:Wilson Valdez,age:34,games:77,plate_appearances:208,at_bats:194,runs:15,hits:40,doubles:4,triples:0,home_runs:0,runs_batted_in:15,stolen_bases:3,caught_stealing:1,walks:8,strikeouts:36,batting_avg:.206,onbase:.236,slugging:.227,ops:erc">.227,ops+:lugging">.463,bases:44,double_plays:4,hit_by_pitch:0,sac_hits:5,sac_flies:1,intentional_walks:0
