pos:C,name:Devin Mesoraco,age:26,games:114,plate_appearances:440,at_bats:384,runs:54,hits:105,doubles:25,triples:0,home_runs:25,runs_batted_in:80,stolen_bases:1,caught_stealing:3,walks:41,strikeouts:103,batting_avg:.273,onbase:.359,slugging:.534,ops:erc">.534,ops+:lugging">.893,bases:205,double_plays:5,hit_by_pitch:12,sac_hits:0,sac_flies:3,intentional_walks:4
pos:1B,name:Joey Votto,age:30,games:62,plate_appearances:272,at_bats:220,runs:32,hits:56,doubles:16,triples:0,home_runs:6,runs_batted_in:23,stolen_bases:1,caught_stealing:1,walks:47,strikeouts:49,batting_avg:.255,onbase:.390,slugging:.409,ops:erc">.409,ops+:lugging">.799,bases:90,double_plays:5,hit_by_pitch:3,sac_hits:0,sac_flies:2,intentional_walks:2
pos:2B,name:Brandon Phillips,age:33,games:121,plate_appearances:499,at_bats:462,runs:44,hits:123,doubles:25,triples:0,home_runs:8,runs_batted_in:51,stolen_bases:2,caught_stealing:3,walks:23,strikeouts:74,batting_avg:.266,onbase:.306,slugging:.372,ops:erc">.372,ops+:lugging">.678,bases:172,double_plays:13,hit_by_pitch:6,sac_hits:2,sac_flies:6,intentional_walks:1
pos:SS,name:Zack Cozart,age:28,games:147,plate_appearances:543,at_bats:506,runs:48,hits:112,doubles:18,triples:5,home_runs:4,runs_batted_in:38,stolen_bases:7,caught_stealing:0,walks:25,strikeouts:79,batting_avg:.221,onbase:.268,slugging:.300,ops:erc">.300,ops+:lugging">.568,bases:152,double_plays:13,hit_by_pitch:7,sac_hits:5,sac_flies:0,intentional_walks:3
pos:3B,name:Todd Frazier,age:28,games:157,plate_appearances:660,at_bats:597,runs:88,hits:163,doubles:22,triples:1,home_runs:29,runs_batted_in:80,stolen_bases:20,caught_stealing:8,walks:52,strikeouts:139,batting_avg:.273,onbase:.336,slugging:.459,ops:erc">.459,ops+:lugging">.795,bases:274,double_plays:9,hit_by_pitch:7,sac_hits:0,sac_flies:4,intentional_walks:2
pos:LF,name:Ryan Ludwick,age:35,games:112,plate_appearances:400,at_bats:357,runs:28,hits:87,doubles:20,triples:0,home_runs:9,runs_batted_in:45,stolen_bases:0,caught_stealing:2,walks:31,strikeouts:94,batting_avg:.244,onbase:.308,slugging:.375,ops:erc">.375,ops+:lugging">.683,bases:134,double_plays:6,hit_by_pitch:4,sac_hits:1,sac_flies:4,intentional_walks:1
pos:CF,name:Billy Hamilton,age:23,games:152,plate_appearances:611,at_bats:563,runs:72,hits:141,doubles:25,triples:8,home_runs:6,runs_batted_in:48,stolen_bases:56,caught_stealing:23,walks:34,strikeouts:117,batting_avg:.250,onbase:.292,slugging:.355,ops:erc">.355,ops+:lugging">.648,bases:200,double_plays:1,hit_by_pitch:1,sac_hits:9,sac_flies:4,intentional_walks:0
pos:RF,name:Jay Bruce,age:27,games:137,plate_appearances:545,at_bats:493,runs:71,hits:107,doubles:21,triples:1,home_runs:18,runs_batted_in:66,stolen_bases:12,caught_stealing:3,walks:44,strikeouts:149,batting_avg:.217,onbase:.281,slugging:.373,ops:erc">.373,ops+:lugging">.654,bases:184,double_plays:8,hit_by_pitch:2,sac_hits:1,sac_flies:5,intentional_walks:5
pos:UT,name:Brayan Pena,age:32,games:115,plate_appearances:372,at_bats:348,runs:23,hits:88,doubles:18,triples:1,home_runs:5,runs_batted_in:26,stolen_bases:2,caught_stealing:3,walks:20,strikeouts:42,batting_avg:.253,onbase:.291,slugging:.353,ops:erc">.353,ops+:lugging">.645,bases:123,double_plays:8,hit_by_pitch:0,sac_hits:1,sac_flies:3,intentional_walks:2
pos:LF,name:Chris Heisey,age:29,games:119,plate_appearances:299,at_bats:275,runs:34,hits:61,doubles:15,triples:2,home_runs:8,runs_batted_in:22,stolen_bases:9,caught_stealing:2,walks:15,strikeouts:64,batting_avg:.222,onbase:.265,slugging:.378,ops:erc">.378,ops+:lugging">.643,bases:104,double_plays:3,hit_by_pitch:2,sac_hits:5,sac_flies:2,intentional_walks:0
pos:LF,name:Skip Schumaker,age:34,games:83,plate_appearances:271,at_bats:247,runs:22,hits:58,doubles:12,triples:0,home_runs:2,runs_batted_in:22,stolen_bases:2,caught_stealing:1,walks:18,strikeouts:50,batting_avg:.235,onbase:.287,slugging:.308,ops:erc">.308,ops+:lugging">.595,bases:76,double_plays:3,hit_by_pitch:1,sac_hits:3,sac_flies:2,intentional_walks:0
