pos:C,name:Dave Duncan,age:27,games:95,plate_appearances:383,at_bats:344,runs:43,hits:80,doubles:11,triples:1,home_runs:17,runs_batted_in:43,stolen_bases:3,caught_stealing:3,walks:35,strikeouts:86,batting_avg:.233,onbase:.309,slugging:.419,ops:erc">.419,ops+:lugging">.728,bases:144,double_plays:6,hit_by_pitch:3,sac_hits:1,sac_flies:0,intentional_walks:1
pos:1B,name:Chris Chambliss,age:24,games:155,plate_appearances:636,at_bats:572,runs:70,hits:156,doubles:30,triples:2,home_runs:11,runs_batted_in:53,stolen_bases:4,caught_stealing:8,walks:58,strikeouts:76,batting_avg:.273,onbase:.342,slugging:.390,ops:erc">.390,ops+:lugging">.732,bases:223,double_plays:14,hit_by_pitch:3,sac_hits:1,sac_flies:2,intentional_walks:8
pos:2B,name:Jack Brohamer,age:23,games:102,plate_appearances:340,at_bats:300,runs:29,hits:66,doubles:12,triples:1,home_runs:4,runs_batted_in:29,stolen_bases:0,caught_stealing:2,walks:32,strikeouts:23,batting_avg:.220,onbase:.291,slugging:.307,ops:erc">.307,ops+:lugging">.597,bases:92,double_plays:5,hit_by_pitch:0,sac_hits:3,sac_flies:5,intentional_walks:3
pos:SS,name:Frank Duffy,age:26,games:116,plate_appearances:395,at_bats:361,runs:34,hits:95,doubles:16,triples:4,home_runs:8,runs_batted_in:50,stolen_bases:6,caught_stealing:6,walks:25,strikeouts:41,batting_avg:.263,onbase:.312,slugging:.396,ops:erc">.396,ops+:lugging">.708,bases:143,double_plays:12,hit_by_pitch:2,sac_hits:4,sac_flies:3,intentional_walks:0
pos:3B,name:Buddy Bell,age:21,games:156,plate_appearances:689,at_bats:631,runs:86,hits:169,doubles:23,triples:7,home_runs:14,runs_batted_in:59,stolen_bases:7,caught_stealing:15,walks:49,strikeouts:47,batting_avg:.268,onbase:.325,slugging:.393,ops:erc">.393,ops+:lugging">.718,bases:248,double_plays:13,hit_by_pitch:6,sac_hits:0,sac_flies:3,intentional_walks:2
pos:LF,name:Charlie Spikes,age:22,games:140,plate_appearances:561,at_bats:506,runs:68,hits:120,doubles:12,triples:3,home_runs:23,runs_batted_in:73,stolen_bases:5,caught_stealing:3,walks:45,strikeouts:103,batting_avg:.237,onbase:.303,slugging:.409,ops:erc">.409,ops+:lugging">.712,bases:207,double_plays:12,hit_by_pitch:5,sac_hits:0,sac_flies:5,intentional_walks:1
pos:CF,name:George Hendrick,age:23,games:113,plate_appearances:473,at_bats:440,runs:64,hits:118,doubles:18,triples:0,home_runs:21,runs_batted_in:61,stolen_bases:7,caught_stealing:6,walks:25,strikeouts:71,batting_avg:.268,onbase:.308,slugging:.452,ops:erc">.452,ops+:lugging">.760,bases:199,double_plays:9,hit_by_pitch:2,sac_hits:2,sac_flies:4,intentional_walks:1
pos:RF,name:Rusty Torres,age:24,games:122,plate_appearances:376,at_bats:312,runs:31,hits:64,doubles:8,triples:1,home_runs:7,runs_batted_in:28,stolen_bases:6,caught_stealing:5,walks:50,strikeouts:62,batting_avg:.205,onbase:.317,slugging:.304,ops:erc">.304,ops+:lugging">.622,bases:95,double_plays:7,hit_by_pitch:3,sac_hits:7,sac_flies:4,intentional_walks:5
pos:DH,name:Oscar Gamble,age:23,games:113,plate_appearances:432,at_bats:390,runs:56,hits:104,doubles:11,triples:3,home_runs:20,runs_batted_in:44,stolen_bases:3,caught_stealing:4,walks:34,strikeouts:37,batting_avg:.267,onbase:.329,slugging:.464,ops:erc">.464,ops+:lugging">.793,bases:181,double_plays:4,hit_by_pitch:3,sac_hits:3,sac_flies:2,intentional_walks:1
pos:C,name:John Ellis,age:24,games:127,plate_appearances:494,at_bats:437,runs:59,hits:118,doubles:12,triples:2,home_runs:14,runs_batted_in:68,stolen_bases:0,caught_stealing:0,walks:46,strikeouts:57,batting_avg:.270,onbase:.339,slugging:.403,ops:erc">.403,ops+:lugging">.741,bases:176,double_plays:13,hit_by_pitch:3,sac_hits:1,sac_flies:7,intentional_walks:2
pos:LF,name:Walt Williams,age:29,games:104,plate_appearances:371,at_bats:350,runs:43,hits:101,doubles:15,triples:1,home_runs:8,runs_batted_in:38,stolen_bases:9,caught_stealing:4,walks:14,strikeouts:29,batting_avg:.289,onbase:.316,slugging:.406,ops:erc">.406,ops+:lugging">.722,bases:142,double_plays:8,hit_by_pitch:1,sac_hits:4,sac_flies:2,intentional_walks:2
pos:UT,name:John Lowenstein,age:26,games:98,plate_appearances:335,at_bats:305,runs:42,hits:89,doubles:16,triples:1,home_runs:6,runs_batted_in:40,stolen_bases:5,caught_stealing:3,walks:23,strikeouts:41,batting_avg:.292,onbase:.338,slugging:.410,ops:erc">.410,ops+:lugging">.748,bases:125,double_plays:9,hit_by_pitch:0,sac_hits:3,sac_flies:3,intentional_walks:0
pos:SS,name:Leo Cardenas,age:34,games:72,plate_appearances:212,at_bats:195,runs:9,hits:42,doubles:4,triples:0,home_runs:0,runs_batted_in:12,stolen_bases:1,caught_stealing:4,walks:13,strikeouts:42,batting_avg:.215,onbase:.264,slugging:.236,ops:erc">.236,ops+:lugging">.500,bases:46,double_plays:5,hit_by_pitch:0,sac_hits:4,sac_flies:0,intentional_walks:0
pos:2B,name:Tom Ragland,age:27,games:67,plate_appearances:198,at_bats:183,runs:16,hits:47,doubles:7,triples:1,home_runs:0,runs_batted_in:12,stolen_bases:2,caught_stealing:3,walks:8,strikeouts:31,batting_avg:.257,onbase:.292,slugging:.306,ops:erc">.306,ops+:lugging">.598,bases:56,double_plays:3,hit_by_pitch:1,sac_hits:6,sac_flies:0,intentional_walks:0
pos:RF,name:Ron Lolich,age:26,games:61,plate_appearances:148,at_bats:140,runs:16,hits:32,doubles:7,triples:0,home_runs:2,runs_batted_in:15,stolen_bases:0,caught_stealing:2,walks:7,strikeouts:27,batting_avg:.229,onbase:.265,slugging:.321,ops:erc">.321,ops+:lugging">.587,bases:45,double_plays:3,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:OF,name:Ted Ford,age:26,games:11,plate_appearances:44,at_bats:40,runs:3,hits:9,doubles:0,triples:1,home_runs:0,runs_batted_in:3,stolen_bases:1,caught_stealing:0,walks:2,strikeouts:7,batting_avg:.225,onbase:.250,slugging:.275,ops:erc">.275,ops+:lugging">.525,bases:11,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:2,intentional_walks:0
pos:OF,name:Tommy Smith,age:24,games:14,plate_appearances:42,at_bats:41,runs:6,hits:10,doubles:2,triples:0,home_runs:2,runs_batted_in:3,stolen_bases:1,caught_stealing:0,walks:1,strikeouts:2,batting_avg:.244,onbase:.262,slugging:.439,ops:erc">.439,ops+:lugging">.701,bases:18,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:C,name:Alan Ashby,age:21,games:11,plate_appearances:31,at_bats:29,runs:4,hits:5,doubles:1,triples:0,home_runs:1,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:11,batting_avg:.172,onbase:.226,slugging:.310,ops:erc">.310,ops+:lugging">.536,bases:9,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
