pos:C,name:Tony Pena,age:38,games:91,plate_appearances:279,at_bats:263,runs:25,hits:69,doubles:15,triples:0,home_runs:5,runs_batted_in:28,stolen_bases:1,caught_stealing:0,walks:14,strikeouts:44,batting_avg:.262,onbase:.302,slugging:.376,ops:erc">.376,ops+:lugging">.679,bases:99,double_plays:9,hit_by_pitch:1,sac_hits:1,sac_flies:0,intentional_walks:1
pos:1B,name:Paul Sorrento,age:29,games:104,plate_appearances:378,at_bats:323,runs:50,hits:76,doubles:14,triples:0,home_runs:25,runs_batted_in:79,stolen_bases:1,caught_stealing:1,walks:51,strikeouts:71,batting_avg:.235,onbase:.336,slugging:.511,ops:erc">.511,ops+:lugging">.847,bases:165,double_plays:10,hit_by_pitch:0,sac_hits:0,sac_flies:4,intentional_walks:6
pos:2B,name:Carlos Baerga,age:26,games:135,plate_appearances:600,at_bats:557,runs:87,hits:175,doubles:28,triples:2,home_runs:15,runs_batted_in:90,stolen_bases:11,caught_stealing:2,walks:35,strikeouts:31,batting_avg:.314,onbase:.355,slugging:.452,ops:erc">.452,ops+:lugging">.807,bases:252,double_plays:15,hit_by_pitch:3,sac_hits:0,sac_flies:5,intentional_walks:6
pos:SS,name:Omar Vizquel,age:28,games:136,plate_appearances:622,at_bats:542,runs:87,hits:144,doubles:28,triples:0,home_runs:6,runs_batted_in:56,stolen_bases:29,caught_stealing:11,walks:59,strikeouts:59,batting_avg:.266,onbase:.333,slugging:.351,ops:erc">.351,ops+:lugging">.684,bases:190,double_plays:4,hit_by_pitch:1,sac_hits:10,sac_flies:10,intentional_walks:0
pos:3B,name:Jim Thome,age:24,games:137,plate_appearances:557,at_bats:452,runs:92,hits:142,doubles:29,triples:3,home_runs:25,runs_batted_in:73,stolen_bases:4,caught_stealing:3,walks:97,strikeouts:113,batting_avg:.314,onbase:.438,slugging:.558,ops:erc">.558,ops+:lugging">.996,bases:252,double_plays:8,hit_by_pitch:5,sac_hits:0,sac_flies:3,intentional_walks:3
pos:LF,name:Albert Belle,age:28,games:143,plate_appearances:631,at_bats:546,runs:121,hits:173,doubles:52,triples:1,home_runs:50,runs_batted_in:126,stolen_bases:5,caught_stealing:2,walks:73,strikeouts:80,batting_avg:.317,onbase:.401,slugging:.690,ops:erc">.690,ops+:lugging">1.091,bases:377,double_plays:24,hit_by_pitch:6,sac_hits:0,sac_flies:4,intentional_walks:5
pos:CF,name:Kenny Lofton,age:28,games:118,plate_appearances:529,at_bats:481,runs:93,hits:149,doubles:22,triples:13,home_runs:7,runs_batted_in:53,stolen_bases:54,caught_stealing:15,walks:40,strikeouts:49,batting_avg:.310,onbase:.362,slugging:.453,ops:erc">.453,ops+:lugging">.815,bases:218,double_plays:6,hit_by_pitch:1,sac_hits:4,sac_flies:3,intentional_walks:6
pos:RF,name:Manny Ramirez,age:23,games:137,plate_appearances:571,at_bats:484,runs:85,hits:149,doubles:26,triples:1,home_runs:31,runs_batted_in:107,stolen_bases:6,caught_stealing:6,walks:75,strikeouts:112,batting_avg:.308,onbase:.402,slugging:.558,ops:erc">.558,ops+:lugging">.960,bases:270,double_plays:13,hit_by_pitch:5,sac_hits:2,sac_flies:5,intentional_walks:6
pos:DH,name:Eddie Murray,age:39,games:113,plate_appearances:480,at_bats:436,runs:68,hits:141,doubles:21,triples:0,home_runs:21,runs_batted_in:82,stolen_bases:5,caught_stealing:1,walks:39,strikeouts:65,batting_avg:.323,onbase:.375,slugging:.516,ops:erc">.516,ops+:lugging">.891,bases:225,double_plays:12,hit_by_pitch:0,sac_hits:0,sac_flies:5,intentional_walks:5
pos:C,name:Sandy Alomar,age:29,games:66,plate_appearances:218,at_bats:203,runs:32,hits:61,doubles:6,triples:0,home_runs:10,runs_batted_in:35,stolen_bases:3,caught_stealing:1,walks:7,strikeouts:26,batting_avg:.300,onbase:.332,slugging:.478,ops:erc">.478,ops+:lugging">.810,bases:97,double_plays:8,hit_by_pitch:3,sac_hits:4,sac_flies:1,intentional_walks:0
pos:OF,name:Wayne Kirby,age:31,games:101,plate_appearances:205,at_bats:188,runs:29,hits:39,doubles:10,triples:2,home_runs:1,runs_batted_in:14,stolen_bases:10,caught_stealing:3,walks:13,strikeouts:32,batting_avg:.207,onbase:.260,slugging:.298,ops:erc">.298,ops+:lugging">.558,bases:56,double_plays:4,hit_by_pitch:1,sac_hits:1,sac_flies:2,intentional_walks:0
pos:1B,name:Herbert Perry,age:25,games:52,plate_appearances:184,at_bats:162,runs:23,hits:51,doubles:13,triples:1,home_runs:3,runs_batted_in:23,stolen_bases:1,caught_stealing:3,walks:13,strikeouts:28,batting_avg:.315,onbase:.376,slugging:.463,ops:erc">.463,ops+:lugging">.839,bases:75,double_plays:5,hit_by_pitch:4,sac_hits:3,sac_flies:2,intentional_walks:0
pos:IF,name:Alvaro Espinoza,age:33,games:66,plate_appearances:150,at_bats:143,runs:15,hits:36,doubles:4,triples:0,home_runs:2,runs_batted_in:17,stolen_bases:0,caught_stealing:2,walks:2,strikeouts:16,batting_avg:.252,onbase:.264,slugging:.322,ops:erc">.322,ops+:lugging">.585,bases:46,double_plays:3,hit_by_pitch:1,sac_hits:2,sac_flies:2,intentional_walks:0
pos:DH,name:Dave Winfield,age:43,games:46,plate_appearances:130,at_bats:115,runs:11,hits:22,doubles:5,triples:0,home_runs:2,runs_batted_in:4,stolen_bases:1,caught_stealing:0,walks:14,strikeouts:26,batting_avg:.191,onbase:.285,slugging:.287,ops:erc">.287,ops+:lugging">.572,bases:33,double_plays:5,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:2
pos:OF,name:Ruben Amaro,age:30,games:28,plate_appearances:68,at_bats:60,runs:5,hits:12,doubles:3,triples:0,home_runs:1,runs_batted_in:7,stolen_bases:1,caught_stealing:3,walks:4,strikeouts:6,batting_avg:.200,onbase:.273,slugging:.300,ops:erc">.300,ops+:lugging">.573,bases:18,double_plays:1,hit_by_pitch:2,sac_hits:2,sac_flies:0,intentional_walks:0
pos:C,name:Eddie Tucker,age:28,games:17,plate_appearances:27,at_bats:20,runs:2,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:5,strikeouts:4,batting_avg:.000,onbase:.231,slugging:.000,ops:erc">.000,ops+:lugging">.231,bases:0,double_plays:0,hit_by_pitch:1,sac_hits:1,sac_flies:0,intentional_walks:0
pos:C,name:Jesse Levis,age:27,games:12,plate_appearances:22,at_bats:18,runs:1,hits:6,doubles:2,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:0,batting_avg:.333,onbase:.333,slugging:.444,ops:erc">.444,ops+:lugging">.778,bases:8,double_plays:1,hit_by_pitch:0,sac_hits:1,sac_flies:2,intentional_walks:0
pos:IF,name:Billy Ripken,age:30,games:8,plate_appearances:17,at_bats:17,runs:4,hits:7,doubles:0,triples:0,home_runs:2,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:3,batting_avg:.412,onbase:.412,slugging:.765,ops:erc">.765,ops+:lugging">1.176,bases:13,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:RF,name:Brian Giles,age:24,games:6,plate_appearances:9,at_bats:9,runs:6,hits:5,doubles:0,triples:0,home_runs:1,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.556,onbase:.556,slugging:.889,ops:erc">.889,ops+:lugging">1.444,bases:8,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:OF,name:Jeromy Burnitz,age:26,games:9,plate_appearances:7,at_bats:7,runs:4,hits:4,doubles:1,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.571,onbase:.571,slugging:.714,ops:erc">.714,ops+:lugging">1.286,bases:5,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:3B,name:David Bell,age:22,games:2,plate_appearances:2,at_bats:2,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Mark Clark,age:27,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
