pos:C,name:Einar Diaz,age:26,games:119,plate_appearances:427,at_bats:392,runs:43,hits:110,doubles:21,triples:1,home_runs:3,runs_batted_in:32,stolen_bases:11,caught_stealing:4,walks:23,strikeouts:41,batting_avg:.281,onbase:.328,slugging:.362,ops:erc">.362,ops+:lugging">.690,bases:142,double_plays:10,hit_by_pitch:5,sac_hits:6,sac_flies:1,intentional_walks:0
pos:1B,name:Jim Thome,age:28,games:146,plate_appearances:629,at_bats:494,runs:101,hits:137,doubles:27,triples:2,home_runs:33,runs_batted_in:108,stolen_bases:0,caught_stealing:0,walks:127,strikeouts:171,batting_avg:.277,onbase:.426,slugging:.540,ops:erc">.540,ops+:lugging">.967,bases:267,double_plays:6,hit_by_pitch:4,sac_hits:0,sac_flies:4,intentional_walks:13
pos:2B,name:Roberto Alomar,age:31,games:159,plate_appearances:694,at_bats:563,runs:138,hits:182,doubles:40,triples:3,home_runs:24,runs_batted_in:120,stolen_bases:37,caught_stealing:6,walks:99,strikeouts:96,batting_avg:.323,onbase:.422,slugging:.533,ops:erc">.533,ops+:lugging">.955,bases:300,double_plays:13,hit_by_pitch:7,sac_hits:12,sac_flies:13,intentional_walks:3
pos:SS,name:Omar Vizquel,age:32,games:144,plate_appearances:664,at_bats:574,runs:112,hits:191,doubles:36,triples:4,home_runs:5,runs_batted_in:66,stolen_bases:42,caught_stealing:9,walks:65,strikeouts:50,batting_avg:.333,onbase:.397,slugging:.436,ops:erc">.436,ops+:lugging">.833,bases:250,double_plays:8,hit_by_pitch:1,sac_hits:17,sac_flies:7,intentional_walks:0
pos:3B,name:Travis Fryman,age:30,games:85,plate_appearances:350,at_bats:322,runs:45,hits:82,doubles:16,triples:2,home_runs:10,runs_batted_in:48,stolen_bases:2,caught_stealing:1,walks:25,strikeouts:57,batting_avg:.255,onbase:.309,slugging:.410,ops:erc">.410,ops+:lugging">.719,bases:132,double_plays:13,hit_by_pitch:1,sac_hits:0,sac_flies:2,intentional_walks:1
pos:LF,name:David Justice,age:33,games:133,plate_appearances:530,at_bats:429,runs:75,hits:123,doubles:18,triples:0,home_runs:21,runs_batted_in:88,stolen_bases:1,caught_stealing:3,walks:94,strikeouts:90,batting_avg:.287,onbase:.413,slugging:.476,ops:erc">.476,ops+:lugging">.889,bases:204,double_plays:14,hit_by_pitch:2,sac_hits:0,sac_flies:5,intentional_walks:11
pos:CF,name:Kenny Lofton,age:32,games:120,plate_appearances:561,at_bats:465,runs:110,hits:140,doubles:28,triples:6,home_runs:7,runs_batted_in:39,stolen_bases:25,caught_stealing:6,walks:79,strikeouts:84,batting_avg:.301,onbase:.405,slugging:.432,ops:erc">.432,ops+:lugging">.838,bases:201,double_plays:6,hit_by_pitch:6,sac_hits:5,sac_flies:5,intentional_walks:2
pos:RF,name:Manny Ramirez,age:27,games:147,plate_appearances:640,at_bats:522,runs:131,hits:174,doubles:34,triples:3,home_runs:44,runs_batted_in:165,stolen_bases:2,caught_stealing:4,walks:96,strikeouts:131,batting_avg:.333,onbase:.442,slugging:.663,ops:erc">.663,ops+:lugging">1.105,bases:346,double_plays:12,hit_by_pitch:13,sac_hits:0,sac_flies:9,intentional_walks:9
pos:DH,name:Harold Baines,age:40,games:28,plate_appearances:96,at_bats:85,runs:5,hits:23,doubles:2,triples:0,home_runs:1,runs_batted_in:22,stolen_bases:0,caught_stealing:0,walks:11,strikeouts:10,batting_avg:.271,onbase:.354,slugging:.329,ops:erc">.329,ops+:lugging">.684,bases:28,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:UT,name:Richie Sexson,age:24,games:134,plate_appearances:525,at_bats:479,runs:72,hits:122,doubles:17,triples:7,home_runs:31,runs_batted_in:116,stolen_bases:3,caught_stealing:3,walks:34,strikeouts:117,batting_avg:.255,onbase:.305,slugging:.514,ops:erc">.514,ops+:lugging">.818,bases:246,double_plays:19,hit_by_pitch:4,sac_hits:0,sac_flies:8,intentional_walks:0
pos:IF,name:Enrique Wilson,age:25,games:113,plate_appearances:368,at_bats:332,runs:41,hits:87,doubles:22,triples:1,home_runs:2,runs_batted_in:24,stolen_bases:5,caught_stealing:4,walks:25,strikeouts:41,batting_avg:.262,onbase:.310,slugging:.352,ops:erc">.352,ops+:lugging">.663,bases:117,double_plays:12,hit_by_pitch:1,sac_hits:4,sac_flies:6,intentional_walks:1
pos:LF,name:Wil Cordero,age:27,games:54,plate_appearances:217,at_bats:194,runs:35,hits:58,doubles:15,triples:0,home_runs:8,runs_batted_in:32,stolen_bases:2,caught_stealing:0,walks:15,strikeouts:37,batting_avg:.299,onbase:.364,slugging:.500,ops:erc">.500,ops+:lugging">.864,bases:97,double_plays:7,hit_by_pitch:6,sac_hits:0,sac_flies:2,intentional_walks:0
pos:CF,name:Dave Roberts,age:27,games:41,plate_appearances:156,at_bats:143,runs:26,hits:34,doubles:4,triples:0,home_runs:2,runs_batted_in:12,stolen_bases:11,caught_stealing:3,walks:9,strikeouts:16,batting_avg:.238,onbase:.281,slugging:.308,ops:erc">.308,ops+:lugging">.589,bases:44,double_plays:0,hit_by_pitch:0,sac_hits:3,sac_flies:1,intentional_walks:0
pos:C,name:Sandy Alomar,age:33,games:37,plate_appearances:144,at_bats:137,runs:19,hits:42,doubles:13,triples:0,home_runs:6,runs_batted_in:25,stolen_bases:0,caught_stealing:1,walks:4,strikeouts:23,batting_avg:.307,onbase:.322,slugging:.533,ops:erc">.533,ops+:lugging">.855,bases:73,double_plays:1,hit_by_pitch:0,sac_hits:1,sac_flies:2,intentional_walks:0
pos:DH,name:Alex Ramirez,age:24,games:48,plate_appearances:102,at_bats:97,runs:11,hits:29,doubles:6,triples:1,home_runs:3,runs_batted_in:18,stolen_bases:1,caught_stealing:1,walks:3,strikeouts:26,batting_avg:.299,onbase:.327,slugging:.474,ops:erc">.474,ops+:lugging">.801,bases:46,double_plays:1,hit_by_pitch:1,sac_hits:1,sac_flies:0,intentional_walks:0
pos:OF,name:Jacob Cruz,age:26,games:32,plate_appearances:96,at_bats:88,runs:14,hits:29,doubles:5,triples:1,home_runs:3,runs_batted_in:17,stolen_bases:0,caught_stealing:2,walks:5,strikeouts:13,batting_avg:.330,onbase:.368,slugging:.511,ops:erc">.511,ops+:lugging">.880,bases:45,double_plays:4,hit_by_pitch:1,sac_hits:1,sac_flies:1,intentional_walks:0
pos:IF,name:Carlos Baerga,age:30,games:22,plate_appearances:63,at_bats:57,runs:4,hits:13,doubles:0,triples:0,home_runs:1,runs_batted_in:5,stolen_bases:1,caught_stealing:1,walks:4,strikeouts:10,batting_avg:.228,onbase:.274,slugging:.281,ops:erc">.281,ops+:lugging">.555,bases:16,double_plays:3,hit_by_pitch:0,sac_hits:1,sac_flies:1,intentional_walks:1
pos:3B,name:Russell Branyan,age:23,games:11,plate_appearances:42,at_bats:38,runs:4,hits:8,doubles:2,triples:0,home_runs:1,runs_batted_in:6,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:19,batting_avg:.211,onbase:.286,slugging:.342,ops:erc">.342,ops+:lugging">.628,bases:13,double_plays:0,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:0
pos:UT,name:Jolbert Cabrera,age:26,games:30,plate_appearances:39,at_bats:37,runs:6,hits:7,doubles:1,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:3,caught_stealing:0,walks:1,strikeouts:8,batting_avg:.189,onbase:.231,slugging:.216,ops:erc">.216,ops+:lugging">.447,bases:8,double_plays:1,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:0
pos:CI,name:Jeff Manto,age:34,games:12,plate_appearances:37,at_bats:25,runs:5,hits:5,doubles:0,triples:0,home_runs:1,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:11,strikeouts:11,batting_avg:.200,onbase:.444,slugging:.320,ops:erc">.320,ops+:lugging">.764,bases:8,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:UT,name:Tyler Houston,age:28,games:13,plate_appearances:30,at_bats:27,runs:2,hits:4,doubles:1,triples:0,home_runs:1,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:11,batting_avg:.148,onbase:.233,slugging:.296,ops:erc">.296,ops+:lugging">.530,bases:8,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:C,name:Jesse Levis,age:31,games:10,plate_appearances:29,at_bats:26,runs:0,hits:4,doubles:0,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:6,batting_avg:.154,onbase:.214,slugging:.154,ops:erc">.154,ops+:lugging">.368,bases:4,double_plays:1,hit_by_pitch:1,sac_hits:1,sac_flies:0,intentional_walks:0
pos:OF,name:Mark Whiten,age:32,games:8,plate_appearances:28,at_bats:25,runs:2,hits:4,doubles:1,triples:0,home_runs:1,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:4,batting_avg:.160,onbase:.250,slugging:.320,ops:erc">.320,ops+:lugging">.570,bases:8,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:C,name:Chris Turner,age:30,games:12,plate_appearances:22,at_bats:21,runs:3,hits:4,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:1,caught_stealing:0,walks:1,strikeouts:8,batting_avg:.190,onbase:.227,slugging:.190,ops:erc">.190,ops+:lugging">.418,bases:4,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:MI,name:John McDonald,age:24,games:18,plate_appearances:21,at_bats:21,runs:2,hits:7,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:1,walks:0,strikeouts:3,batting_avg:.333,onbase:.333,slugging:.333,ops:erc">.333,ops+:lugging">.667,bases:7,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:C,name:Pat Borders,age:36,games:6,plate_appearances:20,at_bats:20,runs:2,hits:6,doubles:0,triples:1,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:1,walks:0,strikeouts:3,batting_avg:.300,onbase:.300,slugging:.400,ops:erc">.400,ops+:lugging">.700,bases:8,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Bartolo Colon,age:26,games:2,plate_appearances:8,at_bats:7,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:5,batting_avg:.143,onbase:.143,slugging:.143,ops:erc">.143,ops+:lugging">.286,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Charles Nagy,age:32,games:4,plate_appearances:6,at_bats:6,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:5,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Dave Burba,age:32,games:2,plate_appearances:4,at_bats:3,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:0,batting_avg:.333,onbase:.500,slugging:.333,ops:erc">.333,ops+:lugging">.833,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Dwight Gooden,age:34,games:3,plate_appearances:3,at_bats:2,runs:1,hits:1,doubles:0,triples:0,home_runs:1,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:1,batting_avg:.500,onbase:.667,slugging:2.000,ops:erc">2.000,ops+:lugging">2.667,bases:4,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Mark Langston,age:38,games:1,plate_appearances:2,at_bats:2,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.500,onbase:.500,slugging:.500,ops:erc">.500,ops+:lugging">1.000,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Jaret Wright,age:23,games:1,plate_appearances:1,at_bats:1,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Tom Candiotti,age:41,games:3,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Jeff Tam,age:28,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Paul Shuey,age:28,games:7,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:David Riske,age:22,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Michael Jackson,age:34,games:4,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Jim Brower,age:26,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Sean DePaula,age:25,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Steve Karsay,age:27,games:3,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Paul Wagner,age:31,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Paul Assenmacher,age:38,games:3,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Dave Stevens,age:29,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Tom Martin,age:29,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
