pos:C,name:Victor Martinez,age:28,games:147,plate_appearances:645,at_bats:562,runs:78,hits:169,doubles:40,triples:0,home_runs:25,runs_batted_in:114,stolen_bases:0,caught_stealing:0,walks:62,strikeouts:76,batting_avg:.301,onbase:.374,slugging:.505,ops:erc">.505,ops+:lugging">.879,bases:284,double_plays:19,hit_by_pitch:10,sac_hits:0,sac_flies:11,intentional_walks:12
pos:1B,name:Ryan Garko,age:26,games:138,plate_appearances:541,at_bats:484,runs:62,hits:140,doubles:29,triples:1,home_runs:21,runs_batted_in:61,stolen_bases:0,caught_stealing:1,walks:34,strikeouts:94,batting_avg:.289,onbase:.359,slugging:.483,ops:erc">.483,ops+:lugging">.842,bases:234,double_plays:12,hit_by_pitch:20,sac_hits:0,sac_flies:3,intentional_walks:1
pos:2B,name:Josh Barfield,age:24,games:130,plate_appearances:444,at_bats:420,runs:53,hits:102,doubles:19,triples:3,home_runs:3,runs_batted_in:50,stolen_bases:14,caught_stealing:5,walks:14,strikeouts:90,batting_avg:.243,onbase:.270,slugging:.324,ops:erc">.324,ops+:lugging">.594,bases:136,double_plays:3,hit_by_pitch:3,sac_hits:3,sac_flies:4,intentional_walks:0
pos:SS,name:Jhonny Peralta,age:25,games:152,plate_appearances:647,at_bats:574,runs:87,hits:155,doubles:27,triples:1,home_runs:21,runs_batted_in:72,stolen_bases:4,caught_stealing:4,walks:61,strikeouts:146,batting_avg:.270,onbase:.341,slugging:.430,ops:erc">.430,ops+:lugging">.771,bases:247,double_plays:12,hit_by_pitch:4,sac_hits:1,sac_flies:7,intentional_walks:2
pos:3B,name:Casey Blake,age:33,games:156,plate_appearances:662,at_bats:588,runs:81,hits:159,doubles:36,triples:4,home_runs:18,runs_batted_in:78,stolen_bases:4,caught_stealing:5,walks:54,strikeouts:123,batting_avg:.270,onbase:.339,slugging:.437,ops:erc">.437,ops+:lugging">.776,bases:257,double_plays:14,hit_by_pitch:10,sac_hits:5,sac_flies:5,intentional_walks:2
pos:LF,name:Jason Michaels,age:31,games:105,plate_appearances:295,at_bats:267,runs:43,hits:72,doubles:11,triples:1,home_runs:7,runs_batted_in:39,stolen_bases:3,caught_stealing:4,walks:20,strikeouts:50,batting_avg:.270,onbase:.324,slugging:.397,ops:erc">.397,ops+:lugging">.721,bases:106,double_plays:3,hit_by_pitch:3,sac_hits:2,sac_flies:3,intentional_walks:1
pos:CF,name:Grady Sizemore,age:24,games:162,plate_appearances:748,at_bats:628,runs:118,hits:174,doubles:34,triples:5,home_runs:24,runs_batted_in:78,stolen_bases:33,caught_stealing:10,walks:101,strikeouts:155,batting_avg:.277,onbase:.390,slugging:.462,ops:erc">.462,ops+:lugging">.852,bases:290,double_plays:3,hit_by_pitch:17,sac_hits:0,sac_flies:2,intentional_walks:9
pos:RF,name:Trot Nixon,age:33,games:99,plate_appearances:354,at_bats:307,runs:30,hits:77,doubles:17,triples:0,home_runs:3,runs_batted_in:31,stolen_bases:0,caught_stealing:0,walks:44,strikeouts:59,batting_avg:.251,onbase:.342,slugging:.336,ops:erc">.336,ops+:lugging">.677,bases:103,double_plays:9,hit_by_pitch:0,sac_hits:0,sac_flies:3,intentional_walks:7
pos:DH,name:Travis Hafner,age:30,games:152,plate_appearances:661,at_bats:545,runs:80,hits:145,doubles:25,triples:2,home_runs:24,runs_batted_in:100,stolen_bases:1,caught_stealing:1,walks:102,strikeouts:115,batting_avg:.266,onbase:.385,slugging:.451,ops:erc">.451,ops+:lugging">.837,bases:246,double_plays:15,hit_by_pitch:7,sac_hits:0,sac_flies:5,intentional_walks:17
pos:RF,name:Franklin Gutierrez,age:24,games:100,plate_appearances:301,at_bats:271,runs:41,hits:72,doubles:13,triples:2,home_runs:13,runs_batted_in:36,stolen_bases:8,caught_stealing:3,walks:21,strikeouts:77,batting_avg:.266,onbase:.318,slugging:.472,ops:erc">.472,ops+:lugging">.790,bases:128,double_plays:7,hit_by_pitch:1,sac_hits:5,sac_flies:3,intentional_walks:1
pos:LF,name:David Dellucci,age:33,games:56,plate_appearances:199,at_bats:178,runs:25,hits:41,doubles:11,triples:2,home_runs:4,runs_batted_in:20,stolen_bases:2,caught_stealing:1,walks:17,strikeouts:40,batting_avg:.230,onbase:.296,slugging:.382,ops:erc">.382,ops+:lugging">.679,bases:68,double_plays:4,hit_by_pitch:1,sac_hits:0,sac_flies:3,intentional_walks:2
pos:LF,name:Kenny Lofton,age:40,games:52,plate_appearances:196,at_bats:173,runs:24,hits:49,doubles:9,triples:3,home_runs:0,runs_batted_in:15,stolen_bases:2,caught_stealing:3,walks:17,strikeouts:23,batting_avg:.283,onbase:.344,slugging:.370,ops:erc">.370,ops+:lugging">.714,bases:64,double_plays:1,hit_by_pitch:0,sac_hits:4,sac_flies:2,intentional_walks:0
pos:2B,name:Asdrubal Cabrera,age:21,games:45,plate_appearances:186,at_bats:159,runs:30,hits:45,doubles:9,triples:2,home_runs:3,runs_batted_in:22,stolen_bases:0,caught_stealing:0,walks:17,strikeouts:29,batting_avg:.283,onbase:.354,slugging:.421,ops:erc">.421,ops+:lugging">.775,bases:67,double_plays:7,hit_by_pitch:2,sac_hits:5,sac_flies:3,intentional_walks:0
pos:C,name:Kelly Shoppach,age:27,games:59,plate_appearances:177,at_bats:161,runs:26,hits:42,doubles:13,triples:0,home_runs:7,runs_batted_in:30,stolen_bases:0,caught_stealing:0,walks:11,strikeouts:56,batting_avg:.261,onbase:.310,slugging:.472,ops:erc">.472,ops+:lugging">.782,bases:76,double_plays:2,hit_by_pitch:1,sac_hits:3,sac_flies:1,intentional_walks:0
pos:IF,name:Mike Rouse,age:27,games:41,plate_appearances:76,at_bats:67,runs:7,hits:8,doubles:1,triples:0,home_runs:0,runs_batted_in:4,stolen_bases:1,caught_stealing:1,walks:7,strikeouts:20,batting_avg:.119,onbase:.200,slugging:.134,ops:erc">.134,ops+:lugging">.334,bases:9,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:1,intentional_walks:1
pos:OF,name:Ben Francisco,age:25,games:25,plate_appearances:66,at_bats:62,runs:10,hits:17,doubles:5,triples:0,home_runs:3,runs_batted_in:12,stolen_bases:0,caught_stealing:2,walks:3,strikeouts:19,batting_avg:.274,onbase:.303,slugging:.500,ops:erc">.500,ops+:lugging">.803,bases:31,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
