pos:C,name:Kelly Shoppach,age:28,games:112,plate_appearances:403,at_bats:352,runs:67,hits:92,doubles:27,triples:0,home_runs:21,runs_batted_in:55,stolen_bases:0,caught_stealing:0,walks:36,strikeouts:133,batting_avg:.261,onbase:.348,slugging:.517,ops:erc">.517,ops+:lugging">.865,bases:182,double_plays:7,hit_by_pitch:11,sac_hits:3,sac_flies:1,intentional_walks:3
pos:1B,name:Ryan Garko,age:27,games:141,plate_appearances:563,at_bats:495,runs:61,hits:135,doubles:21,triples:1,home_runs:14,runs_batted_in:90,stolen_bases:0,caught_stealing:0,walks:45,strikeouts:86,batting_avg:.273,onbase:.346,slugging:.404,ops:erc">.404,ops+:lugging">.750,bases:200,double_plays:10,hit_by_pitch:15,sac_hits:0,sac_flies:8,intentional_walks:1
pos:2B,name:Asdrubal Cabrera,age:22,games:114,plate_appearances:418,at_bats:352,runs:48,hits:91,doubles:20,triples:0,home_runs:6,runs_batted_in:47,stolen_bases:4,caught_stealing:4,walks:46,strikeouts:77,batting_avg:.259,onbase:.346,slugging:.366,ops:erc">.366,ops+:lugging">.713,bases:129,double_plays:8,hit_by_pitch:4,sac_hits:11,sac_flies:5,intentional_walks:2
pos:SS,name:Jhonny Peralta,age:26,games:154,plate_appearances:664,at_bats:605,runs:104,hits:167,doubles:42,triples:4,home_runs:23,runs_batted_in:89,stolen_bases:3,caught_stealing:1,walks:48,strikeouts:126,batting_avg:.276,onbase:.331,slugging:.473,ops:erc">.473,ops+:lugging">.804,bases:286,double_plays:26,hit_by_pitch:4,sac_hits:2,sac_flies:5,intentional_walks:2
pos:3B,name:Casey Blake,age:34,games:94,plate_appearances:368,at_bats:325,runs:46,hits:94,doubles:24,triples:0,home_runs:11,runs_batted_in:58,stolen_bases:2,caught_stealing:0,walks:33,strikeouts:68,batting_avg:.289,onbase:.365,slugging:.465,ops:erc">.465,ops+:lugging">.830,bases:151,double_plays:3,hit_by_pitch:7,sac_hits:1,sac_flies:2,intentional_walks:6
pos:LF,name:Ben Francisco,age:26,games:121,plate_appearances:499,at_bats:447,runs:65,hits:119,doubles:32,triples:0,home_runs:15,runs_batted_in:54,stolen_bases:4,caught_stealing:3,walks:40,strikeouts:86,batting_avg:.266,onbase:.332,slugging:.438,ops:erc">.438,ops+:lugging">.770,bases:196,double_plays:10,hit_by_pitch:6,sac_hits:2,sac_flies:4,intentional_walks:0
pos:CF,name:Grady Sizemore,age:25,games:157,plate_appearances:745,at_bats:634,runs:101,hits:170,doubles:39,triples:5,home_runs:33,runs_batted_in:90,stolen_bases:38,caught_stealing:5,walks:98,strikeouts:130,batting_avg:.268,onbase:.374,slugging:.502,ops:erc">.502,ops+:lugging">.876,bases:318,double_plays:5,hit_by_pitch:11,sac_hits:0,sac_flies:2,intentional_walks:14
pos:RF,name:Franklin Gutierrez,age:25,games:134,plate_appearances:440,at_bats:399,runs:54,hits:99,doubles:26,triples:2,home_runs:8,runs_batted_in:41,stolen_bases:9,caught_stealing:3,walks:27,strikeouts:87,batting_avg:.248,onbase:.307,slugging:.383,ops:erc">.383,ops+:lugging">.691,bases:153,double_plays:10,hit_by_pitch:8,sac_hits:4,sac_flies:2,intentional_walks:1
pos:DH,name:Travis Hafner,age:31,games:57,plate_appearances:234,at_bats:198,runs:21,hits:39,doubles:10,triples:0,home_runs:5,runs_batted_in:24,stolen_bases:1,caught_stealing:1,walks:27,strikeouts:55,batting_avg:.197,onbase:.305,slugging:.323,ops:erc">.323,ops+:lugging">.628,bases:64,double_plays:4,hit_by_pitch:5,sac_hits:0,sac_flies:3,intentional_walks:6
pos:IF,name:Jamey Carroll,age:34,games:113,plate_appearances:402,at_bats:347,runs:60,hits:96,doubles:13,triples:4,home_runs:1,runs_batted_in:36,stolen_bases:7,caught_stealing:3,walks:34,strikeouts:65,batting_avg:.277,onbase:.355,slugging:.346,ops:erc">.346,ops+:lugging">.700,bases:120,double_plays:2,hit_by_pitch:9,sac_hits:10,sac_flies:2,intentional_walks:0
pos:DH,name:David Dellucci,age:34,games:113,plate_appearances:375,at_bats:336,runs:41,hits:80,doubles:19,triples:2,home_runs:11,runs_batted_in:47,stolen_bases:3,caught_stealing:2,walks:24,strikeouts:76,batting_avg:.238,onbase:.307,slugging:.405,ops:erc">.405,ops+:lugging">.711,bases:136,double_plays:12,hit_by_pitch:11,sac_hits:0,sac_flies:4,intentional_walks:1
