pos:C,name:Henry Blanco,age:27,games:88,plate_appearances:303,at_bats:263,runs:30,hits:61,doubles:12,triples:3,home_runs:6,runs_batted_in:28,stolen_bases:1,caught_stealing:1,walks:34,strikeouts:38,batting_avg:.232,onbase:.320,slugging:.369,ops:erc">.369,ops+:lugging">.689,bases:97,double_plays:4,hit_by_pitch:1,sac_hits:3,sac_flies:2,intentional_walks:1
pos:1B,name:Todd Helton,age:25,games:159,plate_appearances:657,at_bats:578,runs:114,hits:185,doubles:39,triples:5,home_runs:35,runs_batted_in:113,stolen_bases:7,caught_stealing:6,walks:68,strikeouts:77,batting_avg:.320,onbase:.395,slugging:.587,ops:erc">.587,ops+:lugging">.981,bases:339,double_plays:14,hit_by_pitch:6,sac_hits:0,sac_flies:4,intentional_walks:6
pos:2B,name:Kurt Abbott,age:30,games:96,plate_appearances:305,at_bats:286,runs:41,hits:78,doubles:17,triples:2,home_runs:8,runs_batted_in:41,stolen_bases:3,caught_stealing:2,walks:16,strikeouts:69,batting_avg:.273,onbase:.310,slugging:.430,ops:erc">.430,ops+:lugging">.740,bases:123,double_plays:4,hit_by_pitch:0,sac_hits:2,sac_flies:1,intentional_walks:0
pos:SS,name:Neifi Perez,age:26,games:157,plate_appearances:732,at_bats:690,runs:108,hits:193,doubles:27,triples:11,home_runs:12,runs_batted_in:70,stolen_bases:13,caught_stealing:5,walks:28,strikeouts:54,batting_avg:.280,onbase:.307,slugging:.403,ops:erc">.403,ops+:lugging">.710,bases:278,double_plays:4,hit_by_pitch:1,sac_hits:9,sac_flies:4,intentional_walks:0
pos:3B,name:Vinny Castilla,age:31,games:158,plate_appearances:674,at_bats:615,runs:83,hits:169,doubles:24,triples:1,home_runs:33,runs_batted_in:102,stolen_bases:2,caught_stealing:3,walks:53,strikeouts:75,batting_avg:.275,onbase:.331,slugging:.478,ops:erc">.478,ops+:lugging">.809,bases:294,double_plays:15,hit_by_pitch:1,sac_hits:0,sac_flies:5,intentional_walks:7
pos:LF,name:Dante Bichette,age:35,games:151,plate_appearances:659,at_bats:593,runs:104,hits:177,doubles:38,triples:2,home_runs:34,runs_batted_in:133,stolen_bases:6,caught_stealing:6,walks:54,strikeouts:84,batting_avg:.298,onbase:.354,slugging:.541,ops:erc">.541,ops+:lugging">.895,bases:321,double_plays:15,hit_by_pitch:2,sac_hits:0,sac_flies:10,intentional_walks:3
pos:CF,name:Darryl Hamilton,age:34,games:91,plate_appearances:379,at_bats:337,runs:63,hits:102,doubles:11,triples:3,home_runs:4,runs_batted_in:24,stolen_bases:4,caught_stealing:5,walks:38,strikeouts:21,batting_avg:.303,onbase:.374,slugging:.389,ops:erc">.389,ops+:lugging">.763,bases:131,double_plays:7,hit_by_pitch:1,sac_hits:2,sac_flies:1,intentional_walks:0
pos:RF,name:Larry Walker,age:32,games:127,plate_appearances:513,at_bats:438,runs:108,hits:166,doubles:26,triples:4,home_runs:37,runs_batted_in:115,stolen_bases:11,caught_stealing:4,walks:57,strikeouts:52,batting_avg:.379,onbase:.458,slugging:.710,ops:erc">.710,ops+:lugging">1.168,bases:311,double_plays:12,hit_by_pitch:12,sac_hits:0,sac_flies:6,intentional_walks:8
pos:2B,name:Terry Shumpert,age:32,games:92,plate_appearances:304,at_bats:262,runs:58,hits:91,doubles:26,triples:3,home_runs:10,runs_batted_in:37,stolen_bases:14,caught_stealing:0,walks:31,strikeouts:41,batting_avg:.347,onbase:.413,slugging:.584,ops:erc">.584,ops+:lugging">.997,bases:153,double_plays:2,hit_by_pitch:2,sac_hits:4,sac_flies:5,intentional_walks:2
pos:RF,name:Angel Echevarria,age:28,games:102,plate_appearances:211,at_bats:191,runs:28,hits:56,doubles:7,triples:0,home_runs:11,runs_batted_in:35,stolen_bases:1,caught_stealing:3,walks:17,strikeouts:34,batting_avg:.293,onbase:.360,slugging:.503,ops:erc">.503,ops+:lugging">.863,bases:96,double_plays:11,hit_by_pitch:3,sac_hits:0,sac_flies:0,intentional_walks:0
pos:CF,name:Jeff Barry,age:29,games:74,plate_appearances:192,at_bats:168,runs:19,hits:45,doubles:16,triples:0,home_runs:5,runs_batted_in:26,stolen_bases:0,caught_stealing:4,walks:19,strikeouts:29,batting_avg:.268,onbase:.344,slugging:.452,ops:erc">.452,ops+:lugging">.796,bases:76,double_plays:4,hit_by_pitch:2,sac_hits:0,sac_flies:3,intentional_walks:1
pos:CF,name:Edgard Clemente,age:23,games:57,plate_appearances:171,at_bats:162,runs:24,hits:41,doubles:10,triples:2,home_runs:8,runs_batted_in:25,stolen_bases:0,caught_stealing:0,walks:7,strikeouts:46,batting_avg:.253,onbase:.282,slugging:.488,ops:erc">.488,ops+:lugging">.770,bases:79,double_plays:4,hit_by_pitch:0,sac_hits:1,sac_flies:1,intentional_walks:0
pos:UT,name:Lenny Harris,age:34,games:91,plate_appearances:164,at_bats:158,runs:15,hits:47,doubles:12,triples:0,home_runs:0,runs_batted_in:13,stolen_bases:1,caught_stealing:1,walks:6,strikeouts:6,batting_avg:.297,onbase:.323,slugging:.373,ops:erc">.373,ops+:lugging">.697,bases:59,double_plays:7,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:2B,name:Mike Lansing,age:31,games:35,plate_appearances:155,at_bats:145,runs:24,hits:45,doubles:9,triples:0,home_runs:4,runs_batted_in:15,stolen_bases:2,caught_stealing:0,walks:7,strikeouts:22,batting_avg:.310,onbase:.344,slugging:.455,ops:erc">.455,ops+:lugging">.799,bases:66,double_plays:3,hit_by_pitch:1,sac_hits:1,sac_flies:1,intentional_walks:0
pos:C,name:Kirt Manwaring,age:33,games:48,plate_appearances:155,at_bats:137,runs:17,hits:41,doubles:7,triples:1,home_runs:2,runs_batted_in:14,stolen_bases:0,caught_stealing:0,walks:12,strikeouts:23,batting_avg:.299,onbase:.374,slugging:.409,ops:erc">.409,ops+:lugging">.783,bases:56,double_plays:4,hit_by_pitch:5,sac_hits:0,sac_flies:1,intentional_walks:1
pos:C,name:Jeff Reed,age:36,games:46,plate_appearances:125,at_bats:106,runs:11,hits:27,doubles:5,triples:0,home_runs:2,runs_batted_in:11,stolen_bases:0,caught_stealing:1,walks:17,strikeouts:24,batting_avg:.255,onbase:.360,slugging:.358,ops:erc">.358,ops+:lugging">.718,bases:38,double_plays:3,hit_by_pitch:1,sac_hits:0,sac_flies:1,intentional_walks:1
pos:C,name:Ben Petrick,age:22,games:19,plate_appearances:72,at_bats:62,runs:13,hits:20,doubles:3,triples:0,home_runs:4,runs_batted_in:12,stolen_bases:1,caught_stealing:0,walks:10,strikeouts:13,batting_avg:.323,onbase:.417,slugging:.565,ops:erc">.565,ops+:lugging">.981,bases:35,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:UT,name:Chris Sexton,age:27,games:35,plate_appearances:70,at_bats:59,runs:9,hits:14,doubles:0,triples:1,home_runs:1,runs_batted_in:7,stolen_bases:4,caught_stealing:2,walks:11,strikeouts:10,batting_avg:.237,onbase:.357,slugging:.322,ops:erc">.322,ops+:lugging">.679,bases:19,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:1
pos:UT,name:J.R. Phillips,age:29,games:25,plate_appearances:40,at_bats:39,runs:5,hits:9,doubles:4,triples:0,home_runs:2,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:13,batting_avg:.231,onbase:.250,slugging:.487,ops:erc">.487,ops+:lugging">.737,bases:19,double_plays:0,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:0
pos:RF,name:Derrick Gibson,age:24,games:10,plate_appearances:29,at_bats:28,runs:2,hits:5,doubles:1,triples:0,home_runs:2,runs_batted_in:6,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:7,batting_avg:.179,onbase:.207,slugging:.429,ops:erc">.429,ops+:lugging">.635,bases:12,double_plays:2,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:0
pos:CF,name:Brian McRae,age:31,games:7,plate_appearances:27,at_bats:23,runs:1,hits:6,doubles:2,triples:0,home_runs:1,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:7,batting_avg:.261,onbase:.370,slugging:.478,ops:erc">.478,ops+:lugging">.849,bases:11,double_plays:0,hit_by_pitch:2,sac_hits:0,sac_flies:0,intentional_walks:0
pos:OF,name:Pat Watkins,age:26,games:16,plate_appearances:22,at_bats:19,runs:2,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:5,batting_avg:.053,onbase:.143,slugging:.053,ops:erc">.053,ops+:lugging">.195,bases:1,double_plays:1,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:MI,name:Chris Petersen,age:28,games:7,plate_appearances:15,at_bats:13,runs:1,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:3,batting_avg:.154,onbase:.267,slugging:.154,ops:erc">.154,ops+:lugging">.421,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:UT,name:Juan Sosa,age:23,games:11,plate_appearances:11,at_bats:9,runs:3,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:2,batting_avg:.222,onbase:.364,slugging:.222,ops:erc">.222,ops+:lugging">.586,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:LF,name:John Cangelosi,age:36,games:7,plate_appearances:6,at_bats:6,runs:0,hits:1,doubles:1,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:4,batting_avg:.167,onbase:.167,slugging:.333,ops:erc">.333,ops+:lugging">.500,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:RF,name:Mike Kelly,age:29,games:2,plate_appearances:2,at_bats:2,runs:0,hits:1,doubles:1,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.500,onbase:.500,slugging:1.000,ops:erc">1.000,ops+:lugging">1.500,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Pedro Astacio,age:30,games:36,plate_appearances:94,at_bats:86,runs:5,hits:20,doubles:2,triples:1,home_runs:0,runs_batted_in:7,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:24,batting_avg:.233,onbase:.241,slugging:.279,ops:erc">.279,ops+:lugging">.520,bases:24,double_plays:0,hit_by_pitch:0,sac_hits:7,sac_flies:0,intentional_walks:0
pos:P,name:Brian Bohanon,age:30,games:34,plate_appearances:81,at_bats:71,runs:6,hits:14,doubles:2,triples:0,home_runs:1,runs_batted_in:7,stolen_bases:0,caught_stealing:0,walks:5,strikeouts:20,batting_avg:.197,onbase:.250,slugging:.268,ops:erc">.268,ops+:lugging">.518,bases:19,double_plays:2,hit_by_pitch:0,sac_hits:5,sac_flies:0,intentional_walks:0
pos:P,name:Darryl Kile,age:30,games:30,plate_appearances:64,at_bats:52,runs:3,hits:7,doubles:0,triples:0,home_runs:0,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:4,strikeouts:20,batting_avg:.135,onbase:.196,slugging:.135,ops:erc">.135,ops+:lugging">.331,bases:7,double_plays:3,hit_by_pitch:0,sac_hits:8,sac_flies:0,intentional_walks:0
pos:P,name:Jamey Wright,age:24,games:16,plate_appearances:35,at_bats:32,runs:0,hits:4,doubles:1,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:13,batting_avg:.125,onbase:.125,slugging:.156,ops:erc">.156,ops+:lugging">.281,bases:5,double_plays:0,hit_by_pitch:0,sac_hits:3,sac_flies:0,intentional_walks:0
pos:P,name:Bobby Jones,age:27,games:28,plate_appearances:34,at_bats:27,runs:3,hits:4,doubles:1,triples:0,home_runs:0,runs_batted_in:4,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:7,batting_avg:.148,onbase:.200,slugging:.185,ops:erc">.185,ops+:lugging">.385,bases:5,double_plays:0,hit_by_pitch:0,sac_hits:4,sac_flies:1,intentional_walks:0
