pos:C,name:Charles Johnson,age:32,games:109,plate_appearances:362,at_bats:305,runs:42,hits:72,doubles:20,triples:0,home_runs:13,runs_batted_in:47,stolen_bases:2,caught_stealing:1,walks:49,strikeouts:91,batting_avg:.236,onbase:.350,slugging:.430,ops:erc">.430,ops+:lugging">.780,bases:131,double_plays:6,hit_by_pitch:5,sac_hits:2,sac_flies:1,intentional_walks:1
pos:1B,name:Todd Helton,age:30,games:154,plate_appearances:683,at_bats:547,runs:115,hits:190,doubles:49,triples:2,home_runs:32,runs_batted_in:96,stolen_bases:3,caught_stealing:0,walks:127,strikeouts:72,batting_avg:.347,onbase:.469,slugging:.620,ops:erc">.620,ops+:lugging">1.088,bases:339,double_plays:12,hit_by_pitch:3,sac_hits:0,sac_flies:6,intentional_walks:19
pos:2B,name:Aaron Miles,age:27,games:134,plate_appearances:566,at_bats:522,runs:75,hits:153,doubles:15,triples:3,home_runs:6,runs_batted_in:47,stolen_bases:12,caught_stealing:7,walks:29,strikeouts:53,batting_avg:.293,onbase:.329,slugging:.368,ops:erc">.368,ops+:lugging">.697,bases:192,double_plays:12,hit_by_pitch:2,sac_hits:7,sac_flies:6,intentional_walks:0
pos:SS,name:Royce Clayton,age:34,games:146,plate_appearances:652,at_bats:574,runs:95,hits:160,doubles:36,triples:4,home_runs:8,runs_batted_in:54,stolen_bases:10,caught_stealing:5,walks:48,strikeouts:125,batting_avg:.279,onbase:.338,slugging:.397,ops:erc">.397,ops+:lugging">.735,bases:228,double_plays:13,hit_by_pitch:4,sac_hits:24,sac_flies:2,intentional_walks:0
pos:3B,name:Vinny Castilla,age:36,games:148,plate_appearances:648,at_bats:583,runs:93,hits:158,doubles:43,triples:3,home_runs:35,runs_batted_in:131,stolen_bases:0,caught_stealing:0,walks:51,strikeouts:113,batting_avg:.271,onbase:.332,slugging:.535,ops:erc">.535,ops+:lugging">.867,bases:312,double_plays:22,hit_by_pitch:6,sac_hits:0,sac_flies:8,intentional_walks:6
pos:LF,name:Matt Holliday,age:24,games:121,plate_appearances:439,at_bats:400,runs:65,hits:116,doubles:31,triples:3,home_runs:14,runs_batted_in:57,stolen_bases:3,caught_stealing:3,walks:31,strikeouts:86,batting_avg:.290,onbase:.349,slugging:.488,ops:erc">.488,ops+:lugging">.837,bases:195,double_plays:9,hit_by_pitch:6,sac_hits:1,sac_flies:1,intentional_walks:0
pos:CF,name:Preston Wilson,age:29,games:58,plate_appearances:222,at_bats:202,runs:24,hits:50,doubles:11,triples:0,home_runs:6,runs_batted_in:29,stolen_bases:2,caught_stealing:1,walks:17,strikeouts:49,batting_avg:.248,onbase:.315,slugging:.391,ops:erc">.391,ops+:lugging">.706,bases:79,double_plays:9,hit_by_pitch:3,sac_hits:0,sac_flies:0,intentional_walks:2
pos:RF,name:Jeromy Burnitz,age:35,games:150,plate_appearances:606,at_bats:540,runs:94,hits:153,doubles:30,triples:4,home_runs:37,runs_batted_in:110,stolen_bases:5,caught_stealing:6,walks:58,strikeouts:124,batting_avg:.283,onbase:.356,slugging:.559,ops:erc">.559,ops+:lugging">.916,bases:302,double_plays:7,hit_by_pitch:5,sac_hits:0,sac_flies:3,intentional_walks:7
pos:2B,name:Luis Gonzalez,age:25,games:102,plate_appearances:351,at_bats:322,runs:42,hits:94,doubles:17,triples:2,home_runs:12,runs_batted_in:40,stolen_bases:1,caught_stealing:5,walks:15,strikeouts:67,batting_avg:.292,onbase:.330,slugging:.469,ops:erc">.469,ops+:lugging">.799,bases:151,double_plays:5,hit_by_pitch:4,sac_hits:9,sac_flies:1,intentional_walks:1
pos:UT,name:Mark Sweeney,age:34,games:122,plate_appearances:215,at_bats:177,runs:25,hits:47,doubles:12,triples:2,home_runs:9,runs_batted_in:40,stolen_bases:1,caught_stealing:0,walks:32,strikeouts:51,batting_avg:.266,onbase:.377,slugging:.508,ops:erc">.508,ops+:lugging">.885,bases:90,double_plays:2,hit_by_pitch:2,sac_hits:0,sac_flies:4,intentional_walks:2
pos:C,name:Todd Greene,age:33,games:75,plate_appearances:209,at_bats:195,runs:23,hits:55,doubles:14,triples:0,home_runs:10,runs_batted_in:35,stolen_bases:0,caught_stealing:0,walks:13,strikeouts:38,batting_avg:.282,onbase:.325,slugging:.508,ops:erc">.508,ops+:lugging">.833,bases:99,double_plays:9,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:4
pos:RF,name:Larry Walker,age:37,games:38,plate_appearances:138,at_bats:108,runs:22,hits:35,doubles:9,triples:3,home_runs:6,runs_batted_in:20,stolen_bases:2,caught_stealing:0,walks:25,strikeouts:23,batting_avg:.324,onbase:.464,slugging:.630,ops:erc">.630,ops+:lugging">1.093,bases:68,double_plays:2,hit_by_pitch:4,sac_hits:0,sac_flies:1,intentional_walks:2
pos:RF,name:Kit Pellow,age:30,games:59,plate_appearances:133,at_bats:121,runs:15,hits:29,doubles:5,triples:1,home_runs:2,runs_batted_in:10,stolen_bases:1,caught_stealing:0,walks:8,strikeouts:43,batting_avg:.240,onbase:.308,slugging:.347,ops:erc">.347,ops+:lugging">.655,bases:42,double_plays:3,hit_by_pitch:4,sac_hits:0,sac_flies:0,intentional_walks:1
pos:C,name:JD Closser,age:24,games:36,plate_appearances:124,at_bats:113,runs:5,hits:36,doubles:6,triples:0,home_runs:1,runs_batted_in:10,stolen_bases:0,caught_stealing:0,walks:6,strikeouts:22,batting_avg:.319,onbase:.364,slugging:.398,ops:erc">.398,ops+:lugging">.762,bases:45,double_plays:3,hit_by_pitch:2,sac_hits:3,sac_flies:0,intentional_walks:0
pos:RF,name:Brad Hawpe,age:25,games:42,plate_appearances:118,at_bats:105,runs:12,hits:26,doubles:3,triples:2,home_runs:3,runs_batted_in:9,stolen_bases:1,caught_stealing:1,walks:11,strikeouts:34,batting_avg:.248,onbase:.322,slugging:.400,ops:erc">.400,ops+:lugging">.722,bases:42,double_plays:4,hit_by_pitch:1,sac_hits:0,sac_flies:1,intentional_walks:3
pos:UT,name:Denny Hocking,age:34,games:55,plate_appearances:106,at_bats:94,runs:7,hits:19,doubles:2,triples:0,home_runs:0,runs_batted_in:4,stolen_bases:0,caught_stealing:1,walks:7,strikeouts:20,batting_avg:.202,onbase:.257,slugging:.223,ops:erc">.223,ops+:lugging">.481,bases:21,double_plays:3,hit_by_pitch:0,sac_hits:5,sac_flies:0,intentional_walks:0
pos:CF,name:Choo Freeman,age:24,games:45,plate_appearances:105,at_bats:90,runs:15,hits:17,doubles:3,triples:2,home_runs:1,runs_batted_in:11,stolen_bases:1,caught_stealing:1,walks:14,strikeouts:21,batting_avg:.189,onbase:.298,slugging:.300,ops:erc">.300,ops+:lugging">.598,bases:27,double_plays:5,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:1
pos:OF,name:Jorge Piedra,age:25,games:38,plate_appearances:98,at_bats:91,runs:15,hits:27,doubles:8,triples:0,home_runs:3,runs_batted_in:10,stolen_bases:0,caught_stealing:1,walks:5,strikeouts:19,batting_avg:.297,onbase:.340,slugging:.484,ops:erc">.484,ops+:lugging">.824,bases:44,double_plays:1,hit_by_pitch:1,sac_hits:1,sac_flies:0,intentional_walks:0
