pos:C,name:Chris Iannetta,age:26,games:93,plate_appearances:350,at_bats:289,runs:41,hits:66,doubles:15,triples:2,home_runs:16,runs_batted_in:52,stolen_bases:0,caught_stealing:1,walks:43,strikeouts:75,batting_avg:.228,onbase:.344,slugging:.460,ops:erc">.460,ops+:lugging">.804,bases:133,double_plays:4,hit_by_pitch:11,sac_hits:1,sac_flies:6,intentional_walks:3
pos:1B,name:Todd Helton,age:35,games:151,plate_appearances:645,at_bats:544,runs:79,hits:177,doubles:38,triples:3,home_runs:15,runs_batted_in:86,stolen_bases:0,caught_stealing:1,walks:89,strikeouts:73,batting_avg:.325,onbase:.416,slugging:.489,ops:erc">.489,ops+:lugging">.904,bases:266,double_plays:15,hit_by_pitch:2,sac_hits:0,sac_flies:10,intentional_walks:5
pos:2B,name:Clint Barmes,age:30,games:154,plate_appearances:604,at_bats:550,runs:69,hits:135,doubles:32,triples:3,home_runs:23,runs_batted_in:76,stolen_bases:12,caught_stealing:10,walks:31,strikeouts:121,batting_avg:.245,onbase:.294,slugging:.440,ops:erc">.440,ops+:lugging">.734,bases:242,double_plays:6,hit_by_pitch:10,sac_hits:6,sac_flies:7,intentional_walks:2
pos:SS,name:Troy Tulowitzki,age:24,games:151,plate_appearances:628,at_bats:543,runs:101,hits:161,doubles:25,triples:9,home_runs:32,runs_batted_in:92,stolen_bases:20,caught_stealing:11,walks:73,strikeouts:112,batting_avg:.297,onbase:.377,slugging:.552,ops:erc">.552,ops+:lugging">.930,bases:300,double_plays:20,hit_by_pitch:3,sac_hits:0,sac_flies:9,intentional_walks:4
pos:3B,name:Ian Stewart,age:24,games:147,plate_appearances:491,at_bats:425,runs:74,hits:97,doubles:19,triples:3,home_runs:25,runs_batted_in:70,stolen_bases:7,caught_stealing:4,walks:56,strikeouts:138,batting_avg:.228,onbase:.322,slugging:.464,ops:erc">.464,ops+:lugging">.785,bases:197,double_plays:7,hit_by_pitch:5,sac_hits:0,sac_flies:5,intentional_walks:3
pos:LF,name:Seth Smith,age:26,games:133,plate_appearances:387,at_bats:335,runs:61,hits:98,doubles:20,triples:4,home_runs:15,runs_batted_in:55,stolen_bases:4,caught_stealing:1,walks:46,strikeouts:67,batting_avg:.293,onbase:.378,slugging:.510,ops:erc">.510,ops+:lugging">.889,bases:171,double_plays:5,hit_by_pitch:2,sac_hits:1,sac_flies:3,intentional_walks:3
pos:CF,name:Dexter Fowler,age:23,games:135,plate_appearances:518,at_bats:433,runs:73,hits:115,doubles:29,triples:10,home_runs:4,runs_batted_in:34,stolen_bases:27,caught_stealing:10,walks:67,strikeouts:116,batting_avg:.266,onbase:.363,slugging:.406,ops:erc">.406,ops+:lugging">.770,bases:176,double_plays:4,hit_by_pitch:1,sac_hits:14,sac_flies:3,intentional_walks:1
pos:RF,name:Brad Hawpe,age:30,games:145,plate_appearances:588,at_bats:501,runs:82,hits:143,doubles:42,triples:3,home_runs:23,runs_batted_in:86,stolen_bases:1,caught_stealing:3,walks:79,strikeouts:145,batting_avg:.285,onbase:.384,slugging:.519,ops:erc">.519,ops+:lugging">.903,bases:260,double_plays:17,hit_by_pitch:4,sac_hits:0,sac_flies:4,intentional_walks:7
pos:3B,name:Garrett Atkins,age:29,games:126,plate_appearances:399,at_bats:354,runs:37,hits:80,doubles:12,triples:1,home_runs:9,runs_batted_in:48,stolen_bases:0,caught_stealing:0,walks:41,strikeouts:58,batting_avg:.226,onbase:.308,slugging:.342,ops:erc">.342,ops+:lugging">.650,bases:121,double_plays:8,hit_by_pitch:2,sac_hits:0,sac_flies:2,intentional_walks:2
pos:OF,name:Ryan Spilborghs,age:29,games:133,plate_appearances:393,at_bats:352,runs:55,hits:85,doubles:24,triples:3,home_runs:8,runs_batted_in:48,stolen_bases:9,caught_stealing:5,walks:34,strikeouts:79,batting_avg:.241,onbase:.310,slugging:.395,ops:erc">.395,ops+:lugging">.705,bases:139,double_plays:9,hit_by_pitch:2,sac_hits:3,sac_flies:2,intentional_walks:0
pos:OF,name:Carlos Gonzalez,age:23,games:89,plate_appearances:317,at_bats:278,runs:53,hits:79,doubles:14,triples:7,home_runs:13,runs_batted_in:29,stolen_bases:16,caught_stealing:4,walks:28,strikeouts:70,batting_avg:.284,onbase:.353,slugging:.525,ops:erc">.525,ops+:lugging">.878,bases:146,double_plays:3,hit_by_pitch:3,sac_hits:5,sac_flies:3,intentional_walks:3
