pos:C,name:Wilin Rosario,age:23,games:117,plate_appearances:426,at_bats:396,runs:67,hits:107,doubles:19,triples:0,home_runs:28,runs_batted_in:71,stolen_bases:4,caught_stealing:5,walks:25,strikeouts:99,batting_avg:.270,onbase:.312,slugging:.530,ops:erc">.530,ops+:lugging">.843,bases:210,double_plays:10,hit_by_pitch:1,sac_hits:0,sac_flies:4,intentional_walks:2
pos:1B,name:Todd Helton,age:38,games:69,plate_appearances:283,at_bats:240,runs:31,hits:57,doubles:16,triples:1,home_runs:7,runs_batted_in:37,stolen_bases:1,caught_stealing:1,walks:39,strikeouts:44,batting_avg:.238,onbase:.343,slugging:.400,ops:erc">.400,ops+:lugging">.743,bases:96,double_plays:6,hit_by_pitch:1,sac_hits:0,sac_flies:3,intentional_walks:1
pos:2B,name:Marco Scutaro,age:36,games:95,plate_appearances:415,at_bats:377,runs:47,hits:102,doubles:16,triples:3,home_runs:4,runs_batted_in:30,stolen_bases:7,caught_stealing:3,walks:27,strikeouts:35,batting_avg:.271,onbase:.324,slugging:.361,ops:erc">.361,ops+:lugging">.684,bases:136,double_plays:5,hit_by_pitch:4,sac_hits:4,sac_flies:3,intentional_walks:0
pos:SS,name:Josh Rutledge,age:23,games:73,plate_appearances:291,at_bats:277,runs:37,hits:76,doubles:20,triples:5,home_runs:8,runs_batted_in:37,stolen_bases:7,caught_stealing:0,walks:9,strikeouts:54,batting_avg:.274,onbase:.306,slugging:.469,ops:erc">.469,ops+:lugging">.775,bases:130,double_plays:8,hit_by_pitch:4,sac_hits:0,sac_flies:1,intentional_walks:0
pos:3B,name:Chris Nelson,age:26,games:111,plate_appearances:377,at_bats:345,runs:45,hits:104,doubles:21,triples:3,home_runs:9,runs_batted_in:53,stolen_bases:2,caught_stealing:1,walks:27,strikeouts:84,batting_avg:.301,onbase:.352,slugging:.458,ops:erc">.458,ops+:lugging">.810,bases:158,double_plays:9,hit_by_pitch:1,sac_hits:2,sac_flies:2,intentional_walks:4
pos:LF,name:Carlos Gonzalez,age:26,games:135,plate_appearances:579,at_bats:518,runs:89,hits:157,doubles:31,triples:5,home_runs:22,runs_batted_in:85,stolen_bases:20,caught_stealing:5,walks:56,strikeouts:115,batting_avg:.303,onbase:.371,slugging:.510,ops:erc">.510,ops+:lugging">.881,bases:264,double_plays:11,hit_by_pitch:2,sac_hits:0,sac_flies:3,intentional_walks:11
pos:CF,name:Dexter Fowler,age:26,games:143,plate_appearances:530,at_bats:454,runs:72,hits:136,doubles:18,triples:11,home_runs:13,runs_batted_in:53,stolen_bases:12,caught_stealing:5,walks:68,strikeouts:128,batting_avg:.300,onbase:.389,slugging:.474,ops:erc">.474,ops+:lugging">.863,bases:215,double_plays:5,hit_by_pitch:0,sac_hits:6,sac_flies:2,intentional_walks:1
pos:RF,name:Michael Cuddyer,age:33,games:101,plate_appearances:394,at_bats:358,runs:53,hits:93,doubles:30,triples:2,home_runs:16,runs_batted_in:58,stolen_bases:8,caught_stealing:3,walks:32,strikeouts:78,batting_avg:.260,onbase:.317,slugging:.489,ops:erc">.489,ops+:lugging">.806,bases:175,double_plays:12,hit_by_pitch:0,sac_hits:0,sac_flies:4,intentional_walks:1
pos:CI,name:Jordan Pacheco,age:26,games:132,plate_appearances:505,at_bats:475,runs:51,hits:147,doubles:32,triples:3,home_runs:5,runs_batted_in:54,stolen_bases:7,caught_stealing:2,walks:22,strikeouts:61,batting_avg:.309,onbase:.341,slugging:.421,ops:erc">.421,ops+:lugging">.762,bases:200,double_plays:13,hit_by_pitch:3,sac_hits:1,sac_flies:4,intentional_walks:2
pos:UT,name:Tyler Colvin,age:26,games:136,plate_appearances:452,at_bats:420,runs:62,hits:122,doubles:27,triples:10,home_runs:18,runs_batted_in:72,stolen_bases:7,caught_stealing:3,walks:21,strikeouts:117,batting_avg:.290,onbase:.327,slugging:.531,ops:erc">.531,ops+:lugging">.858,bases:223,double_plays:6,hit_by_pitch:2,sac_hits:2,sac_flies:1,intentional_walks:0
pos:SS,name:Jonathan Herrera,age:27,games:86,plate_appearances:251,at_bats:225,runs:29,hits:59,doubles:9,triples:1,home_runs:3,runs_batted_in:12,stolen_bases:4,caught_stealing:1,walks:16,strikeouts:39,batting_avg:.262,onbase:.317,slugging:.351,ops:erc">.351,ops+:lugging">.668,bases:79,double_plays:5,hit_by_pitch:2,sac_hits:7,sac_flies:0,intentional_walks:3
pos:2B,name:DJ LeMahieu,age:23,games:81,plate_appearances:247,at_bats:229,runs:26,hits:68,doubles:12,triples:4,home_runs:2,runs_batted_in:22,stolen_bases:1,caught_stealing:2,walks:13,strikeouts:42,batting_avg:.297,onbase:.332,slugging:.410,ops:erc">.410,ops+:lugging">.742,bases:94,double_plays:8,hit_by_pitch:0,sac_hits:3,sac_flies:2,intentional_walks:4
pos:SS,name:Troy Tulowitzki,age:27,games:47,plate_appearances:203,at_bats:181,runs:33,hits:52,doubles:8,triples:2,home_runs:8,runs_batted_in:27,stolen_bases:2,caught_stealing:2,walks:19,strikeouts:19,batting_avg:.287,onbase:.360,slugging:.486,ops:erc">.486,ops+:lugging">.846,bases:88,double_plays:7,hit_by_pitch:2,sac_hits:0,sac_flies:1,intentional_walks:1
pos:OF,name:Eric Young Jr.,age:27,games:98,plate_appearances:196,at_bats:174,runs:36,hits:55,doubles:7,triples:2,home_runs:4,runs_batted_in:15,stolen_bases:14,caught_stealing:2,walks:13,strikeouts:31,batting_avg:.316,onbase:.377,slugging:.448,ops:erc">.448,ops+:lugging">.825,bases:78,double_plays:1,hit_by_pitch:4,sac_hits:5,sac_flies:0,intentional_walks:0
pos:C,name:Ramon Hernandez,age:36,games:52,plate_appearances:196,at_bats:184,runs:16,hits:40,doubles:10,triples:0,home_runs:5,runs_batted_in:28,stolen_bases:0,caught_stealing:1,walks:6,strikeouts:32,batting_avg:.217,onbase:.247,slugging:.353,ops:erc">.353,ops+:lugging">.601,bases:65,double_plays:4,hit_by_pitch:2,sac_hits:2,sac_flies:2,intentional_walks:1
pos:OF,name:Andrew Brown,age:27,games:46,plate_appearances:126,at_bats:112,runs:14,hits:26,doubles:7,triples:0,home_runs:5,runs_batted_in:11,stolen_bases:2,caught_stealing:2,walks:12,strikeouts:34,batting_avg:.232,onbase:.302,slugging:.429,ops:erc">.429,ops+:lugging">.730,bases:48,double_plays:3,hit_by_pitch:0,sac_hits:0,sac_flies:2,intentional_walks:0
pos:OF,name:Charlie Blackmon,age:25,games:42,plate_appearances:121,at_bats:113,runs:15,hits:32,doubles:8,triples:0,home_runs:2,runs_batted_in:9,stolen_bases:1,caught_stealing:2,walks:4,strikeouts:17,batting_avg:.283,onbase:.325,slugging:.407,ops:erc">.407,ops+:lugging">.732,bases:46,double_plays:4,hit_by_pitch:3,sac_hits:1,sac_flies:0,intentional_walks:0
pos:1B,name:Jason Giambi,age:41,games:60,plate_appearances:113,at_bats:89,runs:7,hits:20,doubles:4,triples:0,home_runs:1,runs_batted_in:8,stolen_bases:0,caught_stealing:0,walks:20,strikeouts:24,batting_avg:.225,onbase:.372,slugging:.303,ops:erc">.303,ops+:lugging">.675,bases:27,double_plays:4,hit_by_pitch:2,sac_hits:0,sac_flies:2,intentional_walks:2
pos:UT,name:Matt McBride,age:27,games:31,plate_appearances:81,at_bats:78,runs:8,hits:16,doubles:2,triples:0,home_runs:2,runs_batted_in:11,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:17,batting_avg:.205,onbase:.222,slugging:.308,ops:erc">.308,ops+:lugging">.530,bases:24,double_plays:4,hit_by_pitch:1,sac_hits:0,sac_flies:1,intentional_walks:0
pos:C,name:Wil Nieves,age:34,games:16,plate_appearances:51,at_bats:47,runs:3,hits:14,doubles:2,triples:0,home_runs:1,runs_batted_in:5,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:9,batting_avg:.298,onbase:.333,slugging:.404,ops:erc">.404,ops+:lugging">.738,bases:19,double_plays:3,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:1
