pos:C,name:Nick Hundley,age:32,games:83,plate_appearances:317,at_bats:289,runs:30,hits:75,doubles:20,triples:1,home_runs:10,runs_batted_in:48,stolen_bases:0,caught_stealing:0,walks:25,strikeouts:65,batting_avg:.260,onbase:.320,slugging:.439,ops:erc">.439,ops+:lugging">.759,bases:127,double_plays:12,hit_by_pitch:1,sac_hits:1,sac_flies:1,intentional_walks:3
pos:1B,name:Mark Reynolds,age:32,games:118,plate_appearances:441,at_bats:393,runs:61,hits:111,doubles:24,triples:0,home_runs:14,runs_batted_in:53,stolen_bases:1,caught_stealing:2,walks:42,strikeouts:112,batting_avg:.282,onbase:.356,slugging:.450,ops:erc">.450,ops+:lugging">.806,bases:177,double_plays:6,hit_by_pitch:4,sac_hits:0,sac_flies:2,intentional_walks:1
pos:2B,name:DJ LeMahieu,age:27,games:146,plate_appearances:635,at_bats:552,runs:104,hits:192,doubles:32,triples:8,home_runs:11,runs_batted_in:66,stolen_bases:11,caught_stealing:7,walks:66,strikeouts:80,batting_avg:.348,onbase:.416,slugging:.495,ops:erc">.495,ops+:lugging">.911,bases:273,double_plays:19,hit_by_pitch:3,sac_hits:8,sac_flies:6,intentional_walks:2
pos:SS,name:Trevor Story,age:23,games:97,plate_appearances:415,at_bats:372,runs:67,hits:101,doubles:21,triples:4,home_runs:27,runs_batted_in:72,stolen_bases:8,caught_stealing:5,walks:35,strikeouts:130,batting_avg:.272,onbase:.341,slugging:.567,ops:erc">.567,ops+:lugging">.909,bases:211,double_plays:5,hit_by_pitch:5,sac_hits:2,sac_flies:1,intentional_walks:2
pos:3B,name:Nolan Arenado,age:25,games:160,plate_appearances:696,at_bats:618,runs:116,hits:182,doubles:35,triples:6,home_runs:41,runs_batted_in:133,stolen_bases:2,caught_stealing:3,walks:68,strikeouts:103,batting_avg:.294,onbase:.362,slugging:.570,ops:erc">.570,ops+:lugging">.932,bases:352,double_plays:17,hit_by_pitch:2,sac_hits:0,sac_flies:8,intentional_walks:10
pos:LF,name:Gerardo Parra,age:29,games:102,plate_appearances:381,at_bats:368,runs:45,hits:93,doubles:27,triples:3,home_runs:7,runs_batted_in:39,stolen_bases:6,caught_stealing:4,walks:9,strikeouts:73,batting_avg:.253,onbase:.271,slugging:.399,ops:erc">.399,ops+:lugging">.671,bases:147,double_plays:16,hit_by_pitch:1,sac_hits:1,sac_flies:2,intentional_walks:1
pos:CF,name:Charlie Blackmon,age:29,games:143,plate_appearances:641,at_bats:578,runs:111,hits:187,doubles:35,triples:5,home_runs:29,runs_batted_in:82,stolen_bases:17,caught_stealing:9,walks:43,strikeouts:102,batting_avg:.324,onbase:.381,slugging:.552,ops:erc">.552,ops+:lugging">.933,bases:319,double_plays:2,hit_by_pitch:13,sac_hits:3,sac_flies:4,intentional_walks:4
pos:RF,name:Carlos Gonzalez,age:30,games:150,plate_appearances:632,at_bats:584,runs:87,hits:174,doubles:42,triples:2,home_runs:25,runs_batted_in:100,stolen_bases:2,caught_stealing:2,walks:46,strikeouts:129,batting_avg:.298,onbase:.350,slugging:.505,ops:erc">.505,ops+:lugging">.855,bases:295,double_plays:10,hit_by_pitch:1,sac_hits:0,sac_flies:1,intentional_walks:6
pos:SS,name:Daniel Descalso,age:29,games:99,plate_appearances:289,at_bats:250,runs:38,hits:66,doubles:12,triples:2,home_runs:8,runs_batted_in:38,stolen_bases:3,caught_stealing:0,walks:34,strikeouts:56,batting_avg:.264,onbase:.349,slugging:.424,ops:erc">.424,ops+:lugging">.773,bases:106,double_plays:2,hit_by_pitch:1,sac_hits:0,sac_flies:4,intentional_walks:3
pos:LF,name:Ryan Raburn,age:35,games:113,plate_appearances:256,at_bats:223,runs:30,hits:49,doubles:10,triples:2,home_runs:9,runs_batted_in:30,stolen_bases:0,caught_stealing:0,walks:28,strikeouts:80,batting_avg:.220,onbase:.309,slugging:.404,ops:erc">.404,ops+:lugging">.712,bases:90,double_plays:6,hit_by_pitch:2,sac_hits:0,sac_flies:3,intentional_walks:0
pos:SS,name:Cristhian Adames,age:24,games:121,plate_appearances:256,at_bats:225,runs:25,hits:49,doubles:7,triples:3,home_runs:2,runs_batted_in:17,stolen_bases:2,caught_stealing:3,walks:24,strikeouts:47,batting_avg:.218,onbase:.304,slugging:.302,ops:erc">.302,ops+:lugging">.607,bases:68,double_plays:5,hit_by_pitch:4,sac_hits:3,sac_flies:0,intentional_walks:0
pos:LF,name:David Dahl,age:22,games:63,plate_appearances:237,at_bats:222,runs:42,hits:70,doubles:12,triples:4,home_runs:7,runs_batted_in:24,stolen_bases:5,caught_stealing:0,walks:15,strikeouts:59,batting_avg:.315,onbase:.359,slugging:.500,ops:erc">.500,ops+:lugging">.859,bases:111,double_plays:3,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:C,name:Tony Wolters,age:24,games:71,plate_appearances:230,at_bats:205,runs:27,hits:53,doubles:15,triples:2,home_runs:3,runs_batted_in:30,stolen_bases:4,caught_stealing:1,walks:21,strikeouts:53,batting_avg:.259,onbase:.327,slugging:.395,ops:erc">.395,ops+:lugging">.723,bases:81,double_plays:1,hit_by_pitch:0,sac_hits:4,sac_flies:0,intentional_walks:2
pos:OF,name:Brandon Barnes,age:30,games:48,plate_appearances:109,at_bats:100,runs:10,hits:22,doubles:6,triples:2,home_runs:0,runs_batted_in:8,stolen_bases:1,caught_stealing:2,walks:3,strikeouts:30,batting_avg:.220,onbase:.250,slugging:.320,ops:erc">.320,ops+:lugging">.570,bases:32,double_plays:0,hit_by_pitch:1,sac_hits:5,sac_flies:0,intentional_walks:0
pos:1B,name:Ben Paulsen,age:28,games:39,plate_appearances:97,at_bats:92,runs:8,hits:20,doubles:5,triples:0,home_runs:1,runs_batted_in:11,stolen_bases:0,caught_stealing:0,walks:5,strikeouts:27,batting_avg:.217,onbase:.258,slugging:.304,ops:erc">.304,ops+:lugging">.562,bases:28,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:1
pos:C,name:Dustin Garneau,age:28,games:24,plate_appearances:75,at_bats:68,runs:7,hits:16,doubles:6,triples:0,home_runs:1,runs_batted_in:6,stolen_bases:0,caught_stealing:0,walks:6,strikeouts:22,batting_avg:.235,onbase:.293,slugging:.368,ops:erc">.368,ops+:lugging">.661,bases:25,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
