pos:C,name:Brad Ausmus,age:27,games:75,plate_appearances:261,at_bats:226,runs:30,hits:56,doubles:12,triples:0,home_runs:4,runs_batted_in:22,stolen_bases:3,caught_stealing:4,walks:26,strikeouts:45,batting_avg:.248,onbase:.328,slugging:.354,ops:erc">.354,ops+:lugging">.682,bases:80,double_plays:4,hit_by_pitch:2,sac_hits:5,sac_flies:2,intentional_walks:1
pos:1B,name:Tony Clark,age:24,games:100,plate_appearances:411,at_bats:376,runs:56,hits:94,doubles:14,triples:0,home_runs:27,runs_batted_in:72,stolen_bases:0,caught_stealing:1,walks:29,strikeouts:127,batting_avg:.250,onbase:.299,slugging:.503,ops:erc">.503,ops+:lugging">.802,bases:189,double_plays:7,hit_by_pitch:0,sac_hits:0,sac_flies:6,intentional_walks:1
pos:2B,name:Mark Lewis,age:26,games:145,plate_appearances:599,at_bats:545,runs:69,hits:147,doubles:30,triples:3,home_runs:11,runs_batted_in:55,stolen_bases:6,caught_stealing:1,walks:42,strikeouts:109,batting_avg:.270,onbase:.326,slugging:.396,ops:erc">.396,ops+:lugging">.722,bases:216,double_plays:12,hit_by_pitch:5,sac_hits:4,sac_flies:3,intentional_walks:0
pos:SS,name:Andujar Cedeno,age:26,games:52,plate_appearances:186,at_bats:179,runs:19,hits:35,doubles:4,triples:2,home_runs:7,runs_batted_in:20,stolen_bases:2,caught_stealing:1,walks:4,strikeouts:37,batting_avg:.196,onbase:.213,slugging:.358,ops:erc">.358,ops+:lugging">.571,bases:64,double_plays:8,hit_by_pitch:0,sac_hits:3,sac_flies:0,intentional_walks:0
pos:3B,name:Travis Fryman,age:27,games:157,plate_appearances:688,at_bats:616,runs:90,hits:165,doubles:32,triples:3,home_runs:22,runs_batted_in:100,stolen_bases:4,caught_stealing:3,walks:57,strikeouts:118,batting_avg:.268,onbase:.329,slugging:.437,ops:erc">.437,ops+:lugging">.766,bases:269,double_plays:18,hit_by_pitch:4,sac_hits:1,sac_flies:10,intentional_walks:2
pos:LF,name:Bobby Higginson,age:25,games:130,plate_appearances:515,at_bats:440,runs:75,hits:141,doubles:35,triples:0,home_runs:26,runs_batted_in:81,stolen_bases:6,caught_stealing:3,walks:65,strikeouts:66,batting_avg:.320,onbase:.404,slugging:.577,ops:erc">.577,ops+:lugging">.982,bases:254,double_plays:7,hit_by_pitch:1,sac_hits:3,sac_flies:6,intentional_walks:7
pos:CF,name:Chad Curtis,age:27,games:104,plate_appearances:466,at_bats:400,runs:65,hits:105,doubles:20,triples:1,home_runs:10,runs_batted_in:37,stolen_bases:16,caught_stealing:10,walks:53,strikeouts:73,batting_avg:.263,onbase:.346,slugging:.393,ops:erc">.393,ops+:lugging">.738,bases:157,double_plays:14,hit_by_pitch:1,sac_hits:6,sac_flies:6,intentional_walks:0
pos:RF,name:Melvin Nieves,age:24,games:120,plate_appearances:484,at_bats:431,runs:71,hits:106,doubles:23,triples:4,home_runs:24,runs_batted_in:60,stolen_bases:1,caught_stealing:2,walks:44,strikeouts:158,batting_avg:.246,onbase:.322,slugging:.485,ops:erc">.485,ops+:lugging">.807,bases:209,double_plays:10,hit_by_pitch:6,sac_hits:0,sac_flies:3,intentional_walks:2
pos:DH,name:Eddie Williams,age:31,games:77,plate_appearances:237,at_bats:215,runs:22,hits:43,doubles:5,triples:0,home_runs:6,runs_batted_in:26,stolen_bases:0,caught_stealing:2,walks:18,strikeouts:50,batting_avg:.200,onbase:.267,slugging:.307,ops:erc">.307,ops+:lugging">.574,bases:66,double_plays:8,hit_by_pitch:2,sac_hits:0,sac_flies:1,intentional_walks:0
pos:1B,name:Cecil Fielder,age:32,games:107,plate_appearances:460,at_bats:391,runs:55,hits:97,doubles:12,triples:0,home_runs:26,runs_batted_in:80,stolen_bases:2,caught_stealing:0,walks:63,strikeouts:91,batting_avg:.248,onbase:.354,slugging:.478,ops:erc">.478,ops+:lugging">.833,bases:187,double_plays:11,hit_by_pitch:3,sac_hits:0,sac_flies:3,intentional_walks:8
pos:LF,name:Curtis Pride,age:27,games:95,plate_appearances:301,at_bats:267,runs:52,hits:80,doubles:17,triples:5,home_runs:10,runs_batted_in:31,stolen_bases:11,caught_stealing:6,walks:31,strikeouts:63,batting_avg:.300,onbase:.372,slugging:.513,ops:erc">.513,ops+:lugging">.886,bases:137,double_plays:2,hit_by_pitch:0,sac_hits:3,sac_flies:0,intentional_walks:1
