pos:C,name:Alex Avila,age:26,games:102,plate_appearances:379,at_bats:330,runs:39,hits:75,doubles:14,triples:1,home_runs:11,runs_batted_in:47,stolen_bases:0,caught_stealing:0,walks:44,strikeouts:112,batting_avg:.227,onbase:.317,slugging:.376,ops:erc">.376,ops+:lugging">.693,bases:124,double_plays:10,hit_by_pitch:1,sac_hits:1,sac_flies:3,intentional_walks:0
pos:1B,name:Prince Fielder,age:29,games:162,plate_appearances:712,at_bats:624,runs:82,hits:174,doubles:36,triples:0,home_runs:25,runs_batted_in:106,stolen_bases:1,caught_stealing:1,walks:75,strikeouts:117,batting_avg:.279,onbase:.362,slugging:.457,ops:erc">.457,ops+:lugging">.819,bases:285,double_plays:20,hit_by_pitch:9,sac_hits:0,sac_flies:4,intentional_walks:5
pos:2B,name:Omar Infante,age:31,games:118,plate_appearances:476,at_bats:453,runs:54,hits:144,doubles:24,triples:3,home_runs:10,runs_batted_in:51,stolen_bases:5,caught_stealing:2,walks:20,strikeouts:44,batting_avg:.318,onbase:.345,slugging:.450,ops:erc">.450,ops+:lugging">.795,bases:204,double_plays:11,hit_by_pitch:0,sac_hits:0,sac_flies:3,intentional_walks:1
pos:SS,name:Jhonny Peralta,age:31,games:107,plate_appearances:448,at_bats:409,runs:50,hits:124,doubles:30,triples:0,home_runs:11,runs_batted_in:55,stolen_bases:3,caught_stealing:3,walks:35,strikeouts:98,batting_avg:.303,onbase:.358,slugging:.457,ops:erc">.457,ops+:lugging">.815,bases:187,double_plays:9,hit_by_pitch:1,sac_hits:1,sac_flies:2,intentional_walks:2
pos:3B,name:Miguel Cabrera,age:30,games:148,plate_appearances:652,at_bats:555,runs:103,hits:193,doubles:26,triples:1,home_runs:44,runs_batted_in:137,stolen_bases:3,caught_stealing:0,walks:90,strikeouts:94,batting_avg:.348,onbase:.442,slugging:.636,ops:erc">.636,ops+:lugging">1.078,bases:353,double_plays:19,hit_by_pitch:5,sac_hits:0,sac_flies:2,intentional_walks:19
pos:LF,name:Andy Dirks,age:27,games:131,plate_appearances:484,at_bats:438,runs:60,hits:112,doubles:16,triples:2,home_runs:9,runs_batted_in:37,stolen_bases:7,caught_stealing:1,walks:42,strikeouts:84,batting_avg:.256,onbase:.323,slugging:.363,ops:erc">.363,ops+:lugging">.686,bases:159,double_plays:6,hit_by_pitch:2,sac_hits:1,sac_flies:1,intentional_walks:2
pos:CF,name:Austin Jackson,age:26,games:129,plate_appearances:614,at_bats:552,runs:99,hits:150,doubles:30,triples:7,home_runs:12,runs_batted_in:49,stolen_bases:8,caught_stealing:4,walks:52,strikeouts:129,batting_avg:.272,onbase:.337,slugging:.417,ops:erc">.417,ops+:lugging">.754,bases:230,double_plays:12,hit_by_pitch:4,sac_hits:3,sac_flies:3,intentional_walks:0
pos:RF,name:Torii Hunter,age:37,games:144,plate_appearances:652,at_bats:606,runs:90,hits:184,doubles:37,triples:5,home_runs:17,runs_batted_in:84,stolen_bases:3,caught_stealing:2,walks:26,strikeouts:113,batting_avg:.304,onbase:.334,slugging:.465,ops:erc">.465,ops+:lugging">.800,bases:282,double_plays:11,hit_by_pitch:7,sac_hits:3,sac_flies:10,intentional_walks:0
pos:DH,name:Victor Martinez,age:34,games:159,plate_appearances:668,at_bats:605,runs:68,hits:182,doubles:36,triples:0,home_runs:14,runs_batted_in:83,stolen_bases:0,caught_stealing:2,walks:54,strikeouts:62,batting_avg:.301,onbase:.355,slugging:.430,ops:erc">.430,ops+:lugging">.785,bases:260,double_plays:23,hit_by_pitch:1,sac_hits:0,sac_flies:8,intentional_walks:10
pos:UT,name:Don Kelly,age:33,games:112,plate_appearances:251,at_bats:216,runs:33,hits:48,doubles:6,triples:1,home_runs:6,runs_batted_in:23,stolen_bases:2,caught_stealing:0,walks:27,strikeouts:28,batting_avg:.222,onbase:.309,slugging:.343,ops:erc">.343,ops+:lugging">.652,bases:74,double_plays:4,hit_by_pitch:2,sac_hits:2,sac_flies:4,intentional_walks:1
pos:C,name:Brayan Pena,age:31,games:71,plate_appearances:243,at_bats:229,runs:19,hits:68,doubles:11,triples:0,home_runs:4,runs_batted_in:22,stolen_bases:0,caught_stealing:2,walks:6,strikeouts:26,batting_avg:.297,onbase:.315,slugging:.397,ops:erc">.397,ops+:lugging">.713,bases:91,double_plays:7,hit_by_pitch:2,sac_hits:2,sac_flies:4,intentional_walks:0
