pos:C,name:Benito Santiago,age:28,games:139,plate_appearances:516,at_bats:469,runs:49,hits:108,doubles:19,triples:6,home_runs:13,runs_batted_in:50,stolen_bases:10,caught_stealing:7,walks:37,strikeouts:88,batting_avg:.230,onbase:.291,slugging:.380,ops:erc">.380,ops+:lugging">.671,bases:178,double_plays:9,hit_by_pitch:5,sac_hits:0,sac_flies:4,intentional_walks:2
pos:1B,name:Orestes Destrade,age:31,games:153,plate_appearances:637,at_bats:569,runs:61,hits:145,doubles:20,triples:3,home_runs:20,runs_batted_in:87,stolen_bases:0,caught_stealing:2,walks:58,strikeouts:130,batting_avg:.255,onbase:.324,slugging:.406,ops:erc">.406,ops+:lugging">.730,bases:231,double_plays:17,hit_by_pitch:3,sac_hits:1,sac_flies:6,intentional_walks:8
pos:2B,name:Bret Barberie,age:25,games:99,plate_appearances:424,at_bats:375,runs:45,hits:104,doubles:16,triples:2,home_runs:5,runs_batted_in:33,stolen_bases:2,caught_stealing:4,walks:33,strikeouts:58,batting_avg:.277,onbase:.344,slugging:.371,ops:erc">.371,ops+:lugging">.715,bases:139,double_plays:7,hit_by_pitch:7,sac_hits:5,sac_flies:3,intentional_walks:2
pos:SS,name:Walt Weiss,age:29,games:158,plate_appearances:591,at_bats:500,runs:50,hits:133,doubles:14,triples:2,home_runs:1,runs_batted_in:39,stolen_bases:7,caught_stealing:3,walks:79,strikeouts:73,batting_avg:.266,onbase:.367,slugging:.308,ops:erc">.308,ops+:lugging">.675,bases:154,double_plays:5,hit_by_pitch:3,sac_hits:5,sac_flies:4,intentional_walks:13
pos:3B,name:Gary Sheffield,age:24,games:72,plate_appearances:275,at_bats:236,runs:33,hits:69,doubles:8,triples:3,home_runs:10,runs_batted_in:37,stolen_bases:12,caught_stealing:4,walks:29,strikeouts:34,batting_avg:.292,onbase:.378,slugging:.479,ops:erc">.479,ops+:lugging">.857,bases:113,double_plays:2,hit_by_pitch:6,sac_hits:0,sac_flies:4,intentional_walks:6
pos:LF,name:Jeff Conine,age:27,games:162,plate_appearances:658,at_bats:595,runs:75,hits:174,doubles:24,triples:3,home_runs:12,runs_batted_in:79,stolen_bases:2,caught_stealing:2,walks:52,strikeouts:135,batting_avg:.292,onbase:.351,slugging:.403,ops:erc">.403,ops+:lugging">.754,bases:240,double_plays:14,hit_by_pitch:5,sac_hits:0,sac_flies:6,intentional_walks:2
pos:CF,name:Chuck Carr,age:25,games:142,plate_appearances:613,at_bats:551,runs:75,hits:147,doubles:19,triples:2,home_runs:4,runs_batted_in:41,stolen_bases:58,caught_stealing:22,walks:49,strikeouts:74,batting_avg:.267,onbase:.327,slugging:.330,ops:erc">.330,ops+:lugging">.657,bases:182,double_plays:6,hit_by_pitch:2,sac_hits:7,sac_flies:4,intentional_walks:0
pos:RF,name:Darrell Whitmore,age:24,games:76,plate_appearances:267,at_bats:250,runs:24,hits:51,doubles:8,triples:2,home_runs:4,runs_batted_in:19,stolen_bases:4,caught_stealing:2,walks:10,strikeouts:72,batting_avg:.204,onbase:.249,slugging:.300,ops:erc">.300,ops+:lugging">.549,bases:75,double_plays:8,hit_by_pitch:5,sac_hits:2,sac_flies:0,intentional_walks:0
pos:IF,name:Rick Renteria,age:31,games:103,plate_appearances:290,at_bats:263,runs:27,hits:67,doubles:9,triples:2,home_runs:2,runs_batted_in:30,stolen_bases:0,caught_stealing:2,walks:21,strikeouts:31,batting_avg:.255,onbase:.314,slugging:.327,ops:erc">.327,ops+:lugging">.641,bases:86,double_plays:8,hit_by_pitch:2,sac_hits:3,sac_flies:1,intentional_walks:1
pos:IF,name:Alex Arias,age:25,games:96,plate_appearances:283,at_bats:249,runs:27,hits:67,doubles:5,triples:1,home_runs:2,runs_batted_in:20,stolen_bases:1,caught_stealing:1,walks:27,strikeouts:18,batting_avg:.269,onbase:.344,slugging:.321,ops:erc">.321,ops+:lugging">.665,bases:80,double_plays:5,hit_by_pitch:3,sac_hits:1,sac_flies:3,intentional_walks:0
pos:3B,name:Dave Magadan,age:30,games:66,plate_appearances:275,at_bats:227,runs:22,hits:65,doubles:12,triples:0,home_runs:4,runs_batted_in:29,stolen_bases:0,caught_stealing:1,walks:44,strikeouts:30,batting_avg:.286,onbase:.400,slugging:.392,ops:erc">.392,ops+:lugging">.792,bases:89,double_plays:3,hit_by_pitch:1,sac_hits:0,sac_flies:3,intentional_walks:4
pos:RF,name:Junior Felix,age:25,games:57,plate_appearances:225,at_bats:214,runs:25,hits:51,doubles:11,triples:1,home_runs:7,runs_batted_in:22,stolen_bases:2,caught_stealing:1,walks:10,strikeouts:50,batting_avg:.238,onbase:.276,slugging:.397,ops:erc">.397,ops+:lugging">.673,bases:85,double_plays:6,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:1
pos:OF,name:Greg Briley,age:28,games:120,plate_appearances:185,at_bats:170,runs:17,hits:33,doubles:6,triples:0,home_runs:3,runs_batted_in:12,stolen_bases:6,caught_stealing:2,walks:12,strikeouts:42,batting_avg:.194,onbase:.250,slugging:.282,ops:erc">.282,ops+:lugging">.532,bases:48,double_plays:5,hit_by_pitch:1,sac_hits:1,sac_flies:1,intentional_walks:0
pos:OF,name:Henry Cotto,age:32,games:54,plate_appearances:142,at_bats:135,runs:15,hits:40,doubles:7,triples:0,home_runs:3,runs_batted_in:14,stolen_bases:11,caught_stealing:1,walks:3,strikeouts:18,batting_avg:.296,onbase:.312,slugging:.415,ops:erc">.415,ops+:lugging">.727,bases:56,double_plays:3,hit_by_pitch:1,sac_hits:1,sac_flies:2,intentional_walks:0
pos:C,name:Rob Natal,age:27,games:41,plate_appearances:131,at_bats:117,runs:3,hits:25,doubles:4,triples:1,home_runs:1,runs_batted_in:6,stolen_bases:1,caught_stealing:0,walks:6,strikeouts:22,batting_avg:.214,onbase:.273,slugging:.291,ops:erc">.291,ops+:lugging">.564,bases:34,double_plays:6,hit_by_pitch:4,sac_hits:3,sac_flies:1,intentional_walks:0
pos:OF,name:Matias Carrillo,age:30,games:24,plate_appearances:58,at_bats:55,runs:4,hits:14,doubles:6,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:7,batting_avg:.255,onbase:.281,slugging:.364,ops:erc">.364,ops+:lugging">.644,bases:20,double_plays:5,hit_by_pitch:1,sac_hits:1,sac_flies:0,intentional_walks:0
