pos:C,name:Mike Redmond,age:29,games:87,plate_appearances:235,at_bats:210,runs:17,hits:53,doubles:8,triples:1,home_runs:0,runs_batted_in:15,stolen_bases:0,caught_stealing:0,walks:13,strikeouts:19,batting_avg:.252,onbase:.316,slugging:.300,ops:erc">.300,ops+:lugging">.616,bases:63,double_plays:5,hit_by_pitch:8,sac_hits:1,sac_flies:3,intentional_walks:3
pos:1B,name:Derrek Lee,age:24,games:158,plate_appearances:546,at_bats:477,runs:70,hits:134,doubles:18,triples:3,home_runs:28,runs_batted_in:70,stolen_bases:0,caught_stealing:3,walks:63,strikeouts:123,batting_avg:.281,onbase:.368,slugging:.507,ops:erc">.507,ops+:lugging">.875,bases:242,double_plays:14,hit_by_pitch:4,sac_hits:0,sac_flies:2,intentional_walks:6
pos:2B,name:Luis Castillo,age:24,games:136,plate_appearances:626,at_bats:539,runs:101,hits:180,doubles:17,triples:3,home_runs:2,runs_batted_in:17,stolen_bases:62,caught_stealing:22,walks:78,strikeouts:86,batting_avg:.334,onbase:.418,slugging:.388,ops:erc">.388,ops+:lugging">.806,bases:209,double_plays:11,hit_by_pitch:0,sac_hits:9,sac_flies:0,intentional_walks:0
pos:SS,name:Alex Gonzalez,age:23,games:109,plate_appearances:407,at_bats:385,runs:35,hits:77,doubles:17,triples:4,home_runs:7,runs_batted_in:42,stolen_bases:7,caught_stealing:1,walks:13,strikeouts:77,batting_avg:.200,onbase:.229,slugging:.319,ops:erc">.319,ops+:lugging">.548,bases:123,double_plays:7,hit_by_pitch:2,sac_hits:5,sac_flies:2,intentional_walks:0
pos:3B,name:Mike Lowell,age:26,games:140,plate_appearances:583,at_bats:508,runs:73,hits:137,doubles:38,triples:0,home_runs:22,runs_batted_in:91,stolen_bases:4,caught_stealing:0,walks:54,strikeouts:75,batting_avg:.270,onbase:.344,slugging:.474,ops:erc">.474,ops+:lugging">.818,bases:241,double_plays:4,hit_by_pitch:9,sac_hits:0,sac_flies:11,intentional_walks:4
pos:LF,name:Cliff Floyd,age:27,games:121,plate_appearances:487,at_bats:420,runs:75,hits:126,doubles:30,triples:0,home_runs:22,runs_batted_in:91,stolen_bases:24,caught_stealing:3,walks:50,strikeouts:82,batting_avg:.300,onbase:.378,slugging:.529,ops:erc">.529,ops+:lugging">.906,bases:222,double_plays:4,hit_by_pitch:8,sac_hits:0,sac_flies:9,intentional_walks:5
pos:CF,name:Preston Wilson,age:25,games:161,plate_appearances:674,at_bats:605,runs:94,hits:160,doubles:35,triples:3,home_runs:31,runs_batted_in:121,stolen_bases:36,caught_stealing:14,walks:55,strikeouts:187,batting_avg:.264,onbase:.331,slugging:.486,ops:erc">.486,ops+:lugging">.817,bases:294,double_plays:11,hit_by_pitch:8,sac_hits:0,sac_flies:6,intentional_walks:1
pos:RF,name:Mark Kotsay,age:24,games:152,plate_appearances:578,at_bats:530,runs:87,hits:158,doubles:31,triples:5,home_runs:12,runs_batted_in:57,stolen_bases:19,caught_stealing:9,walks:42,strikeouts:46,batting_avg:.298,onbase:.347,slugging:.443,ops:erc">.443,ops+:lugging">.791,bases:235,double_plays:17,hit_by_pitch:0,sac_hits:2,sac_flies:4,intentional_walks:2
pos:1B,name:Kevin Millar,age:28,games:123,plate_appearances:305,at_bats:259,runs:36,hits:67,doubles:14,triples:3,home_runs:14,runs_batted_in:42,stolen_bases:0,caught_stealing:0,walks:36,strikeouts:47,batting_avg:.259,onbase:.364,slugging:.498,ops:erc">.498,ops+:lugging">.862,bases:129,double_plays:5,hit_by_pitch:8,sac_hits:0,sac_flies:2,intentional_walks:0
pos:SS,name:Dave Berg,age:29,games:82,plate_appearances:245,at_bats:210,runs:23,hits:53,doubles:14,triples:1,home_runs:1,runs_batted_in:21,stolen_bases:3,caught_stealing:0,walks:25,strikeouts:46,batting_avg:.252,onbase:.340,slugging:.343,ops:erc">.343,ops+:lugging">.683,bases:72,double_plays:5,hit_by_pitch:5,sac_hits:1,sac_flies:4,intentional_walks:0
