pos:C,name:Ivan Rodriguez,age:31,games:144,plate_appearances:578,at_bats:511,runs:90,hits:152,doubles:36,triples:3,home_runs:16,runs_batted_in:85,stolen_bases:10,caught_stealing:6,walks:55,strikeouts:92,batting_avg:.297,onbase:.369,slugging:.474,ops:erc">.474,ops+:lugging">.843,bases:242,double_plays:18,hit_by_pitch:6,sac_hits:1,sac_flies:5,intentional_walks:6
pos:1B,name:Derrek Lee,age:27,games:155,plate_appearances:643,at_bats:539,runs:91,hits:146,doubles:31,triples:2,home_runs:31,runs_batted_in:92,stolen_bases:21,caught_stealing:8,walks:88,strikeouts:131,batting_avg:.271,onbase:.379,slugging:.508,ops:erc">.508,ops+:lugging">.888,bases:274,double_plays:9,hit_by_pitch:10,sac_hits:0,sac_flies:6,intentional_walks:7
pos:2B,name:Luis Castillo,age:27,games:152,plate_appearances:676,at_bats:595,runs:99,hits:187,doubles:19,triples:6,home_runs:6,runs_batted_in:39,stolen_bases:21,caught_stealing:19,walks:63,strikeouts:60,batting_avg:.314,onbase:.381,slugging:.397,ops:erc">.397,ops+:lugging">.778,bases:236,double_plays:7,hit_by_pitch:2,sac_hits:15,sac_flies:1,intentional_walks:0
pos:SS,name:Alex Gonzalez,age:26,games:150,plate_appearances:582,at_bats:528,runs:52,hits:135,doubles:33,triples:6,home_runs:18,runs_batted_in:77,stolen_bases:0,caught_stealing:4,walks:33,strikeouts:106,batting_avg:.256,onbase:.313,slugging:.443,ops:erc">.443,ops+:lugging">.756,bases:234,double_plays:8,hit_by_pitch:13,sac_hits:3,sac_flies:5,intentional_walks:13
pos:3B,name:Mike Lowell,age:29,games:130,plate_appearances:557,at_bats:492,runs:76,hits:136,doubles:27,triples:1,home_runs:32,runs_batted_in:105,stolen_bases:3,caught_stealing:1,walks:56,strikeouts:78,batting_avg:.276,onbase:.350,slugging:.530,ops:erc">.530,ops+:lugging">.881,bases:261,double_plays:14,hit_by_pitch:3,sac_hits:0,sac_flies:6,intentional_walks:6
pos:LF,name:Todd Hollandsworth,age:30,games:93,plate_appearances:254,at_bats:228,runs:32,hits:58,doubles:23,triples:3,home_runs:3,runs_batted_in:20,stolen_bases:2,caught_stealing:3,walks:22,strikeouts:55,batting_avg:.254,onbase:.317,slugging:.421,ops:erc">.421,ops+:lugging">.739,bases:96,double_plays:2,hit_by_pitch:0,sac_hits:2,sac_flies:2,intentional_walks:4
pos:CF,name:Juan Pierre,age:25,games:162,plate_appearances:747,at_bats:668,runs:100,hits:204,doubles:28,triples:7,home_runs:1,runs_batted_in:41,stolen_bases:65,caught_stealing:20,walks:55,strikeouts:35,batting_avg:.305,onbase:.361,slugging:.373,ops:erc">.373,ops+:lugging">.734,bases:249,double_plays:9,hit_by_pitch:5,sac_hits:15,sac_flies:3,intentional_walks:1
pos:RF,name:Juan Encarnacion,age:27,games:156,plate_appearances:653,at_bats:601,runs:80,hits:162,doubles:37,triples:6,home_runs:19,runs_batted_in:94,stolen_bases:19,caught_stealing:8,walks:37,strikeouts:82,batting_avg:.270,onbase:.313,slugging:.446,ops:erc">.446,ops+:lugging">.759,bases:268,double_plays:17,hit_by_pitch:4,sac_hits:5,sac_flies:6,intentional_walks:0
pos:UT,name:Miguel Cabrera,age:20,games:87,plate_appearances:346,at_bats:314,runs:39,hits:84,doubles:21,triples:3,home_runs:12,runs_batted_in:62,stolen_bases:0,caught_stealing:2,walks:25,strikeouts:84,batting_avg:.268,onbase:.325,slugging:.468,ops:erc">.468,ops+:lugging">.793,bases:147,double_plays:12,hit_by_pitch:2,sac_hits:4,sac_flies:1,intentional_walks:3
pos:LF,name:Brian Banks,age:32,games:92,plate_appearances:180,at_bats:149,runs:14,hits:35,doubles:6,triples:2,home_runs:4,runs_batted_in:23,stolen_bases:2,caught_stealing:1,walks:25,strikeouts:38,batting_avg:.235,onbase:.348,slugging:.383,ops:erc">.383,ops+:lugging">.731,bases:57,double_plays:4,hit_by_pitch:2,sac_hits:2,sac_flies:2,intentional_walks:1
pos:C,name:Mike Redmond,age:32,games:59,plate_appearances:141,at_bats:125,runs:12,hits:30,doubles:7,triples:1,home_runs:0,runs_batted_in:11,stolen_bases:0,caught_stealing:0,walks:7,strikeouts:16,batting_avg:.240,onbase:.302,slugging:.312,ops:erc">.312,ops+:lugging">.614,bases:39,double_plays:2,hit_by_pitch:5,sac_hits:2,sac_flies:2,intentional_walks:0
