pos:C,name:Miguel Olivo,age:28,games:122,plate_appearances:469,at_bats:452,runs:43,hits:107,doubles:20,triples:4,home_runs:16,runs_batted_in:60,stolen_bases:3,caught_stealing:2,walks:14,strikeouts:123,batting_avg:.237,onbase:.262,slugging:.405,ops:erc">.405,ops+:lugging">.667,bases:183,double_plays:13,hit_by_pitch:2,sac_hits:0,sac_flies:1,intentional_walks:2
pos:1B,name:Mike Jacobs,age:26,games:114,plate_appearances:460,at_bats:426,runs:57,hits:113,doubles:27,triples:2,home_runs:17,runs_batted_in:54,stolen_bases:1,caught_stealing:2,walks:31,strikeouts:101,batting_avg:.265,onbase:.317,slugging:.458,ops:erc">.458,ops+:lugging">.775,bases:195,double_plays:12,hit_by_pitch:2,sac_hits:0,sac_flies:1,intentional_walks:3
pos:2B,name:Dan Uggla,age:27,games:159,plate_appearances:728,at_bats:632,runs:113,hits:155,doubles:49,triples:3,home_runs:31,runs_batted_in:88,stolen_bases:2,caught_stealing:1,walks:68,strikeouts:167,batting_avg:.245,onbase:.326,slugging:.479,ops:erc">.479,ops+:lugging">.805,bases:303,double_plays:10,hit_by_pitch:13,sac_hits:4,sac_flies:11,intentional_walks:0
pos:SS,name:Hanley Ramirez,age:23,games:154,plate_appearances:706,at_bats:639,runs:125,hits:212,doubles:48,triples:6,home_runs:29,runs_batted_in:81,stolen_bases:51,caught_stealing:14,walks:52,strikeouts:95,batting_avg:.332,onbase:.386,slugging:.562,ops:erc">.562,ops+:lugging">.948,bases:359,double_plays:10,hit_by_pitch:7,sac_hits:4,sac_flies:4,intentional_walks:3
pos:3B,name:Miguel Cabrera,age:24,games:157,plate_appearances:680,at_bats:588,runs:91,hits:188,doubles:38,triples:2,home_runs:34,runs_batted_in:119,stolen_bases:2,caught_stealing:1,walks:79,strikeouts:127,batting_avg:.320,onbase:.401,slugging:.565,ops:erc">.565,ops+:lugging">.965,bases:332,double_plays:17,hit_by_pitch:5,sac_hits:1,sac_flies:7,intentional_walks:23
pos:LF,name:Josh Willingham,age:28,games:144,plate_appearances:604,at_bats:521,runs:75,hits:138,doubles:32,triples:4,home_runs:21,runs_batted_in:89,stolen_bases:8,caught_stealing:1,walks:66,strikeouts:122,batting_avg:.265,onbase:.364,slugging:.463,ops:erc">.463,ops+:lugging">.827,bases:241,double_plays:11,hit_by_pitch:16,sac_hits:0,sac_flies:1,intentional_walks:1
pos:CF,name:Alfredo Amezaga,age:29,games:133,plate_appearances:448,at_bats:400,runs:46,hits:105,doubles:14,triples:9,home_runs:2,runs_batted_in:30,stolen_bases:13,caught_stealing:7,walks:35,strikeouts:52,batting_avg:.263,onbase:.324,slugging:.358,ops:erc">.358,ops+:lugging">.682,bases:143,double_plays:4,hit_by_pitch:4,sac_hits:4,sac_flies:5,intentional_walks:0
pos:RF,name:Jeremy Hermida,age:23,games:123,plate_appearances:484,at_bats:429,runs:54,hits:127,doubles:32,triples:1,home_runs:18,runs_batted_in:63,stolen_bases:3,caught_stealing:4,walks:47,strikeouts:105,batting_avg:.296,onbase:.369,slugging:.501,ops:erc">.501,ops+:lugging">.870,bases:215,double_plays:10,hit_by_pitch:4,sac_hits:1,sac_flies:3,intentional_walks:2
pos:1B,name:Aaron Boone,age:34,games:69,plate_appearances:228,at_bats:189,runs:27,hits:54,doubles:11,triples:0,home_runs:5,runs_batted_in:28,stolen_bases:2,caught_stealing:0,walks:21,strikeouts:41,batting_avg:.286,onbase:.388,slugging:.423,ops:erc">.423,ops+:lugging">.811,bases:80,double_plays:0,hit_by_pitch:13,sac_hits:1,sac_flies:4,intentional_walks:4
pos:RF,name:Joe Borchard,age:28,games:85,plate_appearances:202,at_bats:179,runs:20,hits:35,doubles:9,triples:0,home_runs:4,runs_batted_in:19,stolen_bases:4,caught_stealing:0,walks:21,strikeouts:60,batting_avg:.196,onbase:.287,slugging:.313,ops:erc">.313,ops+:lugging">.600,bases:56,double_plays:4,hit_by_pitch:2,sac_hits:0,sac_flies:0,intentional_walks:3
pos:C,name:Matt Treanor,age:31,games:55,plate_appearances:198,at_bats:171,runs:16,hits:46,doubles:7,triples:1,home_runs:4,runs_batted_in:19,stolen_bases:0,caught_stealing:0,walks:19,strikeouts:29,batting_avg:.269,onbase:.357,slugging:.392,ops:erc">.392,ops+:lugging">.749,bases:67,double_plays:2,hit_by_pitch:5,sac_hits:2,sac_flies:1,intentional_walks:1
