pos:C,name:Matt Treanor,age:32,games:65,plate_appearances:234,at_bats:206,runs:18,hits:49,doubles:7,triples:0,home_runs:2,runs_batted_in:23,stolen_bases:1,caught_stealing:0,walks:18,strikeouts:53,batting_avg:.238,onbase:.306,slugging:.301,ops:erc">.301,ops+:lugging">.607,bases:62,double_plays:2,hit_by_pitch:3,sac_hits:5,sac_flies:2,intentional_walks:1
pos:1B,name:Mike Jacobs,age:27,games:141,plate_appearances:519,at_bats:477,runs:67,hits:118,doubles:27,triples:2,home_runs:32,runs_batted_in:93,stolen_bases:1,caught_stealing:0,walks:36,strikeouts:119,batting_avg:.247,onbase:.299,slugging:.514,ops:erc">.514,ops+:lugging">.812,bases:245,double_plays:7,hit_by_pitch:1,sac_hits:0,sac_flies:5,intentional_walks:10
pos:2B,name:Dan Uggla,age:28,games:146,plate_appearances:619,at_bats:531,runs:97,hits:138,doubles:37,triples:1,home_runs:32,runs_batted_in:92,stolen_bases:5,caught_stealing:5,walks:77,strikeouts:171,batting_avg:.260,onbase:.360,slugging:.514,ops:erc">.514,ops+:lugging">.874,bases:273,double_plays:10,hit_by_pitch:8,sac_hits:0,sac_flies:3,intentional_walks:6
pos:SS,name:Hanley Ramirez,age:24,games:153,plate_appearances:693,at_bats:589,runs:125,hits:177,doubles:34,triples:4,home_runs:33,runs_batted_in:67,stolen_bases:35,caught_stealing:12,walks:92,strikeouts:122,batting_avg:.301,onbase:.400,slugging:.540,ops:erc">.540,ops+:lugging">.940,bases:318,double_plays:5,hit_by_pitch:8,sac_hits:0,sac_flies:4,intentional_walks:9
pos:3B,name:Jorge Cantu,age:26,games:155,plate_appearances:685,at_bats:628,runs:92,hits:174,doubles:41,triples:0,home_runs:29,runs_batted_in:95,stolen_bases:6,caught_stealing:2,walks:40,strikeouts:111,batting_avg:.277,onbase:.327,slugging:.481,ops:erc">.481,ops+:lugging">.808,bases:302,double_plays:15,hit_by_pitch:10,sac_hits:0,sac_flies:7,intentional_walks:6
pos:LF,name:Josh Willingham,age:29,games:102,plate_appearances:416,at_bats:351,runs:54,hits:89,doubles:21,triples:5,home_runs:15,runs_batted_in:51,stolen_bases:3,caught_stealing:2,walks:48,strikeouts:82,batting_avg:.254,onbase:.364,slugging:.470,ops:erc">.470,ops+:lugging">.834,bases:165,double_plays:7,hit_by_pitch:14,sac_hits:1,sac_flies:2,intentional_walks:2
pos:CF,name:Cody Ross,age:27,games:145,plate_appearances:506,at_bats:461,runs:59,hits:120,doubles:29,triples:5,home_runs:22,runs_batted_in:73,stolen_bases:6,caught_stealing:1,walks:33,strikeouts:116,batting_avg:.260,onbase:.316,slugging:.488,ops:erc">.488,ops+:lugging">.804,bases:225,double_plays:5,hit_by_pitch:7,sac_hits:0,sac_flies:5,intentional_walks:2
pos:RF,name:Jeremy Hermida,age:24,games:142,plate_appearances:559,at_bats:502,runs:74,hits:125,doubles:22,triples:3,home_runs:17,runs_batted_in:61,stolen_bases:6,caught_stealing:1,walks:48,strikeouts:138,batting_avg:.249,onbase:.323,slugging:.406,ops:erc">.406,ops+:lugging">.729,bases:204,double_plays:12,hit_by_pitch:7,sac_hits:1,sac_flies:1,intentional_walks:5
pos:OF,name:Luis Gonzalez,age:40,games:136,plate_appearances:387,at_bats:341,runs:30,hits:89,doubles:26,triples:1,home_runs:8,runs_batted_in:47,stolen_bases:1,caught_stealing:2,walks:41,strikeouts:43,batting_avg:.261,onbase:.336,slugging:.413,ops:erc">.413,ops+:lugging">.749,bases:141,double_plays:10,hit_by_pitch:0,sac_hits:0,sac_flies:5,intentional_walks:1
pos:CF,name:Alfredo Amezaga,age:30,games:125,plate_appearances:337,at_bats:311,runs:41,hits:82,doubles:13,triples:5,home_runs:3,runs_batted_in:32,stolen_bases:8,caught_stealing:2,walks:19,strikeouts:47,batting_avg:.264,onbase:.312,slugging:.367,ops:erc">.367,ops+:lugging">.679,bases:114,double_plays:6,hit_by_pitch:3,sac_hits:4,sac_flies:0,intentional_walks:1
pos:CI,name:Wes Helms,age:32,games:132,plate_appearances:278,at_bats:251,runs:28,hits:61,doubles:11,triples:0,home_runs:5,runs_batted_in:31,stolen_bases:0,caught_stealing:0,walks:17,strikeouts:65,batting_avg:.243,onbase:.299,slugging:.347,ops:erc">.347,ops+:lugging">.645,bases:87,double_plays:6,hit_by_pitch:5,sac_hits:0,sac_flies:5,intentional_walks:0
