pos:C,name:John Baker,age:28,games:112,plate_appearances:423,at_bats:373,runs:59,hits:101,doubles:25,triples:0,home_runs:9,runs_batted_in:50,stolen_bases:0,caught_stealing:0,walks:41,strikeouts:89,batting_avg:.271,onbase:.349,slugging:.410,ops:erc">.410,ops+:lugging">.759,bases:153,double_plays:10,hit_by_pitch:5,sac_hits:2,sac_flies:2,intentional_walks:5
pos:1B,name:Jorge Cantu,age:27,games:149,plate_appearances:643,at_bats:585,runs:67,hits:169,doubles:42,triples:0,home_runs:16,runs_batted_in:100,stolen_bases:3,caught_stealing:1,walks:47,strikeouts:81,batting_avg:.289,onbase:.345,slugging:.443,ops:erc">.443,ops+:lugging">.788,bases:259,double_plays:15,hit_by_pitch:6,sac_hits:0,sac_flies:5,intentional_walks:4
pos:2B,name:Dan Uggla,age:29,games:158,plate_appearances:668,at_bats:564,runs:84,hits:137,doubles:27,triples:1,home_runs:31,runs_batted_in:90,stolen_bases:2,caught_stealing:1,walks:92,strikeouts:150,batting_avg:.243,onbase:.354,slugging:.459,ops:erc">.459,ops+:lugging">.813,bases:259,double_plays:10,hit_by_pitch:7,sac_hits:1,sac_flies:4,intentional_walks:4
pos:SS,name:Hanley Ramirez,age:25,games:151,plate_appearances:652,at_bats:576,runs:101,hits:197,doubles:42,triples:1,home_runs:24,runs_batted_in:106,stolen_bases:27,caught_stealing:8,walks:61,strikeouts:101,batting_avg:.342,onbase:.410,slugging:.543,ops:erc">.543,ops+:lugging">.954,bases:313,double_plays:9,hit_by_pitch:9,sac_hits:1,sac_flies:5,intentional_walks:14
pos:3B,name:Emilio Bonifacio,age:24,games:127,plate_appearances:509,at_bats:461,runs:72,hits:116,doubles:11,triples:6,home_runs:1,runs_batted_in:27,stolen_bases:21,caught_stealing:9,walks:34,strikeouts:95,batting_avg:.252,onbase:.303,slugging:.308,ops:erc">.308,ops+:lugging">.611,bases:142,double_plays:5,hit_by_pitch:2,sac_hits:8,sac_flies:4,intentional_walks:0
pos:LF,name:Chris Coghlan,age:24,games:128,plate_appearances:565,at_bats:504,runs:84,hits:162,doubles:31,triples:6,home_runs:9,runs_batted_in:47,stolen_bases:8,caught_stealing:5,walks:53,strikeouts:77,batting_avg:.321,onbase:.390,slugging:.460,ops:erc">.460,ops+:lugging">.850,bases:232,double_plays:3,hit_by_pitch:4,sac_hits:3,sac_flies:1,intentional_walks:2
pos:CF,name:Cody Ross,age:28,games:151,plate_appearances:604,at_bats:559,runs:73,hits:151,doubles:37,triples:1,home_runs:24,runs_batted_in:90,stolen_bases:5,caught_stealing:2,walks:34,strikeouts:122,batting_avg:.270,onbase:.321,slugging:.469,ops:erc">.469,ops+:lugging">.790,bases:262,double_plays:18,hit_by_pitch:9,sac_hits:0,sac_flies:2,intentional_walks:1
pos:RF,name:Jeremy Hermida,age:25,games:129,plate_appearances:491,at_bats:429,runs:48,hits:111,doubles:14,triples:2,home_runs:13,runs_batted_in:47,stolen_bases:5,caught_stealing:2,walks:56,strikeouts:101,batting_avg:.259,onbase:.348,slugging:.392,ops:erc">.392,ops+:lugging">.740,bases:168,double_plays:6,hit_by_pitch:4,sac_hits:0,sac_flies:2,intentional_walks:4
pos:C,name:Ronny Paulino,age:28,games:80,plate_appearances:266,at_bats:239,runs:24,hits:65,doubles:10,triples:1,home_runs:8,runs_batted_in:27,stolen_bases:1,caught_stealing:0,walks:25,strikeouts:48,batting_avg:.272,onbase:.340,slugging:.423,ops:erc">.423,ops+:lugging">.762,bases:101,double_plays:8,hit_by_pitch:0,sac_hits:1,sac_flies:1,intentional_walks:2
pos:1B,name:Ross Gload,age:33,games:125,plate_appearances:259,at_bats:230,runs:33,hits:60,doubles:10,triples:2,home_runs:6,runs_batted_in:30,stolen_bases:0,caught_stealing:0,walks:23,strikeouts:30,batting_avg:.261,onbase:.329,slugging:.400,ops:erc">.400,ops+:lugging">.729,bases:92,double_plays:3,hit_by_pitch:2,sac_hits:1,sac_flies:3,intentional_walks:4
pos:3B,name:Wes Helms,age:33,games:113,plate_appearances:234,at_bats:214,runs:18,hits:58,doubles:11,triples:0,home_runs:3,runs_batted_in:33,stolen_bases:1,caught_stealing:1,walks:13,strikeouts:54,batting_avg:.271,onbase:.318,slugging:.364,ops:erc">.364,ops+:lugging">.682,bases:78,double_plays:10,hit_by_pitch:3,sac_hits:1,sac_flies:3,intentional_walks:1
