pos:C,name:Johnny Edwards,age:34,games:108,plate_appearances:392,at_bats:332,runs:33,hits:89,doubles:16,triples:2,home_runs:5,runs_batted_in:40,stolen_bases:2,caught_stealing:4,walks:50,strikeouts:39,batting_avg:.268,onbase:.358,slugging:.373,ops:erc">.373,ops+:lugging">.732,bases:124,double_plays:5,hit_by_pitch:1,sac_hits:1,sac_flies:8,intentional_walks:12
pos:1B,name:Lee May,age:29,games:148,plate_appearances:647,at_bats:592,runs:87,hits:168,doubles:31,triples:2,home_runs:29,runs_batted_in:98,stolen_bases:3,caught_stealing:1,walks:52,strikeouts:145,batting_avg:.284,onbase:.343,slugging:.490,ops:erc">.490,ops+:lugging">.833,bases:290,double_plays:13,hit_by_pitch:2,sac_hits:0,sac_flies:1,intentional_walks:12
pos:2B,name:Tommy Helms,age:31,games:139,plate_appearances:559,at_bats:518,runs:45,hits:134,doubles:20,triples:5,home_runs:5,runs_batted_in:60,stolen_bases:4,caught_stealing:3,walks:24,strikeouts:27,batting_avg:.259,onbase:.291,slugging:.346,ops:erc">.346,ops+:lugging">.637,bases:179,double_plays:8,hit_by_pitch:4,sac_hits:3,sac_flies:10,intentional_walks:8
pos:SS,name:Roger Metzger,age:24,games:153,plate_appearances:715,at_bats:641,runs:84,hits:142,doubles:12,triples:3,home_runs:2,runs_batted_in:38,stolen_bases:23,caught_stealing:9,walks:60,strikeouts:71,batting_avg:.222,onbase:.288,slugging:.259,ops:erc">.259,ops+:lugging">.547,bases:166,double_plays:7,hit_by_pitch:1,sac_hits:9,sac_flies:4,intentional_walks:1
pos:3B,name:Doug Rader,age:27,games:152,plate_appearances:626,at_bats:553,runs:70,hits:131,doubles:24,triples:7,home_runs:22,runs_batted_in:90,stolen_bases:5,caught_stealing:5,walks:57,strikeouts:120,batting_avg:.237,onbase:.309,slugging:.425,ops:erc">.425,ops+:lugging">.734,bases:235,double_plays:18,hit_by_pitch:5,sac_hits:2,sac_flies:9,intentional_walks:8
pos:LF,name:Bob Watson,age:26,games:147,plate_appearances:616,at_bats:548,runs:74,hits:171,doubles:27,triples:4,home_runs:16,runs_batted_in:86,stolen_bases:1,caught_stealing:1,walks:53,strikeouts:83,batting_avg:.312,onbase:.378,slugging:.464,ops:erc">.464,ops+:lugging">.841,bases:254,double_plays:6,hit_by_pitch:8,sac_hits:2,sac_flies:5,intentional_walks:5
pos:CF,name:Cesar Cedeno,age:21,games:139,plate_appearances:625,at_bats:559,runs:103,hits:179,doubles:39,triples:8,home_runs:22,runs_batted_in:82,stolen_bases:55,caught_stealing:21,walks:56,strikeouts:62,batting_avg:.320,onbase:.385,slugging:.537,ops:erc">.537,ops+:lugging">.921,bases:300,double_plays:11,hit_by_pitch:5,sac_hits:1,sac_flies:4,intentional_walks:5
pos:RF,name:Jim Wynn,age:30,games:145,plate_appearances:652,at_bats:542,runs:117,hits:148,doubles:29,triples:3,home_runs:24,runs_batted_in:90,stolen_bases:17,caught_stealing:7,walks:103,strikeouts:99,batting_avg:.273,onbase:.389,slugging:.470,ops:erc">.470,ops+:lugging">.860,bases:255,double_plays:8,hit_by_pitch:2,sac_hits:2,sac_flies:3,intentional_walks:6
pos:C,name:Larry Howard,age:27,games:54,plate_appearances:175,at_bats:157,runs:16,hits:35,doubles:7,triples:0,home_runs:2,runs_batted_in:13,stolen_bases:0,caught_stealing:0,walks:17,strikeouts:30,batting_avg:.223,onbase:.299,slugging:.306,ops:erc">.306,ops+:lugging">.605,bases:48,double_plays:5,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:3
pos:OF,name:Norm Miller,age:26,games:67,plate_appearances:125,at_bats:107,runs:18,hits:26,doubles:4,triples:0,home_runs:4,runs_batted_in:13,stolen_bases:1,caught_stealing:0,walks:13,strikeouts:23,batting_avg:.243,onbase:.331,slugging:.393,ops:erc">.393,ops+:lugging">.723,bases:42,double_plays:4,hit_by_pitch:1,sac_hits:4,sac_flies:0,intentional_walks:0
pos:UT,name:Jimmy Stewart,age:33,games:68,plate_appearances:105,at_bats:96,runs:14,hits:21,doubles:5,triples:2,home_runs:0,runs_batted_in:9,stolen_bases:0,caught_stealing:1,walks:6,strikeouts:9,batting_avg:.219,onbase:.257,slugging:.313,ops:erc">.313,ops+:lugging">.570,bases:30,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:3,intentional_walks:2
