pos:C,name:Ed Taubensee,age:24,games:94,plate_appearances:312,at_bats:288,runs:26,hits:72,doubles:11,triples:1,home_runs:9,runs_batted_in:42,stolen_bases:1,caught_stealing:0,walks:21,strikeouts:44,batting_avg:.250,onbase:.299,slugging:.389,ops:erc">.389,ops+:lugging">.688,bases:112,double_plays:8,hit_by_pitch:0,sac_hits:1,sac_flies:2,intentional_walks:5
pos:1B,name:Jeff Bagwell,age:25,games:142,plate_appearances:609,at_bats:535,runs:76,hits:171,doubles:37,triples:4,home_runs:20,runs_batted_in:88,stolen_bases:13,caught_stealing:4,walks:62,strikeouts:73,batting_avg:.320,onbase:.388,slugging:.516,ops:erc">.516,ops+:lugging">.903,bases:276,double_plays:20,hit_by_pitch:3,sac_hits:0,sac_flies:9,intentional_walks:6
pos:2B,name:Craig Biggio,age:27,games:155,plate_appearances:707,at_bats:610,runs:98,hits:175,doubles:41,triples:5,home_runs:21,runs_batted_in:64,stolen_bases:15,caught_stealing:17,walks:77,strikeouts:93,batting_avg:.287,onbase:.373,slugging:.474,ops:erc">.474,ops+:lugging">.847,bases:289,double_plays:10,hit_by_pitch:10,sac_hits:4,sac_flies:5,intentional_walks:7
pos:SS,name:Andujar Cedeno,age:23,games:149,plate_appearances:569,at_bats:505,runs:69,hits:143,doubles:24,triples:4,home_runs:11,runs_batted_in:56,stolen_bases:9,caught_stealing:7,walks:48,strikeouts:97,batting_avg:.283,onbase:.346,slugging:.412,ops:erc">.412,ops+:lugging">.758,bases:208,double_plays:17,hit_by_pitch:3,sac_hits:4,sac_flies:5,intentional_walks:9
pos:3B,name:Ken Caminiti,age:30,games:143,plate_appearances:596,at_bats:543,runs:75,hits:142,doubles:31,triples:0,home_runs:13,runs_batted_in:75,stolen_bases:8,caught_stealing:5,walks:49,strikeouts:88,batting_avg:.262,onbase:.321,slugging:.390,ops:erc">.390,ops+:lugging">.711,bases:212,double_plays:15,hit_by_pitch:0,sac_hits:1,sac_flies:3,intentional_walks:10
pos:LF,name:Luis Gonzalez,age:25,games:154,plate_appearances:610,at_bats:540,runs:82,hits:162,doubles:34,triples:3,home_runs:15,runs_batted_in:72,stolen_bases:20,caught_stealing:9,walks:47,strikeouts:83,batting_avg:.300,onbase:.361,slugging:.457,ops:erc">.457,ops+:lugging">.818,bases:247,double_plays:9,hit_by_pitch:10,sac_hits:3,sac_flies:10,intentional_walks:7
pos:CF,name:Steve Finley,age:28,games:142,plate_appearances:585,at_bats:545,runs:69,hits:145,doubles:15,triples:13,home_runs:8,runs_batted_in:44,stolen_bases:19,caught_stealing:6,walks:28,strikeouts:65,batting_avg:.266,onbase:.304,slugging:.385,ops:erc">.385,ops+:lugging">.689,bases:210,double_plays:8,hit_by_pitch:3,sac_hits:6,sac_flies:3,intentional_walks:1
pos:RF,name:Eric Anthony,age:25,games:145,plate_appearances:540,at_bats:486,runs:70,hits:121,doubles:19,triples:4,home_runs:15,runs_batted_in:66,stolen_bases:3,caught_stealing:5,walks:49,strikeouts:88,batting_avg:.249,onbase:.319,slugging:.397,ops:erc">.397,ops+:lugging">.716,bases:193,double_plays:9,hit_by_pitch:2,sac_hits:0,sac_flies:2,intentional_walks:2
pos:C,name:Scott Servais,age:26,games:85,plate_appearances:291,at_bats:258,runs:24,hits:63,doubles:11,triples:0,home_runs:11,runs_batted_in:32,stolen_bases:0,caught_stealing:0,walks:22,strikeouts:45,batting_avg:.244,onbase:.313,slugging:.415,ops:erc">.415,ops+:lugging">.727,bases:107,double_plays:6,hit_by_pitch:5,sac_hits:3,sac_flies:3,intentional_walks:2
pos:RF,name:Kevin Bass,age:34,games:111,plate_appearances:258,at_bats:229,runs:31,hits:65,doubles:18,triples:0,home_runs:3,runs_batted_in:37,stolen_bases:7,caught_stealing:1,walks:26,strikeouts:31,batting_avg:.284,onbase:.359,slugging:.402,ops:erc">.402,ops+:lugging">.761,bases:92,double_plays:4,hit_by_pitch:1,sac_hits:2,sac_flies:0,intentional_walks:3
pos:CI,name:Chris Donnels,age:27,games:88,plate_appearances:199,at_bats:179,runs:18,hits:46,doubles:14,triples:2,home_runs:2,runs_batted_in:24,stolen_bases:2,caught_stealing:0,walks:19,strikeouts:33,batting_avg:.257,onbase:.327,slugging:.391,ops:erc">.391,ops+:lugging">.718,bases:70,double_plays:6,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:OF,name:Chris James,age:30,games:65,plate_appearances:148,at_bats:129,runs:19,hits:33,doubles:10,triples:1,home_runs:6,runs_batted_in:19,stolen_bases:2,caught_stealing:0,walks:15,strikeouts:34,batting_avg:.256,onbase:.333,slugging:.488,ops:erc">.488,ops+:lugging">.822,bases:63,double_plays:2,hit_by_pitch:1,sac_hits:1,sac_flies:2,intentional_walks:2
pos:UT,name:Casey Candaele,age:32,games:75,plate_appearances:131,at_bats:121,runs:18,hits:29,doubles:8,triples:0,home_runs:1,runs_batted_in:7,stolen_bases:2,caught_stealing:3,walks:10,strikeouts:14,batting_avg:.240,onbase:.298,slugging:.331,ops:erc">.331,ops+:lugging">.628,bases:40,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:SS,name:Jose Uribe,age:34,games:45,plate_appearances:66,at_bats:53,runs:4,hits:13,doubles:1,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:1,caught_stealing:0,walks:8,strikeouts:5,batting_avg:.245,onbase:.355,slugging:.264,ops:erc">.264,ops+:lugging">.619,bases:14,double_plays:1,hit_by_pitch:1,sac_hits:4,sac_flies:0,intentional_walks:4
pos:OF,name:Rick Parker,age:30,games:45,plate_appearances:49,at_bats:45,runs:11,hits:15,doubles:3,triples:0,home_runs:0,runs_batted_in:4,stolen_bases:1,caught_stealing:2,walks:3,strikeouts:8,batting_avg:.333,onbase:.375,slugging:.400,ops:erc">.400,ops+:lugging">.775,bases:18,double_plays:2,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:C,name:Eddie Tucker,age:26,games:9,plate_appearances:28,at_bats:26,runs:1,hits:5,doubles:1,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:3,batting_avg:.192,onbase:.250,slugging:.231,ops:erc">.231,ops+:lugging">.481,bases:6,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:1B,name:Jim Lindeman,age:31,games:9,plate_appearances:23,at_bats:23,runs:2,hits:8,doubles:3,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:7,batting_avg:.348,onbase:.348,slugging:.478,ops:erc">.478,ops+:lugging">.826,bases:11,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:UT,name:Mike Brumley,age:30,games:8,plate_appearances:11,at_bats:10,runs:1,hits:3,doubles:0,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:1,walks:1,strikeouts:3,batting_avg:.300,onbase:.364,slugging:.300,ops:erc">.300,ops+:lugging">.664,bases:3,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
