pos:C,name:Brad Ausmus,age:34,games:143,plate_appearances:509,at_bats:450,runs:43,hits:103,doubles:12,triples:2,home_runs:4,runs_batted_in:47,stolen_bases:5,caught_stealing:3,walks:46,strikeouts:66,batting_avg:.229,onbase:.303,slugging:.291,ops:erc">.291,ops+:lugging">.594,bases:131,double_plays:8,hit_by_pitch:4,sac_hits:4,sac_flies:5,intentional_walks:1
pos:1B,name:Jeff Bagwell,age:35,games:160,plate_appearances:702,at_bats:605,runs:109,hits:168,doubles:28,triples:2,home_runs:39,runs_batted_in:100,stolen_bases:11,caught_stealing:4,walks:88,strikeouts:119,batting_avg:.278,onbase:.373,slugging:.524,ops:erc">.524,ops+:lugging">.897,bases:317,double_plays:25,hit_by_pitch:6,sac_hits:0,sac_flies:3,intentional_walks:3
pos:2B,name:Jeff Kent,age:35,games:130,plate_appearances:552,at_bats:505,runs:77,hits:150,doubles:39,triples:1,home_runs:22,runs_batted_in:93,stolen_bases:6,caught_stealing:2,walks:39,strikeouts:85,batting_avg:.297,onbase:.351,slugging:.509,ops:erc">.509,ops+:lugging">.860,bases:257,double_plays:13,hit_by_pitch:5,sac_hits:0,sac_flies:3,intentional_walks:2
pos:SS,name:Adam Everett,age:26,games:128,plate_appearances:436,at_bats:387,runs:51,hits:99,doubles:18,triples:3,home_runs:8,runs_batted_in:51,stolen_bases:8,caught_stealing:1,walks:28,strikeouts:66,batting_avg:.256,onbase:.320,slugging:.380,ops:erc">.380,ops+:lugging">.700,bases:147,double_plays:7,hit_by_pitch:9,sac_hits:11,sac_flies:1,intentional_walks:6
pos:3B,name:Morgan Ensberg,age:27,games:127,plate_appearances:441,at_bats:385,runs:69,hits:112,doubles:15,triples:1,home_runs:25,runs_batted_in:60,stolen_bases:7,caught_stealing:2,walks:48,strikeouts:60,batting_avg:.291,onbase:.377,slugging:.530,ops:erc">.530,ops+:lugging">.907,bases:204,double_plays:10,hit_by_pitch:6,sac_hits:1,sac_flies:1,intentional_walks:1
pos:LF,name:Lance Berkman,age:27,games:153,plate_appearances:658,at_bats:538,runs:110,hits:155,doubles:35,triples:6,home_runs:25,runs_batted_in:93,stolen_bases:5,caught_stealing:3,walks:107,strikeouts:108,batting_avg:.288,onbase:.412,slugging:.515,ops:erc">.515,ops+:lugging">.927,bases:277,double_plays:10,hit_by_pitch:9,sac_hits:1,sac_flies:3,intentional_walks:13
pos:CF,name:Craig Biggio,age:37,games:153,plate_appearances:717,at_bats:628,runs:102,hits:166,doubles:44,triples:2,home_runs:15,runs_batted_in:62,stolen_bases:8,caught_stealing:4,walks:57,strikeouts:116,batting_avg:.264,onbase:.350,slugging:.412,ops:erc">.412,ops+:lugging">.763,bases:259,double_plays:4,hit_by_pitch:27,sac_hits:3,sac_flies:2,intentional_walks:3
pos:RF,name:Richard Hidalgo,age:28,games:141,plate_appearances:585,at_bats:514,runs:91,hits:159,doubles:43,triples:4,home_runs:28,runs_batted_in:88,stolen_bases:9,caught_stealing:7,walks:58,strikeouts:104,batting_avg:.309,onbase:.385,slugging:.572,ops:erc">.572,ops+:lugging">.957,bases:294,double_plays:10,hit_by_pitch:8,sac_hits:0,sac_flies:5,intentional_walks:8
pos:IF,name:Geoff Blum,age:30,games:123,plate_appearances:449,at_bats:420,runs:51,hits:110,doubles:19,triples:0,home_runs:10,runs_batted_in:52,stolen_bases:0,caught_stealing:0,walks:20,strikeouts:50,batting_avg:.262,onbase:.295,slugging:.379,ops:erc">.379,ops+:lugging">.674,bases:159,double_plays:15,hit_by_pitch:2,sac_hits:2,sac_flies:5,intentional_walks:1
pos:UT,name:Orlando Merced,age:36,games:123,plate_appearances:230,at_bats:212,runs:20,hits:49,doubles:17,triples:2,home_runs:3,runs_batted_in:26,stolen_bases:3,caught_stealing:2,walks:15,strikeouts:33,batting_avg:.231,onbase:.283,slugging:.373,ops:erc">.373,ops+:lugging">.655,bases:79,double_plays:3,hit_by_pitch:1,sac_hits:0,sac_flies:2,intentional_walks:2
pos:MI,name:Jose Vizcaino,age:35,games:91,plate_appearances:203,at_bats:189,runs:14,hits:47,doubles:7,triples:3,home_runs:3,runs_batted_in:26,stolen_bases:0,caught_stealing:1,walks:8,strikeouts:22,batting_avg:.249,onbase:.281,slugging:.365,ops:erc">.365,ops+:lugging">.646,bases:69,double_plays:5,hit_by_pitch:1,sac_hits:4,sac_flies:1,intentional_walks:3
