pos:C,name:Jason Castro,age:26,games:120,plate_appearances:491,at_bats:435,runs:63,hits:120,doubles:35,triples:1,home_runs:18,runs_batted_in:56,stolen_bases:2,caught_stealing:1,walks:50,strikeouts:130,batting_avg:.276,onbase:.350,slugging:.485,ops:erc">.485,ops+:lugging">.835,bases:211,double_plays:4,hit_by_pitch:2,sac_hits:0,sac_flies:4,intentional_walks:3
pos:1B,name:Chris Carter,age:26,games:148,plate_appearances:585,at_bats:506,runs:64,hits:113,doubles:24,triples:2,home_runs:29,runs_batted_in:82,stolen_bases:2,caught_stealing:0,walks:70,strikeouts:212,batting_avg:.223,onbase:.320,slugging:.451,ops:erc">.451,ops+:lugging">.770,bases:228,double_plays:8,hit_by_pitch:4,sac_hits:0,sac_flies:5,intentional_walks:1
pos:2B,name:Jose Altuve,age:23,games:152,plate_appearances:672,at_bats:626,runs:64,hits:177,doubles:31,triples:2,home_runs:5,runs_batted_in:52,stolen_bases:35,caught_stealing:13,walks:32,strikeouts:85,batting_avg:.283,onbase:.316,slugging:.363,ops:erc">.363,ops+:lugging">.678,bases:227,double_plays:24,hit_by_pitch:2,sac_hits:4,sac_flies:8,intentional_walks:5
pos:SS,name:Jonathan Villar,age:22,games:58,plate_appearances:241,at_bats:210,runs:26,hits:51,doubles:9,triples:2,home_runs:1,runs_batted_in:8,stolen_bases:18,caught_stealing:8,walks:24,strikeouts:71,batting_avg:.243,onbase:.321,slugging:.319,ops:erc">.319,ops+:lugging">.640,bases:67,double_plays:5,hit_by_pitch:0,sac_hits:7,sac_flies:0,intentional_walks:1
pos:3B,name:Matt Dominguez,age:23,games:152,plate_appearances:589,at_bats:543,runs:56,hits:131,doubles:25,triples:0,home_runs:21,runs_batted_in:77,stolen_bases:0,caught_stealing:1,walks:30,strikeouts:96,batting_avg:.241,onbase:.286,slugging:.403,ops:erc">.403,ops+:lugging">.690,bases:219,double_plays:17,hit_by_pitch:7,sac_hits:2,sac_flies:7,intentional_walks:1
pos:LF,name:J.D. Martinez,age:25,games:86,plate_appearances:310,at_bats:296,runs:24,hits:74,doubles:17,triples:0,home_runs:7,runs_batted_in:36,stolen_bases:2,caught_stealing:0,walks:10,strikeouts:82,batting_avg:.250,onbase:.272,slugging:.378,ops:erc">.378,ops+:lugging">.650,bases:112,double_plays:8,hit_by_pitch:0,sac_hits:0,sac_flies:3,intentional_walks:0
pos:CF,name:Brandon Barnes,age:27,games:136,plate_appearances:445,at_bats:408,runs:46,hits:98,doubles:17,triples:1,home_runs:8,runs_batted_in:41,stolen_bases:11,caught_stealing:11,walks:21,strikeouts:127,batting_avg:.240,onbase:.289,slugging:.346,ops:erc">.346,ops+:lugging">.635,bases:141,double_plays:5,hit_by_pitch:8,sac_hits:6,sac_flies:2,intentional_walks:0
pos:RF,name:L.J. Hoes,age:23,games:46,plate_appearances:181,at_bats:167,runs:24,hits:48,doubles:7,triples:2,home_runs:1,runs_batted_in:10,stolen_bases:7,caught_stealing:1,walks:12,strikeouts:34,batting_avg:.287,onbase:.337,slugging:.371,ops:erc">.371,ops+:lugging">.708,bases:62,double_plays:4,hit_by_pitch:1,sac_hits:0,sac_flies:1,intentional_walks:0
pos:DH,name:Carlos Pena,age:35,games:85,plate_appearances:325,at_bats:277,runs:38,hits:58,doubles:13,triples:1,home_runs:8,runs_batted_in:25,stolen_bases:1,caught_stealing:3,walks:43,strikeouts:89,batting_avg:.209,onbase:.324,slugging:.350,ops:erc">.350,ops+:lugging">.674,bases:97,double_plays:5,hit_by_pitch:4,sac_hits:1,sac_flies:0,intentional_walks:5
pos:OF,name:Robbie Grossman,age:23,games:63,plate_appearances:288,at_bats:257,runs:29,hits:69,doubles:14,triples:0,home_runs:4,runs_batted_in:21,stolen_bases:6,caught_stealing:7,walks:23,strikeouts:70,batting_avg:.268,onbase:.332,slugging:.370,ops:erc">.370,ops+:lugging">.702,bases:95,double_plays:2,hit_by_pitch:2,sac_hits:5,sac_flies:1,intentional_walks:0
pos:1B,name:Brett Wallace,age:26,games:79,plate_appearances:285,at_bats:262,runs:35,hits:58,doubles:14,triples:1,home_runs:13,runs_batted_in:36,stolen_bases:1,caught_stealing:1,walks:18,strikeouts:104,batting_avg:.221,onbase:.284,slugging:.431,ops:erc">.431,ops+:lugging">.716,bases:113,double_plays:5,hit_by_pitch:5,sac_hits:0,sac_flies:0,intentional_walks:0
