pos:C,name:Ed Kirkpatrick,age:27,games:113,plate_appearances:423,at_bats:364,runs:43,hits:100,doubles:15,triples:1,home_runs:9,runs_batted_in:43,stolen_bases:3,caught_stealing:5,walks:51,strikeouts:50,batting_avg:.275,onbase:.365,slugging:.396,ops:erc">.396,ops+:lugging">.761,bases:144,double_plays:4,hit_by_pitch:3,sac_hits:1,sac_flies:4,intentional_walks:9
pos:1B,name:John Mayberry,age:23,games:149,plate_appearances:588,at_bats:503,runs:65,hits:150,doubles:24,triples:3,home_runs:25,runs_batted_in:100,stolen_bases:0,caught_stealing:2,walks:78,strikeouts:74,batting_avg:.298,onbase:.394,slugging:.507,ops:erc">.507,ops+:lugging">.900,bases:255,double_plays:12,hit_by_pitch:3,sac_hits:1,sac_flies:3,intentional_walks:13
pos:2B,name:Cookie Rojas,age:33,games:137,plate_appearances:541,at_bats:487,runs:49,hits:127,doubles:25,triples:0,home_runs:3,runs_batted_in:53,stolen_bases:2,caught_stealing:8,walks:41,strikeouts:35,batting_avg:.261,onbase:.315,slugging:.331,ops:erc">.331,ops+:lugging">.646,bases:161,double_plays:17,hit_by_pitch:1,sac_hits:5,sac_flies:7,intentional_walks:5
pos:SS,name:Freddie Patek,age:27,games:136,plate_appearances:577,at_bats:518,runs:59,hits:110,doubles:25,triples:4,home_runs:0,runs_batted_in:32,stolen_bases:33,caught_stealing:7,walks:47,strikeouts:64,batting_avg:.212,onbase:.280,slugging:.276,ops:erc">.276,ops+:lugging">.556,bases:143,double_plays:9,hit_by_pitch:3,sac_hits:6,sac_flies:3,intentional_walks:4
pos:3B,name:Paul Schaal,age:29,games:127,plate_appearances:503,at_bats:435,runs:47,hits:99,doubles:19,triples:3,home_runs:6,runs_batted_in:41,stolen_bases:1,caught_stealing:3,walks:61,strikeouts:59,batting_avg:.228,onbase:.323,slugging:.326,ops:erc">.326,ops+:lugging">.650,bases:142,double_plays:14,hit_by_pitch:2,sac_hits:2,sac_flies:3,intentional_walks:1
pos:LF,name:Lou Piniella,age:28,games:151,plate_appearances:624,at_bats:574,runs:65,hits:179,doubles:33,triples:4,home_runs:11,runs_batted_in:72,stolen_bases:7,caught_stealing:2,walks:34,strikeouts:59,batting_avg:.312,onbase:.356,slugging:.441,ops:erc">.441,ops+:lugging">.797,bases:253,double_plays:25,hit_by_pitch:8,sac_hits:4,sac_flies:4,intentional_walks:9
pos:CF,name:Amos Otis,age:25,games:143,plate_appearances:605,at_bats:540,runs:75,hits:158,doubles:28,triples:2,home_runs:11,runs_batted_in:54,stolen_bases:28,caught_stealing:12,walks:50,strikeouts:59,batting_avg:.293,onbase:.352,slugging:.413,ops:erc">.413,ops+:lugging">.765,bases:223,double_plays:6,hit_by_pitch:3,sac_hits:6,sac_flies:6,intentional_walks:3
pos:RF,name:Richie Scheinblum,age:29,games:134,plate_appearances:520,at_bats:450,runs:60,hits:135,doubles:21,triples:4,home_runs:8,runs_batted_in:66,stolen_bases:0,caught_stealing:1,walks:58,strikeouts:40,batting_avg:.300,onbase:.383,slugging:.418,ops:erc">.418,ops+:lugging">.800,bases:188,double_plays:19,hit_by_pitch:4,sac_hits:3,sac_flies:3,intentional_walks:3
pos:OF,name:Steve Hovley,age:27,games:105,plate_appearances:226,at_bats:196,runs:24,hits:53,doubles:5,triples:1,home_runs:3,runs_batted_in:24,stolen_bases:3,caught_stealing:3,walks:24,strikeouts:29,batting_avg:.270,onbase:.351,slugging:.352,ops:erc">.352,ops+:lugging">.703,bases:69,double_plays:2,hit_by_pitch:1,sac_hits:4,sac_flies:1,intentional_walks:2
pos:IF,name:Bobby Floyd,age:28,games:61,plate_appearances:140,at_bats:134,runs:9,hits:24,doubles:3,triples:0,home_runs:0,runs_batted_in:5,stolen_bases:1,caught_stealing:0,walks:5,strikeouts:29,batting_avg:.179,onbase:.209,slugging:.201,ops:erc">.201,ops+:lugging">.410,bases:27,double_plays:4,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:C,name:Carl Taylor,age:28,games:63,plate_appearances:135,at_bats:113,runs:17,hits:30,doubles:2,triples:1,home_runs:0,runs_batted_in:11,stolen_bases:4,caught_stealing:1,walks:17,strikeouts:16,batting_avg:.265,onbase:.361,slugging:.301,ops:erc">.301,ops+:lugging">.662,bases:34,double_plays:3,hit_by_pitch:1,sac_hits:2,sac_flies:2,intentional_walks:1
