pos:C,name:Fran Healy,age:26,games:95,plate_appearances:315,at_bats:279,runs:25,hits:77,doubles:15,triples:2,home_runs:6,runs_batted_in:34,stolen_bases:3,caught_stealing:4,walks:31,strikeouts:56,batting_avg:.276,onbase:.348,slugging:.409,ops:erc">.409,ops+:lugging">.757,bases:114,double_plays:4,hit_by_pitch:0,sac_hits:5,sac_flies:0,intentional_walks:0
pos:1B,name:John Mayberry,age:24,games:152,plate_appearances:638,at_bats:510,runs:87,hits:142,doubles:20,triples:2,home_runs:26,runs_batted_in:100,stolen_bases:3,caught_stealing:0,walks:122,strikeouts:79,batting_avg:.278,onbase:.417,slugging:.478,ops:erc">.478,ops+:lugging">.895,bases:244,double_plays:5,hit_by_pitch:2,sac_hits:0,sac_flies:4,intentional_walks:17
pos:2B,name:Cookie Rojas,age:34,games:139,plate_appearances:595,at_bats:551,runs:77,hits:152,doubles:29,triples:3,home_runs:6,runs_batted_in:69,stolen_bases:18,caught_stealing:4,walks:37,strikeouts:38,batting_avg:.276,onbase:.320,slugging:.372,ops:erc">.372,ops+:lugging">.692,bases:205,double_plays:16,hit_by_pitch:1,sac_hits:1,sac_flies:5,intentional_walks:1
pos:SS,name:Freddie Patek,age:28,games:135,plate_appearances:571,at_bats:501,runs:82,hits:117,doubles:19,triples:5,home_runs:5,runs_batted_in:45,stolen_bases:36,caught_stealing:14,walks:54,strikeouts:63,batting_avg:.234,onbase:.311,slugging:.321,ops:erc">.321,ops+:lugging">.632,bases:161,double_plays:9,hit_by_pitch:3,sac_hits:11,sac_flies:2,intentional_walks:0
pos:3B,name:Paul Schaal,age:30,games:121,plate_appearances:471,at_bats:396,runs:61,hits:114,doubles:14,triples:3,home_runs:8,runs_batted_in:42,stolen_bases:5,caught_stealing:6,walks:63,strikeouts:45,batting_avg:.288,onbase:.389,slugging:.399,ops:erc">.399,ops+:lugging">.788,bases:158,double_plays:13,hit_by_pitch:5,sac_hits:3,sac_flies:4,intentional_walks:0
pos:LF,name:Lou Piniella,age:29,games:144,plate_appearances:553,at_bats:513,runs:53,hits:128,doubles:28,triples:1,home_runs:9,runs_batted_in:69,stolen_bases:5,caught_stealing:7,walks:30,strikeouts:65,batting_avg:.250,onbase:.291,slugging:.361,ops:erc">.361,ops+:lugging">.652,bases:185,double_plays:22,hit_by_pitch:2,sac_hits:3,sac_flies:5,intentional_walks:7
pos:CF,name:Amos Otis,age:26,games:148,plate_appearances:651,at_bats:583,runs:89,hits:175,doubles:21,triples:4,home_runs:26,runs_batted_in:93,stolen_bases:13,caught_stealing:9,walks:63,strikeouts:47,batting_avg:.300,onbase:.368,slugging:.484,ops:erc">.484,ops+:lugging">.851,bases:282,double_plays:10,hit_by_pitch:1,sac_hits:1,sac_flies:3,intentional_walks:5
pos:RF,name:Ed Kirkpatrick,age:28,games:126,plate_appearances:485,at_bats:429,runs:61,hits:113,doubles:24,triples:3,home_runs:6,runs_batted_in:45,stolen_bases:3,caught_stealing:7,walks:46,strikeouts:48,batting_avg:.263,onbase:.333,slugging:.375,ops:erc">.375,ops+:lugging">.708,bases:161,double_plays:12,hit_by_pitch:1,sac_hits:4,sac_flies:5,intentional_walks:6
pos:DH,name:Gail Hopkins,age:30,games:74,plate_appearances:171,at_bats:138,runs:17,hits:34,doubles:6,triples:1,home_runs:2,runs_batted_in:16,stolen_bases:1,caught_stealing:2,walks:29,strikeouts:15,batting_avg:.246,onbase:.380,slugging:.348,ops:erc">.348,ops+:lugging">.728,bases:48,double_plays:8,hit_by_pitch:2,sac_hits:0,sac_flies:2,intentional_walks:2
pos:RF,name:Hal McRae,age:27,games:106,plate_appearances:382,at_bats:338,runs:36,hits:79,doubles:18,triples:3,home_runs:9,runs_batted_in:50,stolen_bases:2,caught_stealing:2,walks:34,strikeouts:38,batting_avg:.234,onbase:.312,slugging:.385,ops:erc">.385,ops+:lugging">.697,bases:130,double_plays:7,hit_by_pitch:6,sac_hits:1,sac_flies:3,intentional_walks:2
pos:3B,name:Kurt Bevacqua,age:26,games:99,plate_appearances:309,at_bats:276,runs:39,hits:71,doubles:8,triples:3,home_runs:2,runs_batted_in:40,stolen_bases:2,caught_stealing:3,walks:25,strikeouts:42,batting_avg:.257,onbase:.317,slugging:.330,ops:erc">.330,ops+:lugging">.647,bases:91,double_plays:7,hit_by_pitch:1,sac_hits:3,sac_flies:4,intentional_walks:1
