pos:C,name:Bob Boone,age:41,games:131,plate_appearances:469,at_bats:405,runs:33,hits:111,doubles:13,triples:2,home_runs:1,runs_batted_in:43,stolen_bases:3,caught_stealing:2,walks:49,strikeouts:37,batting_avg:.274,onbase:.351,slugging:.323,ops:erc">.323,ops+:lugging">.675,bases:131,double_plays:16,hit_by_pitch:2,sac_hits:8,sac_flies:5,intentional_walks:4
pos:1B,name:George Brett,age:36,games:124,plate_appearances:528,at_bats:457,runs:67,hits:129,doubles:26,triples:3,home_runs:12,runs_batted_in:80,stolen_bases:14,caught_stealing:4,walks:59,strikeouts:47,batting_avg:.282,onbase:.362,slugging:.431,ops:erc">.431,ops+:lugging">.793,bases:197,double_plays:18,hit_by_pitch:3,sac_hits:0,sac_flies:9,intentional_walks:14
pos:2B,name:Frank White,age:38,games:135,plate_appearances:458,at_bats:418,runs:34,hits:107,doubles:22,triples:1,home_runs:2,runs_batted_in:36,stolen_bases:3,caught_stealing:2,walks:30,strikeouts:52,batting_avg:.256,onbase:.307,slugging:.328,ops:erc">.328,ops+:lugging">.635,bases:137,double_plays:7,hit_by_pitch:2,sac_hits:5,sac_flies:3,intentional_walks:0
pos:SS,name:Kurt Stillwell,age:24,games:130,plate_appearances:516,at_bats:463,runs:52,hits:121,doubles:20,triples:7,home_runs:7,runs_batted_in:54,stolen_bases:9,caught_stealing:6,walks:42,strikeouts:64,batting_avg:.261,onbase:.325,slugging:.380,ops:erc">.380,ops+:lugging">.705,bases:176,double_plays:3,hit_by_pitch:3,sac_hits:5,sac_flies:3,intentional_walks:2
pos:3B,name:Kevin Seitzer,age:27,games:160,plate_appearances:715,at_bats:597,runs:78,hits:168,doubles:17,triples:2,home_runs:4,runs_batted_in:48,stolen_bases:17,caught_stealing:8,walks:102,strikeouts:76,batting_avg:.281,onbase:.387,slugging:.337,ops:erc">.337,ops+:lugging">.723,bases:201,double_plays:16,hit_by_pitch:5,sac_hits:4,sac_flies:7,intentional_walks:7
pos:LF,name:Bo Jackson,age:26,games:135,plate_appearances:561,at_bats:515,runs:86,hits:132,doubles:15,triples:6,home_runs:32,runs_batted_in:105,stolen_bases:26,caught_stealing:9,walks:39,strikeouts:172,batting_avg:.256,onbase:.310,slugging:.495,ops:erc">.495,ops+:lugging">.805,bases:255,double_plays:10,hit_by_pitch:3,sac_hits:0,sac_flies:4,intentional_walks:8
pos:CF,name:Willie Wilson,age:33,games:112,plate_appearances:423,at_bats:383,runs:58,hits:97,doubles:17,triples:7,home_runs:3,runs_batted_in:43,stolen_bases:24,caught_stealing:6,walks:27,strikeouts:78,batting_avg:.253,onbase:.300,slugging:.358,ops:erc">.358,ops+:lugging">.657,bases:137,double_plays:8,hit_by_pitch:1,sac_hits:6,sac_flies:6,intentional_walks:0
pos:RF,name:Danny Tartabull,age:26,games:133,plate_appearances:515,at_bats:441,runs:54,hits:118,doubles:22,triples:0,home_runs:18,runs_batted_in:62,stolen_bases:4,caught_stealing:2,walks:69,strikeouts:123,batting_avg:.268,onbase:.369,slugging:.440,ops:erc">.440,ops+:lugging">.809,bases:194,double_plays:12,hit_by_pitch:3,sac_hits:0,sac_flies:2,intentional_walks:2
pos:DH,name:Pat Tabler,age:31,games:123,plate_appearances:434,at_bats:390,runs:36,hits:101,doubles:11,triples:1,home_runs:2,runs_batted_in:42,stolen_bases:0,caught_stealing:0,walks:37,strikeouts:42,batting_avg:.259,onbase:.325,slugging:.308,ops:erc">.308,ops+:lugging">.633,bases:120,double_plays:14,hit_by_pitch:2,sac_hits:3,sac_flies:2,intentional_walks:0
pos:OF,name:Jim Eisenreich,age:30,games:134,plate_appearances:519,at_bats:475,runs:64,hits:139,doubles:33,triples:7,home_runs:9,runs_batted_in:59,stolen_bases:27,caught_stealing:8,walks:37,strikeouts:44,batting_avg:.293,onbase:.341,slugging:.448,ops:erc">.448,ops+:lugging">.790,bases:213,double_plays:8,hit_by_pitch:0,sac_hits:3,sac_flies:4,intentional_walks:9
pos:MI,name:Brad Wellman,age:29,games:103,plate_appearances:189,at_bats:178,runs:30,hits:41,doubles:4,triples:0,home_runs:2,runs_batted_in:12,stolen_bases:5,caught_stealing:3,walks:7,strikeouts:36,batting_avg:.230,onbase:.263,slugging:.287,ops:erc">.287,ops+:lugging">.550,bases:51,double_plays:7,hit_by_pitch:1,sac_hits:3,sac_flies:0,intentional_walks:0
pos:1B,name:Bill Buckner,age:39,games:79,plate_appearances:184,at_bats:176,runs:7,hits:38,doubles:4,triples:1,home_runs:1,runs_batted_in:16,stolen_bases:1,caught_stealing:0,walks:6,strikeouts:11,batting_avg:.216,onbase:.240,slugging:.267,ops:erc">.267,ops+:lugging">.507,bases:47,double_plays:4,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:2
pos:C,name:Mike Macfarlane,age:25,games:69,plate_appearances:167,at_bats:157,runs:13,hits:35,doubles:6,triples:0,home_runs:2,runs_batted_in:19,stolen_bases:0,caught_stealing:0,walks:7,strikeouts:27,batting_avg:.223,onbase:.263,slugging:.299,ops:erc">.299,ops+:lugging">.563,bases:47,double_plays:8,hit_by_pitch:2,sac_hits:0,sac_flies:1,intentional_walks:0
pos:RF,name:Matt Winters,age:29,games:42,plate_appearances:122,at_bats:107,runs:14,hits:25,doubles:6,triples:0,home_runs:2,runs_batted_in:9,stolen_bases:0,caught_stealing:0,walks:14,strikeouts:23,batting_avg:.234,onbase:.320,slugging:.346,ops:erc">.346,ops+:lugging">.665,bases:37,double_plays:3,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:1
pos:OF,name:Gary Thurman,age:24,games:72,plate_appearances:105,at_bats:87,runs:24,hits:17,doubles:2,triples:1,home_runs:0,runs_batted_in:5,stolen_bases:16,caught_stealing:0,walks:15,strikeouts:26,batting_avg:.195,onbase:.311,slugging:.241,ops:erc">.241,ops+:lugging">.552,bases:21,double_plays:0,hit_by_pitch:0,sac_hits:2,sac_flies:1,intentional_walks:0
pos:SS,name:Bill Pecota,age:29,games:65,plate_appearances:92,at_bats:83,runs:21,hits:17,doubles:4,triples:2,home_runs:3,runs_batted_in:5,stolen_bases:5,caught_stealing:0,walks:7,strikeouts:9,batting_avg:.205,onbase:.275,slugging:.410,ops:erc">.410,ops+:lugging">.684,bases:34,double_plays:4,hit_by_pitch:1,sac_hits:1,sac_flies:0,intentional_walks:1
pos:1B,name:Luis de los Santos,age:22,games:28,plate_appearances:92,at_bats:87,runs:6,hits:22,doubles:3,triples:1,home_runs:0,runs_batted_in:6,stolen_bases:0,caught_stealing:0,walks:5,strikeouts:14,batting_avg:.253,onbase:.293,slugging:.310,ops:erc">.310,ops+:lugging">.604,bases:27,double_plays:2,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:UT,name:Rey Palacios,age:26,games:55,plate_appearances:53,at_bats:47,runs:12,hits:8,doubles:2,triples:0,home_runs:1,runs_batted_in:8,stolen_bases:0,caught_stealing:1,walks:2,strikeouts:14,batting_avg:.170,onbase:.216,slugging:.277,ops:erc">.277,ops+:lugging">.492,bases:13,double_plays:1,hit_by_pitch:1,sac_hits:2,sac_flies:1,intentional_walks:0
pos:LF,name:Jeff Schulz,age:28,games:7,plate_appearances:9,at_bats:9,runs:0,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.222,onbase:.222,slugging:.222,ops:erc">.222,ops+:lugging">.444,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Steve Farr,age:32,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Terry Leach,age:35,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Kevin Appier,age:21,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
