pos:C,name:Brent Mayne,age:27,games:110,plate_appearances:347,at_bats:307,runs:23,hits:77,doubles:18,triples:1,home_runs:1,runs_batted_in:27,stolen_bases:0,caught_stealing:1,walks:25,strikeouts:41,batting_avg:.251,onbase:.313,slugging:.326,ops:erc">.326,ops+:lugging">.638,bases:100,double_plays:16,hit_by_pitch:3,sac_hits:11,sac_flies:1,intentional_walks:1
pos:1B,name:Wally Joyner,age:33,games:131,plate_appearances:550,at_bats:465,runs:69,hits:144,doubles:28,triples:0,home_runs:12,runs_batted_in:83,stolen_bases:3,caught_stealing:2,walks:69,strikeouts:65,batting_avg:.310,onbase:.394,slugging:.447,ops:erc">.447,ops+:lugging">.842,bases:208,double_plays:10,hit_by_pitch:2,sac_hits:5,sac_flies:9,intentional_walks:10
pos:2B,name:Keith Lockhart,age:30,games:94,plate_appearances:300,at_bats:274,runs:41,hits:88,doubles:19,triples:3,home_runs:6,runs_batted_in:33,stolen_bases:8,caught_stealing:1,walks:14,strikeouts:21,batting_avg:.321,onbase:.355,slugging:.478,ops:erc">.478,ops+:lugging">.833,bases:131,double_plays:2,hit_by_pitch:4,sac_hits:1,sac_flies:7,intentional_walks:2
pos:SS,name:Greg Gagne,age:33,games:120,plate_appearances:482,at_bats:430,runs:58,hits:110,doubles:25,triples:4,home_runs:6,runs_batted_in:49,stolen_bases:3,caught_stealing:5,walks:38,strikeouts:60,batting_avg:.256,onbase:.316,slugging:.374,ops:erc">.374,ops+:lugging">.690,bases:161,double_plays:11,hit_by_pitch:2,sac_hits:7,sac_flies:5,intentional_walks:2
pos:3B,name:Gary Gaetti,age:36,games:137,plate_appearances:578,at_bats:514,runs:76,hits:134,doubles:27,triples:0,home_runs:35,runs_batted_in:96,stolen_bases:3,caught_stealing:3,walks:47,strikeouts:91,batting_avg:.261,onbase:.329,slugging:.518,ops:erc">.518,ops+:lugging">.846,bases:266,double_plays:7,hit_by_pitch:8,sac_hits:3,sac_flies:6,intentional_walks:6
pos:LF,name:Vince Coleman,age:33,games:75,plate_appearances:324,at_bats:293,runs:39,hits:84,doubles:13,triples:4,home_runs:4,runs_batted_in:20,stolen_bases:26,caught_stealing:9,walks:27,strikeouts:48,batting_avg:.287,onbase:.348,slugging:.399,ops:erc">.399,ops+:lugging">.747,bases:117,double_plays:7,hit_by_pitch:1,sac_hits:2,sac_flies:1,intentional_walks:1
pos:CF,name:Tom Goodwin,age:26,games:133,plate_appearances:537,at_bats:480,runs:72,hits:138,doubles:16,triples:3,home_runs:4,runs_batted_in:28,stolen_bases:50,caught_stealing:18,walks:38,strikeouts:72,batting_avg:.288,onbase:.346,slugging:.358,ops:erc">.358,ops+:lugging">.704,bases:172,double_plays:7,hit_by_pitch:5,sac_hits:14,sac_flies:0,intentional_walks:0
pos:RF,name:Jon Nunnally,age:23,games:119,plate_appearances:360,at_bats:303,runs:51,hits:74,doubles:15,triples:6,home_runs:14,runs_batted_in:42,stolen_bases:6,caught_stealing:4,walks:51,strikeouts:86,batting_avg:.244,onbase:.357,slugging:.472,ops:erc">.472,ops+:lugging">.829,bases:143,double_plays:4,hit_by_pitch:2,sac_hits:4,sac_flies:0,intentional_walks:5
pos:DH,name:Bob Hamelin,age:27,games:72,plate_appearances:242,at_bats:208,runs:20,hits:35,doubles:7,triples:1,home_runs:7,runs_batted_in:25,stolen_bases:0,caught_stealing:1,walks:26,strikeouts:56,batting_avg:.168,onbase:.278,slugging:.313,ops:erc">.313,ops+:lugging">.591,bases:65,double_plays:6,hit_by_pitch:6,sac_hits:0,sac_flies:1,intentional_walks:1
pos:MI,name:David Howard,age:28,games:95,plate_appearances:287,at_bats:255,runs:23,hits:62,doubles:13,triples:4,home_runs:0,runs_batted_in:19,stolen_bases:6,caught_stealing:1,walks:24,strikeouts:41,batting_avg:.243,onbase:.310,slugging:.325,ops:erc">.325,ops+:lugging">.635,bases:83,double_plays:7,hit_by_pitch:1,sac_hits:6,sac_flies:1,intentional_walks:1
pos:CF,name:Johnny Damon,age:21,games:47,plate_appearances:206,at_bats:188,runs:32,hits:53,doubles:11,triples:5,home_runs:3,runs_batted_in:23,stolen_bases:7,caught_stealing:0,walks:12,strikeouts:22,batting_avg:.282,onbase:.324,slugging:.441,ops:erc">.441,ops+:lugging">.765,bases:83,double_plays:2,hit_by_pitch:1,sac_hits:2,sac_flies:3,intentional_walks:0
pos:LF,name:Michael Tucker,age:24,games:62,plate_appearances:198,at_bats:177,runs:23,hits:46,doubles:10,triples:0,home_runs:4,runs_batted_in:17,stolen_bases:2,caught_stealing:3,walks:18,strikeouts:51,batting_avg:.260,onbase:.332,slugging:.384,ops:erc">.384,ops+:lugging">.716,bases:68,double_plays:3,hit_by_pitch:1,sac_hits:2,sac_flies:0,intentional_walks:2
