pos:C,name:Mike Macfarlane,age:33,games:82,plate_appearances:291,at_bats:257,runs:34,hits:61,doubles:14,triples:2,home_runs:8,runs_batted_in:35,stolen_bases:0,caught_stealing:2,walks:24,strikeouts:47,batting_avg:.237,onbase:.316,slugging:.401,ops:erc">.401,ops+:lugging">.717,bases:103,double_plays:4,hit_by_pitch:6,sac_hits:3,sac_flies:1,intentional_walks:3
pos:1B,name:Jeff King,age:32,games:155,plate_appearances:647,at_bats:543,runs:84,hits:129,doubles:30,triples:1,home_runs:28,runs_batted_in:112,stolen_bases:16,caught_stealing:5,walks:89,strikeouts:96,batting_avg:.238,onbase:.341,slugging:.451,ops:erc">.451,ops+:lugging">.792,bases:245,double_plays:9,hit_by_pitch:2,sac_hits:1,sac_flies:12,intentional_walks:4
pos:2B,name:Jose Offerman,age:28,games:106,plate_appearances:471,at_bats:424,runs:59,hits:126,doubles:23,triples:6,home_runs:2,runs_batted_in:39,stolen_bases:9,caught_stealing:10,walks:41,strikeouts:64,batting_avg:.297,onbase:.359,slugging:.394,ops:erc">.394,ops+:lugging">.753,bases:167,double_plays:5,hit_by_pitch:0,sac_hits:6,sac_flies:0,intentional_walks:3
pos:SS,name:Jay Bell,age:31,games:153,plate_appearances:660,at_bats:573,runs:89,hits:167,doubles:28,triples:3,home_runs:21,runs_batted_in:92,stolen_bases:10,caught_stealing:6,walks:71,strikeouts:101,batting_avg:.291,onbase:.368,slugging:.461,ops:erc">.461,ops+:lugging">.829,bases:264,double_plays:13,hit_by_pitch:4,sac_hits:3,sac_flies:9,intentional_walks:2
pos:3B,name:Craig Paquette,age:28,games:77,plate_appearances:267,at_bats:252,runs:26,hits:58,doubles:15,triples:1,home_runs:8,runs_batted_in:33,stolen_bases:2,caught_stealing:2,walks:10,strikeouts:57,batting_avg:.230,onbase:.263,slugging:.393,ops:erc">.393,ops+:lugging">.656,bases:99,double_plays:13,hit_by_pitch:2,sac_hits:1,sac_flies:2,intentional_walks:0
pos:LF,name:Bip Roberts,age:33,games:97,plate_appearances:372,at_bats:346,runs:44,hits:107,doubles:17,triples:2,home_runs:1,runs_batted_in:36,stolen_bases:15,caught_stealing:3,walks:21,strikeouts:53,batting_avg:.309,onbase:.348,slugging:.379,ops:erc">.379,ops+:lugging">.726,bases:131,double_plays:6,hit_by_pitch:1,sac_hits:1,sac_flies:3,intentional_walks:2
pos:CF,name:Tom Goodwin,age:28,games:97,plate_appearances:400,at_bats:367,runs:51,hits:100,doubles:13,triples:4,home_runs:2,runs_batted_in:22,stolen_bases:34,caught_stealing:10,walks:19,strikeouts:51,batting_avg:.272,onbase:.311,slugging:.346,ops:erc">.346,ops+:lugging">.657,bases:127,double_plays:5,hit_by_pitch:2,sac_hits:11,sac_flies:1,intentional_walks:0
pos:RF,name:Jermaine Dye,age:23,games:75,plate_appearances:283,at_bats:263,runs:26,hits:62,doubles:14,triples:0,home_runs:7,runs_batted_in:22,stolen_bases:2,caught_stealing:1,walks:17,strikeouts:51,batting_avg:.236,onbase:.284,slugging:.369,ops:erc">.369,ops+:lugging">.653,bases:97,double_plays:6,hit_by_pitch:1,sac_hits:1,sac_flies:1,intentional_walks:0
pos:DH,name:Chili Davis,age:37,games:140,plate_appearances:567,at_bats:477,runs:71,hits:133,doubles:20,triples:0,home_runs:30,runs_batted_in:90,stolen_bases:6,caught_stealing:3,walks:85,strikeouts:96,batting_avg:.279,onbase:.386,slugging:.509,ops:erc">.509,ops+:lugging">.896,bases:243,double_plays:15,hit_by_pitch:1,sac_hits:0,sac_flies:4,intentional_walks:16
pos:OF,name:Johnny Damon,age:23,games:146,plate_appearances:524,at_bats:472,runs:70,hits:130,doubles:12,triples:8,home_runs:8,runs_batted_in:48,stolen_bases:16,caught_stealing:10,walks:42,strikeouts:70,batting_avg:.275,onbase:.338,slugging:.386,ops:erc">.386,ops+:lugging">.723,bases:182,double_plays:3,hit_by_pitch:3,sac_hits:6,sac_flies:1,intentional_walks:2
pos:C,name:Mike Sweeney,age:23,games:84,plate_appearances:266,at_bats:240,runs:30,hits:58,doubles:8,triples:0,home_runs:7,runs_batted_in:31,stolen_bases:3,caught_stealing:2,walks:17,strikeouts:33,batting_avg:.242,onbase:.306,slugging:.363,ops:erc">.363,ops+:lugging">.668,bases:87,double_plays:8,hit_by_pitch:6,sac_hits:1,sac_flies:2,intentional_walks:0
pos:3B,name:Dean Palmer,age:28,games:49,plate_appearances:206,at_bats:187,runs:23,hits:52,doubles:10,triples:1,home_runs:9,runs_batted_in:31,stolen_bases:1,caught_stealing:2,walks:15,strikeouts:50,batting_avg:.278,onbase:.335,slugging:.487,ops:erc">.487,ops+:lugging">.822,bases:91,double_plays:3,hit_by_pitch:2,sac_hits:0,sac_flies:2,intentional_walks:0
pos:OF,name:Yamil Benitez,age:24,games:53,plate_appearances:204,at_bats:191,runs:22,hits:51,doubles:7,triples:1,home_runs:8,runs_batted_in:21,stolen_bases:2,caught_stealing:2,walks:10,strikeouts:49,batting_avg:.267,onbase:.307,slugging:.440,ops:erc">.440,ops+:lugging">.747,bases:84,double_plays:2,hit_by_pitch:1,sac_hits:2,sac_flies:0,intentional_walks:0
pos:3B,name:Scott Cooper,age:29,games:75,plate_appearances:182,at_bats:159,runs:12,hits:32,doubles:6,triples:1,home_runs:3,runs_batted_in:15,stolen_bases:1,caught_stealing:1,walks:17,strikeouts:32,batting_avg:.201,onbase:.283,slugging:.308,ops:erc">.308,ops+:lugging">.592,bases:49,double_plays:4,hit_by_pitch:2,sac_hits:2,sac_flies:2,intentional_walks:0
pos:2B,name:David Howard,age:30,games:80,plate_appearances:177,at_bats:162,runs:24,hits:39,doubles:8,triples:1,home_runs:1,runs_batted_in:13,stolen_bases:2,caught_stealing:2,walks:10,strikeouts:31,batting_avg:.241,onbase:.287,slugging:.321,ops:erc">.321,ops+:lugging">.608,bases:52,double_plays:1,hit_by_pitch:1,sac_hits:3,sac_flies:1,intentional_walks:1
pos:OF,name:Joe Vitiello,age:27,games:51,plate_appearances:146,at_bats:130,runs:11,hits:31,doubles:6,triples:0,home_runs:5,runs_batted_in:18,stolen_bases:0,caught_stealing:0,walks:14,strikeouts:37,batting_avg:.238,onbase:.322,slugging:.400,ops:erc">.400,ops+:lugging">.722,bases:52,double_plays:2,hit_by_pitch:2,sac_hits:0,sac_flies:0,intentional_walks:1
pos:UT,name:Shane Halter,age:27,games:74,plate_appearances:139,at_bats:123,runs:16,hits:34,doubles:5,triples:1,home_runs:2,runs_batted_in:10,stolen_bases:4,caught_stealing:3,walks:10,strikeouts:28,batting_avg:.276,onbase:.341,slugging:.382,ops:erc">.382,ops+:lugging">.723,bases:47,double_plays:1,hit_by_pitch:2,sac_hits:4,sac_flies:0,intentional_walks:0
pos:OF,name:Rod Myers,age:24,games:31,plate_appearances:121,at_bats:101,runs:14,hits:26,doubles:7,triples:0,home_runs:2,runs_batted_in:9,stolen_bases:4,caught_stealing:0,walks:17,strikeouts:22,batting_avg:.257,onbase:.370,slugging:.386,ops:erc">.386,ops+:lugging">.756,bases:39,double_plays:2,hit_by_pitch:1,sac_hits:2,sac_flies:0,intentional_walks:0
pos:2B,name:Jed Hansen,age:24,games:34,plate_appearances:111,at_bats:94,runs:11,hits:29,doubles:6,triples:1,home_runs:1,runs_batted_in:14,stolen_bases:3,caught_stealing:2,walks:13,strikeouts:29,batting_avg:.309,onbase:.394,slugging:.426,ops:erc">.426,ops+:lugging">.820,bases:40,double_plays:2,hit_by_pitch:1,sac_hits:2,sac_flies:1,intentional_walks:0
pos:1B,name:Larry Sutton,age:27,games:27,plate_appearances:75,at_bats:69,runs:9,hits:20,doubles:2,triples:0,home_runs:2,runs_batted_in:8,stolen_bases:0,caught_stealing:0,walks:5,strikeouts:12,batting_avg:.290,onbase:.338,slugging:.406,ops:erc">.406,ops+:lugging">.744,bases:28,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:C,name:Sal Fasano,age:25,games:13,plate_appearances:39,at_bats:38,runs:4,hits:8,doubles:2,triples:0,home_runs:1,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:12,batting_avg:.211,onbase:.231,slugging:.342,ops:erc">.342,ops+:lugging">.573,bases:13,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:SS,name:Felix Martinez,age:23,games:16,plate_appearances:38,at_bats:31,runs:3,hits:7,doubles:1,triples:1,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:6,strikeouts:8,batting_avg:.226,onbase:.351,slugging:.323,ops:erc">.323,ops+:lugging">.674,bases:10,double_plays:1,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:C,name:Tim Spehr,age:30,games:17,plate_appearances:38,at_bats:35,runs:3,hits:6,doubles:0,triples:0,home_runs:1,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:12,batting_avg:.171,onbase:.237,slugging:.257,ops:erc">.257,ops+:lugging">.494,bases:9,double_plays:0,hit_by_pitch:1,sac_hits:0,sac_flies:0,intentional_walks:0
