pos:C,name:John Buck,age:25,games:114,plate_appearances:409,at_bats:371,runs:37,hits:91,doubles:21,triples:1,home_runs:11,runs_batted_in:50,stolen_bases:0,caught_stealing:2,walks:26,strikeouts:84,batting_avg:.245,onbase:.306,slugging:.396,ops:erc">.396,ops+:lugging">.702,bases:147,double_plays:7,hit_by_pitch:7,sac_hits:4,sac_flies:1,intentional_walks:2
pos:1B,name:Doug Mientkiewicz,age:32,games:91,plate_appearances:361,at_bats:314,runs:37,hits:89,doubles:24,triples:2,home_runs:4,runs_batted_in:43,stolen_bases:3,caught_stealing:0,walks:35,strikeouts:50,batting_avg:.283,onbase:.359,slugging:.411,ops:erc">.411,ops+:lugging">.770,bases:129,double_plays:6,hit_by_pitch:5,sac_hits:1,sac_flies:5,intentional_walks:1
pos:2B,name:Mark Grudzielanek,age:36,games:134,plate_appearances:586,at_bats:548,runs:85,hits:163,doubles:32,triples:4,home_runs:7,runs_batted_in:52,stolen_bases:3,caught_stealing:2,walks:28,strikeouts:69,batting_avg:.297,onbase:.331,slugging:.409,ops:erc">.409,ops+:lugging">.740,bases:224,double_plays:12,hit_by_pitch:2,sac_hits:3,sac_flies:5,intentional_walks:4
pos:SS,name:Angel Berroa,age:28,games:132,plate_appearances:503,at_bats:474,runs:45,hits:111,doubles:18,triples:1,home_runs:9,runs_batted_in:54,stolen_bases:3,caught_stealing:1,walks:14,strikeouts:88,batting_avg:.234,onbase:.259,slugging:.333,ops:erc">.333,ops+:lugging">.592,bases:158,double_plays:21,hit_by_pitch:3,sac_hits:9,sac_flies:3,intentional_walks:1
pos:3B,name:Mark Teahen,age:24,games:109,plate_appearances:439,at_bats:393,runs:70,hits:114,doubles:21,triples:7,home_runs:18,runs_batted_in:69,stolen_bases:10,caught_stealing:0,walks:40,strikeouts:85,batting_avg:.290,onbase:.357,slugging:.517,ops:erc">.517,ops+:lugging">.874,bases:203,double_plays:5,hit_by_pitch:2,sac_hits:2,sac_flies:2,intentional_walks:2
pos:LF,name:Emil Brown,age:31,games:147,plate_appearances:601,at_bats:527,runs:77,hits:151,doubles:41,triples:2,home_runs:15,runs_batted_in:81,stolen_bases:6,caught_stealing:3,walks:59,strikeouts:95,batting_avg:.287,onbase:.358,slugging:.457,ops:erc">.457,ops+:lugging">.815,bases:241,double_plays:15,hit_by_pitch:5,sac_hits:0,sac_flies:10,intentional_walks:3
pos:CF,name:Joey Gathright,age:25,games:79,plate_appearances:263,at_bats:229,runs:34,hits:60,doubles:6,triples:3,home_runs:1,runs_batted_in:28,stolen_bases:10,caught_stealing:6,walks:22,strikeouts:45,batting_avg:.262,onbase:.332,slugging:.328,ops:erc">.328,ops+:lugging">.660,bases:75,double_plays:2,hit_by_pitch:4,sac_hits:4,sac_flies:4,intentional_walks:0
pos:RF,name:Reggie Sanders,age:38,games:88,plate_appearances:358,at_bats:325,runs:45,hits:80,doubles:23,triples:1,home_runs:11,runs_batted_in:49,stolen_bases:7,caught_stealing:7,walks:28,strikeouts:86,batting_avg:.246,onbase:.304,slugging:.425,ops:erc">.425,ops+:lugging">.729,bases:138,double_plays:10,hit_by_pitch:1,sac_hits:0,sac_flies:4,intentional_walks:3
pos:DH,name:Mike Sweeney,age:32,games:60,plate_appearances:252,at_bats:217,runs:23,hits:56,doubles:15,triples:0,home_runs:8,runs_batted_in:33,stolen_bases:2,caught_stealing:0,walks:28,strikeouts:48,batting_avg:.258,onbase:.349,slugging:.438,ops:erc">.438,ops+:lugging">.787,bases:95,double_plays:5,hit_by_pitch:4,sac_hits:0,sac_flies:3,intentional_walks:5
pos:OF,name:David DeJesus,age:26,games:119,plate_appearances:552,at_bats:491,runs:83,hits:145,doubles:36,triples:7,home_runs:8,runs_batted_in:56,stolen_bases:6,caught_stealing:3,walks:43,strikeouts:70,batting_avg:.295,onbase:.364,slugging:.446,ops:erc">.446,ops+:lugging">.810,bases:219,double_plays:10,hit_by_pitch:12,sac_hits:2,sac_flies:4,intentional_walks:4
pos:IF,name:Esteban German,age:28,games:106,plate_appearances:331,at_bats:279,runs:44,hits:91,doubles:18,triples:5,home_runs:3,runs_batted_in:34,stolen_bases:7,caught_stealing:3,walks:40,strikeouts:49,batting_avg:.326,onbase:.422,slugging:.459,ops:erc">.459,ops+:lugging">.880,bases:128,double_plays:8,hit_by_pitch:6,sac_hits:6,sac_flies:0,intentional_walks:0
pos:DH,name:Matt Stairs,age:38,games:77,plate_appearances:262,at_bats:226,runs:31,hits:59,doubles:14,triples:0,home_runs:8,runs_batted_in:32,stolen_bases:0,caught_stealing:0,walks:31,strikeouts:52,batting_avg:.261,onbase:.352,slugging:.429,ops:erc">.429,ops+:lugging">.782,bases:97,double_plays:5,hit_by_pitch:2,sac_hits:0,sac_flies:2,intentional_walks:2
pos:OF,name:Shane Costa,age:24,games:72,plate_appearances:252,at_bats:237,runs:23,hits:65,doubles:20,triples:1,home_runs:3,runs_batted_in:23,stolen_bases:2,caught_stealing:0,walks:6,strikeouts:29,batting_avg:.274,onbase:.304,slugging:.405,ops:erc">.405,ops+:lugging">.709,bases:96,double_plays:5,hit_by_pitch:5,sac_hits:2,sac_flies:2,intentional_walks:2
pos:3B,name:Tony Graffanino,age:34,games:69,plate_appearances:250,at_bats:220,runs:34,hits:59,doubles:16,triples:0,home_runs:5,runs_batted_in:32,stolen_bases:3,caught_stealing:4,walks:25,strikeouts:31,batting_avg:.268,onbase:.346,slugging:.409,ops:erc">.409,ops+:lugging">.755,bases:90,double_plays:4,hit_by_pitch:1,sac_hits:4,sac_flies:0,intentional_walks:1
pos:1B,name:Ryan Shealy,age:26,games:51,plate_appearances:210,at_bats:193,runs:29,hits:54,doubles:10,triples:1,home_runs:7,runs_batted_in:36,stolen_bases:1,caught_stealing:1,walks:15,strikeouts:50,batting_avg:.280,onbase:.338,slugging:.451,ops:erc">.451,ops+:lugging">.789,bases:87,double_plays:5,hit_by_pitch:2,sac_hits:0,sac_flies:0,intentional_walks:1
pos:C,name:Paul Bako,age:34,games:56,plate_appearances:167,at_bats:153,runs:7,hits:32,doubles:3,triples:0,home_runs:0,runs_batted_in:10,stolen_bases:0,caught_stealing:0,walks:11,strikeouts:46,batting_avg:.209,onbase:.261,slugging:.229,ops:erc">.229,ops+:lugging">.489,bases:35,double_plays:3,hit_by_pitch:0,sac_hits:2,sac_flies:1,intentional_walks:0
pos:SS,name:Andres Blanco,age:22,games:33,plate_appearances:96,at_bats:87,runs:9,hits:21,doubles:4,triples:1,home_runs:0,runs_batted_in:9,stolen_bases:0,caught_stealing:1,walks:5,strikeouts:14,batting_avg:.241,onbase:.290,slugging:.310,ops:erc">.310,ops+:lugging">.601,bases:27,double_plays:2,hit_by_pitch:1,sac_hits:3,sac_flies:0,intentional_walks:0
pos:UT,name:Paul Phillips,age:29,games:23,plate_appearances:69,at_bats:65,runs:8,hits:18,doubles:3,triples:0,home_runs:1,runs_batted_in:5,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:8,batting_avg:.277,onbase:.284,slugging:.369,ops:erc">.369,ops+:lugging">.653,bases:24,double_plays:0,hit_by_pitch:0,sac_hits:2,sac_flies:1,intentional_walks:0
pos:CI,name:Jeff Keppinger,age:26,games:22,plate_appearances:67,at_bats:60,runs:11,hits:16,doubles:2,triples:0,home_runs:2,runs_batted_in:8,stolen_bases:0,caught_stealing:0,walks:5,strikeouts:6,batting_avg:.267,onbase:.323,slugging:.400,ops:erc">.400,ops+:lugging">.723,bases:24,double_plays:2,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:1
pos:CF,name:Kerry Robinson,age:32,games:18,plate_appearances:67,at_bats:64,runs:8,hits:17,doubles:2,triples:1,home_runs:0,runs_batted_in:5,stolen_bases:1,caught_stealing:1,walks:1,strikeouts:7,batting_avg:.266,onbase:.277,slugging:.328,ops:erc">.328,ops+:lugging">.605,bases:21,double_plays:1,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
pos:OF,name:Aaron Guiel,age:33,games:19,plate_appearances:59,at_bats:50,runs:9,hits:11,doubles:3,triples:0,home_runs:3,runs_batted_in:7,stolen_bases:0,caught_stealing:0,walks:7,strikeouts:11,batting_avg:.220,onbase:.339,slugging:.460,ops:erc">.460,ops+:lugging">.799,bases:23,double_plays:1,hit_by_pitch:2,sac_hits:0,sac_flies:0,intentional_walks:0
pos:MI,name:Angel Sanchez,age:22,games:8,plate_appearances:28,at_bats:27,runs:2,hits:6,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:4,batting_avg:.222,onbase:.214,slugging:.222,ops:erc">.222,ops+:lugging">.437,bases:6,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:0
pos:OF,name:Mitch Maier,age:24,games:5,plate_appearances:15,at_bats:13,runs:3,hits:2,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:2,strikeouts:4,batting_avg:.154,onbase:.267,slugging:.154,ops:erc">.154,ops+:lugging">.421,bases:2,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:DH,name:Justin Huber,age:23,games:5,plate_appearances:11,at_bats:10,runs:1,hits:2,doubles:1,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:1,caught_stealing:0,walks:1,strikeouts:4,batting_avg:.200,onbase:.273,slugging:.300,ops:erc">.300,ops+:lugging">.573,bases:3,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Scott Elarton,age:30,games:2,plate_appearances:4,at_bats:3,runs:1,hits:1,doubles:1,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.333,onbase:.333,slugging:.667,ops:erc">.667,ops+:lugging">1.000,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Brandon Duckworth,age:30,games:2,plate_appearances:4,at_bats:3,runs:1,hits:1,doubles:1,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.333,onbase:.333,slugging:.667,ops:erc">.667,ops+:lugging">1.000,bases:2,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Mike Wood,age:26,games:2,plate_appearances:3,at_bats:3,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
